Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	25	26	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10710667	
1	1	A	1	N	2500	0	40	22	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10710916	
2	1	A	1	N	2500	0	40	197	432	20	10	8	0	0	0	0	0	0	0	0	0	0	0	0	10711057	
3	1	A	1	N	2500	0	40	70	250	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	10711197	
4	1	A	1	N	2500	0	40	25	23	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10711431	
5	1	A	1	N	2500	0	40	241	461	15	8	8	0	0	0	0	0	0	0	0	0	0	0	0	10711634	
6	1	A	1	N	2500	0	40	417	1194	60	26	18	0	0	0	0	0	0	0	0	0	0	0	0	10711774	
7	1	A	1	N	2500	0	40	219	483	17	8	5	0	0	0	0	0	0	0	0	0	0	0	0	10711790	
8	1	A	1	N	2500	0	40	240	524	21	9	10	0	0	0	0	0	0	0	0	0	0	0	0	10712008	
9	1	A	1	N	2500	0	40	24	45	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	10712476	
10	1	A	1	N	2500	0	40	28	56	12	13	14	0	0	0	0	0	0	0	0	0	0	0	0	10712508	
11	1	A	1	N	2500	0	40	26	43	14	15	14	0	0	0	0	0	0	0	0	0	0	0	0	10712508	
12	1	A	1	N	2500	0	40	177	381	16	6	4	0	0	0	0	0	0	0	0	0	0	0	0	10712523	
13	1	A	1	N	2500	0	40	23	36	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10712664	
14	1	A	1	N	2500	0	40	114	609	105	94	106	0	0	0	0	0	0	0	0	0	0	0	0	10712695	
15	1	A	1	N	2500	0	40	20	25	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10712804	
16	1	A	1	N	2500	0	40	126	373	12	7	5	0	0	0	0	0	0	0	0	0	0	0	0	10712835	
17	1	A	1	N	2500	0	40	110	148	6	4	4	0	0	0	0	0	0	0	0	0	0	0	0	10713022	
18	1	A	1	N	2500	0	40	285	627	20	11	10	0	0	0	0	0	0	0	0	0	0	0	0	10713038	
19	1	A	1	N	2500	0	40	26	35	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10713459	
20	1	A	1	N	2500	0	40	46	158	17	12	15	0	0	0	0	0	0	0	0	0	0	0	0	10713537	
21	1	A	1	N	2500	0	40	150	176	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10713943	
22	1	A	1	N	2500	0	40	241	454	16	9	7	0	0	0	0	0	0	0	0	0	0	0	0	10713974	
23	1	A	1	N	2500	0	40	174	420	17	6	4	0	0	0	0	0	0	0	0	0	0	0	0	10714099	
24	1	A	1	N	2500	0	40	29	56	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	10714161	
25	1	A	1	N	2500	0	40	25	40	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	10714582	
26	1	A	1	N	2500	0	40	185	381	14	7	6	0	0	0	0	0	0	0	0	0	0	0	0	10714676	
27	1	A	1	N	2500	0	40	187	468	22	7	4	0	0	0	0	0	0	0	0	0	0	0	0	10714926	
28	1	A	1	N	2500	0	40	83	115	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	10715378	
29	1	A	1	N	2500	0	40	175	309	9	7	6	0	0	0	0	0	0	0	0	0	0	0	0	10715472	
30	1	A	1	N	2500	0	40	137	462	16	7	6	0	0	0	0	0	0	0	0	0	0	0	0	10715518	
31	1	A	1	N	2500	0	40	20	18	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10715737	
32	1	A	1	N	2500	0	40	106	167	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	10715846	
33	1	A	1	N	2500	0	40	28	60	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	10716049	
34	1	A	1	N	2500	0	40	175	544	19	9	7	0	0	0	0	0	0	0	0	0	0	0	0	10716111	
35	1	A	1	N	2500	0	40	24	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10716142	
36	1	A	1	N	2500	0	40	184	558	17	10	7	0	0	0	0	0	0	0	0	0	0	0	0	10716158	
37	1	A	1	N	2500	0	40	44	78	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	10716174	
38	1	A	1	N	2500	0	40	241	456	13	7	5	0	0	0	0	0	0	0	0	0	0	0	0	10716314	
39	1	A	1	N	2500	0	40	25	48	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	10716454	
