Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	285	960	63	27	18	0	0	0	0	0	0	0	0	0	0	0	0	16594695	
1	1	A	1	N	2500	0	40	375	1101	39	20	19	0	0	0	0	0	0	0	0	0	0	0	0	16594945	
2	1	A	1	N	2500	0	40	23	26	11	10	9	0	0	0	0	0	0	0	0	0	0	0	0	16595741	
3	1	A	1	N	2500	0	40	246	749	40	17	14	0	0	0	0	0	0	0	0	0	0	0	0	16595959	
4	1	A	1	N	2500	0	40	206	1248	89	35	23	0	0	0	0	0	0	0	0	0	0	0	0	16596099	
5	1	A	1	N	2500	0	40	348	1250	72	32	24	0	0	0	0	0	0	0	0	0	0	0	0	16596318	
6	1	A	1	N	2500	0	40	276	793	38	15	13	0	0	0	0	0	0	0	0	0	0	0	0	16596723	
7	1	A	1	N	2500	0	40	192	996	50	22	15	0	0	0	0	0	0	0	0	0	0	0	0	16596723	
8	1	A	1	N	2500	0	40	157	776	37	18	13	0	0	0	0	0	0	0	0	0	0	0	0	16596817	
9	1	A	1	N	2500	0	40	269	829	36	18	15	0	0	0	0	0	0	0	0	0	0	0	0	16596895	
10	1	A	1	N	2500	0	40	27	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16597004	
11	1	A	1	N	2500	0	40	243	1275	79	35	25	0	0	0	0	0	0	0	0	0	0	0	0	16597051	
12	1	A	1	N	2500	0	40	245	1025	50	25	18	0	0	0	0	0	0	0	0	0	0	0	0	16597503	
13	1	A	1	N	2500	0	40	196	774	48	22	15	0	0	0	0	0	0	0	0	0	0	0	0	16597535	
14	1	A	1	N	2500	0	40	23	35	6	6	7	0	0	0	0	0	0	0	0	0	0	0	0	16597628	
