Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	401	1340	66	28	21	0	0	0	0	0	0	0	0	0	0	0	0	7975352	
1	1	A	1	N	2500	0	40	322	1123	62	24	20	0	0	0	0	0	0	0	0	0	0	0	0	7975774	
2	1	A	1	N	2500	0	40	204	987	54	23	16	0	0	0	0	0	0	0	0	0	0	0	0	7976273	
3	1	A	1	N	2500	0	40	332	917	57	23	16	0	0	0	0	0	0	0	0	0	0	0	0	7977068	
4	1	A	1	N	2500	0	40	30	67	8	8	11	0	0	0	0	0	0	0	0	0	0	0	0	7977256	
5	1	A	1	N	2500	0	40	150	715	47	17	12	0	0	0	0	0	0	0	0	0	0	0	0	7977443	
6	1	A	1	N	2500	0	40	226	830	46	20	14	0	0	0	0	0	0	0	0	0	0	0	0	7978004	
7	1	A	1	N	2500	0	40	130	578	25	13	12	0	0	0	0	0	0	0	0	0	0	0	0	7979034	
8	1	A	1	N	2500	0	40	331	1130	67	30	20	0	0	0	0	0	0	0	0	0	0	0	0	7979705	
9	1	A	1	N	2500	0	40	275	1039	54	22	15	0	0	0	0	0	0	0	0	0	0	0	0	7979861	
10	1	A	1	N	2500	0	40	180	786	39	17	14	0	0	0	0	0	0	0	0	0	0	0	0	7980313	
11	1	A	1	N	2500	0	40	39	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7980469	
12	1	A	1	N	2500	0	40	173	650	42	18	15	0	0	0	0	0	0	0	0	0	0	0	0	7980532	
13	1	A	1	N	2500	0	40	199	833	38	18	12	0	0	0	0	0	0	0	0	0	0	0	0	7980578	
14	1	A	1	N	2500	0	40	163	877	50	24	18	0	0	0	0	0	0	0	0	0	0	0	0	7980703	
15	1	A	1	N	2500	0	40	226	929	48	21	15	0	0	0	0	0	0	0	0	0	0	0	0	7980797	
16	1	A	1	N	2500	0	40	303	888	47	22	15	0	0	0	0	0	0	0	0	0	0	0	0	7981031	
17	1	A	1	N	2500	0	40	267	986	56	25	17	0	0	0	0	0	0	0	0	0	0	0	0	7981514	
18	1	A	1	N	2500	0	40	332	1250	83	30	24	0	0	0	0	0	0	0	0	0	0	0	0	7981639	
19	1	A	1	N	2500	0	40	30	32	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	7982232	
20	1	B	1	N	2500	0	40	194	581	31	14	11	0	0	0	0	0	0	0	0	0	0	0	0	7989938	
21	1	B	1	N	2500	0	40	235	877	54	23	18	0	0	0	0	0	0	0	0	0	0	0	0	7990625	
22	1	B	1	N	2500	0	40	189	686	27	14	12	0	0	0	0	0	0	0	0	0	0	0	0	7991124	
23	1	B	1	N	2500	0	40	170	836	40	20	14	0	0	0	0	0	0	0	0	0	0	0	0	7991202	
24	1	B	1	N	2500	0	40	201	1050	77	32	20	0	0	0	0	0	0	0	0	0	0	0	0	7991498	
25	1	B	1	N	2500	0	40	22	30	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7991654	
26	1	B	1	N	2500	0	40	347	754	23	11	9	0	0	0	0	0	0	0	0	0	0	0	0	7993214	
27	1	B	1	N	2500	0	40	232	835	49	23	17	0	0	0	0	0	0	0	0	0	0	0	0	7993589	
28	1	B	1	N	2500	0	40	23	42	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7993698	
29	1	B	1	N	2500	0	40	206	843	34	17	14	0	0	0	0	0	0	0	0	0	0	0	0	7993838	
30	1	B	1	N	2500	0	40	242	774	45	19	13	0	0	0	0	0	0	0	0	0	0	0	0	7994353	
31	1	B	1	N	2500	0	40	195	864	39	20	14	0	0	0	0	0	0	0	0	0	0	0	0	7994400	
