Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	23	48	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12825674	
1	1	A	1	N	2500	0	40	93	225	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	12826298	
2	1	A	1	N	2500	0	40	20	25	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	12826392	
3	1	A	1	N	2500	0	40	38	75	3	4	5	0	0	0	0	0	0	0	0	0	0	0	0	12826938	
4	1	A	1	N	2500	0	40	181	247	5	3	4	0	0	0	0	0	0	0	0	0	0	0	0	12827983	
5	1	A	1	N	2500	0	40	203	439	16	7	6	0	0	0	0	0	0	0	0	0	0	0	0	12828139	
6	1	A	1	N	2500	0	40	36	47	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	12828248	
7	1	A	1	N	2500	0	40	92	205	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	12828669	
8	1	A	1	N	2500	0	40	120	419	13	7	5	0	0	0	0	0	0	0	0	0	0	0	0	12829028	
9	1	A	1	N	2500	0	40	180	261	6	2	4	0	0	0	0	0	0	0	0	0	0	0	0	12829075	
10	1	A	1	N	2500	0	40	21	23	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12829090	
11	1	A	1	N	2500	0	40	155	231	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	12829231	
12	1	A	1	N	2500	0	40	133	461	19	10	7	0	0	0	0	0	0	0	0	0	0	0	0	12829402	
13	1	A	1	N	2500	0	40	150	465	18	8	7	0	0	0	0	0	0	0	0	0	0	0	0	12829699	
14	1	A	1	N	2500	0	40	32	60	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	12829855	
15	1	A	1	N	2500	0	40	22	44	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	12830042	
16	1	A	1	N	2500	0	40	137	195	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	12830526	
17	1	A	1	N	2500	0	40	21	40	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	12830853	
18	1	A	1	N	2500	0	40	124	324	8	5	3	0	0	0	0	0	0	0	0	0	0	0	0	12830900	
19	1	A	1	N	2500	0	40	126	375	14	5	3	0	0	0	0	0	0	0	0	0	0	0	0	12830978	
20	1	A	1	N	2500	0	40	189	600	21	11	8	0	0	0	0	0	0	0	0	0	0	0	0	12831009	
21	1	A	1	N	2500	0	40	27	34	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12831040	
22	1	A	1	N	2500	0	40	122	185	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	12831290	
23	1	A	1	N	2500	0	40	303	715	26	13	9	0	0	0	0	0	0	0	0	0	0	0	0	12831321	
24	1	A	1	N	2500	0	40	52	143	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	12831352	
25	1	A	1	N	2500	0	40	146	174	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	12831711	
26	1	A	1	N	2500	0	40	27	55	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	12831836	
27	1	A	1	N	2500	0	40	138	185	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	12832834	
28	1	A	1	N	2500	0	40	230	424	15	7	5	0	0	0	0	0	0	0	0	0	0	0	0	12832881	
29	1	A	1	N	2500	0	40	20	41	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	12832881	
30	1	A	1	N	2500	0	40	189	253	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	12833068	
31	1	A	1	N	2500	0	40	20	41	8	9	8	0	0	0	0	0	0	0	0	0	0	0	0	12833115	
32	1	B	1	N	2500	0	40	28	59	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12840827	
33	1	B	1	N	2500	0	40	28	62	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	12840999	
34	1	B	1	N	2500	0	40	23	47	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12841467	
35	1	B	1	N	2500	0	40	194	436	16	6	7	0	0	0	0	0	0	0	0	0	0	0	0	12841545	
36	1	B	1	N	2500	0	40	151	444	14	7	6	0	0	0	0	0	0	0	0	0	0	0	0	12841592	
37	1	B	1	N	2500	0	40	121	199	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	12842278	
38	1	B	1	N	2500	0	40	141	218	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	12842653	
39	1	B	1	N	2500	0	40	132	516	17	10	9	0	0	0	0	0	0	0	0	0	0	0	0	12843058	
