Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	130	206	8	2	2	0	0	0	0	0	0	0	0	0	0	0	0	11380682	
1	1	A	1	N	2500	0	40	100	193	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	11380916	
2	1	A	1	N	2500	0	40	107	231	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	11381088	
3	1	A	1	N	2500	0	40	133	204	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	11381899	
4	1	A	1	N	2500	0	40	198	423	16	7	6	0	0	0	0	0	0	0	0	0	0	0	0	11381993	
5	1	A	1	N	2500	0	40	25	39	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11382086	
6	1	A	1	N	2500	0	40	156	560	25	10	8	0	0	0	0	0	0	0	0	0	0	0	0	11382367	
7	1	A	1	N	2500	0	40	219	343	9	3	3	0	0	0	0	0	0	0	0	0	0	0	0	11382476	
8	1	A	1	N	2500	0	40	225	540	20	10	7	0	0	0	0	0	0	0	0	0	0	0	0	11382476	
9	1	A	1	N	2500	0	40	78	161	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	11382601	
10	1	A	1	N	2500	0	40	125	184	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	11382601	
11	1	A	1	N	2500	0	40	96	219	7	3	2	0	0	0	0	0	0	0	0	0	0	0	0	11383334	
12	1	A	1	N	2500	0	40	93	294	7	4	2	0	0	0	0	0	0	0	0	0	0	0	0	11383631	
13	1	A	1	N	2500	0	40	45	49	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11384426	
14	1	A	1	N	2500	0	40	223	547	21	9	6	0	0	0	0	0	0	0	0	0	0	0	0	11384520	
15	1	A	1	N	2500	0	40	100	198	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	11385175	
16	1	A	1	N	2500	0	40	165	217	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11385378	
17	1	A	1	N	2500	0	40	94	203	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	11385440	
18	1	A	1	N	2500	0	40	142	231	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	11385690	
19	1	A	1	N	2500	0	40	127	275	9	3	2	0	0	0	0	0	0	0	0	0	0	0	0	11385705	
20	1	A	1	N	2500	0	40	33	31	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11385877	
21	1	A	1	N	2500	0	40	84	181	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	11385924	
22	1	A	1	N	2500	0	40	228	615	25	11	8	0	0	0	0	0	0	0	0	0	0	0	0	11386298	
23	1	A	1	N	2500	0	40	294	555	16	9	8	0	0	0	0	0	0	0	0	0	0	0	0	11386329	
24	1	A	1	N	2500	0	40	20	26	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11386423	
25	1	A	1	N	2500	0	40	21	28	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11386517	
26	1	A	1	N	2500	0	40	198	307	12	5	4	0	0	0	0	0	0	0	0	0	0	0	0	11386517	
27	1	A	1	N	2500	0	40	187	229	9	3	2	0	0	0	0	0	0	0	0	0	0	0	0	11386563	
28	1	A	1	N	2500	0	40	50	201	19	18	20	0	0	0	0	0	0	0	0	0	0	0	0	11386579	
29	1	A	1	N	2500	0	40	25	39	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11386688	
30	1	A	1	N	2500	0	40	32	42	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11386704	
31	1	A	1	N	2500	0	40	25	41	6	7	7	0	0	0	0	0	0	0	0	0	0	0	0	11386829	
32	1	B	1	N	2500	0	40	20	26	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11394863	
33	1	B	1	N	2500	0	40	184	401	11	6	5	0	0	0	0	0	0	0	0	0	0	0	0	11395097	
34	1	B	1	N	2500	0	40	205	248	8	3	3	0	0	0	0	0	0	0	0	0	0	0	0	11395237	
35	1	B	1	N	2500	0	40	267	531	17	8	7	0	0	0	0	0	0	0	0	0	0	0	0	11395596	
36	1	B	1	N	2500	0	40	47	106	6	6	5	0	0	0	0	0	0	0	0	0	0	0	0	11395721	
37	1	B	1	N	2500	0	40	186	267	6	3	4	0	0	0	0	0	0	0	0	0	0	0	0	11395830	
38	1	B	1	N	2500	0	40	129	201	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	11396657	
39	1	B	1	N	2500	0	40	34	68	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	11396860	
40	1	B	1	N	2500	0	40	147	236	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	11396875	
41	1	B	1	N	2500	0	40	23	41	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	11397125	
42	1	B	1	N	2500	0	40	125	213	8	3	2	0	0	0	0	0	0	0	0	0	0	0	0	11397452	
