Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	C	1	N	2500	0	40	430	1389	84	34	29	0	0	0	0	0	0	0	0	0	0	0	0	10860805	
1	1	C	1	N	2500	0	40	34	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10861039	
2	1	C	1	N	2500	0	40	23	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10861039	
3	1	C	1	N	2500	0	40	99	186	10	2	1	0	0	0	0	0	0	0	0	0	0	0	0	10861835	
4	1	C	1	N	2500	0	40	477	1469	67	34	30	0	0	0	0	0	0	0	0	0	0	0	0	10863769	
5	1	C	1	N	2500	0	40	42	50	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	10863847	
6	1	C	1	N	2500	0	40	441	1204	92	28	21	0	0	0	0	0	0	0	0	0	0	0	0	10863847	
7	1	C	1	N	2500	0	40	37	46	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10863894	
8	1	C	1	N	2500	0	40	543	1369	98	38	33	0	0	0	0	0	0	0	0	0	0	0	0	10864970	
9	1	C	1	N	2500	0	40	227	655	58	23	20	0	0	0	0	0	0	0	0	0	0	0	0	10866530	
10	1	C	1	N	2500	0	40	77	165	12	4	3	0	0	0	0	0	0	0	0	0	0	0	0	10866530	
11	1	C	1	N	2500	0	40	26	40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10866639	
12	1	C	1	N	2500	0	40	485	1433	81	35	30	0	0	0	0	0	0	0	0	0	0	0	0	10867575	
13	1	C	1	N	2500	0	40	23	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10868090	
14	1	C	1	N	2500	0	40	20	38	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10868121	
15	1	C	1	N	2500	0	40	398	1134	58	28	26	0	0	0	0	0	0	0	0	0	0	0	0	10868168	
16	1	C	2	N	2500	0	40	26	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10875531	
17	1	C	2	N	2500	0	40	22	26	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10875609	
18	1	C	2	N	2500	0	40	22	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10875750	
19	1	C	2	N	2500	0	40	28	30	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10875812	
20	1	C	2	N	2500	0	40	220	247	11	3	4	0	0	0	0	0	0	0	0	0	0	0	0	10876046	
21	1	C	2	N	2500	0	40	278	545	25	7	8	0	0	0	0	0	0	0	0	0	0	0	0	10876343	
22	1	C	2	N	2500	0	40	289	475	20	8	7	0	0	0	0	0	0	0	0	0	0	0	0	10876545	
23	1	C	2	N	2500	0	40	173	229	7	3	3	0	0	0	0	0	0	0	0	0	0	0	0	10876655	
24	1	C	2	N	2500	0	40	30	68	11	2	1	0	0	0	0	0	0	0	0	0	0	0	0	10876670	
25	1	C	2	N	2500	0	40	110	213	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	10876670	
26	1	C	2	N	2500	0	40	21	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10876670	
27	1	C	2	N	2500	0	40	175	224	6	3	4	0	0	0	0	0	0	0	0	0	0	0	0	10877060	
28	1	C	2	N	2500	0	40	254	552	19	5	4	0	0	0	0	0	0	0	0	0	0	0	0	10877403	
29	1	C	2	N	2500	0	40	135	174	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	10878074	
30	1	C	2	N	2500	0	40	80	133	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10878371	
31	1	C	2	N	2500	0	40	202	320	11	4	6	0	0	0	0	0	0	0	0	0	0	0	0	10878480	
32	1	C	2	N	2500	0	40	221	344	8	5	4	0	0	0	0	0	0	0	0	0	0	0	0	10878651	
33	1	C	2	N	2500	0	40	24	32	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10878761	
34	1	C	2	N	2500	0	40	29	31	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10878963	
35	1	C	2	N	2500	0	40	30	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10879759	
36	1	C	2	N	2500	0	40	281	495	17	9	11	0	0	0	0	0	0	0	0	0	0	0	0	10879790	
37	1	C	2	N	2500	0	40	41	56	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10880243	
38	1	C	2	N	2500	0	40	32	43	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10880399	
39	1	C	2	N	2500	0	40	111	159	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10880523	
40	1	C	2	N	2500	0	40	54	78	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10880539	
41	1	C	2	N	2500	0	40	280	548	22	8	8	0	0	0	0	0	0	0	0	0	0	0	0	10880804	
42	1	C	2	N	2500	0	40	66	98	6	5	6	0	0	0	0	0	0	0	0	0	0	0	0	10880913	
43	1	C	2	N	2500	0	40	31	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10881101	
44	1	C	2	N	2500	0	40	99	141	6	5	7	0	0	0	0	0	0	0	0	0	0	0	0	10881116	
45	1	C	2	N	2500	0	40	50	43	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10881194	
46	1	C	2	N	2500	0	40	53	67	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10881194	
47	1	C	2	N	2500	0	40	79	164	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10881413	
48	1	C	2	N	2500	0	40	217	276	8	3	4	0	0	0	0	0	0	0	0	0	0	0	0	10881506	
49	1	C	2	N	2500	0	40	129	168	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10881584	
50	1	C	2	N	2500	0	40	125	216	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10881678	
51	1	C	2	N	2500	0	40	51	72	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10881678	
52	1	C	2	N	2500	0	40	115	181	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10881803	
53	1	C	2	N	2500	0	40	259	485	24	7	11	0	0	0	0	0	0	0	0	0	0	0	0	10881834	
54	1	C	2	N	2500	0	40	82	109	6	4	4	0	0	0	0	0	0	0	0	0	0	0	0	10881974	
55	1	C	2	N	2500	0	40	202	342	15	6	6	0	0	0	0	0	0	0	0	0	0	0	0	10882177	
56	1	C	2	N	2500	0	40	176	410	25	8	7	0	0	0	0	0	0	0	0	0	0	0	0	10882848	
57	1	C	3	N	2500	0	40	29	74	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10890414	
58	1	C	3	N	2500	0	40	37	45	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10890523	
59	1	C	3	N	2500	0	40	35	78	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10891178	
60	1	C	3	N	2500	0	40	275	404	13	6	6	0	0	0	0	0	0	0	0	0	0	0	0	10891428	
61	1	C	3	N	2500	0	40	23	45	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10892535	
62	1	C	3	N	2500	0	40	22	36	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10892613	
63	1	C	3	N	2500	0	40	41	58	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10892660	
64	1	C	3	N	2500	0	40	301	582	21	9	9	0	0	0	0	0	0	0	0	0	0	0	0	10892801	
65	1	C	3	N	2500	0	40	191	249	6	3	4	0	0	0	0	0	0	0	0	0	0	0	0	10893518	
66	1	C	3	N	2500	0	40	142	182	4	2	4	0	0	0	0	0	0	0	0	0	0	0	0	10893721	
67	1	C	3	N	2500	0	40	41	59	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10893768	
68	1	C	3	N	2500	0	40	215	258	11	3	4	0	0	0	0	0	0	0	0	0	0	0	0	10893846	
69	1	C	3	N	2500	0	40	164	219	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	10893939	
70	1	C	3	N	2500	0	40	23	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10894283	
71	1	C	3	N	2500	0	40	37	48	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10894314	
72	1	C	3	N	2500	0	40	122	186	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10894376	
73	1	C	3	N	2500	0	40	34	67	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10894563	
74	1	C	3	N	2500	0	40	71	135	18	4	4	0	0	0	0	0	0	0	0	0	0	0	0	10894641	
75	1	C	3	N	2500	0	40	238	318	9	5	5	0	0	0	0	0	0	0	0	0	0	0	0	10895125	
76	1	C	3	N	2500	0	40	223	291	10	4	4	0	0	0	0	0	0	0	0	0	0	0	0	10895312	
77	1	C	3	N	2500	0	40	219	310	10	4	5	0	0	0	0	0	0	0	0	0	0	0	0	10895609	
78	1	C	3	N	2500	0	40	71	74	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10895811	
79	1	C	3	N	2500	0	40	77	153	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	10896233	
80	1	C	3	N	2500	0	40	133	163	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10896373	
81	1	C	3	N	2500	0	40	23	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10896498	
82	1	C	3	N	2500	0	40	262	420	10	4	6	0	0	0	0	0	0	0	0	0	0	0	0	10896638	
83	1	C	3	N	2500	0	40	91	241	8	4	3	0	0	0	0	0	0	0	0	0	0	0	0	10896857	
84	1	C	3	N	2500	0	40	281	521	20	6	8	0	0	0	0	0	0	0	0	0	0	0	0	10897028	
85	1	C	3	N	2500	0	40	144	175	6	2	4	0	0	0	0	0	0	0	0	0	0	0	0	10897106	
86	1	C	3	N	2500	0	40	68	150	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10897106	
87	1	C	3	N	2500	0	40	46	82	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10897169	
88	1	C	3	N	2500	0	40	83	150	7	2	3	0	0	0	0	0	0	0	0	0	0	0	0	10897231	
89	1	C	3	N	2500	0	40	150	154	9	1	3	0	0	0	0	0	0	0	0	0	0	0	0	10897231	
90	1	C	3	N	2500	0	40	24	39	8	11	14	0	0	0	0	0	0	0	0	0	0	0	0	10897512	
91	1	C	3	N	2500	0	40	23	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10897559	
92	1	C	4	N	2500	0	40	35	72	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10905437	
93	1	C	4	N	2500	0	40	193	276	8	2	4	0	0	0	0	0	0	0	0	0	0	0	0	10905546	
94	1	C	4	N	2500	0	40	110	128	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	10905546	
95	1	C	4	N	2500	0	40	23	34	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	10905983	
96	1	C	4	N	2500	0	40	216	289	10	4	5	0	0	0	0	0	0	0	0	0	0	0	0	10907979	
97	1	C	4	N	2500	0	40	38	58	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10908011	
98	1	C	4	N	2500	0	40	24	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10908057	
99	1	C	4	N	2500	0	40	143	146	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	10908510	
100	1	C	4	N	2500	0	40	130	175	5	2	4	0	0	0	0	0	0	0	0	0	0	0	0	10908603	
101	1	C	4	N	2500	0	40	39	53	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	10908619	
102	1	C	4	N	2500	0	40	124	162	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	10908666	
103	1	C	4	N	2500	0	40	173	200	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	10909305	
104	1	C	4	N	2500	0	40	63	152	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	10909337	
105	1	C	4	N	2500	0	40	208	325	12	5	5	0	0	0	0	0	0	0	0	0	0	0	0	10909337	
106	1	C	4	N	2500	0	40	199	203	11	3	3	0	0	0	0	0	0	0	0	0	0	0	0	10909742	
107	1	C	4	N	2500	0	40	133	148	4	2	4	0	0	0	0	0	0	0	0	0	0	0	0	10909789	
108	1	C	4	N	2500	0	40	206	286	11	4	3	0	0	0	0	0	0	0	0	0	0	0	0	10910179	
109	1	C	4	N	2500	0	40	41	80	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10910210	
110	1	C	4	N	2500	0	40	111	151	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10910351	
111	1	C	4	N	2500	0	40	35	39	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	10910429	
112	1	C	4	N	2500	0	40	154	193	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10910491	
113	1	C	4	N	2500	0	40	124	235	7	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10910538	
114	1	C	4	N	2500	0	40	33	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10910787	
115	1	C	4	N	2500	0	40	98	129	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10910990	
116	1	C	4	N	2500	0	40	77	148	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10911006	
117	1	C	4	N	2500	0	40	36	67	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10911240	
118	1	C	4	N	2500	0	40	41	44	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10912035	
119	1	C	4	N	2500	0	40	152	231	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10912113	
120	1	C	4	N	2500	0	40	63	107	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10912301	
121	1	C	5	N	2500	0	40	166	254	7	3	4	0	0	0	0	0	0	0	0	0	0	0	0	10921099	
122	1	C	5	N	2500	0	40	175	210	7	2	3	0	0	0	0	0	0	0	0	0	0	0	0	10921146	
123	1	C	5	N	2500	0	40	42	78	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10921817	
124	1	C	5	N	2500	0	40	65	80	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10922222	
125	1	C	5	N	2500	0	40	67	85	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10922503	
126	1	C	5	N	2500	0	40	129	189	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10922784	
127	1	C	5	N	2500	0	40	27	27	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10923174	
128	1	C	5	N	2500	0	40	98	119	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10923533	
129	1	C	5	N	2500	0	40	123	204	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10923673	
130	1	C	5	N	2500	0	40	113	125	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10924328	
131	1	C	5	N	2500	0	40	67	79	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	10924359	
132	1	C	5	N	2500	0	40	47	89	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10924531	
133	1	C	5	N	2500	0	40	85	82	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10925093	
134	1	C	5	N	2500	0	40	52	53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10925093	
135	1	C	5	N	2500	0	40	40	75	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10925202	
136	1	C	5	N	2500	0	40	48	47	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10925373	
137	1	C	5	N	2500	0	40	162	565	25	6	6	0	0	0	0	0	0	0	0	0	0	0	0	10925483	
138	1	C	5	N	2500	0	40	183	285	7	4	3	0	0	0	0	0	0	0	0	0	0	0	0	10925654	
139	1	C	5	N	2500	0	40	103	109	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10925748	
140	1	C	5	N	2500	0	40	78	191	8	3	3	0	0	0	0	0	0	0	0	0	0	0	0	10925748	
141	1	C	5	N	2500	0	40	108	132	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10925873	
142	1	C	5	N	2500	0	40	75	198	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	10926263	
143	1	C	5	N	2500	0	40	69	98	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	10926278	
144	1	C	5	N	2500	0	40	167	209	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	10926637	
145	1	C	5	N	2500	0	40	53	101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10926809	
146	1	C	5	N	2500	0	40	23	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10926933	
147	1	C	6	N	2500	0	40	113	137	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	10934827	
148	1	C	6	N	2500	0	40	156	196	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10940147	
149	1	C	7	N	2500	0	40	397	1132	73	30	25	0	0	0	0	0	0	0	0	0	0	0	0	10949881	
150	1	C	7	N	2500	0	40	376	1153	63	30	23	0	0	0	0	0	0	0	0	0	0	0	0	10949928	
151	1	C	7	N	2500	0	40	390	1289	74	38	30	0	0	0	0	0	0	0	0	0	0	0	0	10950053	
152	1	C	7	N	2500	0	40	39	41	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	10950100	
153	1	C	7	N	2500	0	40	416	1286	83	33	27	0	0	0	0	0	0	0	0	0	0	0	0	10951114	
154	1	C	7	N	2500	0	40	58	51	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10951114	
155	1	C	7	N	2500	0	40	373	1138	59	30	27	0	0	0	0	0	0	0	0	0	0	0	0	10951176	
156	1	C	7	N	2500	0	40	396	1126	71	30	24	0	0	0	0	0	0	0	0	0	0	0	0	10951223	
157	1	C	7	N	2500	0	40	403	1234	74	30	27	0	0	0	0	0	0	0	0	0	0	0	0	10951254	
158	1	C	7	N	2500	0	40	225	707	36	19	19	0	0	0	0	0	0	0	0	0	0	0	0	10951457	
159	1	C	7	N	2500	0	40	24	28	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10951566	
160	1	C	7	N	2500	0	40	165	642	38	14	14	0	0	0	0	0	0	0	0	0	0	0	0	10951628	
161	1	C	7	N	2500	0	40	378	1110	63	28	21	0	0	0	0	0	0	0	0	0	0	0	0	10951675	
162	1	C	7	N	2500	0	40	21	26	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10951831	
163	1	C	7	N	2500	0	40	345	890	59	21	18	0	0	0	0	0	0	0	0	0	0	0	0	10952018	
164	1	C	7	N	2500	0	40	371	1186	63	32	30	0	0	0	0	0	0	0	0	0	0	0	0	10952299	
165	1	C	7	N	2500	0	40	27	42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10952486	
166	1	C	7	N	2500	0	40	27	25	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10952518	
167	1	C	7	N	2500	0	40	384	1185	93	32	27	0	0	0	0	0	0	0	0	0	0	0	0	10952596	
168	1	C	7	N	2500	0	40	28	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10952798	
169	1	C	7	N	2500	0	40	21	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10953017	
170	1	C	7	N	2500	0	40	215	1096	74	32	27	0	0	0	0	0	0	0	0	0	0	0	0	10953454	
171	1	C	7	N	2500	0	40	400	1264	77	33	24	0	0	0	0	0	0	0	0	0	0	0	0	10953594	
172	1	C	7	N	2500	0	40	351	986	49	25	21	0	0	0	0	0	0	0	0	0	0	0	0	10953641	
173	1	C	7	N	2500	0	40	365	1120	65	29	24	0	0	0	0	0	0	0	0	0	0	0	0	10953922	
174	1	C	7	N	2500	0	40	27	24	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10954156	
175	1	C	7	N	2500	0	40	379	1119	72	30	24	0	0	0	0	0	0	0	0	0	0	0	0	10954156	
176	1	C	7	N	2500	0	40	368	1074	54	26	24	0	0	0	0	0	0	0	0	0	0	0	0	10954156	
177	1	C	7	N	2500	0	40	436	1214	94	31	24	0	0	0	0	0	0	0	0	0	0	0	0	10954187	
178	1	C	7	N	2500	0	40	264	1128	67	33	28	0	0	0	0	0	0	0	0	0	0	0	0	10954265	
179	1	C	7	N	2500	0	40	411	1274	77	34	30	0	0	0	0	0	0	0	0	0	0	0	0	10954265	
180	1	C	7	N	2500	0	40	458	1384	63	37	33	0	0	0	0	0	0	0	0	0	0	0	0	10954639	
181	1	C	7	N	2500	0	40	398	1251	74	32	28	0	0	0	0	0	0	0	0	0	0	0	0	10954811	
182	1	C	7	N	2500	0	40	261	1288	72	38	27	0	0	0	0	0	0	0	0	0	0	0	0	10954936	
183	1	C	7	N	2500	0	40	340	987	88	32	27	0	0	0	0	0	0	0	0	0	0	0	0	10955138	
184	1	C	7	N	2500	0	40	335	1235	85	36	26	0	0	0	0	0	0	0	0	0	0	0	0	10955294	
185	1	C	7	N	2500	0	40	61	58	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	10955326	
186	1	C	7	N	2500	0	40	39	96	10	6	5	0	0	0	0	0	0	0	0	0	0	0	0	10955622	
187	1	C	7	N	2500	0	40	26	52	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10956106	
188	1	C	7	N	2500	0	40	298	1070	68	30	28	0	0	0	0	0	0	0	0	0	0	0	0	10956262	
189	1	C	8	N	2500	0	40	115	142	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10964296	
190	1	C	8	N	2500	0	40	47	50	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10964686	
191	1	C	8	N	2500	0	40	41	154	11	13	17	0	0	0	0	0	0	0	0	0	0	0	0	10965076	
192	1	C	8	N	2500	0	40	33	59	2	3	5	0	0	0	0	0	0	0	0	0	0	0	0	10965653	
193	1	C	8	N	2500	0	40	257	436	23	7	7	0	0	0	0	0	0	0	0	0	0	0	0	10966168	
194	1	C	8	N	2500	0	40	74	85	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10966542	
195	1	C	8	N	2500	0	40	185	241	7	3	3	0	0	0	0	0	0	0	0	0	0	0	0	10966698	
196	1	C	8	N	2500	0	40	45	46	7	2	1	0	0	0	0	0	0	0	0	0	0	0	0	10966776	
197	1	C	8	N	2500	0	40	83	121	15	9	5	0	0	0	0	0	0	0	0	0	0	0	0	10968383	
198	1	C	8	N	2500	0	40	37	32	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10968383	
199	1	C	8	N	2500	0	40	29	46	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10968492	
200	1	C	8	N	2500	0	40	242	396	12	5	5	0	0	0	0	0	0	0	0	0	0	0	0	10968523	
201	1	C	8	N	2500	0	40	319	638	19	10	10	0	0	0	0	0	0	0	0	0	0	0	0	10968648	
202	1	C	8	N	2500	0	40	51	89	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10968913	
203	1	C	8	N	2500	0	40	298	612	22	8	8	0	0	0	0	0	0	0	0	0	0	0	0	10969163	
204	1	C	8	N	2500	0	40	242	373	11	5	5	0	0	0	0	0	0	0	0	0	0	0	0	10969381	
205	1	C	8	N	2500	0	40	24	26	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10969490	
206	1	C	8	N	2500	0	40	265	460	15	7	6	0	0	0	0	0	0	0	0	0	0	0	0	10969490	
207	1	C	8	N	2500	0	40	77	113	6	5	4	0	0	0	0	0	0	0	0	0	0	0	0	10969553	
208	1	C	8	N	2500	0	40	169	519	18	7	5	0	0	0	0	0	0	0	0	0	0	0	0	10969787	
209	1	C	8	N	2500	0	40	38	72	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10969818	
210	1	C	8	N	2500	0	40	67	122	6	5	6	0	0	0	0	0	0	0	0	0	0	0	0	10969880	
211	1	C	8	N	2500	0	40	289	570	25	7	10	0	0	0	0	0	0	0	0	0	0	0	0	10969927	
212	1	C	8	N	2500	0	40	299	534	20	7	7	0	0	0	0	0	0	0	0	0	0	0	0	10969927	
213	1	C	8	N	2500	0	40	326	556	23	8	10	0	0	0	0	0	0	0	0	0	0	0	0	10970130	
214	1	C	8	N	2500	0	40	276	535	20	9	10	0	0	0	0	0	0	0	0	0	0	0	0	10970395	
215	1	C	8	N	2500	0	40	40	40	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10970411	
216	1	C	8	N	2500	0	40	243	467	16	8	8	0	0	0	0	0	0	0	0	0	0	0	0	10970504	
217	1	C	8	N	2500	0	40	274	504	15	6	7	0	0	0	0	0	0	0	0	0	0	0	0	10971019	
218	1	C	9	N	2500	0	40	114	135	5	1	3	0	0	0	0	0	0	0	0	0	0	0	0	10979318	
219	1	C	9	N	2500	0	40	115	165	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	10979474	
220	1	C	9	N	2500	0	40	36	46	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10979552	
221	1	C	9	N	2500	0	40	25	37	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10980020	
222	1	C	9	N	2500	0	40	239	380	12	5	4	0	0	0	0	0	0	0	0	0	0	0	0	10980208	
223	1	C	9	N	2500	0	40	270	415	12	5	8	0	0	0	0	0	0	0	0	0	0	0	0	10980254	
224	1	C	9	N	2500	0	40	31	61	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	10980348	
225	1	C	9	N	2500	0	40	37	77	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10980863	
226	1	C	9	N	2500	0	40	240	350	13	4	4	0	0	0	0	0	0	0	0	0	0	0	0	10981159	
227	1	C	9	N	2500	0	40	67	179	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	10981300	
228	1	C	9	N	2500	0	40	59	100	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10981331	
229	1	C	9	N	2500	0	40	231	308	13	4	5	0	0	0	0	0	0	0	0	0	0	0	0	10981362	
230	1	C	9	N	2500	0	40	182	259	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	10981393	
231	1	C	9	N	2500	0	40	360	617	25	11	10	0	0	0	0	0	0	0	0	0	0	0	0	10982516	
232	1	C	9	N	2500	0	40	108	131	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10982813	
