Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	35	59	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	11958173	
1	1	A	1	N	2500	0	40	36	99	8	8	9	0	0	0	0	0	0	0	0	0	0	0	0	11958610	
2	1	A	1	N	2500	0	40	66	84	16	8	3	0	0	0	0	0	0	0	0	0	0	0	0	11958719	
3	1	A	1	N	2500	0	40	388	1078	65	28	20	0	0	0	0	0	0	0	0	0	0	0	0	11958813	
4	1	A	1	N	2500	0	40	307	1103	65	28	24	0	0	0	0	0	0	0	0	0	0	0	0	11959016	
5	1	A	1	N	2500	0	40	253	952	51	21	16	0	0	0	0	0	0	0	0	0	0	0	0	11959109	
6	1	A	1	N	2500	0	40	306	1136	66	27	18	0	0	0	0	0	0	0	0	0	0	0	0	11959468	
7	1	A	1	N	2500	0	40	383	1166	46	24	18	0	0	0	0	0	0	0	0	0	0	0	0	11959499	
8	1	A	1	N	2500	0	40	20	27	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11959765	
9	1	A	1	N	2500	0	40	32	44	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	11960638	
10	1	A	1	N	2500	0	40	301	916	52	22	14	0	0	0	0	0	0	0	0	0	0	0	0	11960701	
11	1	A	1	N	2500	0	40	38	76	5	5	6	0	0	0	0	0	0	0	0	0	0	0	0	11960732	
12	1	A	1	N	2500	0	40	20	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11960888	
13	1	A	1	N	2500	0	40	358	1046	65	25	21	0	0	0	0	0	0	0	0	0	0	0	0	11961059	
14	1	A	1	N	2500	0	40	256	1038	56	24	21	0	0	0	0	0	0	0	0	0	0	0	0	11961106	
15	1	A	1	N	2500	0	40	384	1296	72	30	27	0	0	0	0	0	0	0	0	0	0	0	0	11961169	
16	1	A	1	N	2500	0	40	200	1058	60	23	21	0	0	0	0	0	0	0	0	0	0	0	0	11961184	
17	1	A	1	N	2500	0	40	402	1372	67	34	25	0	0	0	0	0	0	0	0	0	0	0	0	11961309	
18	1	A	1	N	2500	0	40	402	1239	68	25	22	0	0	0	0	0	0	0	0	0	0	0	0	11961465	
19	1	A	1	N	2500	0	40	77	145	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	11961730	
20	1	A	1	N	2500	0	40	342	1166	72	26	23	0	0	0	0	0	0	0	0	0	0	0	0	11961949	
21	1	A	1	N	2500	0	40	225	814	41	19	18	0	0	0	0	0	0	0	0	0	0	0	0	11962027	
22	1	A	1	N	2500	0	40	276	1071	60	29	20	0	0	0	0	0	0	0	0	0	0	0	0	11962073	
23	1	A	1	N	2500	0	40	197	1110	78	33	26	0	0	0	0	0	0	0	0	0	0	0	0	11962276	
24	1	A	1	N	2500	0	40	332	1208	71	30	26	0	0	0	0	0	0	0	0	0	0	0	0	11962292	
25	1	A	1	N	2500	0	40	333	1042	54	23	19	0	0	0	0	0	0	0	0	0	0	0	0	11962526	
26	1	A	1	N	2500	0	40	337	1080	53	25	21	0	0	0	0	0	0	0	0	0	0	0	0	11962526	
27	1	A	1	N	2500	0	40	319	1101	66	27	21	0	0	0	0	0	0	0	0	0	0	0	0	11962557	
28	1	A	1	N	2500	0	40	380	1347	68	30	22	0	0	0	0	0	0	0	0	0	0	0	0	11962588	
29	1	A	1	N	2500	0	40	227	779	38	18	15	0	0	0	0	0	0	0	0	0	0	0	0	11962869	
30	1	A	1	N	2500	0	40	333	1141	68	28	19	0	0	0	0	0	0	0	0	0	0	0	0	11963165	
31	1	A	1	N	2500	0	40	320	999	58	23	17	0	0	0	0	0	0	0	0	0	0	0	0	11963306	
32	1	A	1	N	2500	0	40	341	1063	50	27	22	0	0	0	0	0	0	0	0	0	0	0	0	11963555	
33	1	A	1	N	2500	0	40	51	48	2	3	6	0	0	0	0	0	0	0	0	0	0	0	0	11963555	
34	1	A	1	N	2500	0	40	43	58	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	11963555	
35	1	A	1	N	2500	0	40	359	1037	44	21	16	0	0	0	0	0	0	0	0	0	0	0	0	11963836	
36	1	A	1	N	2500	0	40	300	1002	61	25	18	0	0	0	0	0	0	0	0	0	0	0	0	11963836	
37	1	A	1	N	2500	0	40	405	1289	69	29	21	0	0	0	0	0	0	0	0	0	0	0	0	11963961	
38	1	A	1	N	2500	0	40	349	1288	67	31	23	0	0	0	0	0	0	0	0	0	0	0	0	11964055	
39	1	A	1	N	2500	0	40	333	1058	61	24	21	0	0	0	0	0	0	0	0	0	0	0	0	11964148	
40	1	A	1	N	2500	0	40	335	1056	57	24	20	0	0	0	0	0	0	0	0	0	0	0	0	11964242	
41	1	A	1	N	2500	0	40	358	1149	62	24	25	0	0	0	0	0	0	0	0	0	0	0	0	11964554	
42	1	A	1	N	2500	0	40	253	1095	63	27	18	0	0	0	0	0	0	0	0	0	0	0	0	11964710	
43	1	A	1	N	2500	0	40	338	1131	67	27	21	0	0	0	0	0	0	0	0	0	0	0	0	11964819	
44	1	A	1	N	2500	0	40	479	1529	72	35	30	0	0	0	0	0	0	0	0	0	0	0	0	11965225	
45	1	A	2	N	2500	0	40	28	44	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11973134	
46	1	A	2	N	2500	0	40	200	308	9	5	6	0	0	0	0	0	0	0	0	0	0	0	0	11973586	
47	1	A	2	N	2500	0	40	44	45	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11973602	
48	1	A	2	N	2500	0	40	214	501	19	7	7	0	0	0	0	0	0	0	0	0	0	0	0	11974007	
49	1	A	2	N	2500	0	40	28	32	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11974179	
50	1	A	2	N	2500	0	40	101	373	13	5	6	0	0	0	0	0	0	0	0	0	0	0	0	11974351	
51	1	A	2	N	2500	0	40	168	468	19	8	6	0	0	0	0	0	0	0	0	0	0	0	0	11975053	
52	1	A	2	N	2500	0	40	215	391	18	7	6	0	0	0	0	0	0	0	0	0	0	0	0	11975068	
53	1	A	2	N	2500	0	40	89	184	9	5	6	0	0	0	0	0	0	0	0	0	0	0	0	11975068	
54	1	A	2	N	2500	0	40	269	555	17	9	8	0	0	0	0	0	0	0	0	0	0	0	0	11975084	
55	1	A	2	N	2500	0	40	186	401	14	7	7	0	0	0	0	0	0	0	0	0	0	0	0	11975536	
56	1	A	2	N	2500	0	40	249	474	19	6	6	0	0	0	0	0	0	0	0	0	0	0	0	11975614	
57	1	A	2	N	2500	0	40	126	140	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	11975879	
58	1	A	2	N	2500	0	40	84	115	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	11975989	
59	1	A	2	N	2500	0	40	29	27	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11976004	
60	1	A	2	N	2500	0	40	33	86	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	11976067	
