Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	239	1087	59	27	0	0	0	0	0	0	0	0	0	0	0	0	0	20986619	
1	1	A	1	N	2500	0	40	34	70	9	2	1	0	0	0	0	0	0	0	0	0	0	0	0	20986900	
2	1	A	1	N	2500	0	40	42	40	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	20987493	
3	1	A	1	N	2500	0	40	48	75	13	8	3	0	0	0	0	0	0	0	0	0	0	0	0	20987602	
4	1	A	1	N	2500	0	40	222	920	47	23	19	0	0	0	0	0	0	0	0	0	0	0	0	20987618	
5	1	A	1	N	2500	0	40	212	862	44	20	15	0	0	0	0	0	0	0	0	0	0	0	0	20987742	
6	1	A	1	N	2500	0	40	32	51	7	4	2	0	0	0	0	0	0	0	0	0	0	0	0	20987758	
7	1	A	1	N	2500	0	40	136	218	6	2	3	0	0	0	0	0	0	0	0	0	0	0	0	20987789	
8	1	A	1	N	2500	0	40	30	41	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20987914	
9	1	A	1	N	2500	0	40	61	61	7	4	1	0	0	0	0	0	0	0	0	0	0	0	0	20988054	
10	1	A	1	N	2500	0	40	42	65	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	20988288	
11	1	A	1	N	2500	0	40	56	97	17	5	2	0	0	0	0	0	0	0	0	0	0	0	0	20988429	
12	1	A	1	N	2500	0	40	303	1160	71	29	24	0	0	0	0	0	0	0	0	0	0	0	0	20988507	
13	1	A	1	N	2500	0	40	300	1061	65	25	20	0	0	0	0	0	0	0	0	0	0	0	0	20988647	
14	1	A	1	N	2500	0	40	43	56	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	20988663	
15	1	A	1	N	2500	0	40	32	31	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	20988944	
16	1	A	1	N	2500	0	40	40	63	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20989178	
17	1	A	1	N	2500	0	40	281	1143	64	28	23	0	0	0	0	0	0	0	0	0	0	0	0	20989443	
18	1	A	1	N	2500	0	40	202	944	46	24	16	0	0	0	0	0	0	0	0	0	0	0	0	20989505	
19	1	A	1	N	2500	0	40	43	101	19	11	3	0	0	0	0	0	0	0	0	0	0	0	0	20989505	
20	1	A	1	N	2500	0	40	71	70	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	20989552	
21	1	A	1	N	2500	0	40	37	44	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20989958	
22	1	A	1	N	2500	0	40	213	803	43	20	15	0	0	0	0	0	0	0	0	0	0	0	0	20990129	
23	1	A	1	N	2500	0	40	248	853	45	23	17	0	0	0	0	0	0	0	0	0	0	0	0	20990519	
24	1	A	1	N	2500	0	40	227	875	56	24	16	0	0	0	0	0	0	0	0	0	0	0	0	20990582	
25	1	A	1	N	2500	0	40	216	595	21	13	11	0	0	0	0	0	0	0	0	0	0	0	0	20990628	
26	1	A	1	N	2500	0	40	369	1146	61	29	21	0	0	0	0	0	0	0	0	0	0	0	0	20990722	
27	1	A	1	N	2500	0	40	336	925	41	19	16	0	0	0	0	0	0	0	0	0	0	0	0	20990769	
28	1	A	1	N	2500	0	40	20	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20990769	
29	1	A	1	N	2500	0	40	232	975	82	32	21	0	0	0	0	0	0	0	0	0	0	0	0	20990878	
30	1	A	1	N	2500	0	40	384	1183	58	24	18	0	0	0	0	0	0	0	0	0	0	0	0	20990940	
31	1	A	1	N	2500	0	40	319	1091	61	28	24	0	0	0	0	0	0	0	0	0	0	0	0	20991003	
32	1	A	1	N	2500	0	40	224	770	37	19	17	0	0	0	0	0	0	0	0	0	0	0	0	20991034	
33	1	A	1	N	2500	0	40	324	1127	67	28	24	0	0	0	0	0	0	0	0	0	0	0	0	20991237	
34	1	A	1	N	2500	0	40	26	49	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	20991440	
35	1	A	1	N	2500	0	40	202	819	59	27	20	0	0	0	0	0	0	0	0	0	0	0	0	20991783	
36	1	A	1	N	2500	0	40	284	574	16	7	8	0	0	0	0	0	0	0	0	0	0	0	0	20991798	
37	1	A	1	N	2500	0	40	431	1302	68	31	21	0	0	0	0	0	0	0	0	0	0	0	0	20991970	
38	1	A	1	N	2500	0	40	25	36	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	20992079	
39	1	A	1	N	2500	0	40	314	1010	51	21	18	0	0	0	0	0	0	0	0	0	0	0	0	20992173	
40	1	A	1	N	2500	0	40	171	665	28	13	11	0	0	0	0	0	0	0	0	0	0	0	0	20992235	
41	1	A	1	N	2500	0	40	274	623	19	11	10	0	0	0	0	0	0	0	0	0	0	0	0	20992376	
42	1	A	1	N	2500	0	40	315	877	40	17	11	0	0	0	0	0	0	0	0	0	0	0	0	20992407	
43	1	A	1	N	2500	0	40	255	1036	59	26	20	0	0	0	0	0	0	0	0	0	0	0	0	20992438	
44	1	A	1	N	2500	0	40	290	728	28	15	12	0	0	0	0	0	0	0	0	0	0	0	0	20992469	
45	1	A	1	N	2500	0	40	214	443	31	9	10	0	0	0	0	0	0	0	0	0	0	0	0	20992516	
46	1	A	1	N	2500	0	40	266	718	35	16	12	0	0	0	0	0	0	0	0	0	0	0	0	20992703	
47	1	A	1	N	2500	0	40	309	1180	88	34	29	0	0	0	0	0	0	0	0	0	0	0	0	20992812	
48	1	A	1	N	2500	0	40	22	35	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20992890	
49	1	A	1	N	2500	0	40	303	974	44	21	18	0	0	0	0	0	0	0	0	0	0	0	0	20992953	
50	1	A	1	N	2500	0	40	21	28	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20993000	
51	1	A	1	N	2500	0	40	236	1141	68	30	24	0	0	0	0	0	0	0	0	0	0	0	0	20993046	
52	1	A	1	N	2500	0	40	23	38	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20993109	
53	1	A	1	N	2500	0	40	49	124	17	3	2	0	0	0	0	0	0	0	0	0	0	0	0	20993140	
54	1	A	1	N	2500	0	40	29	51	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	20993171	
