Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	361	1134	59	27	23	0	0	0	0	0	0	0	0	0	0	0	0	14376691	
1	1	A	1	N	2500	0	40	329	1091	74	27	22	0	0	0	0	0	0	0	0	0	0	0	0	14376800	
2	1	A	1	N	2500	0	40	25	37	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14377034	
3	1	A	1	N	2500	0	40	25	31	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14377159	
4	1	A	1	N	2500	0	40	20	24	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14378142	
5	1	A	1	N	2500	0	40	25	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14378314	
6	1	A	1	N	2500	0	40	409	1151	72	28	20	0	0	0	0	0	0	0	0	0	0	0	0	14378906	
7	1	A	1	N	2500	0	40	328	983	51	21	17	0	0	0	0	0	0	0	0	0	0	0	0	14379047	
8	1	A	1	N	2500	0	40	29	25	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	14379172	
9	1	A	1	N	2500	0	40	341	1088	64	29	23	0	0	0	0	0	0	0	0	0	0	0	0	14379265	
10	1	A	1	N	2500	0	40	29	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14379702	
11	1	A	1	N	2500	0	40	57	59	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	14379702	
12	1	A	1	N	2500	0	40	252	873	49	23	15	0	0	0	0	0	0	0	0	0	0	0	0	14380014	
13	1	A	1	N	2500	0	40	345	1080	68	28	23	0	0	0	0	0	0	0	0	0	0	0	0	14380108	
14	1	A	1	N	2500	0	40	298	793	37	18	14	0	0	0	0	0	0	0	0	0	0	0	0	14381824	
15	1	A	1	N	2500	0	40	258	1112	64	30	20	0	0	0	0	0	0	0	0	0	0	0	0	14381995	
16	1	A	1	N	2500	0	40	279	1029	64	30	20	0	0	0	0	0	0	0	0	0	0	0	0	14382073	
17	1	A	1	N	2500	0	40	351	1103	63	29	20	0	0	0	0	0	0	0	0	0	0	0	0	14382448	
18	1	A	1	N	2500	0	40	66	219	18	16	20	0	0	0	0	0	0	0	0	0	0	0	0	14382978	
19	1	A	1	N	2500	0	40	182	477	22	14	12	0	0	0	0	0	0	0	0	0	0	0	0	14383025	
20	1	A	1	N	2500	0	40	28	49	3	4	4	0	0	0	0	0	0	0	0	0	0	0	0	14383430	
21	1	A	2	N	2500	0	40	49	74	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14391262	
22	1	A	2	N	2500	0	40	35	36	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14391386	
23	1	A	2	N	2500	0	40	418	1322	83	35	24	0	0	0	0	0	0	0	0	0	0	0	0	14391620	
24	1	A	2	N	2500	0	40	522	1542	129	39	33	0	0	0	0	0	0	0	0	0	0	0	0	14392400	
25	1	A	2	N	2500	0	40	209	1075	65	29	21	0	0	0	0	0	0	0	0	0	0	0	0	14392556	
26	1	A	2	N	2500	0	40	229	858	52	27	18	0	0	0	0	0	0	0	0	0	0	0	0	14393477	
27	1	A	2	N	2500	0	40	338	995	51	25	17	0	0	0	0	0	0	0	0	0	0	0	0	14393664	
28	1	A	2	N	2500	0	40	281	1309	91	37	29	0	0	0	0	0	0	0	0	0	0	0	0	14393882	
29	1	A	2	N	2500	0	40	378	880	45	19	14	0	0	0	0	0	0	0	0	0	0	0	0	14394038	
30	1	A	2	N	2500	0	40	227	700	29	17	13	0	0	0	0	0	0	0	0	0	0	0	0	14394241	
31	1	A	2	N	2500	0	40	270	999	70	33	25	0	0	0	0	0	0	0	0	0	0	0	0	14394413	
32	1	A	2	N	2500	0	40	291	947	65	29	21	0	0	0	0	0	0	0	0	0	0	0	0	14394772	
33	1	A	2	N	2500	0	40	313	973	51	25	16	0	0	0	0	0	0	0	0	0	0	0	0	14395084	
34	1	A	2	N	2500	0	40	379	1146	73	27	22	0	0	0	0	0	0	0	0	0	0	0	0	14395130	
35	1	A	2	N	2500	0	40	240	752	38	21	17	0	0	0	0	0	0	0	0	0	0	0	0	14395240	
36	1	A	2	N	2500	0	40	377	1230	73	32	22	0	0	0	0	0	0	0	0	0	0	0	0	14395474	
37	1	A	2	N	2500	0	40	350	1004	53	27	18	0	0	0	0	0	0	0	0	0	0	0	0	14395770	
38	1	A	2	N	2500	0	40	280	921	58	27	21	0	0	0	0	0	0	0	0	0	0	0	0	14395879	
39	1	A	2	N	2500	0	40	488	1242	101	34	26	0	0	0	0	0	0	0	0	0	0	0	0	14395895	
40	1	A	2	N	2500	0	40	334	977	72	27	22	0	0	0	0	0	0	0	0	0	0	0	0	14395942	
41	1	A	2	N	2500	0	40	318	745	32	16	14	0	0	0	0	0	0	0	0	0	0	0	0	14395973	
42	1	A	2	N	2500	0	40	373	1095	58	26	21	0	0	0	0	0	0	0	0	0	0	0	0	14396207	
43	1	A	2	N	2500	0	40	335	788	40	21	14	0	0	0	0	0	0	0	0	0	0	0	0	14397112	
44	1	A	2	N	2500	0	40	253	1364	106	39	28	0	0	0	0	0	0	0	0	0	0	0	0	14397330	
45	1	A	2	N	2500	0	40	300	1141	77	31	21	0	0	0	0	0	0	0	0	0	0	0	0	14397392	
46	1	A	2	N	2500	0	40	198	962	62	29	20	0	0	0	0	0	0	0	0	0	0	0	0	14397424	
47	1	A	2	N	2500	0	40	355	1076	62	25	16	0	0	0	0	0	0	0	0	0	0	0	0	14397486	
48	1	A	2	N	2500	0	40	271	996	72	28	21	0	0	0	0	0	0	0	0	0	0	0	0	14397642	
49	1	A	2	N	2500	0	40	468	1422	87	38	30	0	0	0	0	0	0	0	0	0	0	0	0	14397860	
50	1	A	3	N	2500	0	40	413	1171	72	34	27	0	0	0	0	0	0	0	0	0	0	0	0	14405723	
51	1	A	3	N	2500	0	40	36	69	10	12	11	0	0	0	0	0	0	0	0	0	0	0	0	14405894	
52	1	A	3	N	2500	0	40	279	1262	94	38	32	0	0	0	0	0	0	0	0	0	0	0	0	14405926	
53	1	A	3	N	2500	0	40	373	1013	70	28	19	0	0	0	0	0	0	0	0	0	0	0	0	14406284	
54	1	A	3	N	2500	0	40	307	1047	76	33	24	0	0	0	0	0	0	0	0	0	0	0	0	14406550	
55	1	A	3	N	2500	0	40	20	24	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	14406550	
56	1	A	3	N	2500	0	40	330	1269	92	36	27	0	0	0	0	0	0	0	0	0	0	0	0	14406846	
57	1	A	3	N	2500	0	40	30	67	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	14407096	
58	1	A	3	N	2500	0	40	281	520	19	10	11	0	0	0	0	0	0	0	0	0	0	0	0	14407595	
59	1	A	3	N	2500	0	40	21	20	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14407626	
60	1	A	3	N	2500	0	40	24	41	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14407688	
61	1	A	3	N	2500	0	40	356	981	56	23	19	0	0	0	0	0	0	0	0	0	0	0	0	14408484	
62	1	A	3	N	2500	0	40	329	979	64	25	20	0	0	0	0	0	0	0	0	0	0	0	0	14408515	
63	1	A	3	N	2500	0	40	236	807	44	20	14	0	0	0	0	0	0	0	0	0	0	0	0	14408749	
64	1	A	3	N	2500	0	40	407	1143	66	26	19	0	0	0	0	0	0	0	0	0	0	0	0	14408968	
65	1	A	3	N	2500	0	40	38	39	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14409451	
66	1	A	3	N	2500	0	40	337	1154	79	34	27	0	0	0	0	0	0	0	0	0	0	0	0	14409763	
67	1	A	3	N	2500	0	40	227	1022	59	27	19	0	0	0	0	0	0	0	0	0	0	0	0	14410325	
68	1	A	3	N	2500	0	40	226	443	17	9	8	0	0	0	0	0	0	0	0	0	0	0	0	14410715	
69	1	A	3	N	2500	0	40	26	44	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	14410949	
70	1	A	3	N	2500	0	40	211	1012	67	30	20	0	0	0	0	0	0	0	0	0	0	0	0	14410964	
71	1	A	3	N	2500	0	40	264	1259	77	33	20	0	0	0	0	0	0	0	0	0	0	0	0	14411011	
72	1	A	3	N	2500	0	40	246	960	46	25	21	0	0	0	0	0	0	0	0	0	0	0	0	14411011	
73	1	A	3	N	2500	0	40	270	799	49	25	18	0	0	0	0	0	0	0	0	0	0	0	0	14411136	
74	1	A	3	N	2500	0	40	385	1114	64	25	19	0	0	0	0	0	0	0	0	0	0	0	0	14411323	
75	1	A	3	N	2500	0	40	349	995	53	24	17	0	0	0	0	0	0	0	0	0	0	0	0	14411401	
76	1	A	3	N	2500	0	40	324	1064	62	29	19	0	0	0	0	0	0	0	0	0	0	0	0	14411464	
77	1	A	3	N	2500	0	40	240	1038	67	29	19	0	0	0	0	0	0	0	0	0	0	0	0	14411651	
78	1	A	3	N	2500	0	40	26	22	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14411666	
79	1	A	3	N	2500	0	40	403	1176	88	30	23	0	0	0	0	0	0	0	0	0	0	0	0	14411978	
80	1	A	3	N	2500	0	40	357	993	78	26	22	0	0	0	0	0	0	0	0	0	0	0	0	14412025	
81	1	A	3	N	2500	0	40	23	31	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	14412025	
82	1	A	3	N	2500	0	40	395	1159	81	28	18	0	0	0	0	0	0	0	0	0	0	0	0	14412072	
83	1	A	3	N	2500	0	40	342	798	29	16	11	0	0	0	0	0	0	0	0	0	0	0	0	14412134	
84	1	A	3	N	2500	0	40	242	884	63	26	21	0	0	0	0	0	0	0	0	0	0	0	0	14412353	
85	1	A	3	N	2500	0	40	230	733	37	19	15	0	0	0	0	0	0	0	0	0	0	0	0	14412415	
86	1	A	3	N	2500	0	40	20	21	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	14412883	
87	1	A	4	N	2500	0	40	64	86	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	14420465	
88	1	A	4	N	2500	0	40	20	28	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14420558	
89	1	A	4	N	2500	0	40	307	1324	84	38	23	0	0	0	0	0	0	0	0	0	0	0	0	14420917	
90	1	A	4	N	2500	0	40	31	32	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14420948	
91	1	A	4	N	2500	0	40	354	1190	68	28	24	0	0	0	0	0	0	0	0	0	0	0	0	14421011	
92	1	A	4	N	2500	0	40	21	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14421058	
93	1	A	4	N	2500	0	40	174	565	24	13	11	0	0	0	0	0	0	0	0	0	0	0	0	14421494	
94	1	A	4	N	2500	0	40	346	875	41	18	14	0	0	0	0	0	0	0	0	0	0	0	0	14421744	
95	1	A	4	N	2500	0	40	218	795	61	28	21	0	0	0	0	0	0	0	0	0	0	0	0	14421900	
96	1	A	4	N	2500	0	40	29	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14422087	
97	1	A	4	N	2500	0	40	334	1079	67	31	23	0	0	0	0	0	0	0	0	0	0	0	0	14422243	
98	1	A	4	N	2500	0	40	340	1007	60	26	22	0	0	0	0	0	0	0	0	0	0	0	0	14422618	
99	1	A	4	N	2500	0	40	40	82	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	14422789	
100	1	A	4	N	2500	0	40	239	1072	75	35	25	0	0	0	0	0	0	0	0	0	0	0	0	14422930	
101	1	A	4	N	2500	0	40	242	943	63	26	19	0	0	0	0	0	0	0	0	0	0	0	0	14424318	
102	1	A	4	N	2500	0	40	113	116	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	14425441	
103	1	A	4	N	2500	0	40	403	1250	80	31	22	0	0	0	0	0	0	0	0	0	0	0	0	14425457	
104	1	A	4	N	2500	0	40	190	491	23	12	10	0	0	0	0	0	0	0	0	0	0	0	0	14425550	
105	1	A	4	N	2500	0	40	370	1016	51	24	18	0	0	0	0	0	0	0	0	0	0	0	0	14425613	
106	1	A	4	N	2500	0	40	194	734	37	18	13	0	0	0	0	0	0	0	0	0	0	0	0	14425675	
107	1	A	4	N	2500	0	40	336	1042	62	28	23	0	0	0	0	0	0	0	0	0	0	0	0	14426377	
108	1	A	4	N	2500	0	40	431	1368	80	37	29	0	0	0	0	0	0	0	0	0	0	0	0	14426471	
109	1	A	4	N	2500	0	40	325	1085	64	28	22	0	0	0	0	0	0	0	0	0	0	0	0	14426596	
110	1	A	4	N	2500	0	40	228	917	47	22	16	0	0	0	0	0	0	0	0	0	0	0	0	14426674	
111	1	A	4	N	2500	0	40	101	562	75	66	71	0	0	0	0	0	0	0	0	0	0	0	0	14426767	
112	1	A	4	N	2500	0	40	346	897	56	22	16	0	0	0	0	0	0	0	0	0	0	0	0	14426767	
113	1	A	4	N	2500	0	40	208	918	52	24	17	0	0	0	0	0	0	0	0	0	0	0	0	14426814	
114	1	A	4	N	2500	0	40	295	1151	69	32	23	0	0	0	0	0	0	0	0	0	0	0	0	14426939	
115	1	A	4	N	2500	0	40	289	1042	62	27	16	0	0	0	0	0	0	0	0	0	0	0	0	14427422	
116	1	A	4	N	2500	0	40	328	1128	74	35	26	0	0	0	0	0	0	0	0	0	0	0	0	14427797	
117	1	A	5	N	2500	0	40	276	1135	68	33	24	0	0	0	0	0	0	0	0	0	0	0	0	14435410	
118	1	A	5	N	2500	0	40	20	29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14435815	
119	1	A	5	N	2500	0	40	20	20	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	14436018	
120	1	A	5	N	2500	0	40	341	1016	62	27	20	0	0	0	0	0	0	0	0	0	0	0	0	14436174	
121	1	A	5	N	2500	0	40	349	1145	87	33	26	0	0	0	0	0	0	0	0	0	0	0	0	14436658	
122	1	A	5	N	2500	0	40	226	1198	81	37	26	0	0	0	0	0	0	0	0	0	0	0	0	14436814	
123	1	A	5	N	2500	0	40	374	1080	58	25	19	0	0	0	0	0	0	0	0	0	0	0	0	14437032	
124	1	A	5	N	2500	0	40	23	40	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14437188	
125	1	A	5	N	2500	0	40	21	23	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	14437438	
126	1	A	5	N	2500	0	40	377	1189	74	31	22	0	0	0	0	0	0	0	0	0	0	0	0	14437906	
127	1	A	5	N	2500	0	40	40	53	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	14438093	
128	1	A	5	N	2500	0	40	217	962	63	27	21	0	0	0	0	0	0	0	0	0	0	0	0	14438342	
129	1	A	5	N	2500	0	40	65	73	6	5	5	0	0	0	0	0	0	0	0	0	0	0	0	14438452	
130	1	A	5	N	2500	0	40	277	897	52	22	15	0	0	0	0	0	0	0	0	0	0	0	0	14438639	
131	1	A	5	N	2500	0	40	214	1200	95	35	25	0	0	0	0	0	0	0	0	0	0	0	0	14438670	
132	1	A	5	N	2500	0	40	218	757	42	18	12	0	0	0	0	0	0	0	0	0	0	0	0	14438701	
133	1	A	5	N	2500	0	40	354	946	55	23	18	0	0	0	0	0	0	0	0	0	0	0	0	14438748	
134	1	A	5	N	2500	0	40	112	159	14	5	4	0	0	0	0	0	0	0	0	0	0	0	0	14438779	
135	1	A	5	N	2500	0	40	196	685	40	19	12	0	0	0	0	0	0	0	0	0	0	0	0	14438779	
136	1	A	5	N	2500	0	40	20	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14438779	
137	1	A	5	N	2500	0	40	245	1009	59	26	19	0	0	0	0	0	0	0	0	0	0	0	0	14439372	
138	1	A	5	N	2500	0	40	338	1149	60	29	23	0	0	0	0	0	0	0	0	0	0	0	0	14439372	
139	1	A	5	N	2500	0	40	342	794	32	15	13	0	0	0	0	0	0	0	0	0	0	0	0	14439512	
140	1	A	5	N	2500	0	40	144	751	38	20	13	0	0	0	0	0	0	0	0	0	0	0	0	14440324	
141	1	A	5	N	2500	0	40	250	387	16	7	7	0	0	0	0	0	0	0	0	0	0	0	0	14440526	
142	1	A	5	N	2500	0	40	27	27	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	14440760	
143	1	A	5	N	2500	0	40	376	1159	69	28	23	0	0	0	0	0	0	0	0	0	0	0	0	14440807	
144	1	A	5	N	2500	0	40	376	1096	75	27	23	0	0	0	0	0	0	0	0	0	0	0	0	14441634	
145	1	A	5	N	2500	0	40	369	1170	73	30	23	0	0	0	0	0	0	0	0	0	0	0	0	14441696	
146	1	A	5	N	2500	0	40	24	43	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14442055	
147	1	A	5	N	2500	0	40	30	40	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14442071	
148	1	A	5	N	2500	0	40	257	1220	83	35	27	0	0	0	0	0	0	0	0	0	0	0	0	14442336	
149	1	A	6	N	2500	0	40	331	751	32	16	14	0	0	0	0	0	0	0	0	0	0	0	0	14449762	
150	1	A	6	N	2500	0	40	254	1034	57	27	21	0	0	0	0	0	0	0	0	0	0	0	0	14450058	
151	1	A	6	N	2500	0	40	380	846	46	16	18	0	0	0	0	0	0	0	0	0	0	0	0	14450214	
152	1	A	6	N	2500	0	40	377	1127	66	28	19	0	0	0	0	0	0	0	0	0	0	0	0	14450292	
153	1	A	6	N	2500	0	40	247	1141	67	30	21	0	0	0	0	0	0	0	0	0	0	0	0	14450666	
154	1	A	6	N	2500	0	40	342	934	47	22	16	0	0	0	0	0	0	0	0	0	0	0	0	14451478	
155	1	A	6	N	2500	0	40	30	30	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	14451805	
156	1	A	6	N	2500	0	40	21	21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14451914	
157	1	A	6	N	2500	0	40	187	857	67	31	19	0	0	0	0	0	0	0	0	0	0	0	0	14451930	
158	1	A	6	N	2500	0	40	242	959	60	28	20	0	0	0	0	0	0	0	0	0	0	0	0	14452663	
159	1	A	6	N	2500	0	40	320	893	44	22	15	0	0	0	0	0	0	0	0	0	0	0	0	14452819	
160	1	A	6	N	2500	0	40	26	56	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	14453116	
161	1	A	6	N	2500	0	40	292	1102	65	31	23	0	0	0	0	0	0	0	0	0	0	0	0	14453724	
162	1	A	6	N	2500	0	40	391	1454	94	38	32	0	0	0	0	0	0	0	0	0	0	0	0	14453740	
163	1	A	6	N	2500	0	40	282	1223	88	34	28	0	0	0	0	0	0	0	0	0	0	0	0	14454301	
164	1	A	6	N	2500	0	40	420	1124	61	26	20	0	0	0	0	0	0	0	0	0	0	0	0	14454348	
165	1	A	6	N	2500	0	40	201	971	58	24	18	0	0	0	0	0	0	0	0	0	0	0	0	14454722	
166	1	A	6	N	2500	0	40	23	32	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14455066	
167	1	A	6	N	2500	0	40	415	1202	90	34	23	0	0	0	0	0	0	0	0	0	0	0	0	14455456	
168	1	A	6	N	2500	0	40	241	1070	66	30	21	0	0	0	0	0	0	0	0	0	0	0	0	14456095	
169	1	A	6	N	2500	0	40	23	34	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14456282	
170	1	A	6	N	2500	0	40	332	996	60	27	20	0	0	0	0	0	0	0	0	0	0	0	0	14456392	
171	1	A	6	N	2500	0	40	367	1061	64	31	26	0	0	0	0	0	0	0	0	0	0	0	0	14456438	
172	1	A	6	N	2500	0	40	334	955	54	23	16	0	0	0	0	0	0	0	0	0	0	0	0	14456485	
173	1	A	6	N	2500	0	40	379	1119	70	29	21	0	0	0	0	0	0	0	0	0	0	0	0	14456906	
174	1	A	6	N	2500	0	40	366	1044	71	27	18	0	0	0	0	0	0	0	0	0	0	0	0	14456984	
175	1	A	6	N	2500	0	40	408	1289	85	33	26	0	0	0	0	0	0	0	0	0	0	0	0	14457187	
176	1	A	6	N	2500	0	40	278	1286	90	36	26	0	0	0	0	0	0	0	0	0	0	0	0	14457203	
177	1	A	6	N	2500	0	40	25	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14457250	
178	1	A	7	N	2500	0	40	407	1356	124	38	27	0	0	0	0	0	0	0	0	0	0	0	0	14464504	
179	1	A	7	N	2500	0	40	362	1233	80	33	23	0	0	0	0	0	0	0	0	0	0	0	0	14464535	
180	1	A	7	N	2500	0	40	21	35	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	14464613	
181	1	A	7	N	2500	0	40	355	1038	82	29	20	0	0	0	0	0	0	0	0	0	0	0	0	14464722	
182	1	A	7	N	2500	0	40	317	818	48	19	13	0	0	0	0	0	0	0	0	0	0	0	0	14464769	
183	1	A	7	N	2500	0	40	201	712	51	22	17	0	0	0	0	0	0	0	0	0	0	0	0	14465377	
184	1	A	7	N	2500	0	40	335	838	41	17	15	0	0	0	0	0	0	0	0	0	0	0	0	14465892	
185	1	A	7	N	2500	0	40	348	979	62	24	16	0	0	0	0	0	0	0	0	0	0	0	0	14466563	
186	1	A	7	N	2500	0	40	318	818	38	21	16	0	0	0	0	0	0	0	0	0	0	0	0	14466828	
