Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	307	971	64	26	18	0	0	0	0	0	0	0	0	0	0	0	0	17075379	
1	1	A	1	N	2500	0	40	23	46	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17075941	
2	1	A	1	N	2500	0	40	22	30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17076019	
3	1	A	1	N	2500	0	40	41	124	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	17076034	
4	1	A	1	N	2500	0	40	23	30	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	17076128	
5	1	A	1	N	2500	0	40	28	37	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17077157	
6	1	A	1	N	2500	0	40	356	1057	64	27	19	0	0	0	0	0	0	0	0	0	0	0	0	17077547	
7	1	A	1	N	2500	0	40	282	865	52	23	16	0	0	0	0	0	0	0	0	0	0	0	0	17077579	
8	1	A	1	N	2500	0	40	40	106	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17077594	
9	1	A	1	N	2500	0	40	39	114	13	1	1	0	0	0	0	0	0	0	0	0	0	0	0	17077641	
10	1	A	1	N	2500	0	40	280	584	25	13	10	0	0	0	0	0	0	0	0	0	0	0	0	17077766	
11	1	A	1	N	2500	0	40	359	1270	80	34	25	0	0	0	0	0	0	0	0	0	0	0	0	17078281	
12	1	A	1	N	2500	0	40	54	74	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	17078452	
13	1	A	1	N	2500	0	40	367	1229	84	33	24	0	0	0	0	0	0	0	0	0	0	0	0	17078827	
14	1	A	1	N	2500	0	40	73	151	23	2	1	0	0	0	0	0	0	0	0	0	0	0	0	17078936	
15	1	A	1	N	2500	0	40	182	930	58	30	20	0	0	0	0	0	0	0	0	0	0	0	0	17079201	
16	1	A	1	N	2500	0	40	372	1128	72	27	22	0	0	0	0	0	0	0	0	0	0	0	0	17079217	
17	1	A	1	N	2500	0	40	26	29	5	3	5	0	0	0	0	0	0	0	0	0	0	0	0	17079295	
18	1	A	1	N	2500	0	40	353	1025	64	26	22	0	0	0	0	0	0	0	0	0	0	0	0	17079716	
19	1	A	1	N	2500	0	40	331	898	48	23	15	0	0	0	0	0	0	0	0	0	0	0	0	17080043	
20	1	A	1	N	2500	0	40	91	138	12	6	4	0	0	0	0	0	0	0	0	0	0	0	0	17080277	
21	1	A	1	N	2500	0	40	308	1253	69	32	23	0	0	0	0	0	0	0	0	0	0	0	0	17080324	
22	1	A	1	N	2500	0	40	213	319	11	5	3	0	0	0	0	0	0	0	0	0	0	0	0	17080465	
23	1	A	1	N	2500	0	40	55	125	20	2	1	0	0	0	0	0	0	0	0	0	0	0	0	17080511	
24	1	A	1	N	2500	0	40	331	1227	78	33	23	0	0	0	0	0	0	0	0	0	0	0	0	17080979	
25	1	A	1	N	2500	0	40	383	1042	69	24	16	0	0	0	0	0	0	0	0	0	0	0	0	17081073	
26	1	A	1	N	2500	0	40	328	1250	83	39	28	0	0	0	0	0	0	0	0	0	0	0	0	17081213	
27	1	A	1	N	2500	0	40	20	23	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17081432	
28	1	A	1	N	2500	0	40	297	737	42	16	12	0	0	0	0	0	0	0	0	0	0	0	0	17081463	
29	1	A	1	N	2500	0	40	353	1125	67	26	24	0	0	0	0	0	0	0	0	0	0	0	0	17081728	
30	1	A	1	N	2500	0	40	23	38	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	17081760	
31	1	A	1	N	2500	0	40	30	30	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	17081760	
32	1	A	1	N	2500	0	40	23	20	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	17081760	
33	1	A	1	N	2500	0	40	260	1389	112	42	32	0	0	0	0	0	0	0	0	0	0	0	0	17082462	
34	1	A	2	N	2500	0	40	233	1726	259	4	7	0	0	0	0	0	0	0	0	0	0	0	0	17090059	
35	1	A	2	N	2500	0	40	23	34	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17090527	
36	1	A	2	N	2500	0	40	371	1230	75	33	22	0	0	0	0	0	0	0	0	0	0	0	0	17090542	
37	1	A	2	N	2500	0	40	335	1009	60	26	21	0	0	0	0	0	0	0	0	0	0	0	0	17090558	
38	1	A	2	N	2500	0	40	20	24	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17090574	
39	1	A	2	N	2500	0	40	21	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17090698	
40	1	A	2	N	2500	0	40	371	1243	76	37	26	0	0	0	0	0	0	0	0	0	0	0	0	17091042	
41	1	A	2	N	2500	0	40	226	1070	63	30	19	0	0	0	0	0	0	0	0	0	0	0	0	17091338	
42	1	A	2	N	2500	0	40	301	1172	90	33	24	0	0	0	0	0	0	0	0	0	0	0	0	17091510	
43	1	A	2	N	2500	0	40	223	1086	70	31	23	0	0	0	0	0	0	0	0	0	0	0	0	17091650	
44	1	A	2	N	2500	0	40	283	939	61	27	22	0	0	0	0	0	0	0	0	0	0	0	0	17091712	
45	1	A	2	N	2500	0	40	284	816	45	21	15	0	0	0	0	0	0	0	0	0	0	0	0	17091728	
46	1	A	2	N	2500	0	40	261	562	23	13	10	0	0	0	0	0	0	0	0	0	0	0	0	17091806	
47	1	A	2	N	2500	0	40	333	1053	66	24	18	0	0	0	0	0	0	0	0	0	0	0	0	17091900	
48	1	A	2	N	2500	0	40	56	152	14	15	16	0	0	0	0	0	0	0	0	0	0	0	0	17092695	
49	1	A	2	N	2500	0	40	289	887	46	22	17	0	0	0	0	0	0	0	0	0	0	0	0	17092851	
50	1	A	2	N	2500	0	40	320	920	55	27	19	0	0	0	0	0	0	0	0	0	0	0	0	17092898	
51	1	A	2	N	2500	0	40	264	914	44	22	17	0	0	0	0	0	0	0	0	0	0	0	0	17093257	
52	1	A	2	N	2500	0	40	21	33	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17093428	
53	1	A	2	N	2500	0	40	22	35	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17094208	
54	1	A	2	N	2500	0	40	318	1242	97	36	27	0	0	0	0	0	0	0	0	0	0	0	0	17094458	
55	1	A	2	N	2500	0	40	235	1077	70	32	23	0	0	0	0	0	0	0	0	0	0	0	0	17094489	
56	1	A	2	N	2500	0	40	409	1299	87	35	24	0	0	0	0	0	0	0	0	0	0	0	0	17095020	
57	1	A	2	N	2500	0	40	335	993	66	23	19	0	0	0	0	0	0	0	0	0	0	0	0	17095020	
58	1	A	2	N	2500	0	40	366	1303	89	37	29	0	0	0	0	0	0	0	0	0	0	0	0	17095394	
59	1	A	2	N	2500	0	40	370	1212	70	30	22	0	0	0	0	0	0	0	0	0	0	0	0	17095612	
60	1	A	2	N	2500	0	40	21	23	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17095846	
61	1	A	2	N	2500	0	40	209	939	63	27	21	0	0	0	0	0	0	0	0	0	0	0	0	17095909	
62	1	A	2	N	2500	0	40	197	1205	100	36	26	0	0	0	0	0	0	0	0	0	0	0	0	17096127	
63	1	A	2	N	2500	0	40	382	1148	72	30	20	0	0	0	0	0	0	0	0	0	0	0	0	17096299	
64	1	A	2	N	2500	0	40	22	42	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17096517	
65	1	A	2	N	2500	0	40	344	1023	64	25	17	0	0	0	0	0	0	0	0	0	0	0	0	17096829	
66	1	A	2	N	2500	0	40	23	29	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17096845	
67	1	A	2	N	2500	0	40	373	1271	94	36	24	0	0	0	0	0	0	0	0	0	0	0	0	17097063	
68	1	A	3	N	2500	0	40	351	1266	78	33	23	0	0	0	0	0	0	0	0	0	0	0	0	17104645	
69	1	A	3	N	2500	0	40	29	46	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17104676	
70	1	A	3	N	2500	0	40	30	64	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17104957	
71	1	A	3	N	2500	0	40	23	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17105004	
72	1	A	3	N	2500	0	40	29	41	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17105050	
73	1	A	3	N	2500	0	40	22	21	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17105097	
74	1	A	3	N	2500	0	40	55	294	29	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17105378	
75	1	A	3	N	2500	0	40	27	36	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17105378	
76	1	A	3	N	2500	0	40	323	843	41	22	18	0	0	0	0	0	0	0	0	0	0	0	0	17105503	
77	1	A	3	N	2500	0	40	21	36	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17105690	
78	1	A	3	N	2500	0	40	173	840	63	26	16	0	0	0	0	0	0	0	0	0	0	0	0	17105737	
79	1	A	3	N	2500	0	40	21	32	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17105768	
80	1	A	3	N	2500	0	40	32	48	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17106064	
81	1	A	3	N	2500	0	40	261	1290	83	35	24	0	0	0	0	0	0	0	0	0	0	0	0	17106174	
82	1	A	3	N	2500	0	40	440	1475	102	41	29	0	0	0	0	0	0	0	0	0	0	0	0	17106392	
83	1	A	3	N	2500	0	40	20	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17106501	
84	1	A	3	N	2500	0	40	31	27	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17106517	
85	1	A	3	N	2500	0	40	20	36	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17106704	
86	1	A	3	N	2500	0	40	301	886	50	25	17	0	0	0	0	0	0	0	0	0	0	0	0	17106813	
87	1	A	3	N	2500	0	40	21	34	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17106860	
88	1	A	3	N	2500	0	40	375	1283	83	34	26	0	0	0	0	0	0	0	0	0	0	0	0	17107000	
89	1	A	3	N	2500	0	40	21	24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17107250	
90	1	A	3	N	2500	0	40	39	99	15	1	1	0	0	0	0	0	0	0	0	0	0	0	0	17107344	
91	1	A	3	N	2500	0	40	20	29	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17107453	
92	1	A	3	N	2500	0	40	32	60	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	17107812	
93	1	A	3	N	2500	0	40	21	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17107812	
94	1	A	3	N	2500	0	40	20	25	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17107858	
95	1	A	3	N	2500	0	40	58	97	8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	17108155	
96	1	A	3	N	2500	0	40	247	1000	74	30	23	0	0	0	0	0	0	0	0	0	0	0	0	17108264	
97	1	A	3	N	2500	0	40	366	1117	63	28	21	0	0	0	0	0	0	0	0	0	0	0	0	17108389	
98	1	A	3	N	2500	0	40	222	1027	66	27	20	0	0	0	0	0	0	0	0	0	0	0	0	17108935	
99	1	A	3	N	2500	0	40	42	76	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17108997	
100	1	A	3	N	2500	0	40	39	75	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	17108997	
101	1	A	3	N	2500	0	40	247	1205	91	36	28	0	0	0	0	0	0	0	0	0	0	0	0	17109481	
102	1	A	3	N	2500	0	40	26	42	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17109481	
103	1	A	3	N	2500	0	40	376	1186	71	30	25	0	0	0	0	0	0	0	0	0	0	0	0	17109668	
104	1	A	3	N	2500	0	40	332	1130	78	33	23	0	0	0	0	0	0	0	0	0	0	0	0	17109871	
105	1	A	3	N	2500	0	40	242	896	54	23	19	0	0	0	0	0	0	0	0	0	0	0	0	17109949	
106	1	A	3	N	2500	0	40	376	1171	76	29	20	0	0	0	0	0	0	0	0	0	0	0	0	17109949	
107	1	A	3	N	2500	0	40	30	79	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	17110167	
108	1	A	3	N	2500	0	40	220	1175	80	34	27	0	0	0	0	0	0	0	0	0	0	0	0	17110214	
109	1	A	3	N	2500	0	40	301	1049	79	32	25	0	0	0	0	0	0	0	0	0	0	0	0	17110323	
110	1	A	3	N	2500	0	40	312	1392	91	39	29	0	0	0	0	0	0	0	0	0	0	0	0	17110354	
111	1	A	3	N	2500	0	40	24	26	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17110729	
112	1	A	3	N	2500	0	40	350	936	52	23	18	0	0	0	0	0	0	0	0	0	0	0	0	17110791	
113	1	A	3	N	2500	0	40	362	1049	66	26	20	0	0	0	0	0	0	0	0	0	0	0	0	17110869	
114	1	A	3	N	2500	0	40	246	896	73	32	23	0	0	0	0	0	0	0	0	0	0	0	0	17111056	
115	1	A	3	N	2500	0	40	249	939	72	31	23	0	0	0	0	0	0	0	0	0	0	0	0	17111509	
116	1	A	3	N	2500	0	40	347	1154	69	28	24	0	0	0	0	0	0	0	0	0	0	0	0	17111571	
117	1	A	3	N	2500	0	40	211	1045	67	31	19	0	0	0	0	0	0	0	0	0	0	0	0	17111618	
118	1	A	4	N	2500	0	40	24	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17119449	
119	1	A	4	N	2500	0	40	23	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17119512	
120	1	A	4	N	2500	0	40	45	64	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17119590	
121	1	A	4	N	2500	0	40	233	1029	64	29	21	0	0	0	0	0	0	0	0	0	0	0	0	17120104	
122	1	A	4	N	2500	0	40	318	948	69	26	17	0	0	0	0	0	0	0	0	0	0	0	0	17120229	
123	1	A	4	N	2500	0	40	21	31	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17120572	
124	1	A	4	N	2500	0	40	284	1222	104	33	23	0	0	0	0	0	0	0	0	0	0	0	0	17120682	
125	1	A	4	N	2500	0	40	31	80	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17120916	
126	1	A	4	N	2500	0	40	32	47	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17121040	
127	1	A	4	N	2500	0	40	241	1309	106	40	28	0	0	0	0	0	0	0	0	0	0	0	0	17121134	
128	1	A	4	N	2500	0	40	369	1192	85	33	24	0	0	0	0	0	0	0	0	0	0	0	0	17121165	
129	1	A	4	N	2500	0	40	335	1121	81	32	21	0	0	0	0	0	0	0	0	0	0	0	0	17121321	
130	1	A	4	N	2500	0	40	364	1067	64	26	20	0	0	0	0	0	0	0	0	0	0	0	0	17121649	
131	1	A	4	N	2500	0	40	21	34	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17121789	
132	1	A	4	N	2500	0	40	361	1032	56	26	19	0	0	0	0	0	0	0	0	0	0	0	0	17122054	
133	1	A	4	N	2500	0	40	24	29	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17122335	
134	1	A	4	N	2500	0	40	26	24	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17122538	
135	1	A	4	N	2500	0	40	358	1075	64	30	20	0	0	0	0	0	0	0	0	0	0	0	0	17122788	
136	1	A	4	N	2500	0	40	337	1080	63	26	20	0	0	0	0	0	0	0	0	0	0	0	0	17122975	
137	1	A	4	N	2500	0	40	35	38	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	17123131	
138	1	A	4	N	2500	0	40	333	997	63	25	18	0	0	0	0	0	0	0	0	0	0	0	0	17123193	
139	1	A	4	N	2500	0	40	295	1001	68	27	16	0	0	0	0	0	0	0	0	0	0	0	0	17123770	
140	1	A	4	N	2500	0	40	312	1138	72	30	21	0	0	0	0	0	0	0	0	0	0	0	0	17123802	
141	1	A	4	N	2500	0	40	219	1009	60	30	23	0	0	0	0	0	0	0	0	0	0	0	0	17124067	
142	1	A	4	N	2500	0	40	362	1106	69	26	21	0	0	0	0	0	0	0	0	0	0	0	0	17124114	
143	1	A	4	N	2500	0	40	451	1306	111	35	28	0	0	0	0	0	0	0	0	0	0	0	0	17124129	
144	1	A	4	N	2500	0	40	410	1346	78	34	25	0	0	0	0	0	0	0	0	0	0	0	0	17124176	
145	1	A	4	N	2500	0	40	303	1231	82	32	24	0	0	0	0	0	0	0	0	0	0	0	0	17124784	
146	1	A	4	N	2500	0	40	297	1229	85	39	25	0	0	0	0	0	0	0	0	0	0	0	0	17124894	
147	1	A	4	N	2500	0	40	288	937	52	26	21	0	0	0	0	0	0	0	0	0	0	0	0	17125003	
148	1	A	4	N	2500	0	40	240	1037	73	32	22	0	0	0	0	0	0	0	0	0	0	0	0	17125190	
149	1	A	4	N	2500	0	40	28	43	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17125362	
