Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	21	32	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	20682315	
1	1	A	1	N	2500	0	40	48	210	24	12	13	0	0	0	0	0	0	0	0	0	0	0	0	20682939	
2	1	A	1	N	2500	0	40	434	1302	89	32	19	0	0	0	0	0	0	0	0	0	0	0	0	20684687	
3	1	A	1	N	2500	0	40	26	60	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20685045	
4	1	A	1	N	2500	0	40	25	44	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20685935	
5	1	A	1	N	2500	0	40	280	964	64	23	18	0	0	0	0	0	0	0	0	0	0	0	0	20686933	
6	1	A	1	N	2500	0	40	340	1026	65	28	20	0	0	0	0	0	0	0	0	0	0	0	0	20687136	
7	1	A	1	N	2500	0	40	23	21	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	20688056	
8	1	A	1	N	2500	0	40	348	1147	72	29	20	0	0	0	0	0	0	0	0	0	0	0	0	20688555	
9	1	A	2	N	2500	0	40	78	122	18	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20696823	
10	1	A	2	N	2500	0	40	49	53	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20696855	
11	1	A	2	N	2500	0	40	24	54	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20697104	
12	1	A	2	N	2500	0	40	31	82	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20699475	
13	1	A	3	N	2500	0	40	369	1229	66	32	22	0	0	0	0	0	0	0	0	0	0	0	0	20712018	
14	1	A	3	N	2500	0	40	225	546	9	3	5	0	0	0	0	0	0	0	0	0	0	0	0	20712283	
15	1	A	3	N	2500	0	40	280	1179	79	32	22	0	0	0	0	0	0	0	0	0	0	0	0	20712735	
16	1	A	3	N	2500	0	40	375	1213	97	33	24	0	0	0	0	0	0	0	0	0	0	0	0	20712954	
17	1	A	3	N	2500	0	40	275	855	61	27	19	0	0	0	0	0	0	0	0	0	0	0	0	20713593	
18	1	A	3	N	2500	0	40	255	1175	78	30	23	0	0	0	0	0	0	0	0	0	0	0	0	20713765	
19	1	A	3	N	2500	0	40	421	1147	100	37	24	0	0	0	0	0	0	0	0	0	0	0	0	20713843	
20	1	A	3	N	2500	0	40	355	1078	67	25	19	0	0	0	0	0	0	0	0	0	0	0	0	20713999	
21	1	A	3	N	2500	0	40	408	1288	75	34	28	0	0	0	0	0	0	0	0	0	0	0	0	20714327	
22	1	A	3	N	2500	0	40	219	788	71	28	21	0	0	0	0	0	0	0	0	0	0	0	0	20715044	
23	1	A	3	N	2500	0	40	24	20	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	20715434	
24	1	A	3	N	2500	0	40	356	1097	65	30	25	0	0	0	0	0	0	0	0	0	0	0	0	20715512	
25	1	A	3	N	2500	0	40	347	1206	76	35	25	0	0	0	0	0	0	0	0	0	0	0	0	20715684	
26	1	A	3	N	2500	0	40	408	1313	81	33	25	0	0	0	0	0	0	0	0	0	0	0	0	20715902	
27	1	A	3	N	2500	0	40	296	963	56	25	17	0	0	0	0	0	0	0	0	0	0	0	0	20716121	
28	1	A	3	N	2500	0	40	75	90	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	20716183	
29	1	A	3	N	2500	0	40	242	755	43	34	39	0	0	0	0	0	0	0	0	0	0	0	0	20716183	
30	1	A	3	N	2500	0	40	734	856	79	35	44	0	0	0	0	0	0	0	0	0	0	0	0	20716183	
31	1	A	3	N	2500	0	40	332	974	61	28	20	0	0	0	0	0	0	0	0	0	0	0	0	20716230	
32	1	A	3	N	2500	0	40	379	1228	95	34	23	0	0	0	0	0	0	0	0	0	0	0	0	20716339	
33	1	A	3	N	2500	0	40	339	1056	62	29	24	0	0	0	0	0	0	0	0	0	0	0	0	20716635	
34	1	A	3	N	2500	0	40	324	1042	69	27	21	0	0	0	0	0	0	0	0	0	0	0	0	20716745	
35	1	A	3	N	2500	0	40	387	1215	79	30	22	0	0	0	0	0	0	0	0	0	0	0	0	20717119	
36	1	A	3	N	2500	0	40	251	1268	98	36	24	0	0	0	0	0	0	0	0	0	0	0	0	20717228	
37	1	A	3	N	2500	0	40	237	1018	80	35	28	0	0	0	0	0	0	0	0	0	0	0	0	20717244	
38	1	A	3	N	2500	0	40	302	740	34	15	12	0	0	0	0	0	0	0	0	0	0	0	0	20717275	
39	1	A	3	N	2500	0	40	233	1104	75	31	23	0	0	0	0	0	0	0	0	0	0	0	0	20717384	
40	1	A	3	N	2500	0	40	22	31	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20717415	
41	1	A	3	N	2500	0	40	344	1149	77	28	21	0	0	0	0	0	0	0	0	0	0	0	0	20717603	
42	1	A	3	N	2500	0	40	299	985	71	28	21	0	0	0	0	0	0	0	0	0	0	0	0	20717696	
43	1	A	3	N	2500	0	40	294	1130	78	33	26	0	0	0	0	0	0	0	0	0	0	0	0	20717821	
44	1	A	3	N	2500	0	40	233	1189	80	34	25	0	0	0	0	0	0	0	0	0	0	0	0	20718102	
45	1	A	3	N	2500	0	40	330	1150	77	31	26	0	0	0	0	0	0	0	0	0	0	0	0	20718539	
46	1	A	3	N	2500	0	40	145	893	73	31	23	0	0	0	0	0	0	0	0	0	0	0	0	20718554	
47	1	A	3	N	2500	0	40	229	1145	84	33	26	0	0	0	0	0	0	0	0	0	0	0	0	20718601	
48	1	A	4	N	2500	0	40	173	932	69	31	20	0	0	0	0	0	0	0	0	0	0	0	0	20726526	
49	1	A	4	N	2500	0	40	20	22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20726698	
50	1	A	4	N	2500	0	40	422	1271	80	31	25	0	0	0	0	0	0	0	0	0	0	0	0	20727400	
51	1	A	4	N	2500	0	40	274	570	23	11	8	0	0	0	0	0	0	0	0	0	0	0	0	20727493	
52	1	A	4	N	2500	0	40	251	983	61	31	24	0	0	0	0	0	0	0	0	0	0	0	0	20727836	
53	1	A	4	N	2500	0	40	276	1236	86	33	24	0	0	0	0	0	0	0	0	0	0	0	0	20727868	
54	1	A	4	N	2500	0	40	373	1176	74	30	20	0	0	0	0	0	0	0	0	0	0	0	0	20727868	
55	1	A	4	N	2500	0	40	185	1103	90	35	27	0	0	0	0	0	0	0	0	0	0	0	0	20728117	
56	1	A	4	N	2500	0	40	315	1031	73	30	22	0	0	0	0	0	0	0	0	0	0	0	0	20728211	
57	1	A	4	N	2500	0	40	21	23	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20728336	
58	1	A	4	N	2500	0	40	20	30	8	9	20	0	0	0	0	0	0	0	0	0	0	0	0	20729412	
59	1	A	4	N	2500	0	40	199	1103	83	37	21	0	0	0	0	0	0	0	0	0	0	0	0	20729506	
60	1	A	4	N	2500	0	40	338	1079	81	29	19	0	0	0	0	0	0	0	0	0	0	0	0	20729677	
61	1	A	4	N	2500	0	40	300	1264	94	36	29	0	0	0	0	0	0	0	0	0	0	0	0	20729708	
62	1	A	4	N	2500	0	40	255	1175	86	37	25	0	0	0	0	0	0	0	0	0	0	0	0	20730083	
63	1	A	4	N	2500	0	40	379	1282	92	39	28	0	0	0	0	0	0	0	0	0	0	0	0	20730785	
64	1	A	4	N	2500	0	40	286	1104	98	40	29	0	0	0	0	0	0	0	0	0	0	0	0	20731128	
65	1	A	4	N	2500	0	40	260	1080	65	30	21	0	0	0	0	0	0	0	0	0	0	0	0	20731175	
66	1	A	4	N	2500	0	40	32	52	18	18	19	0	0	0	0	0	0	0	0	0	0	0	0	20731300	
67	1	A	4	N	2500	0	40	317	955	62	28	17	0	0	0	0	0	0	0	0	0	0	0	0	20731393	
