Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	56	304	30	0	1	0	0	0	0	0	0	0	0	0	0	0	0	21967414	
1	1	A	1	N	2500	0	40	31	70	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21967711	
2	1	A	1	N	2500	0	40	118	138	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	21967851	
3	1	A	1	N	2500	0	40	107	122	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	21968428	
4	1	A	1	N	2500	0	40	145	425	17	6	6	0	0	0	0	0	0	0	0	0	0	0	0	21968803	
5	1	A	1	N	2500	0	40	167	221	6	3	4	0	0	0	0	0	0	0	0	0	0	0	0	21969396	
6	1	A	1	N	2500	0	40	235	406	13	6	5	0	0	0	0	0	0	0	0	0	0	0	0	21969895	
7	1	A	1	N	2500	0	40	59	131	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	21970020	
8	1	A	1	N	2500	0	40	214	485	21	8	5	0	0	0	0	0	0	0	0	0	0	0	0	21970347	
9	1	A	1	N	2500	0	40	238	469	20	7	8	0	0	0	0	0	0	0	0	0	0	0	0	21970378	
10	1	A	1	N	2500	0	40	154	376	18	7	7	0	0	0	0	0	0	0	0	0	0	0	0	21970519	
11	1	A	1	N	2500	0	40	181	265	6	3	4	0	0	0	0	0	0	0	0	0	0	0	0	21970581	
12	1	A	1	N	2500	0	40	162	280	11	6	5	0	0	0	0	0	0	0	0	0	0	0	0	21971127	
13	1	A	1	N	2500	0	40	138	168	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	21971158	
14	1	A	1	N	2500	0	40	150	597	27	11	8	0	0	0	0	0	0	0	0	0	0	0	0	21971377	
15	1	A	1	N	2500	0	40	146	218	8	3	2	0	0	0	0	0	0	0	0	0	0	0	0	21971782	
16	1	A	1	N	2500	0	40	196	313	9	4	4	0	0	0	0	0	0	0	0	0	0	0	0	21971814	
17	1	A	1	N	2500	0	40	149	508	23	9	8	0	0	0	0	0	0	0	0	0	0	0	0	21972001	
18	1	A	1	N	2500	0	40	131	196	7	2	2	0	0	0	0	0	0	0	0	0	0	0	0	21972375	
19	1	A	1	N	2500	0	40	136	189	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	21972516	
20	1	A	1	N	2500	0	40	204	355	11	6	5	0	0	0	0	0	0	0	0	0	0	0	0	21972562	
21	1	A	1	N	2500	0	40	73	138	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	21972578	
22	1	A	1	N	2500	0	40	177	472	22	9	6	0	0	0	0	0	0	0	0	0	0	0	0	21972594	
23	1	A	1	N	2500	0	40	61	128	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21972828	
24	1	A	1	N	2500	0	40	230	317	11	5	5	0	0	0	0	0	0	0	0	0	0	0	0	21972906	
25	1	A	1	N	2500	0	40	257	419	13	6	7	0	0	0	0	0	0	0	0	0	0	0	0	21972921	
26	1	A	1	N	2500	0	40	55	165	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21972937	
27	1	A	1	N	2500	0	40	43	94	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21973062	
28	1	A	1	N	2500	0	40	79	102	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	21973420	
29	1	A	1	N	2500	0	40	58	81	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21973686	
30	1	A	1	N	2500	0	40	175	293	13	6	5	0	0	0	0	0	0	0	0	0	0	0	0	21973826	
31	1	A	1	N	2500	0	40	66	135	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21974044	
32	1	A	1	N	2500	0	40	61	83	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21974325	
33	1	A	1	N	2500	0	40	130	141	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	21974653	
34	1	A	2	N	2500	0	40	77	145	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	21981876	
35	1	A	2	N	2500	0	40	103	715	33	1	2	0	0	0	0	0	0	0	0	0	0	0	0	21981923	
36	1	A	2	N	2500	0	40	70	294	36	1	0	0	0	0	0	0	0	0	0	0	0	0	0	21981985	
37	1	A	2	N	2500	0	40	133	959	120	2	2	0	0	0	0	0	0	0	0	0	0	0	0	21982001	
38	1	A	2	N	2500	0	40	22	39	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21982001	
39	1	A	2	N	2500	0	40	226	321	12	7	7	0	0	0	0	0	0	0	0	0	0	0	0	21982125	
40	1	A	2	N	2500	0	40	68	268	32	0	1	0	0	0	0	0	0	0	0	0	0	0	0	21982297	
41	1	A	2	N	2500	0	40	69	140	5	3	4	0	0	0	0	0	0	0	0	0	0	0	0	21982359	
42	1	A	2	N	2500	0	40	197	1482	177	4	5	0	0	0	0	0	0	0	0	0	0	0	0	21982562	
43	1	A	2	N	2500	0	40	90	584	60	2	1	0	0	0	0	0	0	0	0	0	0	0	0	21982827	
44	1	A	2	N	2500	0	40	87	568	59	2	1	0	0	0	0	0	0	0	0	0	0	0	0	21983077	
45	1	A	2	N	2500	0	40	21	34	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21983342	
46	1	A	2	N	2500	0	40	106	129	4	2	4	0	0	0	0	0	0	0	0	0	0	0	0	21983592	
47	1	A	2	N	2500	0	40	76	397	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21983919	
48	1	A	2	N	2500	0	40	64	343	34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	21984216	
49	1	A	2	N	2500	0	40	219	384	13	6	6	0	0	0	0	0	0	0	0	0	0	0	0	21984372	
50	1	A	2	N	2500	0	40	127	365	15	7	7	0	0	0	0	0	0	0	0	0	0	0	0	21984543	
51	1	A	2	N	2500	0	40	20	29	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21985105	
52	1	A	2	N	2500	0	40	215	404	18	5	5	0	0	0	0	0	0	0	0	0	0	0	0	21985339	
53	1	A	2	N	2500	0	40	131	477	19	8	7	0	0	0	0	0	0	0	0	0	0	0	0	21985386	
54	1	A	2	N	2500	0	40	68	135	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21985417	
55	1	A	2	N	2500	0	40	263	546	20	8	7	0	0	0	0	0	0	0	0	0	0	0	0	21985417	
56	1	A	2	N	2500	0	40	197	515	20	9	9	0	0	0	0	0	0	0	0	0	0	0	0	21985838	
57	1	A	2	N	2500	0	40	232	340	12	4	7	0	0	0	0	0	0	0	0	0	0	0	0	21986150	
58	1	A	2	N	2500	0	40	51	110	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21986556	
59	1	A	2	N	2500	0	40	96	128	6	4	3	0	0	0	0	0	0	0	0	0	0	0	0	21987071	
60	1	A	2	N	2500	0	40	176	241	6	3	4	0	0	0	0	0	0	0	0	0	0	0	0	21987164	
61	1	A	2	N	2500	0	40	150	264	9	3	3	0	0	0	0	0	0	0	0	0	0	0	0	21987570	
62	1	A	2	N	2500	0	40	131	197	7	2	2	0	0	0	0	0	0	0	0	0	0	0	0	21987648	
63	1	A	2	N	2500	0	40	207	279	8	4	4	0	0	0	0	0	0	0	0	0	0	0	0	21987741	
64	1	A	2	N	2500	0	40	163	211	6	2	3	0	0	0	0	0	0	0	0	0	0	0	0	21987835	
65	1	A	2	N	2500	0	40	21	23	10	8	12	0	0	0	0	0	0	0	0	0	0	0	0	21987991	
66	1	A	2	N	2500	0	40	217	409	19	7	6	0	0	0	0	0	0	0	0	0	0	0	0	21988459	
67	1	A	2	N	2500	0	40	79	440	11	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21988989	
68	1	A	3	N	2500	0	40	26	65	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21996587	
69	1	A	3	N	2500	0	40	68	363	35	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21996602	
70	1	A	3	N	2500	0	40	31	98	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21996836	
71	1	A	3	N	2500	0	40	72	423	40	1	3	0	0	0	0	0	0	0	0	0	0	0	0	21997070	
72	1	A	3	N	2500	0	40	118	140	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	21997101	
73	1	A	3	N	2500	0	40	205	290	12	4	3	0	0	0	0	0	0	0	0	0	0	0	0	21997179	
74	1	A	3	N	2500	0	40	62	112	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	21997195	
75	1	A	3	N	2500	0	40	70	166	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21997647	
76	1	A	3	N	2500	0	40	30	67	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21997710	
