Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	212	729	28	16	13	0	0	0	0	0	0	0	0	0	0	0	0	32838414	
1	1	A	1	N	2500	0	40	186	1031	66	27	18	0	0	0	0	0	0	0	0	0	0	0	0	32840037	
2	1	A	1	N	2500	0	40	243	1238	78	33	23	0	0	0	0	0	0	0	0	0	0	0	0	32841503	
3	1	A	1	N	2500	0	40	199	631	40	17	12	0	0	0	0	0	0	0	0	0	0	0	0	32841675	
4	1	A	1	N	2500	0	40	299	718	35	15	13	0	0	0	0	0	0	0	0	0	0	0	0	32841706	
5	1	A	1	N	2500	0	40	350	797	36	17	9	0	0	0	0	0	0	0	0	0	0	0	0	32842439	
6	1	A	1	N	2500	0	40	31	36	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	32842533	
7	1	A	1	N	2500	0	40	24	34	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	32842673	
8	1	A	1	N	2500	0	40	229	441	23	7	9	0	0	0	0	0	0	0	0	0	0	0	0	32842782	
9	1	A	1	N	2500	0	40	229	370	23	8	8	0	0	0	0	0	0	0	0	0	0	0	0	32842938	
10	1	A	1	N	2500	0	40	94	252	9	5	6	0	0	0	0	0	0	0	0	0	0	0	0	32842938	
11	1	A	1	N	2500	0	40	363	866	39	17	13	0	0	0	0	0	0	0	0	0	0	0	0	32843001	
12	1	A	1	N	2500	0	40	226	992	56	27	20	0	0	0	0	0	0	0	0	0	0	0	0	32843032	
13	1	A	1	N	2500	0	40	309	627	22	12	7	0	0	0	0	0	0	0	0	0	0	0	0	32843188	
14	1	A	1	N	2500	0	40	31	35	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	32843391	
15	1	A	1	N	2500	0	40	268	820	49	20	15	0	0	0	0	0	0	0	0	0	0	0	0	32843594	
16	1	A	1	N	2500	0	40	395	1138	56	26	21	0	0	0	0	0	0	0	0	0	0	0	0	32843890	
17	1	A	1	N	2500	0	40	232	613	30	13	10	0	0	0	0	0	0	0	0	0	0	0	0	32844327	
18	1	A	1	N	2500	0	40	409	1174	75	28	24	0	0	0	0	0	0	0	0	0	0	0	0	32844342	
