Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	422	931	43	16	13	0	0	0	0	0	0	0	0	0	0	0	0	24329035	
1	1	A	1	N	2500	0	40	355	1450	80	34	26	0	0	0	0	0	0	0	0	0	0	0	0	24329191	
2	1	A	1	N	2500	0	40	358	948	47	18	15	0	0	0	0	0	0	0	0	0	0	0	0	24329471	
3	1	A	1	N	2500	0	40	569	1092	69	25	22	0	0	0	0	0	0	0	0	0	0	0	0	24329627	
4	1	A	1	N	2500	0	40	454	1215	63	24	20	0	0	0	0	0	0	0	0	0	0	0	0	24329690	
5	1	A	1	N	2500	0	40	456	1192	71	25	23	0	0	0	0	0	0	0	0	0	0	0	0	24329815	
6	1	A	1	N	2500	0	40	394	945	47	17	14	0	0	0	0	0	0	0	0	0	0	0	0	24329861	
7	1	A	1	N	2500	0	40	21	37	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	24330017	
8	1	A	1	N	2500	0	40	22	36	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	24330017	
9	1	A	1	N	2500	0	40	494	1467	77	32	26	0	0	0	0	0	0	0	0	0	0	0	0	24330657	
10	1	A	1	N	2500	0	40	320	1117	64	28	22	0	0	0	0	0	0	0	0	0	0	0	0	24330704	
11	1	A	1	N	2500	0	40	27	45	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	24330875	
12	1	A	1	N	2500	0	40	240	1203	75	28	21	0	0	0	0	0	0	0	0	0	0	0	0	24330938	
13	1	A	1	N	2500	0	40	382	1007	47	19	16	0	0	0	0	0	0	0	0	0	0	0	0	24331063	
14	1	A	1	N	2500	0	40	198	1003	58	23	17	0	0	0	0	0	0	0	0	0	0	0	0	24331219	
15	1	A	1	N	2500	0	40	397	1168	70	26	19	0	0	0	0	0	0	0	0	0	0	0	0	24331234	
16	1	A	1	N	2500	0	40	426	1566	88	35	32	0	0	0	0	0	0	0	0	0	0	0	0	24331421	
