Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	29	62	13	17	17	0	0	0	0	0	0	0	0	0	0	0	0	34756717	
1	1	A	1	N	2500	0	40	417	1146	68	23	18	0	0	0	0	0	0	0	0	0	0	0	0	34757372	
2	1	A	1	N	2500	0	40	517	1424	115	35	23	0	0	0	0	0	0	0	0	0	0	0	0	34757591	
3	1	A	1	N	2500	0	40	260	1390	78	35	23	0	0	0	0	0	0	0	0	0	0	0	0	34757669	
4	1	A	1	N	2500	0	40	448	1354	100	32	23	0	0	0	0	0	0	0	0	0	0	0	0	34757700	
5	1	A	1	N	2500	0	40	368	1014	50	21	16	0	0	0	0	0	0	0	0	0	0	0	0	34758792	
6	1	A	1	N	2500	0	40	408	1061	47	21	20	0	0	0	0	0	0	0	0	0	0	0	0	34758885	
7	1	A	1	N	2500	0	40	321	956	68	28	21	0	0	0	0	0	0	0	0	0	0	0	0	34758917	
8	1	A	1	N	2500	0	40	393	1442	76	33	24	0	0	0	0	0	0	0	0	0	0	0	0	34759229	
9	1	A	1	N	2500	0	40	736	2204	155	54	39	0	0	0	0	0	0	0	0	0	0	0	0	34759275	
10	1	A	1	N	2500	0	40	330	1167	62	26	22	0	0	0	0	0	0	0	0	0	0	0	0	34759728	
11	1	A	1	N	2500	0	40	116	598	99	99	112	0	0	0	0	0	0	0	0	0	0	0	0	34760227	
12	1	A	1	N	2500	0	40	383	1031	67	23	19	0	0	0	0	0	0	0	0	0	0	0	0	34760274	
13	1	A	1	N	2500	0	40	224	1176	72	28	22	0	0	0	0	0	0	0	0	0	0	0	0	34760352	
14	1	A	1	N	2500	0	40	32	40	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34760477	
15	1	A	1	N	2500	0	40	493	1252	72	25	20	0	0	0	0	0	0	0	0	0	0	0	0	34760601	
16	1	A	1	N	2500	0	40	247	1154	73	29	22	0	0	0	0	0	0	0	0	0	0	0	0	34761007	
17	1	A	1	N	2500	0	40	23	31	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	34761069	
18	1	A	1	N	2500	0	40	394	1299	79	35	23	0	0	0	0	0	0	0	0	0	0	0	0	34761085	
19	1	A	1	N	2500	0	40	660	1942	115	41	37	0	0	0	0	0	0	0	0	0	0	0	0	34761413	
20	1	A	1	N	2500	0	40	440	1165	68	28	22	0	0	0	0	0	0	0	0	0	0	0	0	34761444	
21	1	A	1	N	2500	0	40	451	1258	81	26	19	0	0	0	0	0	0	0	0	0	0	0	0	34761553	
22	1	A	1	N	2500	0	40	376	1480	92	39	31	0	0	0	0	0	0	0	0	0	0	0	0	34761553	
23	1	A	1	N	2500	0	40	422	1123	65	30	21	0	0	0	0	0	0	0	0	0	0	0	0	34761569	
24	1	A	1	N	2500	0	40	239	1310	82	31	25	0	0	0	0	0	0	0	0	0	0	0	0	34761662	
25	1	A	1	N	2500	0	40	398	1197	76	28	22	0	0	0	0	0	0	0	0	0	0	0	0	34761725	
26	1	A	1	N	2500	0	40	345	1476	123	38	28	0	0	0	0	0	0	0	0	0	0	0	0	34761865	
27	1	A	1	N	2500	0	40	444	1389	90	32	26	0	0	0	0	0	0	0	0	0	0	0	0	34761912	
28	1	A	1	N	2500	0	40	472	1281	91	32	24	0	0	0	0	0	0	0	0	0	0	0	0	34762130	
29	1	A	1	N	2500	0	40	441	1376	96	33	23	0	0	0	0	0	0	0	0	0	0	0	0	34762161	
30	1	A	1	N	2500	0	40	502	1469	111	47	37	0	0	0	0	0	0	0	0	0	0	0	0	34762271	
31	1	A	1	N	2500	0	40	88	119	11	10	13	0	0	0	0	0	0	0	0	0	0	0	0	34762271	
32	1	A	1	N	2500	0	40	30	28	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	34762427	
33	1	A	1	N	2500	0	40	445	1476	79	31	25	0	0	0	0	0	0	0	0	0	0	0	0	34762427	
34	1	A	1	N	2500	0	40	237	1194	75	35	23	0	0	0	0	0	0	0	0	0	0	0	0	34763238	
35	1	A	1	N	2500	0	40	493	1521	106	40	26	0	0	0	0	0	0	0	0	0	0	0	0	34763238	
36	1	A	1	N	2500	0	40	21	37	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34763378	
37	1	A	1	N	2500	0	40	373	1186	65	28	24	0	0	0	0	0	0	0	0	0	0	0	0	34763675	
38	1	A	1	N	2500	0	40	393	1374	94	36	27	0	0	0	0	0	0	0	0	0	0	0	0	34763706	
39	1	A	2	N	2500	0	40	456	1393	85	32	24	0	0	0	0	0	0	0	0	0	0	0	0	34771085	
40	1	A	2	N	2500	0	40	21	36	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34771085	
41	1	A	2	N	2500	0	40	346	1280	84	35	24	0	0	0	0	0	0	0	0	0	0	0	0	34771209	
42	1	A	2	N	2500	0	40	59	192	26	2	1	0	0	0	0	0	0	0	0	0	0	0	0	34771475	
43	1	A	2	N	2500	0	40	442	1300	88	27	20	0	0	0	0	0	0	0	0	0	0	0	0	34771506	
44	1	A	2	N	2500	0	40	26	55	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34771521	
