Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	488	1513	105	35	26	0	0	0	0	0	0	0	0	0	0	0	0	36222277	
1	1	A	1	N	2500	0	40	347	821	32	14	12	0	0	0	0	0	0	0	0	0	0	0	0	36222574	
2	1	A	1	N	2500	0	40	394	1376	101	34	28	0	0	0	0	0	0	0	0	0	0	0	0	36222652	
3	1	A	1	N	2500	0	40	587	1523	140	35	29	0	0	0	0	0	0	0	0	0	0	0	0	36222854	
4	1	A	1	N	2500	0	40	56	173	15	14	15	0	0	0	0	0	0	0	0	0	0	0	0	36222901	
5	1	A	1	N	2500	0	40	529	1438	107	32	27	0	0	0	0	0	0	0	0	0	0	0	0	36223385	
6	1	A	1	N	2500	0	40	535	1668	114	43	34	0	0	0	0	0	0	0	0	0	0	0	0	36223400	
7	1	A	1	N	2500	0	40	44	150	12	12	17	0	0	0	0	0	0	0	0	0	0	0	0	36223432	
8	1	A	1	N	2500	0	40	265	1143	65	27	20	0	0	0	0	0	0	0	0	0	0	0	0	36223619	
9	1	A	1	N	2500	0	40	534	1639	91	37	31	0	0	0	0	0	0	0	0	0	0	0	0	36223931	
10	1	A	1	N	2500	0	40	451	1378	88	31	27	0	0	0	0	0	0	0	0	0	0	0	0	36225132	
11	1	A	1	N	2500	0	40	323	1398	103	38	29	0	0	0	0	0	0	0	0	0	0	0	0	36225179	
12	1	A	1	N	2500	0	40	26	40	7	6	7	0	0	0	0	0	0	0	0	0	0	0	0	36225694	
13	1	A	1	N	2500	0	40	350	1197	72	31	22	0	0	0	0	0	0	0	0	0	0	0	0	36226006	
14	1	A	1	N	2500	0	40	483	1455	91	26	22	0	0	0	0	0	0	0	0	0	0	0	0	36226099	
15	1	A	1	N	2500	0	40	429	1223	59	24	18	0	0	0	0	0	0	0	0	0	0	0	0	36226505	
16	1	A	1	N	2500	0	40	53	125	10	9	9	0	0	0	0	0	0	0	0	0	0	0	0	36226598	
17	1	A	1	N	2500	0	40	478	1246	99	27	20	0	0	0	0	0	0	0	0	0	0	0	0	36226614	
18	1	A	1	N	2500	0	40	392	1230	70	28	21	0	0	0	0	0	0	0	0	0	0	0	0	36226910	
19	1	A	1	N	2500	0	40	221	1090	78	24	16	0	0	0	0	0	0	0	0	0	0	0	0	36227113	
20	1	A	1	N	2500	0	40	490	1436	96	33	26	0	0	0	0	0	0	0	0	0	0	0	0	36227332	
21	1	A	1	N	2500	0	40	286	1340	77	28	23	0	0	0	0	0	0	0	0	0	0	0	0	36227347	
22	1	A	1	N	2500	0	40	420	1088	85	25	19	0	0	0	0	0	0	0	0	0	0	0	0	36227425	
23	1	A	1	N	2500	0	40	520	1276	112	31	24	0	0	0	0	0	0	0	0	0	0	0	0	36227488	
24	1	A	1	N	2500	0	40	453	1324	91	29	24	0	0	0	0	0	0	0	0	0	0	0	0	36227488	
25	1	A	1	N	2500	0	40	438	1432	67	34	23	0	0	0	0	0	0	0	0	0	0	0	0	36227519	
26	1	A	1	N	2500	0	40	275	1220	79	29	24	0	0	0	0	0	0	0	0	0	0	0	0	36227956	
27	1	A	1	N	2500	0	40	280	1335	79	33	25	0	0	0	0	0	0	0	0	0	0	0	0	36227987	
28	1	A	1	N	2500	0	40	314	1209	66	31	20	0	0	0	0	0	0	0	0	0	0	0	0	36228143	
29	1	A	1	N	2500	0	40	265	1175	81	29	24	0	0	0	0	0	0	0	0	0	0	0	0	36228174	
30	1	A	1	N	2500	0	40	250	1180	99	23	22	0	0	0	0	0	0	0	0	0	0	0	0	36228502	
31	1	A	2	N	2500	0	40	453	1412	74	31	23	0	0	0	0	0	0	0	0	0	0	0	0	36236161	
32	1	A	2	N	2500	0	40	39	90	10	9	9	0	0	0	0	0	0	0	0	0	0	0	0	36236692	
33	1	A	2	N	2500	0	40	310	1144	58	22	17	0	0	0	0	0	0	0	0	0	0	0	0	36236754	
34	1	A	2	N	2500	0	40	368	1084	57	26	18	0	0	0	0	0	0	0	0	0	0	0	0	36236957	
35	1	A	2	N	2500	0	40	212	985	64	24	19	0	0	0	0	0	0	0	0	0	0	0	0	36237035	
36	1	A	2	N	2500	0	40	469	1316	92	32	22	0	0	0	0	0	0	0	0	0	0	0	0	36237160	
37	1	A	2	N	2500	0	40	270	1295	74	28	24	0	0	0	0	0	0	0	0	0	0	0	0	36237238	
38	1	A	2	N	2500	0	40	25	43	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	36237908	
39	1	A	2	N	2500	0	40	37	92	18	17	16	0	0	0	0	0	0	0	0	0	0	0	0	36237908	
40	1	A	2	N	2500	0	40	379	1279	93	30	20	0	0	0	0	0	0	0	0	0	0	0	0	36238345	
41	1	A	2	N	2500	0	40	371	1224	74	25	22	0	0	0	0	0	0	0	0	0	0	0	0	36238470	
42	1	A	2	N	2500	0	40	226	920	78	30	25	0	0	0	0	0	0	0	0	0	0	0	0	36238470	
43	1	A	2	N	2500	0	40	227	846	46	19	16	0	0	0	0	0	0	0	0	0	0	0	0	36238720	
44	1	A	2	N	2500	0	40	401	1349	87	36	28	0	0	0	0	0	0	0	0	0	0	0	0	36239562	
45	1	A	2	N	2500	0	40	259	879	34	17	16	0	0	0	0	0	0	0	0	0	0	0	0	36239702	
46	1	A	2	N	2500	0	40	406	1318	102	30	22	0	0	0	0	0	0	0	0	0	0	0	0	36239905	
47	1	A	2	N	2500	0	40	605	1567	100	37	29	0	0	0	0	0	0	0	0	0	0	0	0	36240264	
48	1	A	2	N	2500	0	40	394	1145	75	24	19	0	0	0	0	0	0	0	0	0	0	0	0	36240358	
