Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	360	1329	68	34	26	0	0	0	0	0	0	0	0	0	0	0	0	11378976	
1	1	A	1	N	2500	0	40	432	1615	85	49	37	0	0	0	0	0	0	0	0	0	0	0	0	11379351	
2	1	A	1	N	2500	0	40	266	1344	92	47	33	0	0	0	0	0	0	0	0	0	0	0	0	11379725	
3	1	A	1	N	2500	0	40	319	1352	92	37	26	0	0	0	0	0	0	0	0	0	0	0	0	11379881	
4	1	A	1	N	2500	0	40	587	1689	82	36	29	0	0	0	0	0	0	0	0	0	0	0	0	11380801	
5	1	A	1	N	2500	0	40	384	1255	60	27	22	0	0	0	0	0	0	0	0	0	0	0	0	11381020	
6	1	A	1	N	2500	0	40	332	989	50	21	19	0	0	0	0	0	0	0	0	0	0	0	0	11381129	
7	1	A	1	N	2500	0	40	418	1385	62	33	24	0	0	0	0	0	0	0	0	0	0	0	0	11381644	
8	1	A	1	N	2500	0	40	276	1263	86	33	25	0	0	0	0	0	0	0	0	0	0	0	0	11382034	
9	1	A	1	N	2500	0	40	392	1231	62	30	25	0	0	0	0	0	0	0	0	0	0	0	0	11382174	
10	1	A	1	N	2500	0	40	410	1300	76	30	24	0	0	0	0	0	0	0	0	0	0	0	0	11382595	
11	1	A	1	N	2500	0	40	423	1342	78	31	26	0	0	0	0	0	0	0	0	0	0	0	0	11383063	
12	1	A	1	N	2500	0	40	356	1261	67	33	28	0	0	0	0	0	0	0	0	0	0	0	0	11383500	
13	1	A	1	N	2500	0	40	23	42	8	9	11	0	0	0	0	0	0	0	0	0	0	0	0	11383594	
14	1	A	1	N	2500	0	40	469	1606	110	40	31	0	0	0	0	0	0	0	0	0	0	0	0	11383703	
15	1	A	1	N	2500	0	40	372	1405	85	35	25	0	0	0	0	0	0	0	0	0	0	0	0	11384155	
16	1	A	1	N	2500	0	40	418	1513	79	40	33	0	0	0	0	0	0	0	0	0	0	0	0	11384171	
17	1	A	1	N	2500	0	40	551	1861	114	51	42	0	0	0	0	0	0	0	0	0	0	0	0	11384187	
18	1	A	1	N	2500	0	40	322	1159	62	28	21	0	0	0	0	0	0	0	0	0	0	0	0	11384218	
19	1	A	1	N	2500	0	40	287	1273	72	36	27	0	0	0	0	0	0	0	0	0	0	0	0	11384233	
20	1	A	1	N	2500	0	40	380	1294	83	33	24	0	0	0	0	0	0	0	0	0	0	0	0	11384436	
21	1	A	1	N	2500	0	40	389	1325	72	32	27	0	0	0	0	0	0	0	0	0	0	0	0	11384998	
22	1	B	1	N	2500	0	40	310	1233	71	30	26	0	0	0	0	0	0	0	0	0	0	0	0	11393266	
23	1	B	1	N	2500	0	40	494	1616	95	41	33	0	0	0	0	0	0	0	0	0	0	0	0	11393812	
24	1	B	1	N	2500	0	40	278	1334	67	38	28	0	0	0	0	0	0	0	0	0	0	0	0	11393812	
25	1	B	1	N	2500	0	40	390	1374	72	31	25	0	0	0	0	0	0	0	0	0	0	0	0	11394264	
26	1	B	1	N	2500	0	40	39	74	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	11395169	
27	1	B	1	N	2500	0	40	372	1295	66	31	28	0	0	0	0	0	0	0	0	0	0	0	0	11395341	
