Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	85	242	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	18774584	
1	1	A	1	N	2500	0	40	311	589	26	11	9	0	0	0	0	0	0	0	0	0	0	0	0	18774693	
2	1	A	1	N	2500	0	40	334	948	40	17	9	0	0	0	0	0	0	0	0	0	0	0	0	18774958	
3	1	A	1	N	2500	0	40	206	308	9	3	3	0	0	0	0	0	0	0	0	0	0	0	0	18776284	
4	1	A	1	N	2500	0	40	270	727	36	13	11	0	0	0	0	0	0	0	0	0	0	0	0	18776284	
5	1	A	1	N	2500	0	40	378	550	20	9	8	0	0	0	0	0	0	0	0	0	0	0	0	18776612	
6	1	A	1	N	2500	0	40	349	839	37	18	15	0	0	0	0	0	0	0	0	0	0	0	0	18776628	
7	1	A	1	N	2500	0	40	260	793	34	16	13	0	0	0	0	0	0	0	0	0	0	0	0	18776784	
8	1	A	1	N	2500	0	40	194	240	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	18777408	
9	1	A	1	N	2500	0	40	237	408	17	7	6	0	0	0	0	0	0	0	0	0	0	0	0	18777876	
10	1	A	1	N	2500	0	40	192	262	7	3	4	0	0	0	0	0	0	0	0	0	0	0	0	18778078	
11	1	A	1	N	2500	0	40	251	443	15	5	5	0	0	0	0	0	0	0	0	0	0	0	0	18778141	
12	1	A	1	N	2500	0	40	25	26	7	5	6	0	0	0	0	0	0	0	0	0	0	0	0	18778141	
13	1	A	1	N	2500	0	40	314	625	21	8	9	0	0	0	0	0	0	0	0	0	0	0	0	18778312	
14	1	A	1	N	2500	0	40	327	685	23	10	8	0	0	0	0	0	0	0	0	0	0	0	0	18778874	
15	1	A	1	N	2500	0	40	383	1060	42	21	17	0	0	0	0	0	0	0	0	0	0	0	0	18779030	
16	1	A	1	N	2500	0	40	277	779	32	15	8	0	0	0	0	0	0	0	0	0	0	0	0	18779139	
17	1	A	1	N	2500	0	40	227	854	42	18	11	0	0	0	0	0	0	0	0	0	0	0	0	18779373	
18	1	A	1	N	2500	0	40	20	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18779810	
19	1	A	1	N	2500	0	40	185	507	18	8	7	0	0	0	0	0	0	0	0	0	0	0	0	18779997	
20	1	A	1	N	2500	0	40	293	546	14	7	6	0	0	0	0	0	0	0	0	0	0	0	0	18780746	
21	1	B	1	N	2500	0	40	260	460	16	5	4	0	0	0	0	0	0	0	0	0	0	0	0	18788905	
22	1	B	1	N	2500	0	40	34	48	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	18791354	
23	1	B	1	N	2500	0	40	164	206	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	18791479	
24	1	B	1	N	2500	0	40	300	613	24	8	9	0	0	0	0	0	0	0	0	0	0	0	0	18792041	
25	1	B	1	N	2500	0	40	214	595	21	11	7	0	0	0	0	0	0	0	0	0	0	0	0	18792290	
26	1	B	1	N	2500	0	40	294	619	20	9	8	0	0	0	0	0	0	0	0	0	0	0	0	18792306	
27	1	B	1	N	2500	0	40	224	588	20	11	9	0	0	0	0	0	0	0	0	0	0	0	0	18792306	
28	1	B	1	N	2500	0	40	342	798	31	14	13	0	0	0	0	0	0	0	0	0	0	0	0	18792368	
29	1	B	1	N	2500	0	40	274	509	16	8	8	0	0	0	0	0	0	0	0	0	0	0	0	18792930	
30	1	B	1	N	2500	0	40	257	452	15	6	5	0	0	0	0	0	0	0	0	0	0	0	0	18793039	
31	1	B	1	N	2500	0	40	50	97	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	18793554	
32	1	B	1	N	2500	0	40	151	217	7	3	2	0	0	0	0	0	0	0	0	0	0	0	0	18793601	
33	1	B	1	N	2500	0	40	245	441	14	5	5	0	0	0	0	0	0	0	0	0	0	0	0	18793710	
34	1	B	1	N	2500	0	40	265	480	15	6	4	0	0	0	0	0	0	0	0	0	0	0	0	18793819	
35	1	B	1	N	2500	0	40	113	435	23	9	6	0	0	0	0	0	0	0	0	0	0	0	0	18794349	
36	1	B	1	N	2500	0	40	308	666	25	11	11	0	0	0	0	0	0	0	0	0	0	0	0	18795410	
37	1	C	1	N	2500	0	40	61	117	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18802992	
38	1	C	1	N	2500	0	40	358	771	33	13	11	0	0	0	0	0	0	0	0	0	0	0	0	18803850	
39	1	C	1	N	2500	0	40	22	44	5	4	4	0	0	0	0	0	0	0	0	0	0	0	0	18804006	
40	1	C	1	N	2500	0	40	219	481	20	8	8	0	0	0	0	0	0	0	0	0	0	0	0	18804193	
41	1	C	1	N	2500	0	40	163	384	11	5	4	0	0	0	0	0	0	0	0	0	0	0	0	18805737	
42	1	C	1	N	2500	0	40	399	1097	55	25	19	0	0	0	0	0	0	0	0	0	0	0	0	18805893	
43	1	C	1	N	2500	0	40	248	889	38	19	13	0	0	0	0	0	0	0	0	0	0	0	0	18805971	
44	1	C	1	N	2500	0	40	169	199	7	3	2	0	0	0	0	0	0	0	0	0	0	0	0	18806783	
45	1	C	1	N	2500	0	40	297	584	19	9	8	0	0	0	0	0	0	0	0	0	0	0	0	18806798	
46	1	C	1	N	2500	0	40	389	1036	55	21	16	0	0	0	0	0	0	0	0	0	0	0	0	18807079	
47	1	C	1	N	2500	0	40	270	426	12	4	4	0	0	0	0	0	0	0	0	0	0	0	0	18808140	
48	1	C	1	N	2500	0	40	165	223	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	18808233	
49	1	C	1	N	2500	0	40	308	604	22	9	9	0	0	0	0	0	0	0	0	0	0	0	0	18808748	
50	1	D	1	N	2500	0	40	218	311	12	8	9	0	0	0	0	0	0	0	0	0	0	0	0	18817921	
51	1	D	1	N	2500	0	40	39	83	12	12	10	0	0	0	0	0	0	0	0	0	0	0	0	18818561	
52	1	D	1	N	2500	0	40	266	878	57	17	11	0	0	0	0	0	0	0	0	0	0	0	0	18818607	
53	1	D	1	N	2500	0	40	24	43	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	18820308	
54	1	D	1	N	2500	0	40	27	39	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	18822601	
55	1	D	1	N	2500	0	40	303	617	21	10	8	0	0	0	0	0	0	0	0	0	0	0	0	18822617	
56	1	D	1	N	2500	0	40	225	557	16	9	6	0	0	0	0	0	0	0	0	0	0	0	0	18822726	
57	1	D	1	N	2500	0	40	348	666	24	11	6	0	0	0	0	0	0	0	0	0	0	0	0	18823194	
58	1	D	1	N	2500	0	40	165	291	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	18823646	
59	1	D	1	N	2500	0	40	179	268	8	3	4	0	0	0	0	0	0	0	0	0	0	0	0	18823802	
60	1	D	1	N	2500	0	40	349	715	20	10	10	0	0	0	0	0	0	0	0	0	0	0	0	18824099	
61	1	D	1	N	2500	0	40	76	141	6	4	3	0	0	0	0	0	0	0	0	0	0	0	0	18824114	
62	1	D	1	N	2500	0	40	212	344	12	5	4	0	0	0	0	0	0	0	0	0	0	0	0	18824223	
63	1	D	1	N	2500	0	40	24	46	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	18824270	
64	1	D	1	N	2500	0	40	230	642	24	10	10	0	0	0	0	0	0	0	0	0	0	0	0	18824504	
65	1	D	1	N	2500	0	40	339	591	21	7	7	0	0	0	0	0	0	0	0	0	0	0	0	18825003	
66	1	E	1	N	2500	0	40	196	311	8	4	4	0	0	0	0	0	0	0	0	0	0	0	0	18832647	
67	1	E	1	N	2500	0	40	30	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18833225	
68	1	E	1	N	2500	0	40	179	226	8	2	3	0	0	0	0	0	0	0	0	0	0	0	0	18833786	
