Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	50	56	6	4	1	0	0	0	0	0	0	0	0	0	0	0	0	8981142	
1	1	A	1	N	2500	0	40	58	134	25	2	2	0	0	0	0	0	0	0	0	0	0	0	0	8981392	
2	1	A	1	N	2500	0	40	22	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8981563	
3	1	A	1	N	2500	0	40	384	844	32	12	11	0	0	0	0	0	0	0	0	0	0	0	0	8981563	
4	1	A	1	N	2500	0	40	44	103	7	3	2	0	0	0	0	0	0	0	0	0	0	0	0	8981828	
5	1	A	1	N	2500	0	40	22	37	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	8981953	
6	1	A	1	N	2500	0	40	392	921	33	16	14	0	0	0	0	0	0	0	0	0	0	0	0	8982094	
7	1	A	1	N	2500	0	40	24	39	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8982125	
8	1	A	1	N	2500	0	40	380	792	27	13	13	0	0	0	0	0	0	0	0	0	0	0	0	8982468	
9	1	A	1	N	2500	0	40	397	953	39	16	12	0	0	0	0	0	0	0	0	0	0	0	0	8982624	
10	1	A	1	N	2500	0	40	241	727	22	9	8	0	0	0	0	0	0	0	0	0	0	0	0	8982624	
11	1	A	1	N	2500	0	40	43	77	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8982764	
12	1	A	1	N	2500	0	40	81	99	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	8983076	
13	1	A	1	N	2500	0	40	345	734	24	12	7	0	0	0	0	0	0	0	0	0	0	0	0	8983466	
14	1	A	1	N	2500	0	40	609	1265	44	16	18	0	0	0	0	0	0	0	0	0	0	0	0	8983466	
15	1	A	1	N	2500	0	40	24	40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8983560	
16	1	A	1	N	2500	0	40	20	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8983591	
17	1	A	1	N	2500	0	40	30	45	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	8983747	
18	1	A	1	N	2500	0	40	261	745	36	15	14	0	0	0	0	0	0	0	0	0	0	0	0	8983934	
19	1	A	1	N	2500	0	40	29	54	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	8984137	
20	1	A	1	N	2500	0	40	58	76	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	8984246	
21	1	A	1	N	2500	0	40	362	820	27	13	12	0	0	0	0	0	0	0	0	0	0	0	0	8984278	
22	1	A	1	N	2500	0	40	48	104	5	6	8	0	0	0	0	0	0	0	0	0	0	0	0	8984340	
23	1	A	1	N	2500	0	40	373	793	27	11	7	0	0	0	0	0	0	0	0	0	0	0	0	8984387	
24	1	A	1	N	2500	0	40	338	698	23	9	10	0	0	0	0	0	0	0	0	0	0	0	0	8984465	
25	1	A	1	N	2500	0	40	24	25	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8984699	
26	1	A	1	N	2500	0	40	222	1044	53	21	16	0	0	0	0	0	0	0	0	0	0	0	0	8984917	
27	1	A	1	N	2500	0	40	27	30	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	8985167	
28	1	A	1	N	2500	0	40	310	611	19	8	11	0	0	0	0	0	0	0	0	0	0	0	0	8985214	
29	1	A	1	N	2500	0	40	40	85	7	6	4	0	0	0	0	0	0	0	0	0	0	0	0	8985260	
30	1	A	1	N	2500	0	40	53	228	19	13	14	0	0	0	0	0	0	0	0	0	0	0	0	8985338	
31	1	A	1	N	2500	0	40	191	642	29	12	10	0	0	0	0	0	0	0	0	0	0	0	0	8985604	
32	1	A	1	N	2500	0	40	387	856	36	13	12	0	0	0	0	0	0	0	0	0	0	0	0	8985650	
33	1	A	1	N	2500	0	40	386	1029	51	18	17	0	0	0	0	0	0	0	0	0	0	0	0	8985697	
34	1	A	1	N	2500	0	40	356	673	27	9	8	0	0	0	0	0	0	0	0	0	0	0	0	8985791	
35	1	A	1	N	2500	0	40	35	62	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8986103	
36	1	A	1	N	2500	0	40	29	38	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8986103	
37	1	A	1	N	2500	0	40	148	611	67	18	12	0	0	0	0	0	0	0	0	0	0	0	0	8986103	
38	1	A	1	N	2500	0	40	61	147	9	4	3	0	0	0	0	0	0	0	0	0	0	0	0	8986103	
39	1	A	1	N	2500	0	40	22	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8986103	
40	1	A	1	N	2500	0	40	434	1170	39	20	14	0	0	0	0	0	0	0	0	0	0	0	0	8986118	
41	1	A	1	N	2500	0	40	313	916	39	20	16	0	0	0	0	0	0	0	0	0	0	0	0	8986415	
42	1	A	1	N	2500	0	40	364	806	30	13	11	0	0	0	0	0	0	0	0	0	0	0	0	8986602	
43	1	A	1	N	2500	0	40	23	26	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8986883	
44	1	A	1	N	2500	0	40	359	809	29	13	10	0	0	0	0	0	0	0	0	0	0	0	0	8986961	
45	1	A	1	N	2500	0	40	20	16	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8987117	
46	1	A	1	N	2500	0	40	24	37	8	8	11	0	0	0	0	0	0	0	0	0	0	0	0	8987132	
47	1	A	1	N	2500	0	40	347	1064	42	19	16	0	0	0	0	0	0	0	0	0	0	0	0	8987226	
48	1	A	1	N	2500	0	40	324	1574	105	40	29	0	0	0	0	0	0	0	0	0	0	0	0	8987569	
49	1	A	1	N	2500	0	40	404	900	35	12	11	0	0	0	0	0	0	0	0	0	0	0	0	8987647	
50	1	A	1	N	2500	0	40	26	53	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8988037	
51	1	A	1	N	2500	0	40	374	796	27	12	12	0	0	0	0	0	0	0	0	0	0	0	0	8988224	
52	1	A	1	N	2500	0	40	26	36	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8988240	
53	1	A	2	N	2500	0	40	20	28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8996056	
54	1	A	2	N	2500	0	40	80	129	18	2	1	0	0	0	0	0	0	0	0	0	0	0	0	8996493	
55	1	A	2	N	2500	0	40	57	104	9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8996508	
56	1	A	2	N	2500	0	40	31	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8996555	
57	1	A	2	N	2500	0	40	27	31	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8996602	
58	1	A	2	N	2500	0	40	44	63	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8996805	
59	1	A	2	N	2500	0	40	394	695	31	12	12	0	0	0	0	0	0	0	0	0	0	0	0	8996836	
60	1	A	2	N	2500	0	40	376	799	28	13	14	0	0	0	0	0	0	0	0	0	0	0	0	8997023	
61	1	A	2	N	2500	0	40	23	20	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8997319	
62	1	A	2	N	2500	0	40	66	109	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8997319	
63	1	A	2	N	2500	0	40	352	768	28	11	8	0	0	0	0	0	0	0	0	0	0	0	0	8997351	
64	1	A	2	N	2500	0	40	20	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8997787	
65	1	A	2	N	2500	0	40	47	109	8	6	6	0	0	0	0	0	0	0	0	0	0	0	0	8997865	
66	1	A	2	N	2500	0	40	267	1036	49	25	18	0	0	0	0	0	0	0	0	0	0	0	0	8997990	
67	1	A	2	N	2500	0	40	39	85	7	1	2	0	0	0	0	0	0	0	0	0	0	0	0	8997990	
68	1	A	2	N	2500	0	40	24	31	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8998053	
69	1	A	2	N	2500	0	40	21	22	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	8998099	
70	1	A	2	N	2500	0	40	385	861	33	15	12	0	0	0	0	0	0	0	0	0	0	0	0	8998131	
71	1	A	2	N	2500	0	40	20	33	9	11	11	0	0	0	0	0	0	0	0	0	0	0	0	8998255	
72	1	A	2	N	2500	0	40	28	52	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8998333	
73	1	A	2	N	2500	0	40	48	77	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8998411	
