Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	23	41	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13629217	
1	1	A	1	N	2500	0	40	81	174	25	2	2	0	0	0	0	0	0	0	0	0	0	0	0	13629342	
2	1	A	1	N	2500	0	40	22	19	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13629342	
3	1	A	1	N	2500	0	40	506	1022	90	27	22	0	0	0	0	0	0	0	0	0	0	0	0	13629638	
4	1	A	1	N	2500	0	40	63	123	15	5	3	0	0	0	0	0	0	0	0	0	0	0	0	13629857	
5	1	A	1	N	2500	0	40	480	1425	75	30	24	0	0	0	0	0	0	0	0	0	0	0	0	13629966	
6	1	A	1	N	2500	0	40	21	34	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13630137	
7	1	A	1	N	2500	0	40	392	882	31	15	12	0	0	0	0	0	0	0	0	0	0	0	0	13630169	
8	1	A	1	N	2500	0	40	27	30	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13630309	
9	1	A	1	N	2500	0	40	100	445	50	17	10	0	0	0	0	0	0	0	0	0	0	0	0	13630340	
10	1	A	1	N	2500	0	40	40	41	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13630403	
11	1	A	1	N	2500	0	40	23	34	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13630418	
12	1	A	1	N	2500	0	40	26	30	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13630512	
13	1	A	1	N	2500	0	40	42	52	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	13630543	
14	1	A	1	N	2500	0	40	43	62	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	13631401	
15	1	A	1	N	2500	0	40	82	258	44	13	6	0	0	0	0	0	0	0	0	0	0	0	0	13631448	
16	1	A	1	N	2500	0	40	38	56	6	3	1	0	0	0	0	0	0	0	0	0	0	0	0	13631495	
17	1	A	1	N	2500	0	40	73	110	11	5	3	0	0	0	0	0	0	0	0	0	0	0	0	13631495	
18	1	A	1	N	2500	0	40	32	57	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	13632041	
19	1	A	1	N	2500	0	40	20	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13632041	
20	1	A	1	N	2500	0	40	28	39	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	13632041	
21	1	A	1	N	2500	0	40	635	2344	169	51	37	0	0	0	0	0	0	0	0	0	0	0	0	13632212	
22	1	A	1	N	2500	0	40	43	50	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	13632228	
23	1	A	1	N	2500	0	40	48	103	12	5	2	0	0	0	0	0	0	0	0	0	0	0	0	13632243	
24	1	A	1	N	2500	0	40	30	32	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13632368	
25	1	A	1	N	2500	0	40	419	1217	60	22	17	0	0	0	0	0	0	0	0	0	0	0	0	13632415	
26	1	A	1	N	2500	0	40	49	129	11	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13632524	
27	1	A	1	N	2500	0	40	40	63	8	4	3	0	0	0	0	0	0	0	0	0	0	0	0	13632665	
28	1	A	1	N	2500	0	40	25	30	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13632789	
29	1	A	1	N	2500	0	40	570	1639	83	34	27	0	0	0	0	0	0	0	0	0	0	0	0	13633070	
30	1	A	1	N	2500	0	40	458	1333	74	28	20	0	0	0	0	0	0	0	0	0	0	0	0	13633257	
31	1	A	1	N	2500	0	40	381	1205	62	27	24	0	0	0	0	0	0	0	0	0	0	0	0	13633257	
32	1	A	1	N	2500	0	40	414	1629	122	43	31	0	0	0	0	0	0	0	0	0	0	0	0	13633663	
33	1	A	1	N	2500	0	40	341	1492	84	37	28	0	0	0	0	0	0	0	0	0	0	0	0	13633710	
34	1	A	1	N	2500	0	40	431	1359	73	29	23	0	0	0	0	0	0	0	0	0	0	0	0	13634162	
35	1	A	1	N	2500	0	40	35	60	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	13634178	
36	1	A	1	N	2500	0	40	506	1575	102	37	27	0	0	0	0	0	0	0	0	0	0	0	0	13634193	
