Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	378	860	28	12	11	0	0	0	0	0	0	0	0	0	0	0	0	10453831	
1	1	A	1	N	2500	0	40	20	20	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10454190	
2	1	A	1	N	2500	0	40	20	18	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10454206	
3	1	A	1	N	2500	0	40	284	763	33	12	13	0	0	0	0	0	0	0	0	0	0	0	0	10454814	
4	1	A	1	N	2500	0	40	360	855	32	13	14	0	0	0	0	0	0	0	0	0	0	0	0	10454845	
5	1	A	1	N	2500	0	40	23	21	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10454877	
6	1	A	1	N	2500	0	40	25	39	8	10	10	0	0	0	0	0	0	0	0	0	0	0	0	10454986	
7	1	A	1	N	2500	0	40	20	24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10455454	
8	1	A	1	N	2500	0	40	440	888	35	13	12	0	0	0	0	0	0	0	0	0	0	0	0	10455532	
9	1	A	1	N	2500	0	40	319	1049	47	17	14	0	0	0	0	0	0	0	0	0	0	0	0	10456421	
10	1	A	1	N	2500	0	40	365	788	29	13	11	0	0	0	0	0	0	0	0	0	0	0	0	10456764	
11	1	A	1	N	2500	0	40	66	288	36	33	33	0	0	0	0	0	0	0	0	0	0	0	0	10456983	
12	1	A	1	N	2500	0	40	358	761	29	12	12	0	0	0	0	0	0	0	0	0	0	0	0	10457029	
13	1	A	1	N	2500	0	40	137	161	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	10457139	
14	1	A	1	N	2500	0	40	26	47	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10457451	
15	1	A	1	N	2500	0	40	464	1175	50	20	18	0	0	0	0	0	0	0	0	0	0	0	0	10457622	
16	1	A	1	N	2500	0	40	365	824	30	13	10	0	0	0	0	0	0	0	0	0	0	0	0	10457731	
17	1	A	1	N	2500	0	40	23	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10457887	
18	1	A	1	N	2500	0	40	20	27	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	10458043	
19	1	A	1	N	2500	0	40	390	813	31	15	11	0	0	0	0	0	0	0	0	0	0	0	0	10458262	
20	1	A	1	N	2500	0	40	369	777	27	10	9	0	0	0	0	0	0	0	0	0	0	0	0	10458418	
21	1	A	1	N	2500	0	40	462	1111	49	21	18	0	0	0	0	0	0	0	0	0	0	0	0	10458496	
22	1	A	1	N	2500	0	40	413	1039	45	17	15	0	0	0	0	0	0	0	0	0	0	0	0	10458589	
23	1	A	1	N	2500	0	40	347	744	26	11	11	0	0	0	0	0	0	0	0	0	0	0	0	10458605	
24	1	A	1	N	2500	0	40	23	51	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10458683	
25	1	A	1	N	2500	0	40	309	1047	47	23	16	0	0	0	0	0	0	0	0	0	0	0	0	10458855	
26	1	A	1	N	2500	0	40	350	753	26	10	10	0	0	0	0	0	0	0	0	0	0	0	0	10458870	
27	1	A	1	N	2500	0	40	370	832	29	12	11	0	0	0	0	0	0	0	0	0	0	0	0	10458964	
28	1	A	1	N	2500	0	40	24	33	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10459229	
29	1	A	1	N	2500	0	40	23	31	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10459338	
30	1	A	1	N	2500	0	40	388	872	36	13	11	0	0	0	0	0	0	0	0	0	0	0	0	10459354	
31	1	A	1	N	2500	0	40	226	1089	48	20	15	0	0	0	0	0	0	0	0	0	0	0	0	10459541	
32	1	A	1	N	2500	0	40	489	1160	38	20	16	0	0	0	0	0	0	0	0	0	0	0	0	10459619	
33	1	A	1	N	2500	0	40	571	1326	53	21	17	0	0	0	0	0	0	0	0	0	0	0	0	10460337	
34	1	A	2	N	2500	0	40	53	130	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	10468090	
35	1	A	2	N	2500	0	40	564	1086	66	22	20	0	0	0	0	0	0	0	0	0	0	0	0	10468308	
36	1	A	2	N	2500	0	40	47	75	11	4	1	0	0	0	0	0	0	0	0	0	0	0	0	10468573	
37	1	A	2	N	2500	0	40	46	71	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	10468745	
38	1	A	2	N	2500	0	40	49	86	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10468776	
39	1	A	2	N	2500	0	40	25	25	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10468870	
40	1	A	2	N	2500	0	40	62	210	25	5	3	0	0	0	0	0	0	0	0	0	0	0	0	10468963	
41	1	A	2	N	2500	0	40	33	45	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	10468995	
42	1	A	2	N	2500	0	40	167	215	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	10469010	
43	1	A	2	N	2500	0	40	43	81	17	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10469119	
44	1	A	2	N	2500	0	40	93	196	33	8	5	0	0	0	0	0	0	0	0	0	0	0	0	10469182	
45	1	A	2	N	2500	0	40	27	38	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	10469291	
46	1	A	2	N	2500	0	40	129	168	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	10469525	
47	1	A	2	N	2500	0	40	405	838	34	13	12	0	0	0	0	0	0	0	0	0	0	0	0	10469697	
48	1	A	2	N	2500	0	40	74	107	14	3	3	0	0	0	0	0	0	0	0	0	0	0	0	10469915	
49	1	A	2	N	2500	0	40	384	878	38	18	12	0	0	0	0	0	0	0	0	0	0	0	0	10470243	
50	1	A	2	N	2500	0	40	287	594	19	9	7	0	0	0	0	0	0	0	0	0	0	0	0	10470274	
51	1	A	2	N	2500	0	40	36	73	10	3	1	0	0	0	0	0	0	0	0	0	0	0	0	10470305	
52	1	A	2	N	2500	0	40	95	185	27	10	3	0	0	0	0	0	0	0	0	0	0	0	0	10470492	
53	1	A	2	N	2500	0	40	238	836	34	15	12	0	0	0	0	0	0	0	0	0	0	0	0	10470898	
54	1	A	2	N	2500	0	40	36	49	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10471147	
55	1	A	2	N	2500	0	40	193	823	35	15	13	0	0	0	0	0	0	0	0	0	0	0	0	10471366	
56	1	A	2	N	2500	0	40	370	896	42	15	14	0	0	0	0	0	0	0	0	0	0	0	0	10471397	
57	1	A	2	N	2500	0	40	282	982	40	16	16	0	0	0	0	0	0	0	0	0	0	0	0	10471475	
58	1	A	2	N	2500	0	40	275	773	35	18	14	0	0	0	0	0	0	0	0	0	0	0	0	10471491	
59	1	A	2	N	2500	0	40	329	649	24	11	12	0	0	0	0	0	0	0	0	0	0	0	0	10471678	
60	1	A	2	N	2500	0	40	154	194	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	10471787	
61	1	A	2	N	2500	0	40	22	24	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10471865	
62	1	A	2	N	2500	0	40	166	373	61	10	7	0	0	0	0	0	0	0	0	0	0	0	0	10472239	
63	1	A	2	N	2500	0	40	386	964	50	16	14	0	0	0	0	0	0	0	0	0	0	0	0	10472395	
64	1	A	2	N	2500	0	40	378	845	32	14	14	0	0	0	0	0	0	0	0	0	0	0	0	10472489	
65	1	A	2	N	2500	0	40	385	959	44	17	13	0	0	0	0	0	0	0	0	0	0	0	0	10473441	
66	1	A	2	N	2500	0	40	288	745	31	14	12	0	0	0	0	0	0	0	0	0	0	0	0	10473534	
67	1	A	2	N	2500	0	40	369	1167	58	23	19	0	0	0	0	0	0	0	0	0	0	0	0	10473643	
68	1	A	2	N	2500	0	40	28	61	11	10	12	0	0	0	0	0	0	0	0	0	0	0	0	10473784	
69	1	A	2	N	2500	0	40	22	23	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10474314	
70	1	A	2	N	2500	0	40	77	74	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10475328	
71	1	A	3	N	2500	0	40	403	997	46	17	14	0	0	0	0	0	0	0	0	0	0	0	0	10483284	
72	1	A	3	N	2500	0	40	21	32	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10483518	
73	1	A	3	N	2500	0	40	374	907	34	14	13	0	0	0	0	0	0	0	0	0	0	0	0	10483955	
74	1	A	3	N	2500	0	40	378	770	28	11	13	0	0	0	0	0	0	0	0	0	0	0	0	10484018	
75	1	A	3	N	2500	0	40	384	846	27	12	12	0	0	0	0	0	0	0	0	0	0	0	0	10484267	
76	1	A	3	N	2500	0	40	380	937	39	16	14	0	0	0	0	0	0	0	0	0	0	0	0	10484454	
77	1	A	3	N	2500	0	40	304	681	24	9	12	0	0	0	0	0	0	0	0	0	0	0	0	10484532	
78	1	A	3	N	2500	0	40	23	42	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	10484532	
79	1	A	3	N	2500	0	40	349	749	26	10	11	0	0	0	0	0	0	0	0	0	0	0	0	10484922	
80	1	A	3	N	2500	0	40	22	41	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10485219	
