Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	22	44	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15252587	
1	1	A	1	N	2500	0	40	52	249	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15253039	
2	1	A	1	N	2500	0	40	24	48	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15253429	
3	1	A	1	N	2500	0	40	45	94	12	2	1	0	0	0	0	0	0	0	0	0	0	0	0	15253476	
4	1	A	1	N	2500	0	40	280	1272	70	31	25	0	0	0	0	0	0	0	0	0	0	0	0	15253617	
5	1	A	1	N	2500	0	40	421	1339	74	28	22	0	0	0	0	0	0	0	0	0	0	0	0	15254131	
6	1	A	1	N	2500	0	40	357	1354	79	34	24	0	0	0	0	0	0	0	0	0	0	0	0	15254599	
7	1	A	1	N	2500	0	40	295	1243	66	25	20	0	0	0	0	0	0	0	0	0	0	0	0	15255130	
8	1	A	1	N	2500	0	40	331	1399	78	33	24	0	0	0	0	0	0	0	0	0	0	0	0	15255208	
9	1	A	1	N	2500	0	40	448	1246	60	24	19	0	0	0	0	0	0	0	0	0	0	0	0	15255317	
10	1	A	1	N	2500	0	40	24	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15256066	
11	1	A	1	N	2500	0	40	249	1000	42	19	17	0	0	0	0	0	0	0	0	0	0	0	0	15256222	
12	1	A	1	N	2500	0	40	30	29	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	15256237	
13	1	A	1	N	2500	0	40	298	1440	85	36	28	0	0	0	0	0	0	0	0	0	0	0	0	15256237	
14	1	A	1	N	2500	0	40	485	1470	78	31	25	0	0	0	0	0	0	0	0	0	0	0	0	15256269	
15	1	A	1	N	2500	0	40	365	1736	121	48	34	0	0	0	0	0	0	0	0	0	0	0	0	15256362	
16	1	A	1	N	2500	0	40	126	105	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	15256518	
17	1	A	1	N	2500	0	40	567	1710	83	38	29	0	0	0	0	0	0	0	0	0	0	0	0	15256518	
18	1	A	1	N	2500	0	40	368	782	28	14	11	0	0	0	0	0	0	0	0	0	0	0	0	15256924	
19	1	A	1	N	2500	0	40	226	1025	58	26	19	0	0	0	0	0	0	0	0	0	0	0	0	15257064	
20	1	A	1	N	2500	0	40	23	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15257064	
21	1	A	1	N	2500	0	40	466	1317	68	26	22	0	0	0	0	0	0	0	0	0	0	0	0	15257158	
22	1	A	1	N	2500	0	40	455	1521	88	31	24	0	0	0	0	0	0	0	0	0	0	0	0	15257173	
23	1	A	1	N	2500	0	40	437	1277	65	24	19	0	0	0	0	0	0	0	0	0	0	0	0	15257345	
24	1	A	1	N	2500	0	40	410	1675	102	41	30	0	0	0	0	0	0	0	0	0	0	0	0	15257485	
25	1	A	1	N	2500	0	40	443	1290	59	25	23	0	0	0	0	0	0	0	0	0	0	0	0	15257610	
26	1	A	1	N	2500	0	40	29	32	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	15257657	
27	1	A	1	N	2500	0	40	34	68	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	15257673	
28	1	A	1	N	2500	0	40	452	1085	50	21	17	0	0	0	0	0	0	0	0	0	0	0	0	15257875	
29	1	A	1	N	2500	0	40	435	1346	73	27	20	0	0	0	0	0	0	0	0	0	0	0	0	15258047	
30	1	A	1	N	2500	0	40	21	31	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	15258047	
31	1	A	1	N	2500	0	40	32	68	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15258063	
32	1	A	1	N	2500	0	40	406	1252	65	23	22	0	0	0	0	0	0	0	0	0	0	0	0	15258187	
33	1	A	1	N	2500	0	40	25	40	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	15258765	
34	1	A	1	N	2500	0	40	30	42	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	15258999	
35	1	A	1	N	2500	0	40	456	1358	66	29	17	0	0	0	0	0	0	0	0	0	0	0	0	15259295	
36	1	A	1	N	2500	0	40	52	60	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15259623	
37	1	A	1	N	2500	0	40	820	2189	181	49	41	0	0	0	0	0	0	0	0	0	0	0	0	15259701	
38	1	A	1	N	2500	0	40	64	173	14	3	3	0	0	0	0	0	0	0	0	0	0	0	0	15259716	
39	1	A	2	N	2500	0	40	393	980	39	17	14	0	0	0	0	0	0	0	0	0	0	0	0	15267251	
40	1	A	2	N	2500	0	40	559	1633	81	35	27	0	0	0	0	0	0	0	0	0	0	0	0	15267298	
41	1	A	2	N	2500	0	40	401	1500	85	35	30	0	0	0	0	0	0	0	0	0	0	0	0	15267314	
42	1	A	2	N	2500	0	40	27	48	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15267797	
43	1	A	2	N	2500	0	40	30	59	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15268562	
44	1	A	2	N	2500	0	40	28	50	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15268562	
45	1	A	2	N	2500	0	40	327	1183	60	27	21	0	0	0	0	0	0	0	0	0	0	0	0	15268686	
46	1	A	2	N	2500	0	40	424	1251	62	27	23	0	0	0	0	0	0	0	0	0	0	0	0	15268952	
47	1	A	2	N	2500	0	40	348	1451	89	35	24	0	0	0	0	0	0	0	0	0	0	0	0	15269529	
48	1	A	2	N	2500	0	40	291	603	23	10	9	0	0	0	0	0	0	0	0	0	0	0	0	15269669	
49	1	A	2	N	2500	0	40	421	1214	57	24	19	0	0	0	0	0	0	0	0	0	0	0	0	15269763	
50	1	A	2	N	2500	0	40	22	40	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	15270028	
51	1	A	2	N	2500	0	40	369	1268	72	29	24	0	0	0	0	0	0	0	0	0	0	0	0	15270153	
52	1	A	2	N	2500	0	40	59	68	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	15270184	
53	1	A	2	N	2500	0	40	392	999	38	19	13	0	0	0	0	0	0	0	0	0	0	0	0	15271011	
54	1	A	2	N	2500	0	40	537	1589	85	34	27	0	0	0	0	0	0	0	0	0	0	0	0	15271432	
55	1	A	2	N	2500	0	40	254	996	46	21	17	0	0	0	0	0	0	0	0	0	0	0	0	15271526	
56	1	A	2	N	2500	0	40	293	1033	48	21	15	0	0	0	0	0	0	0	0	0	0	0	0	15271541	
57	1	A	2	N	2500	0	40	795	3012	71	19	17	0	0	0	0	0	0	0	0	0	0	0	0	15271635	
58	1	A	2	N	2500	0	40	455	1442	73	34	28	0	0	0	0	0	0	0	0	0	0	0	0	15271682	
59	1	A	2	N	2500	0	40	20	26	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15271931	
60	1	A	2	N	2500	0	40	381	1348	69	31	24	0	0	0	0	0	0	0	0	0	0	0	0	15271962	
61	1	A	2	N	2500	0	40	541	1456	102	39	30	0	0	0	0	0	0	0	0	0	0	0	0	15272072	
62	1	A	2	N	2500	0	40	221	1066	56	23	20	0	0	0	0	0	0	0	0	0	0	0	0	15272072	
63	1	A	2	N	2500	0	40	440	1293	69	28	20	0	0	0	0	0	0	0	0	0	0	0	0	15272384	
64	1	A	2	N	2500	0	40	60	288	28	26	30	0	0	0	0	0	0	0	0	0	0	0	0	15272477	
65	1	A	2	N	2500	0	40	537	1737	79	35	28	0	0	0	0	0	0	0	0	0	0	0	0	15272789	
66	1	A	2	N	2500	0	40	452	1398	82	31	22	0	0	0	0	0	0	0	0	0	0	0	0	15272820	
67	1	A	2	N	2500	0	40	50	146	12	11	15	0	0	0	0	0	0	0	0	0	0	0	0	15272961	
68	1	A	2	N	2500	0	40	450	1383	73	31	23	0	0	0	0	0	0	0	0	0	0	0	0	15272992	
69	1	A	2	N	2500	0	40	524	1544	73	31	28	0	0	0	0	0	0	0	0	0	0	0	0	15273476	
70	1	A	2	N	2500	0	40	455	1061	46	19	17	0	0	0	0	0	0	0	0	0	0	0	0	15273522	
71	1	A	2	N	2500	0	40	22	37	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	15273522	
72	1	A	2	N	2500	0	40	54	44	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15273554	
73	1	A	2	N	2500	0	40	36	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15273554	
74	1	A	2	N	2500	0	40	42	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15273554	
75	1	A	2	N	2500	0	40	559	2174	123	47	41	0	0	0	0	0	0	0	0	0	0	0	0	15273554	
76	1	A	2	N	2500	0	40	455	1232	57	24	17	0	0	0	0	0	0	0	0	0	0	0	0	15273632	
77	1	A	2	N	2500	0	40	477	1543	88	34	23	0	0	0	0	0	0	0	0	0	0	0	0	15273772	
78	1	A	2	N	2500	0	40	319	1452	83	34	25	0	0	0	0	0	0	0	0	0	0	0	0	15274349	
79	1	A	3	N	2500	0	40	430	1463	87	29	26	0	0	0	0	0	0	0	0	0	0	0	0	15281978	
80	1	A	3	N	2500	0	40	21	29	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15282508	
81	1	A	3	N	2500	0	40	21	28	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15282555	
82	1	A	3	N	2500	0	40	441	1492	82	33	25	0	0	0	0	0	0	0	0	0	0	0	0	15283304	
83	1	A	3	N	2500	0	40	524	1772	105	45	31	0	0	0	0	0	0	0	0	0	0	0	0	15283413	
84	1	A	3	N	2500	0	40	263	588	21	10	10	0	0	0	0	0	0	0	0	0	0	0	0	15283881	
85	1	A	3	N	2500	0	40	695	1813	123	40	31	0	0	0	0	0	0	0	0	0	0	0	0	15284006	
86	1	A	3	N	2500	0	40	432	1170	57	22	17	0	0	0	0	0	0	0	0	0	0	0	0	15284068	
87	1	A	3	N	2500	0	40	21	36	12	14	17	0	0	0	0	0	0	0	0	0	0	0	0	15284240	
88	1	A	3	N	2500	0	40	384	1061	49	23	19	0	0	0	0	0	0	0	0	0	0	0	0	15284302	
89	1	A	3	N	2500	0	40	503	1262	47	20	18	0	0	0	0	0	0	0	0	0	0	0	0	15285191	
90	1	A	3	N	2500	0	40	721	1919	96	39	29	0	0	0	0	0	0	0	0	0	0	0	0	15285191	
91	1	A	3	N	2500	0	40	429	1231	68	26	22	0	0	0	0	0	0	0	0	0	0	0	0	15285363	
92	1	A	3	N	2500	0	40	21	28	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	15285394	
93	1	A	3	N	2500	0	40	266	1433	92	36	27	0	0	0	0	0	0	0	0	0	0	0	0	15285456	
94	1	A	3	N	2500	0	40	288	1300	71	32	25	0	0	0	0	0	0	0	0	0	0	0	0	15285550	
95	1	A	3	N	2500	0	40	537	1856	107	42	33	0	0	0	0	0	0	0	0	0	0	0	0	15285690	
96	1	A	3	N	2500	0	40	22	35	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	15285956	
97	1	A	3	N	2500	0	40	446	1368	73	25	19	0	0	0	0	0	0	0	0	0	0	0	0	15286034	
98	1	A	3	N	2500	0	40	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15286158	
99	1	A	3	N	2500	0	40	23	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15286221	
100	1	A	3	N	2500	0	40	626	2099	91	42	34	0	0	0	0	0	0	0	0	0	0	0	0	15286221	
101	1	A	3	N	2500	0	40	315	1134	65	26	22	0	0	0	0	0	0	0	0	0	0	0	0	15286470	
102	1	A	3	N	2500	0	40	567	1622	106	41	32	0	0	0	0	0	0	0	0	0	0	0	0	15286892	
103	1	A	3	N	2500	0	40	654	2041	99	44	37	0	0	0	0	0	0	0	0	0	0	0	0	15286938	
104	1	A	3	N	2500	0	40	300	1551	103	42	30	0	0	0	0	0	0	0	0	0	0	0	0	15287204	
105	1	A	3	N	2500	0	40	20	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15287656	
106	1	A	3	N	2500	0	40	473	1371	74	29	27	0	0	0	0	0	0	0	0	0	0	0	0	15288296	
107	1	A	3	N	2500	0	40	442	1596	99	38	31	0	0	0	0	0	0	0	0	0	0	0	0	15288530	
108	1	A	3	N	2500	0	40	380	908	33	15	15	0	0	0	0	0	0	0	0	0	0	0	0	15289107	
109	1	A	3	N	2500	0	40	385	1446	87	35	30	0	0	0	0	0	0	0	0	0	0	0	0	15289138	
110	1	A	3	N	2500	0	40	242	431	16	12	12	0	0	0	0	0	0	0	0	0	0	0	0	15289185	
111	1	A	3	N	2500	0	40	54	61	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15289216	
112	1	A	4	N	2500	0	40	429	1682	106	40	32	0	0	0	0	0	0	0	0	0	0	0	0	15296766	
113	1	A	4	N	2500	0	40	334	1399	87	36	28	0	0	0	0	0	0	0	0	0	0	0	0	15296907	
114	1	A	4	N	2500	0	40	22	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15297297	
115	1	A	4	N	2500	0	40	396	1038	43	20	16	0	0	0	0	0	0	0	0	0	0	0	0	15297484	
116	1	A	4	N	2500	0	40	267	1310	86	33	25	0	0	0	0	0	0	0	0	0	0	0	0	15297578	
117	1	A	4	N	2500	0	40	59	261	25	22	26	0	0	0	0	0	0	0	0	0	0	0	0	15298217	
118	1	A	4	N	2500	0	40	296	647	24	10	9	0	0	0	0	0	0	0	0	0	0	0	0	15298467	
119	1	A	4	N	2500	0	40	444	1287	65	27	22	0	0	0	0	0	0	0	0	0	0	0	0	15298763	
120	1	A	4	N	2500	0	40	408	1204	68	27	18	0	0	0	0	0	0	0	0	0	0	0	0	15299200	
121	1	A	4	N	2500	0	40	27	53	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	15299387	
122	1	A	4	N	2500	0	40	306	1107	57	25	22	0	0	0	0	0	0	0	0	0	0	0	0	15299403	
123	1	A	4	N	2500	0	40	448	1347	73	27	24	0	0	0	0	0	0	0	0	0	0	0	0	15299465	
124	1	A	4	N	2500	0	40	441	1337	71	30	24	0	0	0	0	0	0	0	0	0	0	0	0	15299621	
125	1	A	4	N	2500	0	40	475	1390	63	24	20	0	0	0	0	0	0	0	0	0	0	0	0	15300526	
126	1	A	4	N	2500	0	40	414	1094	49	22	18	0	0	0	0	0	0	0	0	0	0	0	0	15300620	
127	1	A	4	N	2500	0	40	256	1247	71	29	25	0	0	0	0	0	0	0	0	0	0	0	0	15301072	
128	1	A	4	N	2500	0	40	60	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15301244	
129	1	A	4	N	2500	0	40	413	1162	56	23	19	0	0	0	0	0	0	0	0	0	0	0	0	15301556	
130	1	A	4	N	2500	0	40	373	872	29	15	13	0	0	0	0	0	0	0	0	0	0	0	0	15301774	
131	1	A	4	N	2500	0	40	580	1900	96	40	38	0	0	0	0	0	0	0	0	0	0	0	0	15301899	
132	1	A	4	N	2500	0	40	446	1325	70	28	20	0	0	0	0	0	0	0	0	0	0	0	0	15302476	
133	1	A	4	N	2500	0	40	25	40	8	9	8	0	0	0	0	0	0	0	0	0	0	0	0	15302492	
134	1	A	4	N	2500	0	40	604	1322	58	29	23	0	0	0	0	0	0	0	0	0	0	0	0	15302585	
135	1	A	4	N	2500	0	40	463	1440	77	33	26	0	0	0	0	0	0	0	0	0	0	0	0	15302601	
136	1	A	4	N	2500	0	40	728	1772	158	44	36	0	0	0	0	0	0	0	0	0	0	0	0	15303755	
137	1	A	5	N	2500	0	40	422	1477	90	34	28	0	0	0	0	0	0	0	0	0	0	0	0	15311274	
138	1	A	5	N	2500	0	40	495	1140	58	23	17	0	0	0	0	0	0	0	0	0	0	0	0	15311337	
139	1	A	5	N	2500	0	40	497	1508	74	30	23	0	0	0	0	0	0	0	0	0	0	0	0	15311368	
140	1	A	5	N	2500	0	40	311	1297	94	34	28	0	0	0	0	0	0	0	0	0	0	0	0	15311462	
141	1	A	5	N	2500	0	40	449	1195	52	23	19	0	0	0	0	0	0	0	0	0	0	0	0	15313396	
142	1	A	5	N	2500	0	40	27	38	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	15313708	
143	1	A	5	N	2500	0	40	468	1547	84	33	23	0	0	0	0	0	0	0	0	0	0	0	0	15313786	
144	1	A	5	N	2500	0	40	295	697	23	13	13	0	0	0	0	0	0	0	0	0	0	0	0	15314160	
145	1	A	5	N	2500	0	40	494	1494	87	31	26	0	0	0	0	0	0	0	0	0	0	0	0	15314363	
146	1	A	5	N	2500	0	40	243	1126	58	26	20	0	0	0	0	0	0	0	0	0	0	0	0	15315112	
147	1	A	5	N	2500	0	40	419	1168	58	23	17	0	0	0	0	0	0	0	0	0	0	0	0	15315362	
148	1	A	5	N	2500	0	40	250	566	29	10	9	0	0	0	0	0	0	0	0	0	0	0	0	15315518	
149	1	A	5	N	2500	0	40	389	913	40	17	15	0	0	0	0	0	0	0	0	0	0	0	0	15315892	
150	1	A	5	N	2500	0	40	460	1423	83	29	22	0	0	0	0	0	0	0	0	0	0	0	0	15316485	
151	1	A	5	N	2500	0	40	271	1026	45	21	17	0	0	0	0	0	0	0	0	0	0	0	0	15316641	
152	1	A	5	N	2500	0	40	21	26	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	15316797	
153	1	A	5	N	2500	0	40	463	1397	76	25	21	0	0	0	0	0	0	0	0	0	0	0	0	15316812	
154	1	A	5	N	2500	0	40	499	1611	83	30	25	0	0	0	0	0	0	0	0	0	0	0	0	15317109	
155	1	A	5	N	2500	0	40	456	1437	78	31	25	0	0	0	0	0	0	0	0	0	0	0	0	15317280	
156	1	A	5	N	2500	0	40	404	1011	47	19	16	0	0	0	0	0	0	0	0	0	0	0	0	15317452	
157	1	A	5	N	2500	0	40	285	1171	60	28	21	0	0	0	0	0	0	0	0	0	0	0	0	15317514	
158	1	A	5	N	2500	0	40	474	1551	85	33	27	0	0	0	0	0	0	0	0	0	0	0	0	15317702	
159	1	A	5	N	2500	0	40	271	546	29	14	14	0	0	0	0	0	0	0	0	0	0	0	0	15317764	
160	1	A	5	N	2500	0	40	387	902	38	16	13	0	0	0	0	0	0	0	0	0	0	0	0	15317920	
161	1	A	5	N	2500	0	40	324	937	42	17	17	0	0	0	0	0	0	0	0	0	0	0	0	15318528	
162	1	A	5	N	2500	0	40	34	43	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	15318762	
163	1	A	6	N	2500	0	40	64	288	28	1	1	0	0	0	0	0	0	0	0	0	0	0	0	15325970	
164	1	A	6	N	2500	0	40	297	1232	65	29	18	0	0	0	0	0	0	0	0	0	0	0	0	15326141	
165	1	A	6	N	2500	0	40	300	1448	76	30	21	0	0	0	0	0	0	0	0	0	0	0	0	15326453	
166	1	A	6	N	2500	0	40	25	32	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	15326921	
167	1	A	6	N	2500	0	40	594	1636	130	40	33	0	0	0	0	0	0	0	0	0	0	0	0	15327327	
168	1	A	6	N	2500	0	40	454	1398	72	29	21	0	0	0	0	0	0	0	0	0	0	0	0	15327904	
169	1	A	6	N	2500	0	40	737	2004	78	34	27	0	0	0	0	0	0	0	0	0	0	0	0	15328091	
170	1	A	6	N	2500	0	40	249	543	25	11	10	0	0	0	0	0	0	0	0	0	0	0	0	15328294	
171	1	A	6	N	2500	0	40	30	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15328294	
172	1	A	6	N	2500	0	40	384	780	25	14	11	0	0	0	0	0	0	0	0	0	0	0	0	15328918	
173	1	A	6	N	2500	0	40	453	1396	70	29	22	0	0	0	0	0	0	0	0	0	0	0	0	15329043	
174	1	A	6	N	2500	0	40	355	873	58	21	19	0	0	0	0	0	0	0	0	0	0	0	0	15329136	
175	1	A	6	N	2500	0	40	45	86	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	15329308	
176	1	A	6	N	2500	0	40	447	1365	83	28	20	0	0	0	0	0	0	0	0	0	0	0	0	15329698	
177	1	A	6	N	2500	0	40	354	1510	95	42	30	0	0	0	0	0	0	0	0	0	0	0	0	15330306	
178	1	A	6	N	2500	0	40	42	94	7	6	5	0	0	0	0	0	0	0	0	0	0	0	0	15330681	
179	1	A	6	N	2500	0	40	437	1337	73	30	24	0	0	0	0	0	0	0	0	0	0	0	0	15330759	
180	1	A	6	N	2500	0	40	1072	2198	110	57	43	0	0	0	0	0	0	0	0	0	0	0	0	15330790	
181	1	A	6	N	2500	0	40	317	692	33	14	15	0	0	0	0	0	0	0	0	0	0	0	0	15330946	
182	1	A	6	N	2500	0	40	30	43	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	15331242	
183	1	A	6	N	2500	0	40	53	85	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	15331274	
184	1	A	6	N	2500	0	40	344	1219	69	29	23	0	0	0	0	0	0	0	0	0	0	0	0	15331664	
185	1	A	6	N	2500	0	40	413	1162	55	22	18	0	0	0	0	0	0	0	0	0	0	0	0	15331773	
186	1	A	6	N	2500	0	40	298	1212	92	34	24	0	0	0	0	0	0	0	0	0	0	0	0	15332428	
187	1	A	6	N	2500	0	40	36	33	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15332428	
188	1	A	6	N	2500	0	40	567	2099	114	47	37	0	0	0	0	0	0	0	0	0	0	0	0	15332600	
189	1	A	6	N	2500	0	40	59	70	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	15332600	
190	1	A	6	N	2500	0	40	474	1917	105	45	35	0	0	0	0	0	0	0	0	0	0	0	0	15332693	
191	1	A	6	N	2500	0	40	1050	993	19	15	17	0	0	0	0	0	0	0	0	0	0	0	0	15332693	
192	1	A	6	N	2500	0	40	25	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15332693	
193	1	A	6	N	2500	0	40	20	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15332693	
194	1	A	6	N	2500	0	40	22	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15332693	
195	1	A	6	N	2500	0	40	24	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15332693	
196	1	A	6	N	2500	0	40	584	1710	112	42	33	0	0	0	0	0	0	0	0	0	0	0	0	15332802	
197	1	A	6	N	2500	0	40	291	1107	54	27	19	0	0	0	0	0	0	0	0	0	0	0	0	15332849	
198	1	A	6	N	2500	0	40	404	1717	105	42	30	0	0	0	0	0	0	0	0	0	0	0	0	15332896	
