Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	500	1495	81	28	24	0	0	0	0	0	0	0	0	0	0	0	0	19750335	
1	1	A	1	N	2500	0	40	43	49	12	10	11	0	0	0	0	0	0	0	0	0	0	0	0	19750834	
2	1	A	1	N	2500	0	40	414	1066	46	19	14	0	0	0	0	0	0	0	0	0	0	0	0	19751053	
3	1	A	1	N	2500	0	40	459	1386	64	26	21	0	0	0	0	0	0	0	0	0	0	0	0	19751396	
4	1	A	1	N	2500	0	40	433	1312	70	25	20	0	0	0	0	0	0	0	0	0	0	0	0	19751583	
5	1	A	1	N	2500	0	40	483	1641	92	34	29	0	0	0	0	0	0	0	0	0	0	0	0	19751879	
6	1	A	1	N	2500	0	40	470	1266	74	23	18	0	0	0	0	0	0	0	0	0	0	0	0	19752441	
7	1	A	1	N	2500	0	40	298	1470	103	36	23	0	0	0	0	0	0	0	0	0	0	0	0	19752441	
8	1	A	1	N	2500	0	40	282	1609	87	36	25	0	0	0	0	0	0	0	0	0	0	0	0	19752956	
9	1	A	1	N	2500	0	40	482	1355	72	26	21	0	0	0	0	0	0	0	0	0	0	0	0	19753689	
10	1	A	1	N	2500	0	40	450	1423	81	30	24	0	0	0	0	0	0	0	0	0	0	0	0	19753783	
11	1	A	1	N	2500	0	40	427	1307	67	25	23	0	0	0	0	0	0	0	0	0	0	0	0	19753907	
12	1	A	1	N	2500	0	40	447	1176	66	25	21	0	0	0	0	0	0	0	0	0	0	0	0	19754079	
13	1	A	1	N	2500	0	40	454	1370	75	25	20	0	0	0	0	0	0	0	0	0	0	0	0	19754266	
14	1	A	1	N	2500	0	40	403	1237	61	24	19	0	0	0	0	0	0	0	0	0	0	0	0	19754750	
15	1	A	1	N	2500	0	40	420	1266	73	24	19	0	0	0	0	0	0	0	0	0	0	0	0	19755343	
16	1	A	1	N	2500	0	40	605	1511	83	35	26	0	0	0	0	0	0	0	0	0	0	0	0	19755452	
17	1	A	1	N	2500	0	40	302	1179	57	22	19	0	0	0	0	0	0	0	0	0	0	0	0	19755577	
18	1	A	1	N	2500	0	40	449	1149	120	36	25	0	0	0	0	0	0	0	0	0	0	0	0	19756388	
19	1	A	1	N	2500	0	40	547	1638	89	37	25	0	0	0	0	0	0	0	0	0	0	0	0	19756591	
20	1	A	1	N	2500	0	40	423	1177	61	21	17	0	0	0	0	0	0	0	0	0	0	0	0	19757324	
21	1	A	2	N	2500	0	40	53	57	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	19766200	
22	1	A	2	N	2500	0	40	443	1371	73	27	21	0	0	0	0	0	0	0	0	0	0	0	0	19766356	
23	1	A	2	N	2500	0	40	26	25	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19766887	
24	1	A	2	N	2500	0	40	693	1996	111	39	31	0	0	0	0	0	0	0	0	0	0	0	0	19767011	
25	1	A	2	N	2500	0	40	420	1399	79	30	21	0	0	0	0	0	0	0	0	0	0	0	0	19767963	
26	1	A	2	N	2500	0	40	446	1362	73	29	21	0	0	0	0	0	0	0	0	0	0	0	0	19768010	
27	1	A	2	N	2500	0	40	435	1436	81	28	23	0	0	0	0	0	0	0	0	0	0	0	0	19768228	
28	1	A	2	N	2500	0	40	294	1265	71	28	23	0	0	0	0	0	0	0	0	0	0	0	0	19768571	
29	1	A	2	N	2500	0	40	289	1402	91	36	27	0	0	0	0	0	0	0	0	0	0	0	0	19769102	
30	1	A	2	N	2500	0	40	312	1406	76	32	21	0	0	0	0	0	0	0	0	0	0	0	0	19769149	
31	1	A	2	N	2500	0	40	476	1331	78	28	23	0	0	0	0	0	0	0	0	0	0	0	0	19769195	
32	1	A	2	N	2500	0	40	32	75	12	11	8	0	0	0	0	0	0	0	0	0	0	0	0	19769336	
33	1	A	2	N	2500	0	40	28	46	11	11	17	0	0	0	0	0	0	0	0	0	0	0	0	19769695	
34	1	A	2	N	2500	0	40	748	2093	123	52	40	0	0	0	0	0	0	0	0	0	0	0	0	19769773	
35	1	A	2	N	2500	0	40	421	1264	64	28	21	0	0	0	0	0	0	0	0	0	0	0	0	19769835	
36	1	A	2	N	2500	0	40	451	1326	77	27	21	0	0	0	0	0	0	0	0	0	0	0	0	19769866	
37	1	A	2	N	2500	0	40	433	1293	64	23	21	0	0	0	0	0	0	0	0	0	0	0	0	19769897	
38	1	A	2	N	2500	0	40	369	1482	90	34	27	0	0	0	0	0	0	0	0	0	0	0	0	19770116	
39	1	A	2	N	2500	0	40	204	913	34	16	13	0	0	0	0	0	0	0	0	0	0	0	0	19770194	
40	1	A	2	N	2500	0	40	347	1583	85	35	28	0	0	0	0	0	0	0	0	0	0	0	0	19770303	
41	1	A	2	N	2500	0	40	32	25	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	19770615	
42	1	A	2	N	2500	0	40	624	1829	84	40	28	0	0	0	0	0	0	0	0	0	0	0	0	19770615	
