Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	522	1742	99	35	28	0	0	0	0	0	0	0	0	0	0	0	0	7459172	
1	1	A	1	N	2500	0	40	672	1876	110	47	36	0	0	0	0	0	0	0	0	0	0	0	0	7460342	
2	1	A	1	N	2500	0	40	29	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7460654	
3	1	A	1	N	2500	0	40	635	2294	115	49	36	0	0	0	0	0	0	0	0	0	0	0	0	7460654	
4	1	A	1	N	2500	0	40	436	1357	75	28	23	0	0	0	0	0	0	0	0	0	0	0	0	7460982	
5	1	A	1	N	2500	0	40	20	25	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7461200	
6	1	A	1	N	2500	0	40	271	632	35	17	17	0	0	0	0	0	0	0	0	0	0	0	0	7461731	
7	1	A	1	N	2500	0	40	489	1675	110	44	36	0	0	0	0	0	0	0	0	0	0	0	0	7461746	
8	1	A	1	N	2500	0	40	423	1333	70	29	23	0	0	0	0	0	0	0	0	0	0	0	0	7462058	
9	1	A	1	N	2500	0	40	22	23	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7462214	
10	1	A	1	N	2500	0	40	451	1355	69	28	23	0	0	0	0	0	0	0	0	0	0	0	0	7462526	
11	1	A	1	N	2500	0	40	534	1805	89	41	36	0	0	0	0	0	0	0	0	0	0	0	0	7462573	
12	1	A	1	N	2500	0	40	755	2385	111	44	35	0	0	0	0	0	0	0	0	0	0	0	0	7462620	
13	1	A	1	N	2500	0	40	29	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7462823	
14	1	A	1	N	2500	0	40	30	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7462823	
15	1	A	1	N	2500	0	40	22	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7462823	
16	1	A	1	N	2500	0	40	29	26	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7462823	
17	1	A	1	N	2500	0	40	37	29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7463306	
18	1	A	1	N	2500	0	40	50	40	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7463306	
19	1	A	1	N	2500	0	40	161	142	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	7463306	
20	1	A	1	N	2500	0	40	575	2116	106	49	32	0	0	0	0	0	0	0	0	0	0	0	0	7463306	
21	1	A	1	N	2500	0	40	452	1379	74	29	23	0	0	0	0	0	0	0	0	0	0	0	0	7463603	
22	1	A	1	N	2500	0	40	306	1671	91	42	32	0	0	0	0	0	0	0	0	0	0	0	0	7464258	
23	1	A	1	N	2500	0	40	261	1096	64	27	21	0	0	0	0	0	0	0	0	0	0	0	0	7464367	
24	1	A	1	N	2500	0	40	438	1447	79	29	24	0	0	0	0	0	0	0	0	0	0	0	0	7464507	
25	1	A	1	N	2500	0	40	374	1426	82	33	25	0	0	0	0	0	0	0	0	0	0	0	0	7464617	
26	1	A	1	N	2500	0	40	25	60	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7464710	
27	1	A	1	N	2500	0	40	325	1637	111	41	28	0	0	0	0	0	0	0	0	0	0	0	0	7464866	
28	1	A	1	N	2500	0	40	272	468	12	7	8	0	0	0	0	0	0	0	0	0	0	0	0	7465163	
29	1	A	1	N	2500	0	40	540	1858	96	38	30	0	0	0	0	0	0	0	0	0	0	0	0	7465568	
30	1	A	1	N	2500	0	40	40	63	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	7465927	
31	1	A	2	N	2500	0	40	23	28	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7473431	
32	1	A	2	N	2500	0	40	27	40	9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7473524	
33	1	A	2	N	2500	0	40	439	1399	68	28	23	0	0	0	0	0	0	0	0	0	0	0	0	7473680	
34	1	A	2	N	2500	0	40	43	87	12	1	2	0	0	0	0	0	0	0	0	0	0	0	0	7474023	
35	1	A	2	N	2500	0	40	30	44	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7474429	
36	1	A	2	N	2500	0	40	39	106	12	2	1	0	0	0	0	0	0	0	0	0	0	0	0	7474476	
37	1	A	2	N	2500	0	40	23	27	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7474679	
38	1	A	2	N	2500	0	40	22	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7474866	
39	1	A	2	N	2500	0	40	46	141	14	4	1	0	0	0	0	0	0	0	0	0	0	0	0	7474928	
40	1	A	2	N	2500	0	40	22	36	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	7475708	
41	1	A	2	N	2500	0	40	431	1457	87	33	24	0	0	0	0	0	0	0	0	0	0	0	0	7476223	
42	1	A	2	N	2500	0	40	655	2292	111	48	37	0	0	0	0	0	0	0	0	0	0	0	0	7476348	
43	1	A	2	N	2500	0	40	34	42	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	7476691	
44	1	A	2	N	2500	0	40	40	42	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7476847	
45	1	A	2	N	2500	0	40	452	1432	79	29	22	0	0	0	0	0	0	0	0	0	0	0	0	7476941	
46	1	A	2	N	2500	0	40	421	1376	84	32	27	0	0	0	0	0	0	0	0	0	0	0	0	7477081	
47	1	A	2	N	2500	0	40	440	1428	91	32	27	0	0	0	0	0	0	0	0	0	0	0	0	7477081	
48	1	A	2	N	2500	0	40	438	1416	67	29	23	0	0	0	0	0	0	0	0	0	0	0	0	7477128	
49	1	A	2	N	2500	0	40	23	34	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7477237	
50	1	A	2	N	2500	0	40	36	71	9	2	1	0	0	0	0	0	0	0	0	0	0	0	0	7478095	
51	1	A	2	N	2500	0	40	405	1185	61	23	21	0	0	0	0	0	0	0	0	0	0	0	0	7478220	
52	1	A	2	N	2500	0	40	47	83	14	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7478469	
53	1	A	2	N	2500	0	40	397	1556	112	42	33	0	0	0	0	0	0	0	0	0	0	0	0	7478579	
