Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	502	1433	84	28	22	0	0	0	0	0	0	0	0	0	0	0	0	16699880	
1	1	A	1	N	2500	0	40	633	1373	127	36	31	0	0	0	0	0	0	0	0	0	0	0	0	16700036	
2	1	A	1	N	2500	0	40	355	964	40	18	15	0	0	0	0	0	0	0	0	0	0	0	0	16700332	
3	1	A	1	N	2500	0	40	430	1264	63	24	21	0	0	0	0	0	0	0	0	0	0	0	0	16701018	
4	1	A	1	N	2500	0	40	37	68	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	16701034	
5	1	A	1	N	2500	0	40	53	72	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16701159	
6	1	A	1	N	2500	0	40	421	1459	91	40	32	0	0	0	0	0	0	0	0	0	0	0	0	16701284	
7	1	A	1	N	2500	0	40	409	1213	62	25	19	0	0	0	0	0	0	0	0	0	0	0	0	16701861	
8	1	A	1	N	2500	0	40	49	102	5	5	7	0	0	0	0	0	0	0	0	0	0	0	0	16702188	
9	1	A	1	N	2500	0	40	411	1017	43	20	17	0	0	0	0	0	0	0	0	0	0	0	0	16702532	
10	1	A	1	N	2500	0	40	390	1448	100	31	28	0	0	0	0	0	0	0	0	0	0	0	0	16702594	
11	1	A	1	N	2500	0	40	338	1350	88	32	26	0	0	0	0	0	0	0	0	0	0	0	0	16702781	
12	1	A	1	N	2500	0	40	30	49	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	16703296	
13	1	A	1	N	2500	0	40	258	928	38	20	15	0	0	0	0	0	0	0	0	0	0	0	0	16703405	
14	1	A	1	N	2500	0	40	419	1248	61	23	18	0	0	0	0	0	0	0	0	0	0	0	0	16703639	
15	1	A	1	N	2500	0	40	437	1261	62	25	21	0	0	0	0	0	0	0	0	0	0	0	0	16703826	
16	1	A	1	N	2500	0	40	624	1712	64	31	25	0	0	0	0	0	0	0	0	0	0	0	0	16703858	
17	1	A	1	N	2500	0	40	256	1299	90	31	25	0	0	0	0	0	0	0	0	0	0	0	0	16704357	
18	1	A	1	N	2500	0	40	480	1354	85	30	30	0	0	0	0	0	0	0	0	0	0	0	0	16704372	
19	1	A	1	N	2500	0	40	20	22	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16704903	
20	1	A	1	N	2500	0	40	402	1110	49	20	16	0	0	0	0	0	0	0	0	0	0	0	0	16704934	
21	1	A	1	N	2500	0	40	66	90	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	16704950	
22	1	A	1	N	2500	0	40	595	1553	80	36	27	0	0	0	0	0	0	0	0	0	0	0	0	16705184	
23	1	A	1	N	2500	0	40	233	455	19	12	14	0	0	0	0	0	0	0	0	0	0	0	0	16705293	
24	1	A	1	N	2500	0	40	26	30	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	16705979	
25	1	A	1	N	2500	0	40	484	1350	69	26	20	0	0	0	0	0	0	0	0	0	0	0	0	16706213	
26	1	A	2	N	2500	0	40	570	1407	87	36	26	0	0	0	0	0	0	0	0	0	0	0	0	16713654	
27	1	A	2	N	2500	0	40	438	1284	67	22	20	0	0	0	0	0	0	0	0	0	0	0	0	16713670	
28	1	A	2	N	2500	0	40	463	1496	83	32	25	0	0	0	0	0	0	0	0	0	0	0	0	16714232	
29	1	A	2	N	2500	0	40	20	25	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16715152	
30	1	A	2	N	2500	0	40	455	1339	80	29	24	0	0	0	0	0	0	0	0	0	0	0	0	16716572	
31	1	A	2	N	2500	0	40	406	936	46	19	18	0	0	0	0	0	0	0	0	0	0	0	0	16716618	
32	1	A	2	N	2500	0	40	443	1304	73	29	19	0	0	0	0	0	0	0	0	0	0	0	0	16716884	
33	1	A	2	N	2500	0	40	452	1269	78	28	21	0	0	0	0	0	0	0	0	0	0	0	0	16716930	
34	1	A	2	N	2500	0	40	429	1141	51	20	17	0	0	0	0	0	0	0	0	0	0	0	0	16716962	
35	1	A	2	N	2500	0	40	478	1339	66	31	27	0	0	0	0	0	0	0	0	0	0	0	0	16717180	
36	1	A	2	N	2500	0	40	426	1250	67	26	20	0	0	0	0	0	0	0	0	0	0	0	0	16717383	
37	1	A	2	N	2500	0	40	25	33	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16717632	
38	1	A	2	N	2500	0	40	343	1473	91	34	25	0	0	0	0	0	0	0	0	0	0	0	0	16718490	
39	1	A	2	N	2500	0	40	345	1097	61	29	22	0	0	0	0	0	0	0	0	0	0	0	0	16718615	
40	1	A	2	N	2500	0	40	30	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16718615	
41	1	A	2	N	2500	0	40	264	1257	68	30	22	0	0	0	0	0	0	0	0	0	0	0	0	16718943	
42	1	A	2	N	2500	0	40	429	1215	62	24	20	0	0	0	0	0	0	0	0	0	0	0	0	16719239	
43	1	A	2	N	2500	0	40	422	1269	66	24	23	0	0	0	0	0	0	0	0	0	0	0	0	16719270	
44	1	A	2	N	2500	0	40	118	313	10	9	7	0	0	0	0	0	0	0	0	0	0	0	0	16719364	
45	1	A	2	N	2500	0	40	26	43	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	16719645	
46	1	A	2	N	2500	0	40	44	158	13	11	14	0	0	0	0	0	0	0	0	0	0	0	0	16719676	
47	1	A	2	N	2500	0	40	666	1841	93	35	26	0	0	0	0	0	0	0	0	0	0	0	0	16719754	
48	1	A	2	N	2500	0	40	435	1176	53	23	18	0	0	0	0	0	0	0	0	0	0	0	0	16720035	
49	1	A	2	N	2500	0	40	458	1383	75	26	21	0	0	0	0	0	0	0	0	0	0	0	0	16720206	
50	1	A	2	N	2500	0	40	412	1152	46	21	19	0	0	0	0	0	0	0	0	0	0	0	0	16720284	
51	1	A	2	N	2500	0	40	270	569	22	9	9	0	0	0	0	0	0	0	0	0	0	0	0	16720331	
52	1	A	3	N	2500	0	40	416	1175	58	24	19	0	0	0	0	0	0	0	0	0	0	0	0	16728724	
53	1	A	3	N	2500	0	40	23	42	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	16729114	
54	1	A	3	N	2500	0	40	434	1265	76	27	23	0	0	0	0	0	0	0	0	0	0	0	0	16729145	
55	1	A	3	N	2500	0	40	31	55	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16729754	
56	1	A	3	N	2500	0	40	395	900	41	16	16	0	0	0	0	0	0	0	0	0	0	0	0	16730034	
57	1	A	3	N	2500	0	40	424	1261	65	23	20	0	0	0	0	0	0	0	0	0	0	0	0	16730050	
58	1	A	3	N	2500	0	40	31	51	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	16730206	
59	1	A	3	N	2500	0	40	417	1063	44	20	18	0	0	0	0	0	0	0	0	0	0	0	0	16730471	
60	1	A	3	N	2500	0	40	453	1250	67	26	21	0	0	0	0	0	0	0	0	0	0	0	0	16731236	
61	1	A	3	N	2500	0	40	533	2115	117	49	40	0	0	0	0	0	0	0	0	0	0	0	0	16731267	
62	1	A	3	N	2500	0	40	404	1026	42	21	16	0	0	0	0	0	0	0	0	0	0	0	0	16731407	
