Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	63	173	15	3	1	0	0	0	0	0	0	0	0	0	0	0	0	23046548	
1	1	A	1	N	2500	0	40	28	35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23046548	
2	1	A	1	N	2500	0	40	238	549	42	11	9	0	0	0	0	0	0	0	0	0	0	0	0	23046548	
3	1	A	1	N	2500	0	40	96	161	10	3	3	0	0	0	0	0	0	0	0	0	0	0	0	23046751	
4	1	A	1	N	2500	0	40	548	926	29	15	16	0	0	0	0	0	0	0	0	0	0	0	0	23047594	
5	1	A	1	N	2500	0	40	49	73	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	23047812	
6	1	A	1	N	2500	0	40	24	34	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	23048233	
7	1	A	1	N	2500	0	40	95	250	38	5	4	0	0	0	0	0	0	0	0	0	0	0	0	23049200	
8	1	A	1	N	2500	0	40	210	763	29	15	13	0	0	0	0	0	0	0	0	0	0	0	0	23049606	
9	1	A	1	N	2500	0	40	113	110	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	23049606	
10	1	A	1	N	2500	0	40	257	716	25	12	10	0	0	0	0	0	0	0	0	0	0	0	0	23049668	
11	1	A	1	N	2500	0	40	194	637	25	10	10	0	0	0	0	0	0	0	0	0	0	0	0	23049856	
12	1	A	1	N	2500	0	40	230	583	24	10	10	0	0	0	0	0	0	0	0	0	0	0	0	23050074	
13	1	A	1	N	2500	0	40	25	27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23050105	
14	1	A	1	N	2500	0	40	22	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	23050183	
15	1	A	1	N	2500	0	40	79	87	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	23050183	
16	1	A	1	N	2500	0	40	169	683	31	14	9	0	0	0	0	0	0	0	0	0	0	0	0	23050433	
17	1	A	1	N	2500	0	40	252	580	22	8	8	0	0	0	0	0	0	0	0	0	0	0	0	23050589	
18	1	A	1	N	2500	0	40	352	682	21	11	9	0	0	0	0	0	0	0	0	0	0	0	0	23051072	
19	1	A	1	N	2500	0	40	341	782	26	12	9	0	0	0	0	0	0	0	0	0	0	0	0	23051338	
20	1	A	1	N	2500	0	40	152	705	34	15	13	0	0	0	0	0	0	0	0	0	0	0	0	23051462	
21	1	A	1	N	2500	0	40	361	801	29	14	10	0	0	0	0	0	0	0	0	0	0	0	0	23051509	
22	1	A	1	N	2500	0	40	212	497	17	8	8	0	0	0	0	0	0	0	0	0	0	0	0	23051618	
23	1	A	1	N	2500	0	40	395	765	33	12	10	0	0	0	0	0	0	0	0	0	0	0	0	23051665	
24	1	A	1	N	2500	0	40	21	36	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	23052367	
25	1	A	1	N	2500	0	40	297	565	19	8	6	0	0	0	0	0	0	0	0	0	0	0	0	23052367	
26	1	A	1	N	2500	0	40	28	44	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	23052679	
27	1	A	2	N	2500	0	40	267	590	22	10	8	0	0	0	0	0	0	0	0	0	0	0	0	23060479	
28	1	A	2	N	2500	0	40	27	49	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	23060744	
29	1	A	2	N	2500	0	40	282	708	26	12	10	0	0	0	0	0	0	0	0	0	0	0	0	23060776	
30	1	A	2	N	2500	0	40	29	50	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	23061462	
31	1	A	2	N	2500	0	40	311	624	20	10	11	0	0	0	0	0	0	0	0	0	0	0	0	23061712	
32	1	A	2	N	2500	0	40	176	663	25	12	10	0	0	0	0	0	0	0	0	0	0	0	0	23061758	
33	1	A	2	N	2500	0	40	614	1217	65	21	18	0	0	0	0	0	0	0	0	0	0	0	0	23062258	
34	1	A	2	N	2500	0	40	30	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23062258	
35	1	A	2	N	2500	0	40	25	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23062258	
36	1	A	2	N	2500	0	40	348	789	28	12	11	0	0	0	0	0	0	0	0	0	0	0	0	23062554	
37	1	A	2	N	2500	0	40	344	742	25	13	11	0	0	0	0	0	0	0	0	0	0	0	0	23063521	
38	1	A	2	N	2500	0	40	68	83	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	23064192	
39	1	A	2	N	2500	0	40	308	618	21	10	10	0	0	0	0	0	0	0	0	0	0	0	0	23064754	
40	1	A	2	N	2500	0	40	205	701	33	12	9	0	0	0	0	0	0	0	0	0	0	0	0	23065315	
41	1	A	2	N	2500	0	40	302	596	21	8	7	0	0	0	0	0	0	0	0	0	0	0	0	23065393	
42	1	A	2	N	2500	0	40	393	719	38	13	11	0	0	0	0	0	0	0	0	0	0	0	0	23065627	
43	1	A	2	N	2500	0	40	328	649	20	11	10	0	0	0	0	0	0	0	0	0	0	0	0	23065814	
44	1	A	2	N	2500	0	40	299	650	31	11	9	0	0	0	0	0	0	0	0	0	0	0	0	23066095	
45	1	A	2	N	2500	0	40	420	827	30	12	12	0	0	0	0	0	0	0	0	0	0	0	0	23066095	
46	1	A	2	N	2500	0	40	117	353	25	10	6	0	0	0	0	0	0	0	0	0	0	0	0	23066345	
47	1	A	2	N	2500	0	40	84	130	8	4	3	0	0	0	0	0	0	0	0	0	0	0	0	23066345	
48	1	A	2	N	2500	0	40	291	565	19	8	6	0	0	0	0	0	0	0	0	0	0	0	0	23066485	
49	1	A	2	N	2500	0	40	28	34	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23066485	
50	1	A	2	N	2500	0	40	288	592	22	8	9	0	0	0	0	0	0	0	0	0	0	0	0	23066548	
51	1	A	2	N	2500	0	40	369	815	24	14	9	0	0	0	0	0	0	0	0	0	0	0	0	23066797	
52	1	A	2	N	2500	0	40	285	518	18	7	8	0	0	0	0	0	0	0	0	0	0	0	0	23066797	
53	1	A	2	N	2500	0	40	20	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23067203	
54	1	A	2	N	2500	0	40	290	953	44	21	14	0	0	0	0	0	0	0	0	0	0	0	0	23067452	
55	1	A	2	N	2500	0	40	350	707	27	13	9	0	0	0	0	0	0	0	0	0	0	0	0	23067562	
56	1	A	3	N	2500	0	40	22	48	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	23075112	
57	1	A	3	N	2500	0	40	21	39	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	23075408	
58	1	A	3	N	2500	0	40	110	148	8	2	3	0	0	0	0	0	0	0	0	0	0	0	0	23075798	
59	1	A	3	N	2500	0	40	75	204	17	4	3	0	0	0	0	0	0	0	0	0	0	0	0	23075798	
60	1	A	3	N	2500	0	40	152	487	39	10	7	0	0	0	0	0	0	0	0	0	0	0	0	23075798	
61	1	A	3	N	2500	0	40	119	389	43	9	6	0	0	0	0	0	0	0	0	0	0	0	0	23075970	
62	1	A	3	N	2500	0	40	278	574	31	11	9	0	0	0	0	0	0	0	0	0	0	0	0	23076688	
63	1	A	3	N	2500	0	40	391	781	34	12	12	0	0	0	0	0	0	0	0	0	0	0	0	23077686	
64	1	A	3	N	2500	0	40	289	583	20	10	9	0	0	0	0	0	0	0	0	0	0	0	0	23078107	
65	1	A	3	N	2500	0	40	137	810	94	85	94	0	0	0	0	0	0	0	0	0	0	0	0	23078248	
66	1	A	3	N	2500	0	40	28	48	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	23078856	
67	1	A	3	N	2500	0	40	283	540	18	8	7	0	0	0	0	0	0	0	0	0	0	0	0	23078903	
68	1	A	3	N	2500	0	40	298	582	23	8	8	0	0	0	0	0	0	0	0	0	0	0	0	23079995	
69	1	A	3	N	2500	0	40	341	709	24	11	11	0	0	0	0	0	0	0	0	0	0	0	0	23079995	
70	1	A	3	N	2500	0	40	286	614	20	10	7	0	0	0	0	0	0	0	0	0	0	0	0	23080166	
71	1	A	3	N	2500	0	40	297	526	19	7	8	0	0	0	0	0	0	0	0	0	0	0	0	23080198	
72	1	A	3	N	2500	0	40	268	630	32	10	9	0	0	0	0	0	0	0	0	0	0	0	0	23080416	
73	1	A	3	N	2500	0	40	238	802	32	14	12	0	0	0	0	0	0	0	0	0	0	0	0	23080588	
74	1	A	3	N	2500	0	40	32	68	11	11	12	0	0	0	0	0	0	0	0	0	0	0	0	23080697	
75	1	A	3	N	2500	0	40	323	728	27	14	13	0	0	0	0	0	0	0	0	0	0	0	0	23080962	
76	1	A	3	N	2500	0	40	319	629	19	8	4	0	0	0	0	0	0	0	0	0	0	0	0	23081040	
77	1	A	3	N	2500	0	40	299	562	17	9	8	0	0	0	0	0	0	0	0	0	0	0	0	23081446	
78	1	A	3	N	2500	0	40	296	495	20	8	7	0	0	0	0	0	0	0	0	0	0	0	0	23081461	
79	1	A	3	N	2500	0	40	253	522	17	8	8	0	0	0	0	0	0	0	0	0	0	0	0	23081524	
80	1	A	3	N	2500	0	40	20	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23081945	
81	1	A	3	N	2500	0	40	228	333	6	4	4	0	0	0	0	0	0	0	0	0	0	0	0	23082007	
82	1	A	4	N	2500	0	40	148	578	31	11	11	0	0	0	0	0	0	0	0	0	0	0	0	23090416	
83	1	A	4	N	2500	0	40	46	109	7	2	1	0	0	0	0	0	0	0	0	0	0	0	0	23090603	
84	1	A	4	N	2500	0	40	367	695	26	14	8	0	0	0	0	0	0	0	0	0	0	0	0	23090681	
85	1	A	4	N	2500	0	40	213	581	34	13	10	0	0	0	0	0	0	0	0	0	0	0	0	23090743	
86	1	A	4	N	2500	0	40	36	35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23091211	
87	1	A	4	N	2500	0	40	76	273	40	4	3	0	0	0	0	0	0	0	0	0	0	0	0	23091898	
88	1	A	4	N	2500	0	40	350	639	20	9	9	0	0	0	0	0	0	0	0	0	0	0	0	23092428	
89	1	A	4	N	2500	0	40	289	573	17	8	5	0	0	0	0	0	0	0	0	0	0	0	0	23092678	
90	1	A	4	N	2500	0	40	495	1005	37	17	14	0	0	0	0	0	0	0	0	0	0	0	0	23093068	
91	1	A	4	N	2500	0	40	298	606	19	10	9	0	0	0	0	0	0	0	0	0	0	0	0	23093536	
92	1	A	4	N	2500	0	40	310	605	28	9	11	0	0	0	0	0	0	0	0	0	0	0	0	23093645	
93	1	A	4	N	2500	0	40	361	628	25	9	8	0	0	0	0	0	0	0	0	0	0	0	0	23093926	
94	1	A	4	N	2500	0	40	354	683	19	8	9	0	0	0	0	0	0	0	0	0	0	0	0	23094425	
95	1	A	4	N	2500	0	40	259	930	38	16	13	0	0	0	0	0	0	0	0	0	0	0	0	23095002	
96	1	A	4	N	2500	0	40	305	549	18	7	7	0	0	0	0	0	0	0	0	0	0	0	0	23095018	
97	1	A	4	N	2500	0	40	425	829	26	14	12	0	0	0	0	0	0	0	0	0	0	0	0	23095033	
98	1	A	4	N	2500	0	40	340	621	18	8	9	0	0	0	0	0	0	0	0	0	0	0	0	23095096	
99	1	A	4	N	2500	0	40	314	626	18	9	10	0	0	0	0	0	0	0	0	0	0	0	0	23095220	
100	1	A	4	N	2500	0	40	239	374	10	5	5	0	0	0	0	0	0	0	0	0	0	0	0	23095969	
101	1	A	4	N	2500	0	40	386	803	22	10	10	0	0	0	0	0	0	0	0	0	0	0	0	23095985	
102	1	A	4	N	2500	0	40	313	696	26	11	10	0	0	0	0	0	0	0	0	0	0	0	0	23096047	
103	1	A	4	N	2500	0	40	320	652	23	11	10	0	0	0	0	0	0	0	0	0	0	0	0	23096297	
104	1	A	4	N	2500	0	40	307	649	24	11	8	0	0	0	0	0	0	0	0	0	0	0	0	23096531	
105	1	A	4	N	2500	0	40	320	669	24	12	9	0	0	0	0	0	0	0	0	0	0	0	0	23096702	
106	1	A	4	N	2500	0	40	333	695	23	10	10	0	0	0	0	0	0	0	0	0	0	0	0	23097108	
