Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	269	683	21	9	7	0	0	0	0	0	0	0	0	0	0	0	0	14967489	
1	1	A	1	N	2500	0	40	22	25	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14967661	
2	1	A	1	N	2500	0	40	261	690	27	12	8	0	0	0	0	0	0	0	0	0	0	0	0	14968145	
3	1	A	1	N	2500	0	40	242	683	25	9	8	0	0	0	0	0	0	0	0	0	0	0	0	14968254	
4	1	A	1	N	2500	0	40	266	558	22	5	7	0	0	0	0	0	0	0	0	0	0	0	0	14968909	
5	1	A	1	N	2500	0	40	22	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14969377	
6	1	A	1	N	2500	0	40	28	33	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	14969580	
7	1	A	1	N	2500	0	40	274	662	24	11	10	0	0	0	0	0	0	0	0	0	0	0	0	14970017	
8	1	A	1	N	2500	0	40	238	381	10	3	3	0	0	0	0	0	0	0	0	0	0	0	0	14970890	
9	1	A	1	N	2500	0	40	283	584	21	6	7	0	0	0	0	0	0	0	0	0	0	0	0	14970937	
10	1	A	1	N	2500	0	40	278	593	21	7	6	0	0	0	0	0	0	0	0	0	0	0	0	14971155	
11	1	A	1	N	2500	0	40	53	141	10	9	10	0	0	0	0	0	0	0	0	0	0	0	0	14971233	
12	1	A	1	N	2500	0	40	248	475	14	5	6	0	0	0	0	0	0	0	0	0	0	0	0	14971655	
13	1	A	1	N	2500	0	40	266	571	23	8	6	0	0	0	0	0	0	0	0	0	0	0	0	14971701	
14	1	A	1	N	2500	0	40	268	554	18	5	7	0	0	0	0	0	0	0	0	0	0	0	0	14971779	
15	1	A	1	N	2500	0	40	31	49	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	14971826	
16	1	A	1	N	2500	0	40	330	829	30	12	12	0	0	0	0	0	0	0	0	0	0	0	0	14972013	
17	1	A	1	N	2500	0	40	271	559	21	7	7	0	0	0	0	0	0	0	0	0	0	0	0	14972201	
18	1	A	1	N	2500	0	40	25	30	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14972403	
19	1	A	1	N	2500	0	40	269	509	18	6	6	0	0	0	0	0	0	0	0	0	0	0	0	14972513	
20	1	A	1	N	2500	0	40	263	525	19	7	7	0	0	0	0	0	0	0	0	0	0	0	0	14972669	
21	1	A	1	N	2500	0	40	269	615	22	8	6	0	0	0	0	0	0	0	0	0	0	0	0	14973839	
22	1	A	1	N	2500	0	40	268	609	20	8	6	0	0	0	0	0	0	0	0	0	0	0	0	14973870	
23	1	A	1	N	2500	0	40	258	572	21	8	9	0	0	0	0	0	0	0	0	0	0	0	0	14974057	
24	1	A	2	N	2500	0	40	248	552	18	8	8	0	0	0	0	0	0	0	0	0	0	0	0	14982465	
25	1	A	2	N	2500	0	40	267	553	21	8	6	0	0	0	0	0	0	0	0	0	0	0	0	14982559	
26	1	A	2	N	2500	0	40	304	735	32	11	10	0	0	0	0	0	0	0	0	0	0	0	0	14982575	
27	1	A	2	N	2500	0	40	416	757	57	12	12	0	0	0	0	0	0	0	0	0	0	0	0	14982653	
28	1	A	2	N	2500	0	40	139	584	24	9	9	0	0	0	0	0	0	0	0	0	0	0	0	14982715	
29	1	A	2	N	2500	0	40	31	62	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	14983089	
30	1	A	2	N	2500	0	40	281	596	23	6	9	0	0	0	0	0	0	0	0	0	0	0	0	14983245	
31	1	A	2	N	2500	0	40	89	90	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	14983308	
32	1	A	2	N	2500	0	40	218	514	20	7	7	0	0	0	0	0	0	0	0	0	0	0	0	14983308	
33	1	A	2	N	2500	0	40	279	678	24	8	6	0	0	0	0	0	0	0	0	0	0	0	0	14983573	
34	1	A	2	N	2500	0	40	255	466	20	8	6	0	0	0	0	0	0	0	0	0	0	0	0	14983776	
35	1	A	2	N	2500	0	40	268	525	18	5	5	0	0	0	0	0	0	0	0	0	0	0	0	14985086	
36	1	A	2	N	2500	0	40	235	440	15	5	6	0	0	0	0	0	0	0	0	0	0	0	0	14986085	
37	1	A	2	N	2500	0	40	191	710	30	10	9	0	0	0	0	0	0	0	0	0	0	0	0	14986537	
38	1	A	2	N	2500	0	40	252	595	23	9	9	0	0	0	0	0	0	0	0	0	0	0	0	14987317	
39	1	A	2	N	2500	0	40	202	331	9	2	4	0	0	0	0	0	0	0	0	0	0	0	0	14987847	
40	1	A	3	N	2500	0	40	164	515	23	7	5	0	0	0	0	0	0	0	0	0	0	0	0	14996552	
41	1	A	3	N	2500	0	40	28	64	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14996927	
42	1	A	3	N	2500	0	40	409	939	41	15	12	0	0	0	0	0	0	0	0	0	0	0	0	14997878	
43	1	A	3	N	2500	0	40	286	634	22	7	7	0	0	0	0	0	0	0	0	0	0	0	0	14998643	
44	1	A	3	N	2500	0	40	250	475	16	5	5	0	0	0	0	0	0	0	0	0	0	0	0	15000156	
45	1	A	3	N	2500	0	40	250	593	24	10	10	0	0	0	0	0	0	0	0	0	0	0	0	15000234	
46	1	A	3	N	2500	0	40	379	792	27	13	14	0	0	0	0	0	0	0	0	0	0	0	0	15000655	
47	1	A	3	N	2500	0	40	245	644	24	10	8	0	0	0	0	0	0	0	0	0	0	0	0	15000702	
48	1	A	3	N	2500	0	40	225	350	9	1	4	0	0	0	0	0	0	0	0	0	0	0	0	15000889	
49	1	A	3	N	2500	0	40	370	826	33	12	13	0	0	0	0	0	0	0	0	0	0	0	0	15001154	
50	1	A	3	N	2500	0	40	220	370	8	5	4	0	0	0	0	0	0	0	0	0	0	0	0	15001170	
