Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	302	1082	52	24	18	0	0	0	0	0	0	0	0	0	0	0	0	19693904	
1	1	A	1	N	2500	0	40	24	26	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19694138	
2	1	A	1	N	2500	0	40	374	859	35	15	14	0	0	0	0	0	0	0	0	0	0	0	0	19694278	
3	1	A	1	N	2500	0	40	38	49	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	19694668	
4	1	A	1	N	2500	0	40	89	446	55	53	55	0	0	0	0	0	0	0	0	0	0	0	0	19695261	
5	1	A	1	N	2500	0	40	22	25	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19695370	
6	1	A	1	N	2500	0	40	484	1406	57	30	24	0	0	0	0	0	0	0	0	0	0	0	0	19695573	
7	1	A	1	N	2500	0	40	316	1200	64	27	19	0	0	0	0	0	0	0	0	0	0	0	0	19695651	
8	1	A	1	N	2500	0	40	380	1006	46	17	15	0	0	0	0	0	0	0	0	0	0	0	0	19696509	
9	1	A	1	N	2500	0	40	246	1286	81	33	23	0	0	0	0	0	0	0	0	0	0	0	0	19696992	
10	1	A	1	N	2500	0	40	271	705	54	19	14	0	0	0	0	0	0	0	0	0	0	0	0	19697414	
11	1	A	1	N	2500	0	40	344	827	31	15	12	0	0	0	0	0	0	0	0	0	0	0	0	19697710	
12	1	A	1	N	2500	0	40	48	124	9	10	10	0	0	0	0	0	0	0	0	0	0	0	0	19697757	
13	1	A	1	N	2500	0	40	49	138	13	11	11	0	0	0	0	0	0	0	0	0	0	0	0	19697788	
14	1	A	1	N	2500	0	40	51	85	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	19697913	
15	1	A	1	N	2500	0	40	30	35	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19698443	
16	1	A	1	N	2500	0	40	323	1119	53	27	21	0	0	0	0	0	0	0	0	0	0	0	0	19698474	
17	1	A	1	N	2500	0	40	20	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19698474	
18	1	A	1	N	2500	0	40	812	779	11	8	9	0	0	0	0	0	0	0	0	0	0	0	0	19698474	
19	1	A	1	N	2500	0	40	385	1140	61	23	18	0	0	0	0	0	0	0	0	0	0	0	0	19698584	
20	1	A	1	N	2500	0	40	35	71	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	19698615	
21	1	A	1	N	2500	0	40	57	139	11	11	13	0	0	0	0	0	0	0	0	0	0	0	0	19698662	
22	1	A	1	N	2500	0	40	24	41	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	19698849	
23	1	A	1	N	2500	0	40	399	1068	48	21	17	0	0	0	0	0	0	0	0	0	0	0	0	19698896	
24	1	A	1	N	2500	0	40	28	36	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	19698896	
25	1	A	1	N	2500	0	40	526	1657	89	33	28	0	0	0	0	0	0	0	0	0	0	0	0	19698989	
26	1	A	1	N	2500	0	40	449	850	38	17	15	0	0	0	0	0	0	0	0	0	0	0	0	19699442	
27	1	A	1	N	2500	0	40	327	568	18	8	10	0	0	0	0	0	0	0	0	0	0	0	0	19699660	
28	1	A	1	N	2500	0	40	21	26	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	19700175	
