Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	279	517	17	7	8	0	0	0	0	0	0	0	0	0	0	0	0	24654786	
1	1	A	1	N	2500	0	40	204	656	26	11	9	0	0	0	0	0	0	0	0	0	0	0	0	24656300	
2	1	A	1	N	2500	0	40	385	634	24	11	9	0	0	0	0	0	0	0	0	0	0	0	0	24656409	
3	1	A	1	N	2500	0	40	336	798	27	13	11	0	0	0	0	0	0	0	0	0	0	0	0	24656518	
4	1	A	1	N	2500	0	40	309	841	33	14	12	0	0	0	0	0	0	0	0	0	0	0	0	24656690	
5	1	A	1	N	2500	0	40	310	510	17	7	7	0	0	0	0	0	0	0	0	0	0	0	0	24656892	
6	1	A	1	N	2500	0	40	297	625	20	10	10	0	0	0	0	0	0	0	0	0	0	0	0	24657314	
7	1	A	1	N	2500	0	40	298	536	16	7	8	0	0	0	0	0	0	0	0	0	0	0	0	24658125	
8	1	A	1	N	2500	0	40	318	602	23	8	7	0	0	0	0	0	0	0	0	0	0	0	0	24658156	
9	1	A	1	N	2500	0	40	292	589	25	8	5	0	0	0	0	0	0	0	0	0	0	0	0	24658780	
10	1	A	1	N	2500	0	40	63	84	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	24658811	
11	1	A	1	N	2500	0	40	277	842	31	15	11	0	0	0	0	0	0	0	0	0	0	0	0	24658874	
12	1	A	1	N	2500	0	40	299	607	22	9	6	0	0	0	0	0	0	0	0	0	0	0	0	24659248	
13	1	A	1	N	2500	0	40	386	819	31	15	10	0	0	0	0	0	0	0	0	0	0	0	0	24659295	
14	1	A	1	N	2500	0	40	354	752	26	11	10	0	0	0	0	0	0	0	0	0	0	0	0	24659357	
15	1	A	1	N	2500	0	40	310	675	31	10	13	0	0	0	0	0	0	0	0	0	0	0	0	24659654	
16	1	A	1	N	2500	0	40	289	862	29	12	9	0	0	0	0	0	0	0	0	0	0	0	0	24659747	
17	1	A	1	N	2500	0	40	310	588	22	9	7	0	0	0	0	0	0	0	0	0	0	0	0	24660153	
18	1	A	1	N	2500	0	40	329	667	22	10	8	0	0	0	0	0	0	0	0	0	0	0	0	24660496	
19	1	A	1	N	2500	0	40	340	723	20	9	8	0	0	0	0	0	0	0	0	0	0	0	0	24660605	
20	1	A	2	N	2500	0	40	352	764	26	10	9	0	0	0	0	0	0	0	0	0	0	0	0	24668062	
21	1	A	2	N	2500	0	40	20	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24668608	
22	1	A	2	N	2500	0	40	287	581	26	8	8	0	0	0	0	0	0	0	0	0	0	0	0	24668936	
23	1	A	2	N	2500	0	40	306	667	27	14	13	0	0	0	0	0	0	0	0	0	0	0	0	24669809	
24	1	A	2	N	2500	0	40	329	668	20	10	10	0	0	0	0	0	0	0	0	0	0	0	0	24669965	
25	1	A	2	N	2500	0	40	320	614	18	10	11	0	0	0	0	0	0	0	0	0	0	0	0	24670168	
26	1	A	2	N	2500	0	40	73	258	21	19	22	0	0	0	0	0	0	0	0	0	0	0	0	24670558	
27	1	A	2	N	2500	0	40	287	609	22	11	8	0	0	0	0	0	0	0	0	0	0	0	0	24670854	
28	1	A	2	N	2500	0	40	268	632	24	11	13	0	0	0	0	0	0	0	0	0	0	0	0	24671385	
29	1	A	2	N	2500	0	40	386	763	31	15	12	0	0	0	0	0	0	0	0	0	0	0	0	24671385	
30	1	A	2	N	2500	0	40	295	754	27	14	10	0	0	0	0	0	0	0	0	0	0	0	0	24672524	
31	1	A	2	N	2500	0	40	73	302	22	22	27	0	0	0	0	0	0	0	0	0	0	0	0	24672726	
32	1	A	2	N	2500	0	40	293	568	24	9	7	0	0	0	0	0	0	0	0	0	0	0	0	24673194	
33	1	A	2	N	2500	0	40	65	64	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	24674084	
34	1	A	2	N	2500	0	40	242	603	25	12	7	0	0	0	0	0	0	0	0	0	0	0	0	24674084	
35	1	A	2	N	2500	0	40	421	871	32	14	13	0	0	0	0	0	0	0	0	0	0	0	0	24674115	
36	1	A	3	N	2500	0	40	282	549	23	7	7	0	0	0	0	0	0	0	0	0	0	0	0	24683553	
37	1	A	3	N	2500	0	40	301	527	24	9	9	0	0	0	0	0	0	0	0	0	0	0	0	24684380	
38	1	A	3	N	2500	0	40	345	662	23	9	8	0	0	0	0	0	0	0	0	0	0	0	0	24684629	
39	1	A	3	N	2500	0	40	308	628	19	9	8	0	0	0	0	0	0	0	0	0	0	0	0	24684723	
40	1	A	3	N	2500	0	40	342	667	30	9	11	0	0	0	0	0	0	0	0	0	0	0	0	24685986	
41	1	A	3	N	2500	0	40	279	439	15	6	7	0	0	0	0	0	0	0	0	0	0	0	0	24686064	
42	1	A	3	N	2500	0	40	171	571	24	10	7	0	0	0	0	0	0	0	0	0	0	0	0	24686127	
43	1	A	3	N	2500	0	40	292	606	21	9	8	0	0	0	0	0	0	0	0	0	0	0	0	24686501	
44	1	A	3	N	2500	0	40	364	822	27	15	11	0	0	0	0	0	0	0	0	0	0	0	0	24686673	
45	1	A	3	N	2500	0	40	259	537	17	7	5	0	0	0	0	0	0	0	0	0	0	0	0	24686782	
46	1	A	3	N	2500	0	40	286	570	17	9	9	0	0	0	0	0	0	0	0	0	0	0	0	24686829	
47	1	A	3	N	2500	0	40	49	83	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	24687063	
48	1	A	3	N	2500	0	40	49	120	7	8	10	0	0	0	0	0	0	0	0	0	0	0	0	24687453	
49	1	A	3	N	2500	0	40	277	578	19	9	6	0	0	0	0	0	0	0	0	0	0	0	0	24687718	
50	1	A	3	N	2500	0	40	267	515	17	7	6	0	0	0	0	0	0	0	0	0	0	0	0	24688155	
51	1	A	3	N	2500	0	40	382	628	29	11	9	0	0	0	0	0	0	0	0	0	0	0	0	24688233	
52	1	A	3	N	2500	0	40	303	619	24	10	8	0	0	0	0	0	0	0	0	0	0	0	0	24688373	
53	1	A	3	N	2500	0	40	379	799	29	13	12	0	0	0	0	0	0	0	0	0	0	0	0	24688404	
54	1	A	3	N	2500	0	40	311	681	27	10	9	0	0	0	0	0	0	0	0	0	0	0	0	24688420	
55	1	A	3	N	2500	0	40	337	704	23	11	12	0	0	0	0	0	0	0	0	0	0	0	0	24688872	
56	1	A	3	N	2500	0	40	269	483	16	7	6	0	0	0	0	0	0	0	0	0	0	0	0	24688888	
57	1	A	3	N	2500	0	40	293	574	22	9	9	0	0	0	0	0	0	0	0	0	0	0	0	24689808	
58	1	A	4	N	2500	0	40	292	598	20	8	8	0	0	0	0	0	0	0	0	0	0	0	0	24697515	
59	1	A	4	N	2500	0	40	484	1003	25	15	15	0	0	0	0	0	0	0	0	0	0	0	0	24698404	
60	1	A	4	N	2500	0	40	283	570	22	9	10	0	0	0	0	0	0	0	0	0	0	0	0	24698856	
61	1	A	4	N	2500	0	40	408	763	45	14	12	0	0	0	0	0	0	0	0	0	0	0	0	24699683	
62	1	A	4	N	2500	0	40	381	777	27	13	11	0	0	0	0	0	0	0	0	0	0	0	0	24699995	
63	1	A	4	N	2500	0	40	213	734	23	14	11	0	0	0	0	0	0	0	0	0	0	0	0	24700073	
64	1	A	4	N	2500	0	40	289	597	22	9	7	0	0	0	0	0	0	0	0	0	0	0	0	24700245	
65	1	A	4	N	2500	0	40	30	24	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	24700806	
66	1	A	4	N	2500	0	40	149	172	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	24701040	
67	1	A	4	N	2500	0	40	307	627	21	9	9	0	0	0	0	0	0	0	0	0	0	0	0	24701056	
68	1	A	4	N	2500	0	40	221	688	26	12	9	0	0	0	0	0	0	0	0	0	0	0	0	24701103	
69	1	A	4	N	2500	0	40	93	118	11	9	6	0	0	0	0	0	0	0	0	0	0	0	0	24701118	
70	1	A	4	N	2500	0	40	160	478	13	7	5	0	0	0	0	0	0	0	0	0	0	0	0	24701243	
71	1	A	4	N	2500	0	40	343	663	22	10	8	0	0	0	0	0	0	0	0	0	0	0	0	24701384	
72	1	A	4	N	2500	0	40	31	38	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	24703193	
73	1	A	4	N	2500	0	40	282	478	16	7	5	0	0	0	0	0	0	0	0	0	0	0	0	24703193	
74	1	A	4	N	2500	0	40	31	36	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24703755	
75	1	A	4	N	2500	0	40	287	588	21	9	6	0	0	0	0	0	0	0	0	0	0	0	0	24703833	
76	1	A	5	N	2500	0	40	29	53	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	24713318	
77	1	A	5	N	2500	0	40	502	1123	40	20	13	0	0	0	0	0	0	0	0	0	0	0	0	24713645	
78	1	A	5	N	2500	0	40	46	44	11	11	9	0	0	0	0	0	0	0	0	0	0	0	0	24714847	
79	1	A	5	N	2500	0	40	82	107	37	35	30	0	0	0	0	0	0	0	0	0	0	0	0	24714847	
80	1	A	5	N	2500	0	40	265	450	11	5	4	0	0	0	0	0	0	0	0	0	0	0	0	24714925	
81	1	A	5	N	2500	0	40	336	733	25	12	11	0	0	0	0	0	0	0	0	0	0	0	0	24715205	
82	1	A	5	N	2500	0	40	295	544	18	8	6	0	0	0	0	0	0	0	0	0	0	0	0	24715861	
