Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	27	40	4	5	4	0	0	0	0	0	0	0	0	0	0	0	0	15580840	
1	1	A	1	N	2500	0	40	135	183	6	6	4	0	0	0	0	0	0	0	0	0	0	0	0	15581028	
2	1	A	1	N	2500	0	40	340	613	19	8	8	0	0	0	0	0	0	0	0	0	0	0	0	15581979	
3	1	A	1	N	2500	0	40	56	119	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	15582416	
4	1	A	1	N	2500	0	40	55	62	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	15582900	
5	1	A	1	N	2500	0	40	27	61	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	15583804	
6	1	A	1	N	2500	0	40	27	55	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	15585068	
7	1	A	1	N	2500	0	40	284	529	16	7	6	0	0	0	0	0	0	0	0	0	0	0	0	15585489	
8	1	A	1	N	2500	0	40	28	24	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	15585520	
9	1	A	1	N	2500	0	40	172	585	24	11	7	0	0	0	0	0	0	0	0	0	0	0	0	15585692	
10	1	A	1	N	2500	0	40	373	759	23	9	8	0	0	0	0	0	0	0	0	0	0	0	0	15586144	
11	1	A	1	N	2500	0	40	297	581	22	9	9	0	0	0	0	0	0	0	0	0	0	0	0	15586254	
12	1	A	1	N	2500	0	40	279	545	20	6	5	0	0	0	0	0	0	0	0	0	0	0	0	15586612	
13	1	A	1	N	2500	0	40	297	586	18	9	8	0	0	0	0	0	0	0	0	0	0	0	0	15586722	
14	1	A	1	N	2500	0	40	302	545	19	8	6	0	0	0	0	0	0	0	0	0	0	0	0	15586784	
15	1	A	1	N	2500	0	40	36	52	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	15587221	
16	1	B	1	N	2500	0	40	280	480	16	8	8	0	0	0	0	0	0	0	0	0	0	0	0	15595598	
17	1	B	1	N	2500	0	40	245	611	22	10	9	0	0	0	0	0	0	0	0	0	0	0	0	15596206	
18	1	B	1	N	2500	0	40	20	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15596378	
19	1	B	1	N	2500	0	40	357	659	21	8	9	0	0	0	0	0	0	0	0	0	0	0	0	15597220	
20	1	B	1	N	2500	0	40	263	450	14	5	5	0	0	0	0	0	0	0	0	0	0	0	0	15597517	
21	1	B	1	N	2500	0	40	106	257	8	5	3	0	0	0	0	0	0	0	0	0	0	0	0	15597532	
22	1	B	1	N	2500	0	40	130	210	8	5	5	0	0	0	0	0	0	0	0	0	0	0	0	15598156	
23	1	B	1	N	2500	0	40	47	108	7	5	6	0	0	0	0	0	0	0	0	0	0	0	0	15598437	
24	1	B	1	N	2500	0	40	34	50	3	4	4	0	0	0	0	0	0	0	0	0	0	0	0	15598562	
25	1	B	1	N	2500	0	40	42	128	5	3	4	0	0	0	0	0	0	0	0	0	0	0	0	15598812	
26	1	B	1	N	2500	0	40	424	711	47	16	11	0	0	0	0	0	0	0	0	0	0	0	0	15598812	
27	1	B	1	N	2500	0	40	269	473	12	6	7	0	0	0	0	0	0	0	0	0	0	0	0	15598874	
28	1	B	1	N	2500	0	40	27	30	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15598874	
29	1	B	1	N	2500	0	40	20	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15598999	
30	1	B	1	N	2500	0	40	292	493	18	7	6	0	0	0	0	0	0	0	0	0	0	0	0	15599701	
31	1	B	1	N	2500	0	40	21	24	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	15599716	
32	1	B	1	N	2500	0	40	292	589	20	9	7	0	0	0	0	0	0	0	0	0	0	0	0	15599779	
33	1	B	1	N	2500	0	40	265	470	18	7	7	0	0	0	0	0	0	0	0	0	0	0	0	15599857	
34	1	B	1	N	2500	0	40	279	593	21	10	7	0	0	0	0	0	0	0	0	0	0	0	0	15600169	
35	1	B	1	N	2500	0	40	35	71	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	15601245	
36	1	B	1	N	2500	0	40	151	515	17	6	5	0	0	0	0	0	0	0	0	0	0	0	0	15601261	
37	1	B	1	N	2500	0	40	283	524	18	7	6	0	0	0	0	0	0	0	0	0	0	0	0	15601838	
38	1	B	1	N	2500	0	40	277	521	16	7	6	0	0	0	0	0	0	0	0	0	0	0	0	15601963	
39	1	B	1	N	2500	0	40	31	57	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	15602103	
40	1	C	1	N	2500	0	40	33	38	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	15609997	
41	1	C	1	N	2500	0	40	21	30	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	15610683	
42	1	C	1	N	2500	0	40	305	359	16	4	4	0	0	0	0	0	0	0	0	0	0	0	0	15611292	
43	1	C	1	N	2500	0	40	28	50	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	15611526	
44	1	C	1	N	2500	0	40	42	114	11	11	11	0	0	0	0	0	0	0	0	0	0	0	0	15611978	
45	1	C	1	N	2500	0	40	23	33	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	15612103	
46	1	C	1	N	2500	0	40	23	42	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	15612306	
47	1	C	1	N	2500	0	40	298	730	24	12	9	0	0	0	0	0	0	0	0	0	0	0	0	15612555	
48	1	C	1	N	2500	0	40	224	357	14	6	5	0	0	0	0	0	0	0	0	0	0	0	0	15612805	
49	1	C	1	N	2500	0	40	400	765	41	15	12	0	0	0	0	0	0	0	0	0	0	0	0	15613117	
50	1	C	1	N	2500	0	40	274	743	30	14	11	0	0	0	0	0	0	0	0	0	0	0	0	15613304	
51	1	C	1	N	2500	0	40	57	93	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	15613476	
52	1	C	1	N	2500	0	40	50	115	7	6	6	0	0	0	0	0	0	0	0	0	0	0	0	15613741	
53	1	C	1	N	2500	0	40	210	340	8	4	3	0	0	0	0	0	0	0	0	0	0	0	0	15613757	
54	1	C	1	N	2500	0	40	224	285	8	3	4	0	0	0	0	0	0	0	0	0	0	0	0	15614053	
55	1	C	1	N	2500	0	40	282	497	16	7	7	0	0	0	0	0	0	0	0	0	0	0	0	15614505	
56	1	C	1	N	2500	0	40	32	70	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	15615410	
57	1	C	1	N	2500	0	40	221	328	8	3	4	0	0	0	0	0	0	0	0	0	0	0	0	15615457	
58	1	C	1	N	2500	0	40	48	146	14	14	15	0	0	0	0	0	0	0	0	0	0	0	0	15615519	
