Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	42	70	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3870995	
1	1	A	1	N	2500	0	40	34	52	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3871026	
2	1	A	1	N	2500	0	40	34	99	9	3	2	0	0	0	0	0	0	0	0	0	0	0	0	3871151	
3	1	A	1	N	2500	0	40	518	1325	82	27	25	0	0	0	0	0	0	0	0	0	0	0	0	3871182	
4	1	A	1	N	2500	0	40	49	68	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	3871213	
5	1	A	1	N	2500	0	40	38	98	21	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3871260	
6	1	A	1	N	2500	0	40	25	43	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3871276	
7	1	A	1	N	2500	0	40	78	284	32	9	6	0	0	0	0	0	0	0	0	0	0	0	0	3871354	
8	1	A	1	N	2500	0	40	50	94	10	3	2	0	0	0	0	0	0	0	0	0	0	0	0	3871401	
9	1	A	1	N	2500	0	40	26	38	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3871401	
10	1	A	1	N	2500	0	40	27	33	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3871416	
11	1	A	1	N	2500	0	40	20	20	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3871635	
12	1	A	1	N	2500	0	40	30	28	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3871650	
13	1	A	1	N	2500	0	40	70	167	31	5	3	0	0	0	0	0	0	0	0	0	0	0	0	3871666	
14	1	A	1	N	2500	0	40	76	372	58	12	9	0	0	0	0	0	0	0	0	0	0	0	0	3871666	
15	1	A	1	N	2500	0	40	32	43	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3871666	
16	1	A	1	N	2500	0	40	27	25	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3871666	
17	1	A	1	N	2500	0	40	111	165	29	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3871853	
18	1	A	1	N	2500	0	40	23	28	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3871884	
19	1	A	1	N	2500	0	40	24	35	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3872134	
20	1	A	1	N	2500	0	40	43	84	9	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3872306	
21	1	A	1	N	2500	0	40	301	1075	54	25	20	0	0	0	0	0	0	0	0	0	0	0	0	3872337	
22	1	A	1	N	2500	0	40	23	23	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3872384	
23	1	A	1	N	2500	0	40	82	320	53	13	10	0	0	0	0	0	0	0	0	0	0	0	0	3872462	
24	1	A	1	N	2500	0	40	50	67	7	3	2	0	0	0	0	0	0	0	0	0	0	0	0	3872633	
25	1	A	1	N	2500	0	40	88	119	12	6	3	0	0	0	0	0	0	0	0	0	0	0	0	3872633	
26	1	A	1	N	2500	0	40	27	53	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3872649	
27	1	A	1	N	2500	0	40	44	75	7	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3872727	
28	1	A	1	N	2500	0	40	33	72	5	6	8	0	0	0	0	0	0	0	0	0	0	0	0	3872836	
29	1	A	1	N	2500	0	40	101	121	9	4	4	0	0	0	0	0	0	0	0	0	0	0	0	3872836	
30	1	A	1	N	2500	0	40	23	43	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3872852	
31	1	A	1	N	2500	0	40	34	35	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3872883	
32	1	A	1	N	2500	0	40	29	55	3	3	6	0	0	0	0	0	0	0	0	0	0	0	0	3872961	
33	1	A	1	N	2500	0	40	58	107	11	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3872976	
34	1	A	1	N	2500	0	40	27	27	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3873039	
35	1	A	1	N	2500	0	40	35	61	8	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3873117	
36	1	A	1	N	2500	0	40	28	24	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3873257	
37	1	A	1	N	2500	0	40	781	1812	98	41	35	0	0	0	0	0	0	0	0	0	0	0	0	3873273	
38	1	A	1	N	2500	0	40	299	1305	74	31	24	0	0	0	0	0	0	0	0	0	0	0	0	3873351	
39	1	A	1	N	2500	0	40	46	37	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3873351	
40	1	A	1	N	2500	0	40	42	34	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3873351	
41	1	A	1	N	2500	0	40	103	87	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	3873351	
