Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	24	45	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7429645	
1	1	A	1	N	2500	0	40	26	34	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7429676	
2	1	A	1	N	2500	0	40	20	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7429879	
3	1	A	1	N	2500	0	40	456	1404	100	35	29	0	0	0	0	0	0	0	0	0	0	0	0	7429879	
4	1	A	1	N	2500	0	40	377	771	29	13	11	0	0	0	0	0	0	0	0	0	0	0	0	7429972	
5	1	A	1	N	2500	0	40	34	56	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	7429988	
6	1	A	1	N	2500	0	40	31	40	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	7430066	
7	1	A	1	N	2500	0	40	36	45	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7430081	
8	1	A	1	N	2500	0	40	23	23	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7430269	
9	1	A	1	N	2500	0	40	122	368	50	14	7	0	0	0	0	0	0	0	0	0	0	0	0	7430269	
10	1	A	1	N	2500	0	40	263	467	13	6	7	0	0	0	0	0	0	0	0	0	0	0	0	7430284	
11	1	A	1	N	2500	0	40	38	38	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	7430425	
12	1	A	1	N	2500	0	40	31	34	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7430425	
13	1	A	1	N	2500	0	40	69	173	27	5	3	0	0	0	0	0	0	0	0	0	0	0	0	7430440	
14	1	A	1	N	2500	0	40	282	493	18	6	6	0	0	0	0	0	0	0	0	0	0	0	0	7430456	
15	1	A	1	N	2500	0	40	40	56	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7430456	
16	1	A	1	N	2500	0	40	422	812	29	13	10	0	0	0	0	0	0	0	0	0	0	0	0	7430471	
17	1	A	1	N	2500	0	40	43	53	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7430518	
18	1	A	1	N	2500	0	40	54	221	31	7	3	0	0	0	0	0	0	0	0	0	0	0	0	7430518	
19	1	A	1	N	2500	0	40	24	38	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7430612	
20	1	A	1	N	2500	0	40	36	45	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7430627	
21	1	A	1	N	2500	0	40	77	153	19	3	1	0	0	0	0	0	0	0	0	0	0	0	0	7430643	
22	1	A	1	N	2500	0	40	55	75	7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	7430674	
23	1	A	1	N	2500	0	40	44	91	14	2	3	0	0	0	0	0	0	0	0	0	0	0	0	7430737	
24	1	A	1	N	2500	0	40	80	121	16	5	2	0	0	0	0	0	0	0	0	0	0	0	0	7430799	
25	1	A	1	N	2500	0	40	131	280	32	12	6	0	0	0	0	0	0	0	0	0	0	0	0	7430799	
26	1	A	1	N	2500	0	40	23	24	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7430799	
27	1	A	1	N	2500	0	40	54	156	13	4	2	0	0	0	0	0	0	0	0	0	0	0	0	7430799	
28	1	A	1	N	2500	0	40	33	32	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7430877	
29	1	A	1	N	2500	0	40	31	34	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7430893	
30	1	A	1	N	2500	0	40	219	566	72	30	20	0	0	0	0	0	0	0	0	0	0	0	0	7430908	
31	1	A	1	N	2500	0	40	24	23	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7430939	
32	1	A	1	N	2500	0	40	39	67	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7430955	
33	1	A	1	N	2500	0	40	126	355	52	11	7	0	0	0	0	0	0	0	0	0	0	0	0	7430971	
34	1	A	1	N	2500	0	40	51	72	7	2	1	0	0	0	0	0	0	0	0	0	0	0	0	7430971	
35	1	A	1	N	2500	0	40	51	60	9	2	1	0	0	0	0	0	0	0	0	0	0	0	0	7430971	
36	1	A	1	N	2500	0	40	67	74	7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	7431002	
37	1	A	1	N	2500	0	40	74	171	17	7	3	0	0	0	0	0	0	0	0	0	0	0	0	7431002	
38	1	A	1	N	2500	0	40	66	134	14	5	4	0	0	0	0	0	0	0	0	0	0	0	0	7431002	
39	1	A	1	N	2500	0	40	22	20	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7431205	
40	1	A	1	N	2500	0	40	33	42	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7431205	
41	1	A	1	N	2500	0	40	117	203	21	2	1	0	0	0	0	0	0	0	0	0	0	0	0	7431251	
42	1	A	1	N	2500	0	40	57	86	16	3	3	0	0	0	0	0	0	0	0	0	0	0	0	7431283	
43	1	A	1	N	2500	0	40	289	533	19	8	8	0	0	0	0	0	0	0	0	0	0	0	0	7431314	
44	1	A	1	N	2500	0	40	36	48	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	7431361	
45	1	A	1	N	2500	0	40	60	139	14	6	3	0	0	0	0	0	0	0	0	0	0	0	0	7431548	
46	1	A	1	N	2500	0	40	24	26	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7431548	
47	1	A	1	N	2500	0	40	159	239	23	8	5	0	0	0	0	0	0	0	0	0	0	0	0	7431548	
48	1	A	1	N	2500	0	40	22	28	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7431673	
49	1	A	1	N	2500	0	40	32	72	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7431844	
50	1	A	1	N	2500	0	40	108	211	23	10	6	0	0	0	0	0	0	0	0	0	0	0	0	7431844	
51	1	A	1	N	2500	0	40	43	50	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7431844	
52	1	A	1	N	2500	0	40	109	400	63	15	8	0	0	0	0	0	0	0	0	0	0	0	0	7431875	
53	1	A	1	N	2500	0	40	44	62	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	7431907	
54	1	A	1	N	2500	0	40	25	34	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7432094	
55	1	A	1	N	2500	0	40	393	820	31	12	13	0	0	0	0	0	0	0	0	0	0	0	0	7432172	
56	1	A	1	N	2500	0	40	256	474	15	8	7	0	0	0	0	0	0	0	0	0	0	0	0	7432312	
57	1	A	1	N	2500	0	40	27	35	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7432406	
58	1	A	1	N	2500	0	40	25	39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7432453	
59	1	A	1	N	2500	0	40	27	30	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7432624	
60	1	A	1	N	2500	0	40	43	88	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7432765	
61	1	A	1	N	2500	0	40	314	610	25	10	11	0	0	0	0	0	0	0	0	0	0	0	0	7433139	
62	1	A	1	N	2500	0	40	26	30	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7433248	
63	1	A	1	N	2500	0	40	246	375	9	5	4	0	0	0	0	0	0	0	0	0	0	0	0	7433279	
64	1	A	1	N	2500	0	40	44	49	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7433342	
65	1	A	1	N	2500	0	40	85	194	19	8	4	0	0	0	0	0	0	0	0	0	0	0	0	7433342	
66	1	A	1	N	2500	0	40	340	618	25	11	11	0	0	0	0	0	0	0	0	0	0	0	0	7433357	
67	1	A	1	N	2500	0	40	211	315	12	7	8	0	0	0	0	0	0	0	0	0	0	0	0	7433435	
68	1	A	1	N	2500	0	40	198	551	19	10	8	0	0	0	0	0	0	0	0	0	0	0	0	7433513	
69	1	A	1	N	2500	0	40	324	674	25	11	11	0	0	0	0	0	0	0	0	0	0	0	0	7433779	
70	1	A	1	N	2500	0	40	367	668	24	10	8	0	0	0	0	0	0	0	0	0	0	0	0	7434215	
71	1	A	1	N	2500	0	40	31	53	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7434278	
