Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	E	1	N	2500	0	40	26	32	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	30343079	
1	1	E	1	N	2500	0	40	301	1216	91	34	27	0	0	0	0	0	0	0	0	0	0	0	0	30343360	
2	1	E	1	N	2500	0	40	41	74	9	3	1	0	0	0	0	0	0	0	0	0	0	0	0	30343547	
3	1	E	1	N	2500	0	40	21	18	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30343578	
4	1	E	1	N	2500	0	40	78	217	30	4	3	0	0	0	0	0	0	0	0	0	0	0	0	30343656	
5	1	E	1	N	2500	0	40	105	373	66	13	8	0	0	0	0	0	0	0	0	0	0	0	0	30343672	
6	1	E	1	N	2500	0	40	258	1159	73	28	23	0	0	0	0	0	0	0	0	0	0	0	0	30343828	
7	1	E	1	N	2500	0	40	28	35	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	30343984	
8	1	E	1	N	2500	0	40	566	1968	99	35	30	0	0	0	0	0	0	0	0	0	0	0	0	30343999	
9	1	E	1	N	2500	0	40	523	1670	91	38	29	0	0	0	0	0	0	0	0	0	0	0	0	30343999	
10	1	E	1	N	2500	0	40	98	272	22	7	4	0	0	0	0	0	0	0	0	0	0	0	0	30344015	
11	1	E	1	N	2500	0	40	143	414	59	20	12	0	0	0	0	0	0	0	0	0	0	0	0	30344015	
12	1	E	1	N	2500	0	40	53	65	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	30344015	
13	1	E	1	N	2500	0	40	54	107	15	5	3	0	0	0	0	0	0	0	0	0	0	0	0	30344249	
14	1	E	1	N	2500	0	40	28	33	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30344264	
15	1	E	1	N	2500	0	40	97	411	75	9	5	0	0	0	0	0	0	0	0	0	0	0	0	30344296	
16	1	E	1	N	2500	0	40	90	144	22	3	2	0	0	0	0	0	0	0	0	0	0	0	0	30344342	
17	1	E	1	N	2500	0	40	83	151	22	3	2	0	0	0	0	0	0	0	0	0	0	0	0	30344467	
18	1	E	1	N	2500	0	40	449	1472	87	31	26	0	0	0	0	0	0	0	0	0	0	0	0	30344592	
19	1	E	1	N	2500	0	40	462	1427	88	28	24	0	0	0	0	0	0	0	0	0	0	0	0	30344654	
20	1	E	1	N	2500	0	40	25	31	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30344670	
21	1	E	1	N	2500	0	40	246	1111	64	27	25	0	0	0	0	0	0	0	0	0	0	0	0	30344717	
22	1	E	1	N	2500	0	40	58	136	21	3	2	0	0	0	0	0	0	0	0	0	0	0	0	30344873	
23	1	E	1	N	2500	0	40	488	1767	119	39	31	0	0	0	0	0	0	0	0	0	0	0	0	30344935	
24	1	E	1	N	2500	0	40	61	71	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	30345044	
25	1	E	1	N	2500	0	40	102	141	15	7	4	0	0	0	0	0	0	0	0	0	0	0	0	30345076	
26	1	E	1	N	2500	0	40	26	30	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30345138	
27	1	E	1	N	2500	0	40	31	27	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30345169	
28	1	E	1	N	2500	0	40	78	266	41	13	9	0	0	0	0	0	0	0	0	0	0	0	0	30345310	
29	1	E	1	N	2500	0	40	20	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30345356	
30	1	E	1	N	2500	0	40	47	145	16	7	4	0	0	0	0	0	0	0	0	0	0	0	0	30345388	
31	1	E	1	N	2500	0	40	464	1343	71	26	23	0	0	0	0	0	0	0	0	0	0	0	0	30345450	
32	1	E	1	N	2500	0	40	42	76	10	4	2	0	0	0	0	0	0	0	0	0	0	0	0	30345466	
33	1	E	1	N	2500	0	40	30	49	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30345481	
34	1	E	1	N	2500	0	40	26	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30345622	
35	1	E	1	N	2500	0	40	38	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30345622	
36	1	E	1	N	2500	0	40	59	48	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	30345622	
37	1	E	1	N	2500	0	40	95	78	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	30345622	
38	1	E	1	N	2500	0	40	692	1884	108	41	33	0	0	0	0	0	0	0	0	0	0	0	0	30345622	
39	1	E	1	N	2500	0	40	24	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30345622	
40	1	E	1	N	2500	0	40	31	35	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30345668	
41	1	E	1	N	2500	0	40	482	1533	94	37	27	0	0	0	0	0	0	0	0	0	0	0	0	30345778	
42	1	E	1	N	2500	0	40	88	139	14	5	4	0	0	0	0	0	0	0	0	0	0	0	0	30345965	
43	1	E	1	N	2500	0	40	67	102	12	4	2	0	0	0	0	0	0	0	0	0	0	0	0	30345965	
44	1	E	1	N	2500	0	40	458	1115	40	23	24	0	0	0	0	0	0	0	0	0	0	0	0	30346074	
45	1	E	1	N	2500	0	40	34	59	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	30346105	
46	1	E	1	N	2500	0	40	57	67	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	30346105	
47	1	E	1	N	2500	0	40	30	35	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	30346246	
48	1	E	1	N	2500	0	40	763	2335	131	47	39	0	0	0	0	0	0	0	0	0	0	0	0	30346246	
49	1	E	1	N	2500	0	40	24	31	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	30346542	
50	1	E	1	N	2500	0	40	552	1736	102	36	30	0	0	0	0	0	0	0	0	0	0	0	0	30346558	
51	1	E	1	N	2500	0	40	38	66	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	30346604	
52	1	E	1	N	2500	0	40	740	1930	146	34	30	0	0	0	0	0	0	0	0	0	0	0	0	30346760	
53	1	E	1	N	2500	0	40	394	1624	100	39	32	0	0	0	0	0	0	0	0	0	0	0	0	30346776	
54	1	E	1	N	2500	0	40	304	1316	91	36	29	0	0	0	0	0	0	0	0	0	0	0	0	30346979	
55	1	E	1	N	2500	0	40	118	231	33	11	7	0	0	0	0	0	0	0	0	0	0	0	0	30346994	
56	1	E	1	N	2500	0	40	122	335	45	18	9	0	0	0	0	0	0	0	0	0	0	0	0	30346994	
57	1	E	1	N	2500	0	40	56	80	11	4	3	0	0	0	0	0	0	0	0	0	0	0	0	30346994	
58	1	E	1	N	2500	0	40	21	25	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30347104	
59	1	E	1	N	2500	0	40	445	1474	91	31	28	0	0	0	0	0	0	0	0	0	0	0	0	30347166	
60	1	E	1	N	2500	0	40	504	1302	74	26	22	0	0	0	0	0	0	0	0	0	0	0	0	30347213	
61	1	E	1	N	2500	0	40	434	1367	75	32	21	0	0	0	0	0	0	0	0	0	0	0	0	30347322	
62	1	E	1	N	2500	0	40	316	1379	91	34	26	0	0	0	0	0	0	0	0	0	0	0	0	30347322	
63	1	E	1	N	2500	0	40	260	1346	95	34	24	0	0	0	0	0	0	0	0	0	0	0	0	30347400	
64	1	E	1	N	2500	0	40	553	1801	100	38	31	0	0	0	0	0	0	0	0	0	0	0	0	30347431	
65	1	E	1	N	2500	0	40	455	1664	87	33	22	0	0	0	0	0	0	0	0	0	0	0	0	30347431	
66	1	E	1	N	2500	0	40	435	1316	74	27	27	0	0	0	0	0	0	0	0	0	0	0	0	30347556	
67	1	E	1	N	2500	0	40	26	40	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	30347556	
68	1	E	1	N	2500	0	40	274	1311	85	31	29	0	0	0	0	0	0	0	0	0	0	0	0	30347665	
69	1	E	1	N	2500	0	40	22	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30347665	
70	1	E	1	N	2500	0	40	687	1925	110	35	31	0	0	0	0	0	0	0	0	0	0	0	0	30347743	
