Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	479	1621	104	32	25	0	0	0	0	0	0	0	0	0	0	0	0	3684086	
1	1	A	1	N	2500	0	40	442	1393	87	26	24	0	0	0	0	0	0	0	0	0	0	0	0	3684398	
2	1	A	1	N	2500	0	40	281	1324	96	36	27	0	0	0	0	0	0	0	0	0	0	0	0	3684570	
3	1	A	1	N	2500	0	40	450	1391	67	26	21	0	0	0	0	0	0	0	0	0	0	0	0	3684741	
4	1	A	1	N	2500	0	40	356	1309	76	28	19	0	0	0	0	0	0	0	0	0	0	0	0	3684975	
5	1	A	1	N	2500	0	40	387	1339	78	30	23	0	0	0	0	0	0	0	0	0	0	0	0	3685506	
6	1	A	1	N	2500	0	40	422	1326	69	28	23	0	0	0	0	0	0	0	0	0	0	0	0	3686332	
7	1	A	1	N	2500	0	40	356	1257	72	27	21	0	0	0	0	0	0	0	0	0	0	0	0	3686395	
8	1	A	1	N	2500	0	40	310	1417	82	34	28	0	0	0	0	0	0	0	0	0	0	0	0	3686816	
9	1	A	1	N	2500	0	40	352	1378	84	28	22	0	0	0	0	0	0	0	0	0	0	0	0	3687736	
10	1	A	1	N	2500	0	40	20	26	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3688189	
11	1	A	1	N	2500	0	40	458	1572	88	31	22	0	0	0	0	0	0	0	0	0	0	0	0	3688423	
12	1	A	1	N	2500	0	40	399	1322	78	24	24	0	0	0	0	0	0	0	0	0	0	0	0	3688485	
13	1	A	1	N	2500	0	40	23	28	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3688532	
14	1	A	1	N	2500	0	40	497	1675	100	36	31	0	0	0	0	0	0	0	0	0	0	0	0	3689328	
15	1	A	1	N	2500	0	40	30	46	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3689640	
16	1	A	1	N	2500	0	40	384	1182	65	21	15	0	0	0	0	0	0	0	0	0	0	0	0	3690092	
17	1	A	1	N	2500	0	40	310	1312	82	32	27	0	0	0	0	0	0	0	0	0	0	0	0	3690950	
18	1	B	1	N	2500	0	40	22	37	6	7	7	0	0	0	0	0	0	0	0	0	0	0	0	3698391	
19	1	B	1	N	2500	0	40	490	1616	95	33	29	0	0	0	0	0	0	0	0	0	0	0	0	3698766	
20	1	B	1	N	2500	0	40	66	89	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3699218	
21	1	B	1	N	2500	0	40	432	1416	80	29	27	0	0	0	0	0	0	0	0	0	0	0	0	3699842	
22	1	B	1	N	2500	0	40	427	1389	81	30	24	0	0	0	0	0	0	0	0	0	0	0	0	3699858	
23	1	B	1	N	2500	0	40	283	1000	87	28	22	0	0	0	0	0	0	0	0	0	0	0	0	3699967	
