Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	138	357	12	5	4	0	0	0	0	0	0	0	0	0	0	0	0	9208087	
1	1	A	1	N	2500	0	40	472	1067	29	13	11	0	0	0	0	0	0	0	0	0	0	0	0	9208430	
2	1	A	1	N	2500	0	40	267	469	14	5	6	0	0	0	0	0	0	0	0	0	0	0	0	9209226	
3	1	A	1	N	2500	0	40	388	695	25	9	7	0	0	0	0	0	0	0	0	0	0	0	0	9209319	
4	1	A	1	N	2500	0	40	187	257	7	2	4	0	0	0	0	0	0	0	0	0	0	0	0	9209413	
5	1	A	1	N	2500	0	40	219	652	14	5	5	0	0	0	0	0	0	0	0	0	0	0	0	9210006	
6	1	A	1	N	2500	0	40	43	54	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9210146	
7	1	A	1	N	2500	0	40	141	258	7	2	3	0	0	0	0	0	0	0	0	0	0	0	0	9210567	
8	1	A	1	N	2500	0	40	451	927	23	10	10	0	0	0	0	0	0	0	0	0	0	0	0	9210583	
9	1	A	1	N	2500	0	40	190	590	22	8	8	0	0	0	0	0	0	0	0	0	0	0	0	9211768	
10	1	A	1	N	2500	0	40	334	619	18	6	9	0	0	0	0	0	0	0	0	0	0	0	0	9211768	
11	1	A	1	N	2500	0	40	137	448	12	5	4	0	0	0	0	0	0	0	0	0	0	0	0	9212190	
12	1	A	1	N	2500	0	40	466	1069	45	17	13	0	0	0	0	0	0	0	0	0	0	0	0	9212252	
13	1	A	1	N	2500	0	40	24	38	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	9212470	
14	1	A	1	N	2500	0	40	297	617	23	10	9	0	0	0	0	0	0	0	0	0	0	0	0	9212580	
15	1	A	1	N	2500	0	40	23	24	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	9212673	
16	1	A	1	N	2500	0	40	430	749	28	12	10	0	0	0	0	0	0	0	0	0	0	0	0	9213079	
17	1	A	1	N	2500	0	40	116	262	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9213344	
18	1	A	1	N	2500	0	40	155	578	20	9	7	0	0	0	0	0	0	0	0	0	0	0	0	9213703	
19	1	A	1	N	2500	0	40	394	733	27	9	9	0	0	0	0	0	0	0	0	0	0	0	0	9213921	
20	1	A	1	N	2500	0	40	196	279	5	3	4	0	0	0	0	0	0	0	0	0	0	0	0	9213937	
21	1	A	1	N	2500	0	40	27	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9214062	
22	1	A	1	N	2500	0	40	232	549	25	8	7	0	0	0	0	0	0	0	0	0	0	0	0	9214062	
23	1	A	1	N	2500	0	40	163	677	25	9	7	0	0	0	0	0	0	0	0	0	0	0	0	9214171	
24	1	B	1	N	2500	0	40	443	888	37	11	12	0	0	0	0	0	0	0	0	0	0	0	0	9223032	
25	1	B	1	N	2500	0	40	20	23	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9223063	
26	1	B	1	N	2500	0	40	292	589	22	8	7	0	0	0	0	0	0	0	0	0	0	0	0	9223094	
27	1	B	1	N	2500	0	40	21	27	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9223266	
28	1	B	1	N	2500	0	40	21	22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9223281	
29	1	B	1	N	2500	0	40	27	35	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9223281	
30	1	B	1	N	2500	0	40	313	646	18	7	8	0	0	0	0	0	0	0	0	0	0	0	0	9223406	
31	1	B	1	N	2500	0	40	256	401	9	3	6	0	0	0	0	0	0	0	0	0	0	0	0	9224170	
32	1	B	1	N	2500	0	40	136	375	9	3	4	0	0	0	0	0	0	0	0	0	0	0	0	9224545	
33	1	B	1	N	2500	0	40	33	56	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	9224763	
34	1	B	1	N	2500	0	40	272	502	12	6	7	0	0	0	0	0	0	0	0	0	0	0	0	9225606	
35	1	B	1	N	2500	0	40	110	533	64	65	72	0	0	0	0	0	0	0	0	0	0	0	0	9226136	
36	1	B	1	N	2500	0	40	221	313	9	3	4	0	0	0	0	0	0	0	0	0	0	0	0	9226230	
