Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	98	181	15	4	4	0	0	0	0	0	0	0	0	0	0	0	0	16616592	
1	1	A	1	N	2500	0	40	29	37	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16616764	
2	1	A	1	N	2500	0	40	119	290	30	6	4	0	0	0	0	0	0	0	0	0	0	0	0	16616826	
3	1	A	1	N	2500	0	40	20	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16616951	
4	1	A	1	N	2500	0	40	52	51	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16617060	
5	1	A	1	N	2500	0	40	36	54	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16617201	
6	1	A	1	N	2500	0	40	29	28	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16617247	
7	1	A	1	N	2500	0	40	33	49	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16617622	
8	1	A	1	N	2500	0	40	229	562	60	14	9	0	0	0	0	0	0	0	0	0	0	0	0	16617793	
9	1	A	1	N	2500	0	40	105	228	22	6	4	0	0	0	0	0	0	0	0	0	0	0	0	16618449	
10	1	A	1	N	2500	0	40	45	81	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	16618449	
11	1	A	1	N	2500	0	40	57	83	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16618636	
12	1	A	1	N	2500	0	40	88	279	31	8	4	0	0	0	0	0	0	0	0	0	0	0	0	16618667	
13	1	A	1	N	2500	0	40	36	42	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16618667	
14	1	A	1	N	2500	0	40	47	87	5	6	7	0	0	0	0	0	0	0	0	0	0	0	0	16618667	
15	1	A	1	N	2500	0	40	91	125	11	3	3	0	0	0	0	0	0	0	0	0	0	0	0	16618698	
16	1	A	1	N	2500	0	40	48	80	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16618995	
17	1	A	1	N	2500	0	40	39	114	10	8	10	0	0	0	0	0	0	0	0	0	0	0	0	16619338	
18	1	A	1	N	2500	0	40	31	44	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	16619400	
19	1	A	1	N	2500	0	40	286	519	18	7	7	0	0	0	0	0	0	0	0	0	0	0	0	16619431	
20	1	A	1	N	2500	0	40	286	505	16	7	6	0	0	0	0	0	0	0	0	0	0	0	0	16619728	
21	1	A	1	N	2500	0	40	22	23	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16620118	
22	1	A	1	N	2500	0	40	387	754	32	12	10	0	0	0	0	0	0	0	0	0	0	0	0	16620180	
23	1	A	1	N	2500	0	40	20	27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16620274	
24	1	A	1	N	2500	0	40	22	32	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16620367	
25	1	A	1	N	2500	0	40	192	422	16	8	7	0	0	0	0	0	0	0	0	0	0	0	0	16620461	
26	1	A	1	N	2500	0	40	20	21	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16620539	
27	1	A	1	N	2500	0	40	140	248	20	8	5	0	0	0	0	0	0	0	0	0	0	0	0	16620570	
28	1	A	1	N	2500	0	40	41	49	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16620664	
29	1	A	1	N	2500	0	40	254	437	15	6	5	0	0	0	0	0	0	0	0	0	0	0	0	16620960	
30	1	A	1	N	2500	0	40	191	452	17	10	7	0	0	0	0	0	0	0	0	0	0	0	0	16621023	
31	1	A	1	N	2500	0	40	266	451	14	6	5	0	0	0	0	0	0	0	0	0	0	0	0	16621069	
32	1	A	1	N	2500	0	40	36	90	7	6	6	0	0	0	0	0	0	0	0	0	0	0	0	16621085	
33	1	A	1	N	2500	0	40	30	53	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	16621413	
34	1	A	1	N	2500	0	40	268	435	10	5	6	0	0	0	0	0	0	0	0	0	0	0	0	16621491	
