Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	476	1605	95	40	29	0	0	0	0	0	0	0	0	0	0	0	0	2680557	
1	1	A	1	N	2500	0	40	254	735	47	39	438	0	0	0	0	0	0	0	0	0	0	0	0	2680931	
2	1	A	1	N	2500	0	40	325	1540	99	38	30	0	0	0	0	0	0	0	0	0	0	0	0	2681165	
3	1	A	1	N	2500	0	40	289	1208	90	34	25	0	0	0	0	0	0	0	0	0	0	0	0	2681618	
4	1	A	1	N	2500	0	40	427	1119	67	26	19	0	0	0	0	0	0	0	0	0	0	0	0	2681633	
5	1	A	1	N	2500	0	40	406	1210	89	29	22	0	0	0	0	0	0	0	0	0	0	0	0	2681867	
6	1	A	1	N	2500	0	40	22	32	3	3	6	0	0	0	0	0	0	0	0	0	0	0	0	2681883	
7	1	A	1	N	2500	0	40	457	1498	93	35	25	0	0	0	0	0	0	0	0	0	0	0	0	2681930	
8	1	A	1	N	2500	0	40	33	50	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2682008	
9	1	A	1	N	2500	0	40	36	41	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2682148	
10	1	A	1	N	2500	0	40	383	1386	108	38	28	0	0	0	0	0	0	0	0	0	0	0	0	2682148	
11	1	A	1	N	2500	0	40	493	1531	102	38	27	0	0	0	0	0	0	0	0	0	0	0	0	2682195	
12	1	A	1	N	2500	0	40	70	113	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2682304	
13	1	A	1	N	2500	0	40	248	1343	103	37	29	0	0	0	0	0	0	0	0	0	0	0	0	2682320	
14	1	A	1	N	2500	0	40	411	1264	81	30	23	0	0	0	0	0	0	0	0	0	0	0	0	2682335	
15	1	A	1	N	2500	0	40	452	1294	93	30	25	0	0	0	0	0	0	0	0	0	0	0	0	2682429	
16	1	A	1	N	2500	0	40	26	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2682507	
17	1	A	1	N	2500	0	40	125	193	19	10	5	0	0	0	0	0	0	0	0	0	0	0	0	2683147	
18	1	A	1	N	2500	0	40	34	51	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	2683240	
19	1	A	1	N	2500	0	40	28	30	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2683334	
20	1	A	1	N	2500	0	40	44	89	8	4	4	0	0	0	0	0	0	0	0	0	0	0	0	2683334	
21	1	A	1	N	2500	0	40	28	45	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	2683474	
22	1	A	1	N	2500	0	40	237	1311	90	36	25	0	0	0	0	0	0	0	0	0	0	0	0	2683505	
23	1	A	1	N	2500	0	40	427	1269	74	28	23	0	0	0	0	0	0	0	0	0	0	0	0	2683693	
24	1	A	1	N	2500	0	40	425	1451	85	40	33	0	0	0	0	0	0	0	0	0	0	0	0	2684145	
25	1	A	1	N	2500	0	40	365	1511	84	41	30	0	0	0	0	0	0	0	0	0	0	0	0	2684239	
26	1	A	1	N	2500	0	40	81	243	53	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2684301	
27	1	A	1	N	2500	0	40	60	104	13	4	3	0	0	0	0	0	0	0	0	0	0	0	0	2684301	
28	1	A	1	N	2500	0	40	49	74	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2684317	
29	1	A	1	N	2500	0	40	291	1323	80	42	30	0	0	0	0	0	0	0	0	0	0	0	0	2684597	
30	1	A	1	N	2500	0	40	400	1164	78	27	21	0	0	0	0	0	0	0	0	0	0	0	0	2684769	
31	1	A	1	N	2500	0	40	437	1445	93	34	27	0	0	0	0	0	0	0	0	0	0	0	0	2684800	
32	1	A	1	N	2500	0	40	22	25	3	32	90	0	0	0	0	0	0	0	0	0	0	0	0	2684925	
33	1	A	1	N	2500	0	40	429	1372	91	31	27	0	0	0	0	0	0	0	0	0	0	0	0	2685221	
34	1	A	1	N	2500	0	40	379	1070	60	25	19	0	0	0	0	0	0	0	0	0	0	0	0	2685237	
35	1	A	1	N	2500	0	40	414	1463	109	42	32	0	0	0	0	0	0	0	0	0	0	0	0	2685268	
36	1	A	1	N	2500	0	40	428	1179	72	27	18	0	0	0	0	0	0	0	0	0	0	0	0	2685284	
37	1	A	1	N	2500	0	40	474	1172	80	24	21	0	0	0	0	0	0	0	0	0	0	0	0	2685299	
38	1	A	1	N	2500	0	40	404	1274	80	30	22	0	0	0	0	0	0	0	0	0	0	0	0	2685393	
39	1	A	1	N	2500	0	40	419	1293	76	30	28	0	0	0	0	0	0	0	0	0	0	0	0	2685424	
40	1	A	1	N	2500	0	40	406	1269	54	26	21	0	0	0	0	0	0	0	0	0	0	0	0	2685533	
41	1	A	1	N	2500	0	40	64	236	29	27	26	0	0	0	0	0	0	0	0	0	0	0	0	2685565	
