Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	23	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3946156	
1	1	A	1	N	2500	0	40	547	1751	86	34	31	0	0	0	0	0	0	0	0	0	0	0	0	3946390	
2	1	A	1	N	2500	0	40	342	1249	83	32	24	0	0	0	0	0	0	0	0	0	0	0	0	3946437	
3	1	A	1	N	2500	0	40	405	1211	71	26	19	0	0	0	0	0	0	0	0	0	0	0	0	3946437	
4	1	A	1	N	2500	0	40	368	1216	91	33	25	0	0	0	0	0	0	0	0	0	0	0	0	3946811	
5	1	A	1	N	2500	0	40	264	1370	80	35	29	0	0	0	0	0	0	0	0	0	0	0	0	3947170	
6	1	A	1	N	2500	0	40	381	1334	89	34	27	0	0	0	0	0	0	0	0	0	0	0	0	3947357	
7	1	A	1	N	2500	0	40	332	1533	97	45	35	0	0	0	0	0	0	0	0	0	0	0	0	3947544	
8	1	A	1	N	2500	0	40	456	1544	91	41	31	0	0	0	0	0	0	0	0	0	0	0	0	3947856	
9	1	A	1	N	2500	0	40	396	1315	79	31	23	0	0	0	0	0	0	0	0	0	0	0	0	3947872	
10	1	A	1	N	2500	0	40	260	1437	114	41	30	0	0	0	0	0	0	0	0	0	0	0	0	3948262	
11	1	A	1	N	2500	0	40	537	1915	156	66	83	0	0	0	0	0	0	0	0	0	0	0	0	3948808	
12	1	A	1	N	2500	0	40	22	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3948808	
13	1	A	1	N	2500	0	40	75	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3948808	
14	1	A	1	N	2500	0	40	25	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3948808	
15	1	A	1	N	2500	0	40	24	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3948808	
16	1	A	1	N	2500	0	40	196	168	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3948808	
17	1	A	1	N	2500	0	40	45	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3948808	
18	1	A	1	N	2500	0	40	47	38	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3948808	
19	1	A	1	N	2500	0	40	32	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3948808	
20	1	A	1	N	2500	0	40	239	1167	86	34	27	0	0	0	0	0	0	0	0	0	0	0	0	3948980	
21	1	A	1	N	2500	0	40	404	1399	92	35	26	0	0	0	0	0	0	0	0	0	0	0	0	3949448	
22	1	A	1	N	2500	0	40	406	1315	90	31	22	0	0	0	0	0	0	0	0	0	0	0	0	3949682	
23	1	A	1	N	2500	0	40	405	1215	82	29	21	0	0	0	0	0	0	0	0	0	0	0	0	3949744	
24	1	A	1	N	2500	0	40	28	34	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3949760	
25	1	A	1	N	2500	0	40	399	1278	73	28	24	0	0	0	0	0	0	0	0	0	0	0	0	3949775	
26	1	A	1	N	2500	0	40	440	1283	75	33	27	0	0	0	0	0	0	0	0	0	0	0	0	3949931	
27	1	A	1	N	2500	0	40	529	1395	95	33	24	0	0	0	0	0	0	0	0	0	0	0	0	3950025	
28	1	A	1	N	2500	0	40	436	1462	96	32	32	0	0	0	0	0	0	0	0	0	0	0	0	3950103	
29	1	A	1	N	2500	0	40	484	1496	100	46	40	0	0	0	0	0	0	0	0	0	0	0	0	3950196	
30	1	A	1	N	2500	0	40	468	1457	101	32	26	0	0	0	0	0	0	0	0	0	0	0	0	3950384	
31	1	A	1	N	2500	0	40	517	1874	120	45	32	0	0	0	0	0	0	0	0	0	0	0	0	3950399	
32	1	A	1	N	2500	0	40	456	1538	90	38	31	0	0	0	0	0	0	0	0	0	0	0	0	3950430	
33	1	A	1	N	2500	0	40	253	1398	99	36	28	0	0	0	0	0	0	0	0	0	0	0	0	3950633	
34	1	A	1	N	2500	0	40	400	1238	84	29	24	0	0	0	0	0	0	0	0	0	0	0	0	3951023	
35	1	A	1	N	2500	0	40	242	1261	96	38	28	0	0	0	0	0	0	0	0	0	0	0	0	3951054	
36	1	A	1	N	2500	0	40	394	1030	50	21	17	0	0	0	0	0	0	0	0	0	0	0	0	3951070	
37	1	A	1	N	2500	0	40	751	1774	116	45	38	0	0	0	0	0	0	0	0	0	0	0	0	3951117	
38	1	A	1	N	2500	0	40	31	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3951117	
39	1	A	1	N	2500	0	40	291	1363	126	40	31	0	0	0	0	0	0	0	0	0	0	0	0	3951179	
40	1	A	1	N	2500	0	40	307	1235	88	47	40	0	0	0	0	0	0	0	0	0	0	0	0	3951398	
41	1	A	1	N	2500	0	40	472	1456	85	32	25	0	0	0	0	0	0	0	0	0	0	0	0	3951522	
42	1	A	1	N	2500	0	40	476	1698	97	50	39	0	0	0	0	0	0	0	0	0	0	0	0	3951569	
43	1	A	1	N	2500	0	40	458	1603	88	37	33	0	0	0	0	0	0	0	0	0	0	0	0	3951585	
44	1	A	1	N	2500	0	40	479	1552	95	49	40	0	0	0	0	0	0	0	0	0	0	0	0	3951834	
45	1	A	1	N	2500	0	40	147	214	10	7	7	0	0	0	0	0	0	0	0	0	0	0	0	3951866	
46	1	A	1	N	2500	0	40	272	647	26	12	11	0	0	0	0	0	0	0	0	0	0	0	0	3951912	
47	1	A	1	N	2500	0	40	403	1343	67	31	24	0	0	0	0	0	0	0	0	0	0	0	0	3952053	
48	1	A	1	N	2500	0	40	21	32	7	8	6	0	0	0	0	0	0	0	0	0	0	0	0	3952068	
49	1	A	1	N	2500	0	40	257	1407	95	39	28	0	0	0	0	0	0	0	0	0	0	0	0	3952131	
50	1	A	1	N	2500	0	40	276	1398	93	39	27	0	0	0	0	0	0	0	0	0	0	0	0	3952131	
51	1	A	1	N	2500	0	40	394	1139	69	24	21	0	0	0	0	0	0	0	0	0	0	0	0	3952193	
52	1	A	1	N	2500	0	40	315	1326	91	35	28	0	0	0	0	0	0	0	0	0	0	0	0	3952334	
53	1	A	1	N	2500	0	40	40	39	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	3952474	
54	1	A	1	N	2500	0	40	426	1333	88	29	23	0	0	0	0	0	0	0	0	0	0	0	0	3952677	
55	1	A	1	N	2500	0	40	404	1288	83	32	23	0	0	0	0	0	0	0	0	0	0	0	0	3952692	
56	1	A	1	N	2500	0	40	285	642	23	11	10	0	0	0	0	0	0	0	0	0	0	0	0	3953020	
57	1	A	2	N	2500	0	40	34	34	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3960992	
58	1	A	2	N	2500	0	40	345	1223	76	31	22	0	0	0	0	0	0	0	0	0	0	0	0	3961116	
59	1	A	2	N	2500	0	40	266	1424	79	37	31	0	0	0	0	0	0	0	0	0	0	0	0	3961257	
60	1	A	2	N	2500	0	40	463	1518	85	35	29	0	0	0	0	0	0	0	0	0	0	0	0	3961413	
61	1	A	2	N	2500	0	40	376	1397	91	35	26	0	0	0	0	0	0	0	0	0	0	0	0	3961428	
62	1	A	2	N	2500	0	40	333	1339	88	39	30	0	0	0	0	0	0	0	0	0	0	0	0	3961631	
63	1	A	2	N	2500	0	40	417	1407	94	35	26	0	0	0	0	0	0	0	0	0	0	0	0	3961662	
64	1	A	2	N	2500	0	40	494	1901	119	51	37	0	0	0	0	0	0	0	0	0	0	0	0	3961725	
65	1	A	2	N	2500	0	40	459	1524	88	34	30	0	0	0	0	0	0	0	0	0	0	0	0	3962021	
66	1	A	2	N	2500	0	40	378	1141	55	32	24	0	0	0	0	0	0	0	0	0	0	0	0	3962068	
67	1	A	2	N	2500	0	40	423	1395	81	33	26	0	0	0	0	0	0	0	0	0	0	0	0	3962349	
68	1	A	2	N	2500	0	40	397	1440	86	38	33	0	0	0	0	0	0	0	0	0	0	0	0	3962427	
69	1	A	2	N	2500	0	40	405	1351	92	32	23	0	0	0	0	0	0	0	0	0	0	0	0	3962754	
70	1	A	2	N	2500	0	40	37	53	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3962864	
71	1	A	2	N	2500	0	40	371	1014	65	22	15	0	0	0	0	0	0	0	0	0	0	0	0	3962879	
72	1	A	2	N	2500	0	40	313	1212	80	34	26	0	0	0	0	0	0	0	0	0	0	0	0	3963425	
73	1	A	2	N	2500	0	40	356	1418	105	44	34	0	0	0	0	0	0	0	0	0	0	0	0	3963503	
74	1	A	2	N	2500	0	40	454	1205	55	24	19	0	0	0	0	0	0	0	0	0	0	0	0	3963675	
75	1	A	2	N	2500	0	40	286	1249	68	29	25	0	0	0	0	0	0	0	0	0	0	0	0	3963862	
76	1	A	2	N	2500	0	40	253	1008	56	23	19	0	0	0	0	0	0	0	0	0	0	0	0	3963878	
77	1	A	2	N	2500	0	40	39	57	10	4	1	0	0	0	0	0	0	0	0	0	0	0	0	3963893	
78	1	A	2	N	2500	0	40	30	32	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3963893	
79	1	A	2	N	2500	0	40	475	1546	121	33	24	0	0	0	0	0	0	0	0	0	0	0	0	3964018	
80	1	A	2	N	2500	0	40	408	1300	82	30	25	0	0	0	0	0	0	0	0	0	0	0	0	3964049	
81	1	A	2	N	2500	0	40	497	1722	89	43	33	0	0	0	0	0	0	0	0	0	0	0	0	3964158	
82	1	A	2	N	2500	0	40	20	31	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3964252	
83	1	A	2	N	2500	0	40	666	1958	111	45	40	0	0	0	0	0	0	0	0	0	0	0	0	3964829	
84	1	A	2	N	2500	0	40	386	1356	85	34	25	0	0	0	0	0	0	0	0	0	0	0	0	3965110	
85	1	A	2	N	2500	0	40	289	936	59	26	17	0	0	0	0	0	0	0	0	0	0	0	0	3965188	
86	1	A	2	N	2500	0	40	436	1298	66	35	30	0	0	0	0	0	0	0	0	0	0	0	0	3965219	
87	1	A	2	N	2500	0	40	474	1460	76	33	29	0	0	0	0	0	0	0	0	0	0	0	0	3965344	
88	1	A	2	N	2500	0	40	567	1598	108	38	27	0	0	0	0	0	0	0	0	0	0	0	0	3965360	
89	1	A	2	N	2500	0	40	363	1315	102	39	30	0	0	0	0	0	0	0	0	0	0	0	0	3965422	
90	1	A	2	N	2500	0	40	22	36	7	8	7	0	0	0	0	0	0	0	0	0	0	0	0	3965484	
91	1	A	2	N	2500	0	40	415	1336	94	33	26	0	0	0	0	0	0	0	0	0	0	0	0	3965578	
92	1	A	2	N	2500	0	40	516	1716	99	43	38	0	0	0	0	0	0	0	0	0	0	0	0	3965609	
93	1	A	2	N	2500	0	40	238	1171	73	33	24	0	0	0	0	0	0	0	0	0	0	0	0	3965625	
94	1	A	2	N	2500	0	40	412	1231	77	24	16	0	0	0	0	0	0	0	0	0	0	0	0	3965672	
95	1	A	2	N	2500	0	40	425	1385	86	32	26	0	0	0	0	0	0	0	0	0	0	0	0	3965765	
96	1	A	2	N	2500	0	40	510	1307	70	46	37	0	0	0	0	0	0	0	0	0	0	0	0	3965828	
97	1	A	2	N	2500	0	40	430	1482	89	40	27	0	0	0	0	0	0	0	0	0	0	0	0	3965874	
98	1	A	2	N	2500	0	40	284	255	5	4	6	0	0	0	0	0	0	0	0	0	0	0	0	3965874	
99	1	A	2	N	2500	0	40	428	1464	81	42	30	0	0	0	0	0	0	0	0	0	0	0	0	3965952	
100	1	A	2	N	2500	0	40	407	1292	82	29	22	0	0	0	0	0	0	0	0	0	0	0	0	3966046	
101	1	A	2	N	2500	0	40	420	1437	77	38	30	0	0	0	0	0	0	0	0	0	0	0	0	3966280	
102	1	A	2	N	2500	0	40	27	49	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3966342	
103	1	A	2	N	2500	0	40	22	39	5	5	4	0	0	0	0	0	0	0	0	0	0	0	0	3966358	
104	1	A	2	N	2500	0	40	363	1230	91	31	22	0	0	0	0	0	0	0	0	0	0	0	0	3966374	
105	1	A	2	N	2500	0	40	512	1523	94	33	31	0	0	0	0	0	0	0	0	0	0	0	0	3966498	
106	1	A	2	N	2500	0	40	625	2022	120	42	34	0	0	0	0	0	0	0	0	0	0	0	0	3966561	
107	1	A	2	N	2500	0	40	431	1418	76	31	25	0	0	0	0	0	0	0	0	0	0	0	0	3966576	
108	1	A	2	N	2500	0	40	444	1524	96	52	45	0	0	0	0	0	0	0	0	0	0	0	0	3966764	
109	1	A	2	N	2500	0	40	426	1238	78	27	21	0	0	0	0	0	0	0	0	0	0	0	0	3966795	
