Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	33	34	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	9665818	
1	1	A	1	N	2500	0	40	165	508	27	8	7	0	0	0	0	0	0	0	0	0	0	0	0	9665942	
2	1	A	1	N	2500	0	40	190	262	7	3	3	0	0	0	0	0	0	0	0	0	0	0	0	9666364	
3	1	A	1	N	2500	0	40	275	537	21	7	8	0	0	0	0	0	0	0	0	0	0	0	0	9666878	
4	1	A	1	N	2500	0	40	20	22	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9667409	
5	1	A	1	N	2500	0	40	180	281	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9667908	
6	1	A	1	N	2500	0	40	300	561	19	8	7	0	0	0	0	0	0	0	0	0	0	0	0	9667970	
7	1	A	1	N	2500	0	40	256	474	19	7	4	0	0	0	0	0	0	0	0	0	0	0	0	9668002	
8	1	A	1	N	2500	0	40	207	280	12	8	5	0	0	0	0	0	0	0	0	0	0	0	0	9668048	
9	1	A	1	N	2500	0	40	204	306	8	3	4	0	0	0	0	0	0	0	0	0	0	0	0	9668142	
10	1	A	1	N	2500	0	40	267	500	16	7	6	0	0	0	0	0	0	0	0	0	0	0	0	9668158	
11	1	A	1	N	2500	0	40	271	637	23	13	10	0	0	0	0	0	0	0	0	0	0	0	0	9668438	
12	1	A	1	N	2500	0	40	367	821	30	17	13	0	0	0	0	0	0	0	0	0	0	0	0	9668797	
13	1	A	1	N	2500	0	40	281	546	20	6	7	0	0	0	0	0	0	0	0	0	0	0	0	9668828	
14	1	A	1	N	2500	0	40	332	727	27	11	9	0	0	0	0	0	0	0	0	0	0	0	0	9668922	
15	1	A	1	N	2500	0	40	187	409	23	9	8	0	0	0	0	0	0	0	0	0	0	0	0	9669016	
16	1	A	1	N	2500	0	40	35	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9669016	
17	1	A	1	N	2500	0	40	334	780	28	12	10	0	0	0	0	0	0	0	0	0	0	0	0	9669078	
18	1	A	1	N	2500	0	40	24	25	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9669390	
