Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	20	34	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1596329	
1	1	A	1	N	2500	0	40	55	311	30	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1596376	
2	1	A	1	N	2500	0	40	24	45	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1596470	
3	1	A	1	N	2500	0	40	25	57	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1596766	
4	1	A	1	N	2500	0	40	49	131	7	7	8	0	0	0	0	0	0	0	0	0	0	0	0	1597047	
5	1	A	1	N	2500	0	40	328	1246	83	31	20	0	0	0	0	0	0	0	0	0	0	0	0	1597437	
6	1	A	1	N	2500	0	40	281	1495	81	40	30	0	0	0	0	0	0	0	0	0	0	0	0	1597452	
7	1	A	1	N	2500	0	40	34	41	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1597764	
8	1	A	1	N	2500	0	40	20	22	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1597967	
9	1	A	1	N	2500	0	40	428	1112	59	22	17	0	0	0	0	0	0	0	0	0	0	0	0	1598201	
10	1	A	1	N	2500	0	40	21	18	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1598498	
11	1	A	1	N	2500	0	40	30	62	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	1598576	
12	1	A	1	N	2500	0	40	396	1638	135	50	36	0	0	0	0	0	0	0	0	0	0	0	0	1599948	
13	1	A	1	N	2500	0	40	539	1764	96	38	30	0	0	0	0	0	0	0	0	0	0	0	0	1599964	
14	1	A	1	N	2500	0	40	30	49	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1600042	
15	1	A	1	N	2500	0	40	48	107	17	20	21	0	0	0	0	0	0	0	0	0	0	0	0	1600635	
16	1	A	1	N	2500	0	40	430	1267	77	25	17	0	0	0	0	0	0	0	0	0	0	0	0	1600978	
17	1	A	1	N	2500	0	40	30	57	11	13	12	0	0	0	0	0	0	0	0	0	0	0	0	1601415	
18	1	A	1	N	2500	0	40	20	28	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1601415	
19	1	A	1	N	2500	0	40	415	1176	63	25	20	0	0	0	0	0	0	0	0	0	0	0	0	1601493	
20	1	A	1	N	2500	0	40	630	1740	101	42	31	0	0	0	0	0	0	0	0	0	0	0	0	1601727	
21	1	A	1	N	2500	0	40	433	1453	83	35	25	0	0	0	0	0	0	0	0	0	0	0	0	1601774	
22	1	A	1	N	2500	0	40	260	915	66	27	19	0	0	0	0	0	0	0	0	0	0	0	0	1602101	
23	1	A	1	N	2500	0	40	182	169	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1602101	
