Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	27	39	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13894064	
1	1	A	1	N	2500	0	40	268	599	33	18	14	0	0	0	0	0	0	0	0	0	0	0	0	13894157	
2	1	A	1	N	2500	0	40	39	101	8	7	9	0	0	0	0	0	0	0	0	0	0	0	0	13894563	
3	1	A	1	N	2500	0	40	20	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13894656	
4	1	A	1	N	2500	0	40	29	28	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13895031	
5	1	A	1	N	2500	0	40	353	750	32	13	9	0	0	0	0	0	0	0	0	0	0	0	0	13895530	
6	1	A	1	N	2500	0	40	21	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13895717	
7	1	A	1	N	2500	0	40	21	22	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	13895764	
8	1	A	1	N	2500	0	40	25	43	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	13896950	
9	1	A	1	N	2500	0	40	149	257	7	3	3	0	0	0	0	0	0	0	0	0	0	0	0	13897043	
10	1	A	1	N	2500	0	40	28	39	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	13897168	
11	1	A	1	N	2500	0	40	288	539	17	8	6	0	0	0	0	0	0	0	0	0	0	0	0	13897340	
12	1	A	1	N	2500	0	40	20	31	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13897433	
13	1	A	1	N	2500	0	40	234	630	22	13	12	0	0	0	0	0	0	0	0	0	0	0	0	13897948	
14	1	A	1	N	2500	0	40	45	57	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	13898010	
15	1	A	1	N	2500	0	40	27	45	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	13898447	
16	1	A	1	N	2500	0	40	22	29	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13898650	
17	1	A	1	N	2500	0	40	285	501	17	8	7	0	0	0	0	0	0	0	0	0	0	0	0	13899368	
18	1	A	1	N	2500	0	40	33	77	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	13899461	
19	1	A	1	N	2500	0	40	32	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13899992	
20	1	B	1	N	2500	0	40	392	931	38	17	15	0	0	0	0	0	0	0	0	0	0	0	0	13909227	
21	1	B	1	N	2500	0	40	34	57	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	13910163	
22	1	B	1	N	2500	0	40	34	75	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	13910490	
23	1	B	1	N	2500	0	40	155	228	7	3	4	0	0	0	0	0	0	0	0	0	0	0	0	13910584	
24	1	B	1	N	2500	0	40	28	34	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13911177	
25	1	B	1	N	2500	0	40	132	276	9	4	4	0	0	0	0	0	0	0	0	0	0	0	0	13911536	
26	1	B	1	N	2500	0	40	264	480	15	6	7	0	0	0	0	0	0	0	0	0	0	0	0	13911629	
27	1	B	1	N	2500	0	40	20	19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13912503	
28	1	B	1	N	2500	0	40	224	336	8	4	5	0	0	0	0	0	0	0	0	0	0	0	0	13912893	
29	1	B	1	N	2500	0	40	183	363	11	5	4	0	0	0	0	0	0	0	0	0	0	0	0	13913267	
30	1	B	1	N	2500	0	40	228	378	9	3	4	0	0	0	0	0	0	0	0	0	0	0	0	13915108	
31	1	B	1	N	2500	0	40	77	251	32	22	25	0	0	0	0	0	0	0	0	0	0	0	0	13915248	
32	1	B	1	N	2500	0	40	28	32	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13915872	
33	1	C	1	N	2500	0	40	21	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13923782	
34	1	C	1	N	2500	0	40	179	222	16	11	9	0	0	0	0	0	0	0	0	0	0	0	0	13925279	
35	1	C	1	N	2500	0	40	27	44	5	5	4	0	0	0	0	0	0	0	0	0	0	0	0	13925856	
36	1	C	1	N	2500	0	40	26	21	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	13926153	
37	1	C	1	N	2500	0	40	77	75	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	13926153	
38	1	C	1	N	2500	0	40	279	541	21	9	7	0	0	0	0	0	0	0	0	0	0	0	0	13926246	
39	1	C	1	N	2500	0	40	49	75	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	13926340	
40	1	C	1	N	2500	0	40	34	63	3	3	5	0	0	0	0	0	0	0	0	0	0	0	0	13926574	
41	1	C	1	N	2500	0	40	271	450	13	7	10	0	0	0	0	0	0	0	0	0	0	0	0	13926683	
42	1	C	1	N	2500	0	40	283	544	23	9	8	0	0	0	0	0	0	0	0	0	0	0	0	13927058	
43	1	C	1	N	2500	0	40	286	544	17	7	7	0	0	0	0	0	0	0	0	0	0	0	0	13927229	
44	1	C	1	N	2500	0	40	25	46	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	13927370	
45	1	C	1	N	2500	0	40	36	114	9	7	9	0	0	0	0	0	0	0	0	0	0	0	0	13927370	
46	1	C	1	N	2500	0	40	35	90	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	13927635	
47	1	C	1	N	2500	0	40	60	155	9	8	8	0	0	0	0	0	0	0	0	0	0	0	0	13927947	
48	1	C	1	N	2500	0	40	23	32	11	10	11	0	0	0	0	0	0	0	0	0	0	0	0	13928228	
49	1	C	1	N	2500	0	40	195	276	6	2	4	0	0	0	0	0	0	0	0	0	0	0	0	13928243	
50	1	C	1	N	2500	0	40	20	28	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13928727	
51	1	C	1	N	2500	0	40	20	33	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	13929039	
52	1	C	1	N	2500	0	40	27	52	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	13929195	
53	1	C	1	N	2500	0	40	227	466	14	7	6	0	0	0	0	0	0	0	0	0	0	0	0	13929195	
54	1	C	1	N	2500	0	40	23	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13929522	
55	1	C	1	N	2500	0	40	37	76	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	13929647	
56	1	C	1	N	2500	0	40	288	535	17	8	6	0	0	0	0	0	0	0	0	0	0	0	0	13929772	
57	1	C	1	N	2500	0	40	26	25	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13930022	
58	1	C	1	N	2500	0	40	30	58	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	13930022	
59	1	C	1	N	2500	0	40	20	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13930380	
60	1	C	1	N	2500	0	40	37	69	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	13930630	
61	1	C	1	N	2500	0	40	23	39	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	13930692	
62	1	C	1	N	2500	0	40	24	30	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13930770	
63	1	D	1	N	2500	0	40	24	32	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	13939506	
64	1	D	1	N	2500	0	40	273	492	21	8	6	0	0	0	0	0	0	0	0	0	0	0	0	13939834	
65	1	D	1	N	2500	0	40	68	288	35	31	36	0	0	0	0	0	0	0	0	0	0	0	0	13940037	
66	1	D	1	N	2500	0	40	25	23	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13941098	
67	1	D	1	N	2500	0	40	47	44	3	2	5	0	0	0	0	0	0	0	0	0	0	0	0	13941098	
68	1	D	1	N	2500	0	40	29	47	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	13941269	
69	1	D	1	N	2500	0	40	196	268	7	3	3	0	0	0	0	0	0	0	0	0	0	0	0	13941316	
70	1	D	1	N	2500	0	40	33	58	5	3	4	0	0	0	0	0	0	0	0	0	0	0	0	13941441	
71	1	D	1	N	2500	0	40	179	274	7	3	3	0	0	0	0	0	0	0	0	0	0	0	0	13942283	
72	1	D	1	N	2500	0	40	29	42	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	13942439	
73	1	D	1	N	2500	0	40	347	760	35	13	14	0	0	0	0	0	0	0	0	0	0	0	0	13942502	
74	1	D	1	N	2500	0	40	355	702	24	11	11	0	0	0	0	0	0	0	0	0	0	0	0	13943141	
75	1	D	1	N	2500	0	40	50	111	13	9	10	0	0	0	0	0	0	0	0	0	0	0	0	13943297	
76	1	D	1	N	2500	0	40	322	545	17	9	8	0	0	0	0	0	0	0	0	0	0	0	0	13944124	
77	1	D	1	N	2500	0	40	353	703	21	10	9	0	0	0	0	0	0	0	0	0	0	0	0	13944545	
78	1	D	1	N	2500	0	40	44	89	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	13945341	
79	1	E	1	N	2500	0	40	77	100	9	7	7	0	0	0	0	0	0	0	0	0	0	0	0	13952813	
80	1	E	1	N	2500	0	40	37	114	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13952938	
81	1	E	1	N	2500	0	40	28	29	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13953843	
82	1	E	1	N	2500	0	40	45	117	10	7	9	0	0	0	0	0	0	0	0	0	0	0	0	13954030	
83	1	E	1	N	2500	0	40	24	28	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13954716	
84	1	E	1	N	2500	0	40	302	578	21	9	7	0	0	0	0	0	0	0	0	0	0	0	0	13956370	
85	1	E	1	N	2500	0	40	235	381	11	4	3	0	0	0	0	0	0	0	0	0	0	0	0	13956386	
86	1	E	1	N	2500	0	40	256	354	14	5	5	0	0	0	0	0	0	0	0	0	0	0	0	13956510	
87	1	E	1	N	2500	0	40	25	39	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	13956557	
88	1	E	1	N	2500	0	40	41	110	8	7	7	0	0	0	0	0	0	0	0	0	0	0	0	13956573	
89	1	E	1	N	2500	0	40	21	26	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	13957727	
90	1	E	1	N	2500	0	40	267	630	28	11	9	0	0	0	0	0	0	0	0	0	0	0	0	13958507	
91	1	E	1	N	2500	0	40	104	280	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	13959724	
92	1	F	1	N	2500	0	40	20	25	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13967399	
93	1	F	1	N	2500	0	40	29	48	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	13967758	
94	1	F	1	N	2500	0	40	49	77	6	5	5	0	0	0	0	0	0	0	0	0	0	0	0	13968288	
95	1	F	1	N	2500	0	40	148	249	19	17	13	0	0	0	0	0	0	0	0	0	0	0	0	13969162	
96	1	F	1	N	2500	0	40	36	65	6	3	5	0	0	0	0	0	0	0	0	0	0	0	0	13969614	
97	1	F	1	N	2500	0	40	195	268	20	15	12	0	0	0	0	0	0	0	0	0	0	0	0	13969708	
98	1	F	1	N	2500	0	40	25	54	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	13970285	
99	1	F	1	N	2500	0	40	46	55	6	4	3	0	0	0	0	0	0	0	0	0	0	0	0	13970566	
100	1	F	1	N	2500	0	40	215	397	12	7	5	0	0	0	0	0	0	0	0	0	0	0	0	13970582	
101	1	F	1	N	2500	0	40	282	479	18	7	6	0	0	0	0	0	0	0	0	0	0	0	0	13970613	
102	1	F	1	N	2500	0	40	55	168	15	14	14	0	0	0	0	0	0	0	0	0	0	0	0	13972547	
103	1	F	1	N	2500	0	40	21	28	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13972578	
104	1	F	1	N	2500	0	40	35	37	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	13973717	
105	1	F	1	N	2500	0	40	23	32	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13973982	
106	1	F	1	N	2500	0	40	23	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13974887	
107	1	G	1	N	2500	0	40	40	65	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	13982391	
108	1	G	1	N	2500	0	40	394	817	35	14	11	0	0	0	0	0	0	0	0	0	0	0	0	13982734	
109	1	G	1	N	2500	0	40	24	25	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13983374	
110	1	G	1	N	2500	0	40	223	396	10	5	5	0	0	0	0	0	0	0	0	0	0	0	0	13983732	
111	1	G	1	N	2500	0	40	23	45	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	13983795	
112	1	G	1	N	2500	0	40	45	61	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	13984559	
113	1	G	1	N	2500	0	40	61	111	6	4	4	0	0	0	0	0	0	0	0	0	0	0	0	13985136	
114	1	G	1	N	2500	0	40	21	23	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13985199	
115	1	G	1	N	2500	0	40	21	21	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13985230	
116	1	G	1	N	2500	0	40	21	28	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13985682	
117	1	G	1	N	2500	0	40	181	282	13	7	6	0	0	0	0	0	0	0	0	0	0	0	0	13985854	
118	1	G	1	N	2500	0	40	26	43	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	13986135	
119	1	G	1	N	2500	0	40	24	42	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	13986182	
120	1	G	1	N	2500	0	40	24	30	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13986353	
121	1	G	1	N	2500	0	40	24	25	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13986790	
122	1	G	1	N	2500	0	40	50	130	15	12	13	0	0	0	0	0	0	0	0	0	0	0	0	13986915	
123	1	G	1	N	2500	0	40	22	32	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13987055	
124	1	G	1	N	2500	0	40	28	36	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	13987305	
125	1	G	1	N	2500	0	40	21	27	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	13987461	
126	1	G	1	N	2500	0	40	34	56	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	13987632	
127	1	G	1	N	2500	0	40	20	23	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13987664	
128	1	G	1	N	2500	0	40	20	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13988007	
129	1	G	1	N	2500	0	40	267	457	12	5	4	0	0	0	0	0	0	0	0	0	0	0	0	13988210	
130	1	G	1	N	2500	0	40	256	314	11	5	4	0	0	0	0	0	0	0	0	0	0	0	0	13988288	
131	1	G	1	N	2500	0	40	26	47	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	13988288	
132	1	G	1	N	2500	0	40	25	32	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13988724	
133	1	G	1	N	2500	0	40	31	56	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	13989068	
134	1	G	1	N	2500	0	40	28	52	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	13989239	
135	1	H	1	N	2500	0	40	20	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13997601	
136	1	H	1	N	2500	0	40	24	27	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13997663	
137	1	H	1	N	2500	0	40	21	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14001501	
138	1	H	1	N	2500	0	40	61	66	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14001813	
139	1	H	1	N	2500	0	40	106	301	7	3	2	0	0	0	0	0	0	0	0	0	0	0	0	14002702	
140	1	H	1	N	2500	0	40	24	33	9	7	8	0	0	0	0	0	0	0	0	0	0	0	0	14003061	
141	1	A	2	N	2500	0	40	370	645	38	11	11	0	0	0	0	0	0	0	0	0	0	0	0	14012530	
142	1	A	2	N	2500	0	40	37	58	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	14012983	
143	1	A	2	N	2500	0	40	393	935	42	17	15	0	0	0	0	0	0	0	0	0	0	0	0	14013170	
144	1	A	2	N	2500	0	40	285	695	28	14	11	0	0	0	0	0	0	0	0	0	0	0	0	14013373	
145	1	A	2	N	2500	0	40	21	25	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14013404	
146	1	A	2	N	2500	0	40	29	36	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	14015510	
147	1	A	2	N	2500	0	40	270	396	18	13	11	0	0	0	0	0	0	0	0	0	0	0	0	14016056	
148	1	A	2	N	2500	0	40	30	77	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	14016337	
149	1	A	2	N	2500	0	40	172	368	11	6	6	0	0	0	0	0	0	0	0	0	0	0	0	14016851	
150	1	A	2	N	2500	0	40	302	584	20	8	9	0	0	0	0	0	0	0	0	0	0	0	0	14017413	
151	1	A	2	N	2500	0	40	20	26	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	14017444	
152	1	A	2	N	2500	0	40	343	696	31	16	13	0	0	0	0	0	0	0	0	0	0	0	0	14017600	
153	1	A	2	N	2500	0	40	25	42	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	14018131	
154	1	A	2	N	2500	0	40	259	369	14	5	5	0	0	0	0	0	0	0	0	0	0	0	0	14018474	
155	1	A	2	N	2500	0	40	31	64	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	14019597	
156	1	A	2	N	2500	0	40	32	42	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	14019691	
157	1	B	2	N	2500	0	40	30	47	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	14028224	
158	1	B	2	N	2500	0	40	270	412	17	9	9	0	0	0	0	0	0	0	0	0	0	0	0	14028380	
159	1	B	2	N	2500	0	40	20	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14028505	
160	1	B	2	N	2500	0	40	278	534	23	8	9	0	0	0	0	0	0	0	0	0	0	0	0	14028645	
161	1	B	2	N	2500	0	40	38	90	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	14028692	
162	1	B	2	N	2500	0	40	25	36	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	14029378	
163	1	B	2	N	2500	0	40	35	86	6	5	5	0	0	0	0	0	0	0	0	0	0	0	0	14029612	
164	1	B	2	N	2500	0	40	217	332	11	5	5	0	0	0	0	0	0	0	0	0	0	0	0	14029971	
165	1	B	2	N	2500	0	40	48	124	9	9	10	0	0	0	0	0	0	0	0	0	0	0	0	14030423	
166	1	B	2	N	2500	0	40	103	274	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	14030470	
167	1	B	2	N	2500	0	40	240	366	11	6	7	0	0	0	0	0	0	0	0	0	0	0	0	14030657	
168	1	B	2	N	2500	0	40	116	298	10	5	4	0	0	0	0	0	0	0	0	0	0	0	0	14030735	
169	1	B	2	N	2500	0	40	25	28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14030782	
170	1	B	2	N	2500	0	40	35	52	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	14030969	
171	1	B	2	N	2500	0	40	38	97	7	5	5	0	0	0	0	0	0	0	0	0	0	0	0	14031172	
172	1	B	2	N	2500	0	40	32	41	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14031172	
173	1	B	2	N	2500	0	40	38	92	7	7	8	0	0	0	0	0	0	0	0	0	0	0	0	14031235	
174	1	B	2	N	2500	0	40	35	92	8	7	9	0	0	0	0	0	0	0	0	0	0	0	0	14031375	
175	1	B	2	N	2500	0	40	23	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14032155	
176	1	B	2	N	2500	0	40	36	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14032358	
177	1	B	2	N	2500	0	40	148	253	7	3	4	0	0	0	0	0	0	0	0	0	0	0	0	14032358	
178	1	B	2	N	2500	0	40	204	286	9	4	4	0	0	0	0	0	0	0	0	0	0	0	0	14032545	
179	1	B	2	N	2500	0	40	234	364	8	4	4	0	0	0	0	0	0	0	0	0	0	0	0	14032654	
180	1	B	2	N	2500	0	40	36	63	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	14033294	
181	1	B	2	N	2500	0	40	63	303	48	48	49	0	0	0	0	0	0	0	0	0	0	0	0	14033575	
182	1	B	2	N	2500	0	40	20	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14034277	
183	1	B	2	N	2500	0	40	22	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14034277	
184	1	B	2	N	2500	0	40	27	50	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	14034464	
185	1	B	2	N	2500	0	40	295	577	23	8	7	0	0	0	0	0	0	0	0	0	0	0	0	14034479	
