Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	219	1127	61	26	22	0	0	0	0	0	0	0	0	0	0	0	0	1580829	
1	1	A	1	N	2500	0	40	39	99	7	8	9	0	0	0	0	0	0	0	0	0	0	0	0	1580970	
2	1	A	1	N	2500	0	40	240	1338	90	39	33	0	0	0	0	0	0	0	0	0	0	0	0	1581001	
3	1	A	1	N	2500	0	40	199	1074	75	26	21	0	0	0	0	0	0	0	0	0	0	0	0	1581032	
4	1	A	1	N	2500	0	40	507	1550	92	35	31	0	0	0	0	0	0	0	0	0	0	0	0	1581656	
5	1	A	1	N	2500	0	40	342	1240	61	28	22	0	0	0	0	0	0	0	0	0	0	0	0	1581843	
6	1	A	1	N	2500	0	40	390	1164	66	25	19	0	0	0	0	0	0	0	0	0	0	0	0	1582233	
7	1	A	1	N	2500	0	40	476	1638	108	41	30	0	0	0	0	0	0	0	0	0	0	0	0	1582374	
8	1	A	1	N	2500	0	40	24	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1582374	
9	1	A	1	N	2500	0	40	227	203	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	1582374	
10	1	A	1	N	2500	0	40	833	786	12	9	11	0	0	0	0	0	0	0	0	0	0	0	0	1582374	
11	1	A	1	N	2500	0	40	46	37	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1582374	
12	1	A	1	N	2500	0	40	427	1085	71	23	21	0	0	0	0	0	0	0	0	0	0	0	0	1583481	
13	1	A	1	N	2500	0	40	357	1432	79	35	26	0	0	0	0	0	0	0	0	0	0	0	0	1583778	
14	1	A	1	N	2500	0	40	268	1365	99	36	28	0	0	0	0	0	0	0	0	0	0	0	0	1583871	
15	1	A	1	N	2500	0	40	343	1312	87	35	26	0	0	0	0	0	0	0	0	0	0	0	0	1583871	
16	1	A	1	N	2500	0	40	283	1432	105	39	32	0	0	0	0	0	0	0	0	0	0	0	0	1584558	
17	1	A	1	N	2500	0	40	471	1670	72	40	37	0	0	0	0	0	0	0	0	0	0	0	0	1585759	
18	1	A	1	N	2500	0	40	963	923	12	7	12	0	0	0	0	0	0	0	0	0	0	0	0	1585759	
19	1	A	1	N	2500	0	40	21	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1585759	
20	1	A	1	N	2500	0	40	25	20	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1586227	
21	1	A	1	N	2500	0	40	406	1330	93	35	26	0	0	0	0	0	0	0	0	0	0	0	0	1586336	
22	1	A	1	N	2500	0	40	459	1374	83	34	28	0	0	0	0	0	0	0	0	0	0	0	0	1586711	
23	1	A	1	N	2500	0	40	458	1306	101	37	28	0	0	0	0	0	0	0	0	0	0	0	0	1586929	
24	1	A	1	N	2500	0	40	528	1575	138	42	34	0	0	0	0	0	0	0	0	0	0	0	0	1587069	
25	1	A	1	N	2500	0	40	430	1170	76	23	19	0	0	0	0	0	0	0	0	0	0	0	0	1587491	
26	1	A	1	N	2500	0	40	21	18	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1587537	
27	1	A	1	N	2500	0	40	201	280	10	8	10	0	0	0	0	0	0	0	0	0	0	0	0	1587553	
28	1	A	1	N	2500	0	40	71	99	8	5	4	0	0	0	0	0	0	0	0	0	0	0	0	1587615	
29	1	A	1	N	2500	0	40	442	1450	79	34	27	0	0	0	0	0	0	0	0	0	0	0	0	1587990	
30	1	A	1	N	2500	0	40	394	1240	78	27	22	0	0	0	0	0	0	0	0	0	0	0	0	1588177	
31	1	A	1	N	2500	0	40	34	45	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1588208	
32	1	B	1	N	2500	0	40	279	1476	88	43	33	0	0	0	0	0	0	0	0	0	0	0	0	1595525	
33	1	B	1	N	2500	0	40	388	1155	68	26	25	0	0	0	0	0	0	0	0	0	0	0	0	1595540	
34	1	B	1	N	2500	0	40	440	1412	74	37	32	0	0	0	0	0	0	0	0	0	0	0	0	1596710	
35	1	B	1	N	2500	0	40	28	49	10	12	11	0	0	0	0	0	0	0	0	0	0	0	0	1597069	
36	1	B	1	N	2500	0	40	434	1487	117	38	28	0	0	0	0	0	0	0	0	0	0	0	0	1597303	
37	1	B	1	N	2500	0	40	333	1595	101	40	34	0	0	0	0	0	0	0	0	0	0	0	0	1597584	
38	1	B	1	N	2500	0	40	357	1124	63	24	17	0	0	0	0	0	0	0	0	0	0	0	0	1598052	
39	1	B	1	N	2500	0	40	34	83	3	4	5	0	0	0	0	0	0	0	0	0	0	0	0	1598130	
40	1	B	1	N	2500	0	40	292	1333	85	33	29	0	0	0	0	0	0	0	0	0	0	0	0	1598192	
41	1	B	1	N	2500	0	40	423	1414	74	34	28	0	0	0	0	0	0	0	0	0	0	0	0	1598255	
42	1	B	1	N	2500	0	40	416	1339	81	27	26	0	0	0	0	0	0	0	0	0	0	0	0	1598520	
43	1	B	1	N	2500	0	40	351	1388	76	34	24	0	0	0	0	0	0	0	0	0	0	0	0	1598551	
44	1	B	1	N	2500	0	40	620	2120	127	47	38	0	0	0	0	0	0	0	0	0	0	0	0	1598645	
45	1	B	1	N	2500	0	40	598	1696	105	40	28	0	0	0	0	0	0	0	0	0	0	0	0	1598754	
46	1	B	1	N	2500	0	40	84	274	35	27	33	0	0	0	0	0	0	0	0	0	0	0	0	1598816	
47	1	B	1	N	2500	0	40	479	1513	83	35	25	0	0	0	0	0	0	0	0	0	0	0	0	1599035	
48	1	B	1	N	2500	0	40	21	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1599113	
