Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	2	N	2500	0	40	45	62	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33234718	
1	1	A	2	N	2500	0	40	26	49	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	33236387	
2	1	A	4	N	2500	0	40	28	31	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	33264810	
3	1	A	5	N	2500	0	40	37	88	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	33274966	
4	1	A	5	N	2500	0	40	40	61	6	3	4	0	0	0	0	0	0	0	0	0	0	0	0	33275637	
5	1	A	5	N	2500	0	40	23	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33275808	
6	1	A	5	N	2500	0	40	36	81	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33276292	
7	1	A	5	N	2500	0	40	385	1313	71	34	26	0	0	0	0	0	0	0	0	0	0	0	0	33277556	
8	1	A	5	N	2500	0	40	31	47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33277649	
9	1	A	5	N	2500	0	40	40	103	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33281003	
10	1	A	5	N	2500	0	40	24	43	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33282158	
11	1	A	6	N	2500	0	40	35	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33289833	
12	1	A	6	N	2500	0	40	33	71	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33290706	
13	1	A	6	N	2500	0	40	73	210	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33290769	
14	1	A	6	N	2500	0	40	35	75	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33292048	
15	1	A	6	N	2500	0	40	20	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33293748	
16	1	A	7	N	2500	0	40	30	45	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33304590	
17	1	A	7	N	2500	0	40	36	74	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33304996	
18	1	A	7	N	2500	0	40	36	97	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33305261	
19	1	A	7	N	2500	0	40	29	46	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33306244	
20	1	A	7	N	2500	0	40	21	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33306431	
21	1	A	7	N	2500	0	40	24	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33306899	
22	1	A	7	N	2500	0	40	38	87	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33307414	
23	1	A	7	N	2500	0	40	50	243	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33307523	
24	1	A	7	N	2500	0	40	34	61	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33309099	
25	1	A	7	N	2500	0	40	21	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33310893	
26	1	A	7	N	2500	0	40	20	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33311532	
27	1	A	8	N	2500	0	40	21	19	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33319270	
28	1	A	8	N	2500	0	40	32	39	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	33319379	
29	1	A	8	N	2500	0	40	91	362	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	33319395	
30	1	A	8	N	2500	0	40	58	65	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	33319488	
31	1	A	8	N	2500	0	40	24	25	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33320721	
32	1	A	8	N	2500	0	40	42	101	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33322031	
33	1	A	8	N	2500	0	40	21	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33324137	
34	1	A	8	N	2500	0	40	36	67	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	33325541	
35	1	A	8	N	2500	0	40	32	40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33326087	
36	1	A	9	N	2500	0	40	38	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33333762	
37	1	A	9	N	2500	0	40	65	217	10	11	29	0	0	0	0	0	0	0	0	0	0	0	0	33335790	
38	1	A	9	N	2500	0	40	32	49	5	3	5	0	0	0	0	0	0	0	0	0	0	0	0	33336118	
39	1	A	9	N	2500	0	40	28	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33338474	
40	1	A	10	N	2500	0	40	52	84	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33348426	
41	1	A	11	N	2500	0	40	43	88	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	33364573	
42	1	A	11	N	2500	0	40	202	572	11	3	6	0	0	0	0	0	0	0	0	0	0	0	0	33364573	
43	1	A	12	N	2500	0	40	30	44	8	7	10	0	0	0	0	0	0	0	0	0	0	0	0	33378878	
