Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	43	93	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	19999450	
1	1	A	1	N	2500	0	40	21	19	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19999809	
2	1	A	1	N	2500	0	40	33	79	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	19999903	
3	1	A	1	N	2500	0	40	584	1664	89	36	31	0	0	0	0	0	0	0	0	0	0	0	0	20000324	
4	1	A	1	N	2500	0	40	35	32	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20000589	
5	1	A	1	N	2500	0	40	360	1194	73	30	23	0	0	0	0	0	0	0	0	0	0	0	0	20000667	
6	1	A	1	N	2500	0	40	32	35	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20001010	
7	1	A	1	N	2500	0	40	69	181	8	7	9	0	0	0	0	0	0	0	0	0	0	0	0	20001041	
8	1	A	1	N	2500	0	40	26	37	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20001353	
9	1	A	1	N	2500	0	40	40	50	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20001400	
10	1	A	1	N	2500	0	40	54	173	8	8	10	0	0	0	0	0	0	0	0	0	0	0	0	20001603	
11	1	A	1	N	2500	0	40	471	1479	71	29	25	0	0	0	0	0	0	0	0	0	0	0	0	20001977	
12	1	A	1	N	2500	0	40	80	145	6	4	3	0	0	0	0	0	0	0	0	0	0	0	0	20002399	
13	1	A	1	N	2500	0	40	39	42	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20002461	
14	1	A	1	N	2500	0	40	25	37	8	7	8	0	0	0	0	0	0	0	0	0	0	0	0	20002523	
15	1	A	1	N	2500	0	40	240	998	55	25	17	0	0	0	0	0	0	0	0	0	0	0	0	20002523	
16	1	A	1	N	2500	0	40	254	1091	62	28	21	0	0	0	0	0	0	0	0	0	0	0	0	20002789	
17	1	A	1	N	2500	0	40	274	1048	70	30	22	0	0	0	0	0	0	0	0	0	0	0	0	20002991	
18	1	A	1	N	2500	0	40	27	27	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20003085	
