Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	272	1027	55	28	20	0	0	0	0	0	0	0	0	0	0	0	0	2178073	
1	1	A	1	N	2500	0	40	312	1238	70	43	36	0	0	0	0	0	0	0	0	0	0	0	0	2179040	
2	1	A	1	N	2500	0	40	20	25	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2179477	
3	1	A	1	N	2500	0	40	22	28	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2179757	
4	1	A	1	N	2500	0	40	21	20	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2179804	
5	1	A	1	N	2500	0	40	286	1110	71	30	23	0	0	0	0	0	0	0	0	0	0	0	0	2180366	
6	1	A	1	N	2500	0	40	217	801	43	22	16	0	0	0	0	0	0	0	0	0	0	0	0	2180756	
7	1	A	1	N	2500	0	40	223	870	56	25	19	0	0	0	0	0	0	0	0	0	0	0	0	2180771	
8	1	A	1	N	2500	0	40	294	1035	59	30	23	0	0	0	0	0	0	0	0	0	0	0	0	2181068	
9	1	A	1	N	2500	0	40	342	1230	90	35	26	0	0	0	0	0	0	0	0	0	0	0	0	2181224	
10	1	A	1	N	2500	0	40	380	1345	84	36	32	0	0	0	0	0	0	0	0	0	0	0	0	2181427	
11	1	A	1	N	2500	0	40	250	1064	63	31	22	0	0	0	0	0	0	0	0	0	0	0	0	2181941	
12	1	A	1	N	2500	0	40	249	735	42	19	13	0	0	0	0	0	0	0	0	0	0	0	0	2182066	
13	1	A	1	N	2500	0	40	248	877	61	27	17	0	0	0	0	0	0	0	0	0	0	0	0	2182253	
14	1	A	1	N	2500	0	40	291	958	57	27	18	0	0	0	0	0	0	0	0	0	0	0	0	2182628	
15	1	A	1	N	2500	0	40	287	862	53	28	21	0	0	0	0	0	0	0	0	0	0	0	0	2182893	
