Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	23	29	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3487461	
1	1	A	1	N	2500	0	40	263	1009	68	27	21	0	0	0	0	0	0	0	0	0	0	0	0	3487601	
2	1	A	1	N	2500	0	40	36	56	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3487804	
3	1	A	1	N	2500	0	40	41	38	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3488116	
4	1	A	1	N	2500	0	40	284	1141	80	32	23	0	0	0	0	0	0	0	0	0	0	0	0	3488646	
5	1	A	1	N	2500	0	40	27	21	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3488693	
6	1	A	1	N	2500	0	40	21	29	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3488771	
7	1	A	1	N	2500	0	40	209	705	48	24	19	0	0	0	0	0	0	0	0	0	0	0	0	3488880	
8	1	A	1	N	2500	0	40	35	99	8	8	9	0	0	0	0	0	0	0	0	0	0	0	0	3488927	
9	1	A	1	N	2500	0	40	385	1438	83	37	28	0	0	0	0	0	0	0	0	0	0	0	0	3489083	
10	1	A	1	N	2500	0	40	281	1153	75	32	22	0	0	0	0	0	0	0	0	0	0	0	0	3489551	
11	1	A	1	N	2500	0	40	32	65	3	4	4	0	0	0	0	0	0	0	0	0	0	0	0	3489567	
12	1	A	1	N	2500	0	40	23	39	8	9	10	0	0	0	0	0	0	0	0	0	0	0	0	3489598	
13	1	A	1	N	2500	0	40	150	869	52	24	19	0	0	0	0	0	0	0	0	0	0	0	0	3489785	
14	1	A	1	N	2500	0	40	301	1142	73	32	22	0	0	0	0	0	0	0	0	0	0	0	0	3490160	
15	1	A	1	N	2500	0	40	61	77	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	3490175	
16	1	A	1	N	2500	0	40	55	50	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	3490893	
17	1	A	1	N	2500	0	40	31	81	5	5	7	0	0	0	0	0	0	0	0	0	0	0	0	3490893	
18	1	A	1	N	2500	0	40	249	1126	72	32	23	0	0	0	0	0	0	0	0	0	0	0	0	3491236	
19	1	A	1	N	2500	0	40	293	1038	74	33	24	0	0	0	0	0	0	0	0	0	0	0	0	3492328	
20	1	A	1	N	2500	0	40	26	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3492531	
21	1	A	1	N	2500	0	40	274	1157	78	36	27	0	0	0	0	0	0	0	0	0	0	0	0	3492562	
22	1	A	1	N	2500	0	40	41	75	4	4	6	0	0	0	0	0	0	0	0	0	0	0	0	3492718	
23	1	A	1	N	2500	0	40	23	30	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3493420	
24	1	A	1	N	2500	0	40	287	1045	65	31	21	0	0	0	0	0	0	0	0	0	0	0	0	3493919	
25	1	A	1	N	2500	0	40	29	61	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3494434	
26	1	A	1	N	2500	0	40	337	1238	67	28	19	0	0	0	0	0	0	0	0	0	0	0	0	3494574	
27	1	B	1	N	2500	0	40	166	1044	92	37	29	0	0	0	0	0	0	0	0	0	0	0	0	3502764	
28	1	B	1	N	2500	0	40	304	1235	83	32	25	0	0	0	0	0	0	0	0	0	0	0	0	3502983	
29	1	B	1	N	2500	0	40	55	251	24	23	26	0	0	0	0	0	0	0	0	0	0	0	0	3503076	
30	1	B	1	N	2500	0	40	27	43	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3504122	
31	1	B	1	N	2500	0	40	320	1011	51	24	18	0	0	0	0	0	0	0	0	0	0	0	0	3504496	
32	1	B	1	N	2500	0	40	243	881	56	28	21	0	0	0	0	0	0	0	0	0	0	0	0	3504621	
33	1	B	1	N	2500	0	40	30	30	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	3504808	
34	1	B	1	N	2500	0	40	333	1116	71	33	23	0	0	0	0	0	0	0	0	0	0	0	0	3505120	
35	1	B	1	N	2500	0	40	24	32	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3505245	
36	1	B	1	N	2500	0	40	24	42	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3506134	
37	1	B	1	N	2500	0	40	221	873	45	22	15	0	0	0	0	0	0	0	0	0	0	0	0	3506368	
