Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	26	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17547766	
1	1	A	1	N	2500	0	40	390	1257	73	29	24	0	0	0	0	0	0	0	0	0	0	0	0	17547812	
2	1	A	1	N	2500	0	40	379	1130	72	26	17	0	0	0	0	0	0	0	0	0	0	0	0	17547844	
3	1	A	1	N	2500	0	40	419	1299	69	30	20	0	0	0	0	0	0	0	0	0	0	0	0	17548000	
4	1	A	1	N	2500	0	40	42	48	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	17548031	
5	1	A	1	N	2500	0	40	387	1339	73	30	22	0	0	0	0	0	0	0	0	0	0	0	0	17548031	
6	1	A	1	N	2500	0	40	209	1033	57	30	30	0	0	0	0	0	0	0	0	0	0	0	0	17548733	
7	1	A	1	N	2500	0	40	198	779	53	21	13	0	0	0	0	0	0	0	0	0	0	0	0	17548967	
8	1	A	1	N	2500	0	40	23	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17549014	
9	1	A	1	N	2500	0	40	29	53	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	17549092	
10	1	A	1	N	2500	0	40	26	22	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17549138	
11	1	A	1	N	2500	0	40	47	39	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17549294	
12	1	A	1	N	2500	0	40	301	1047	59	24	17	0	0	0	0	0	0	0	0	0	0	0	0	17549294	
13	1	A	1	N	2500	0	40	26	44	9	10	10	0	0	0	0	0	0	0	0	0	0	0	0	17550137	
14	1	A	1	N	2500	0	40	323	1134	71	26	19	0	0	0	0	0	0	0	0	0	0	0	0	17550371	
15	1	A	1	N	2500	0	40	366	983	64	23	17	0	0	0	0	0	0	0	0	0	0	0	0	17550433	
16	1	A	1	N	2500	0	40	362	1093	66	26	21	0	0	0	0	0	0	0	0	0	0	0	0	17550605	
17	1	A	1	N	2500	0	40	42	74	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	17550808	
18	1	A	1	N	2500	0	40	370	1046	58	24	17	0	0	0	0	0	0	0	0	0	0	0	0	17550917	
19	1	A	1	N	2500	0	40	35	43	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	17550948	
20	1	A	1	N	2500	0	40	377	1078	59	24	19	0	0	0	0	0	0	0	0	0	0	0	0	17550964	
21	1	A	1	N	2500	0	40	275	1325	85	35	22	0	0	0	0	0	0	0	0	0	0	0	0	17550979	
22	1	A	1	N	2500	0	40	376	1193	72	27	20	0	0	0	0	0	0	0	0	0	0	0	0	17551057	
23	1	A	1	N	2500	0	40	373	1128	63	25	17	0	0	0	0	0	0	0	0	0	0	0	0	17551556	
24	1	A	1	N	2500	0	40	23	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17551619	
25	1	A	1	N	2500	0	40	30	68	4	4	6	0	0	0	0	0	0	0	0	0	0	0	0	17551822	
26	1	A	1	N	2500	0	40	23	31	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17553007	
27	1	A	1	N	2500	0	40	41	71	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	17553101	
28	1	A	1	N	2500	0	40	215	764	63	24	17	0	0	0	0	0	0	0	0	0	0	0	0	17553116	
29	1	A	1	N	2500	0	40	20	19	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17553241	
30	1	A	1	N	2500	0	40	22	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17553241	
31	1	A	1	N	2500	0	40	36	43	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17553241	
32	1	A	1	N	2500	0	40	305	1007	53	26	22	0	0	0	0	0	0	0	0	0	0	0	0	17553241	
33	1	A	1	N	2500	0	40	67	127	5	5	4	0	0	0	0	0	0	0	0	0	0	0	0	17553257	
34	1	A	1	N	2500	0	40	381	1217	74	28	22	0	0	0	0	0	0	0	0	0	0	0	0	17553304	
35	1	A	1	N	2500	0	40	41	88	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	17553413	
36	1	A	1	N	2500	0	40	328	1014	53	23	14	0	0	0	0	0	0	0	0	0	0	0	0	17553475	
37	1	A	1	N	2500	0	40	334	989	57	24	18	0	0	0	0	0	0	0	0	0	0	0	0	17553553	
38	1	A	1	N	2500	0	40	200	1175	84	32	26	0	0	0	0	0	0	0	0	0	0	0	0	17553881	
39	1	A	1	N	2500	0	40	399	1289	73	31	22	0	0	0	0	0	0	0	0	0	0	0	0	17554052	
40	1	A	1	N	2500	0	40	292	1492	101	40	33	0	0	0	0	0	0	0	0	0	0	0	0	17554552	
41	1	B	1	N	2500	0	40	46	93	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	17562414	
42	1	B	1	N	2500	0	40	43	71	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	17562991	
43	1	B	1	N	2500	0	40	59	96	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	17563475	
44	1	B	1	N	2500	0	40	409	1295	74	31	19	0	0	0	0	0	0	0	0	0	0	0	0	17563506	
45	1	B	1	N	2500	0	40	44	75	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	17563662	
46	1	B	1	N	2500	0	40	30	45	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17563724	
47	1	B	1	N	2500	0	40	374	1276	82	37	27	0	0	0	0	0	0	0	0	0	0	0	0	17563865	
48	1	B	1	N	2500	0	40	79	274	35	28	33	0	0	0	0	0	0	0	0	0	0	0	0	17564114	
49	1	B	1	N	2500	0	40	323	1050	55	24	17	0	0	0	0	0	0	0	0	0	0	0	0	17564255	
50	1	B	1	N	2500	0	40	21	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17564333	
51	1	B	1	N	2500	0	40	74	126	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	17564536	
52	1	B	1	N	2500	0	40	136	979	81	36	22	0	0	0	0	0	0	0	0	0	0	0	0	17564785	
53	1	B	1	N	2500	0	40	27	40	7	7	9	0	0	0	0	0	0	0	0	0	0	0	0	17564816	
54	1	B	1	N	2500	0	40	315	985	63	27	16	0	0	0	0	0	0	0	0	0	0	0	0	17564910	
55	1	B	1	N	2500	0	40	441	1386	88	34	25	0	0	0	0	0	0	0	0	0	0	0	0	17565128	
56	1	B	1	N	2500	0	40	335	1005	55	23	19	0	0	0	0	0	0	0	0	0	0	0	0	17565144	
57	1	B	1	N	2500	0	40	20	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17565144	
58	1	B	1	N	2500	0	40	50	173	17	16	16	0	0	0	0	0	0	0	0	0	0	0	0	17565269	
59	1	B	1	N	2500	0	40	36	45	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	17565550	
60	1	B	1	N	2500	0	40	77	96	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	17565862	
61	1	B	1	N	2500	0	40	30	45	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	17565908	
62	1	B	1	N	2500	0	40	310	1043	57	21	15	0	0	0	0	0	0	0	0	0	0	0	0	17566127	
63	1	B	1	N	2500	0	40	353	1210	63	28	21	0	0	0	0	0	0	0	0	0	0	0	0	17566189	
64	1	B	1	N	2500	0	40	22	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17566220	
