Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	205	980	56	30	21	0	0	0	0	0	0	0	0	0	0	0	0	23684770	
1	1	A	1	N	2500	0	40	200	336	14	5	6	0	0	0	0	0	0	0	0	0	0	0	0	23684801	
2	1	A	1	N	2500	0	40	131	285	12	9	10	0	0	0	0	0	0	0	0	0	0	0	0	23684816	
3	1	A	1	N	2500	0	40	208	781	54	26	14	0	0	0	0	0	0	0	0	0	0	0	0	23685659	
4	1	A	1	N	2500	0	40	37	47	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	23686283	
5	1	A	1	N	2500	0	40	202	638	32	16	11	0	0	0	0	0	0	0	0	0	0	0	0	23686532	
6	1	A	1	N	2500	0	40	258	947	57	27	17	0	0	0	0	0	0	0	0	0	0	0	0	23686922	
7	1	A	1	N	2500	0	40	109	184	8	5	4	0	0	0	0	0	0	0	0	0	0	0	0	23687000	
8	1	A	1	N	2500	0	40	250	788	47	21	19	0	0	0	0	0	0	0	0	0	0	0	0	23687078	
9	1	A	1	N	2500	0	40	303	1044	53	26	19	0	0	0	0	0	0	0	0	0	0	0	0	23687328	
10	1	A	1	N	2500	0	40	226	902	50	25	18	0	0	0	0	0	0	0	0	0	0	0	0	23687484	
11	1	A	1	N	2500	0	40	40	56	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	23687484	
12	1	A	1	N	2500	0	40	273	971	68	32	24	0	0	0	0	0	0	0	0	0	0	0	0	23687515	
13	1	A	1	N	2500	0	40	87	210	42	19	20	0	0	0	0	0	0	0	0	0	0	0	0	23687531	
14	1	A	1	N	2500	0	40	225	616	23	13	11	0	0	0	0	0	0	0	0	0	0	0	0	23687531	
15	1	A	1	N	2500	0	40	227	811	56	25	19	0	0	0	0	0	0	0	0	0	0	0	0	23688061	
16	1	A	1	N	2500	0	40	262	906	64	29	21	0	0	0	0	0	0	0	0	0	0	0	0	23688264	
17	1	A	1	N	2500	0	40	23	21	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	23688264	
18	1	A	1	N	2500	0	40	350	1061	78	28	21	0	0	0	0	0	0	0	0	0	0	0	0	23688467	
19	1	A	1	N	2500	0	40	65	102	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	23688592	
20	1	A	1	N	2500	0	40	235	805	46	22	12	0	0	0	0	0	0	0	0	0	0	0	0	23688779	
21	1	A	1	N	2500	0	40	35	34	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	23688919	
22	1	A	1	N	2500	0	40	36	42	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	23688919	
23	1	A	1	N	2500	0	40	38	67	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	23688935	
24	1	A	1	N	2500	0	40	28	48	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	23689091	
25	1	A	1	N	2500	0	40	306	1044	61	32	25	0	0	0	0	0	0	0	0	0	0	0	0	23689153	
26	1	A	1	N	2500	0	40	27	44	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	23689481	
27	1	A	1	N	2500	0	40	390	1147	69	32	25	0	0	0	0	0	0	0	0	0	0	0	0	23689543	
28	1	A	1	N	2500	0	40	29	37	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	23689590	
29	1	A	1	N	2500	0	40	24	42	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	23690370	
30	1	A	1	N	2500	0	40	175	785	55	25	17	0	0	0	0	0	0	0	0	0	0	0	0	23690526	
31	1	A	1	N	2500	0	40	26	40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23691306	
32	1	B	1	N	2500	0	40	33	43	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	23699371	
33	1	B	1	N	2500	0	40	28	47	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	23699730	
34	1	B	1	N	2500	0	40	162	582	40	20	15	0	0	0	0	0	0	0	0	0	0	0	0	23699730	
35	1	B	1	N	2500	0	40	73	75	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	23700307	
36	1	B	1	N	2500	0	40	252	759	42	20	16	0	0	0	0	0	0	0	0	0	0	0	0	23700682	
37	1	B	1	N	2500	0	40	40	62	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	23701228	
38	1	B	1	N	2500	0	40	39	50	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	23701789	
39	1	B	1	N	2500	0	40	26	28	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	23702382	
40	1	B	1	N	2500	0	40	22	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23702398	
41	1	B	1	N	2500	0	40	101	114	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	23702741	
42	1	B	1	N	2500	0	40	243	939	53	24	17	0	0	0	0	0	0	0	0	0	0	0	0	23702803	
43	1	B	1	N	2500	0	40	38	49	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	23702881	
44	1	B	1	N	2500	0	40	24	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23702881	
45	1	B	1	N	2500	0	40	37	44	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	23703224	
46	1	B	1	N	2500	0	40	248	908	57	24	19	0	0	0	0	0	0	0	0	0	0	0	0	23704270	
47	1	B	1	N	2500	0	40	45	202	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23704285	
48	1	B	1	N	2500	0	40	218	681	37	16	12	0	0	0	0	0	0	0	0	0	0	0	0	23704316	
49	1	B	1	N	2500	0	40	370	1240	74	32	21	0	0	0	0	0	0	0	0	0	0	0	0	23704675	
50	1	B	1	N	2500	0	40	199	753	40	20	14	0	0	0	0	0	0	0	0	0	0	0	0	23704784	
51	1	B	1	N	2500	0	40	244	667	30	15	12	0	0	0	0	0	0	0	0	0	0	0	0	23704940	
52	1	B	1	N	2500	0	40	58	105	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	23705003	
53	1	B	1	N	2500	0	40	216	881	52	25	18	0	0	0	0	0	0	0	0	0	0	0	0	23705128	
54	1	B	1	N	2500	0	40	72	110	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	23705128	
55	1	B	1	N	2500	0	40	65	211	11	8	11	0	0	0	0	0	0	0	0	0	0	0	0	23705440	
56	1	B	1	N	2500	0	40	220	819	52	22	19	0	0	0	0	0	0	0	0	0	0	0	0	23705471	
57	1	B	1	N	2500	0	40	34	34	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	23705892	
58	1	B	1	N	2500	0	40	23	29	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	23706079	
59	1	C	1	N	2500	0	40	27	58	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	23713505	
60	1	C	1	N	2500	0	40	26	26	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23713988	
61	1	C	1	N	2500	0	40	74	72	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	23714113	
62	1	C	1	N	2500	0	40	29	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23714441	
63	1	C	1	N	2500	0	40	26	44	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	23715860	
64	1	C	1	N	2500	0	40	198	676	44	21	15	0	0	0	0	0	0	0	0	0	0	0	0	23716001	
65	1	C	1	N	2500	0	40	376	849	38	29	38	0	0	0	0	0	0	0	0	0	0	0	0	23716172	
66	1	C	1	N	2500	0	40	48	57	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	23716406	
67	1	C	1	N	2500	0	40	202	798	52	23	17	0	0	0	0	0	0	0	0	0	0	0	0	23717342	
68	1	C	1	N	2500	0	40	182	834	57	25	17	0	0	0	0	0	0	0	0	0	0	0	0	23717951	
69	1	C	1	N	2500	0	40	202	597	43	20	16	0	0	0	0	0	0	0	0	0	0	0	0	23718278	
70	1	C	1	N	2500	0	40	258	849	57	24	16	0	0	0	0	0	0	0	0	0	0	0	0	23718575	
71	1	C	1	N	2500	0	40	67	101	5	4	4	0	0	0	0	0	0	0	0	0	0	0	0	23719386	
72	1	C	1	N	2500	0	40	57	72	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	23719901	
73	1	C	1	N	2500	0	40	45	90	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	23720010	
74	1	C	1	N	2500	0	40	44	45	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23720509	
75	1	C	1	N	2500	0	40	32	76	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	23720509	
76	1	C	1	N	2500	0	40	62	99	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	23720681	
77	1	D	1	N	2500	0	40	263	810	42	21	16	0	0	0	0	0	0	0	0	0	0	0	0	23728028	
78	1	D	1	N	2500	0	40	29	36	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	23728325	
79	1	D	1	N	2500	0	40	242	951	59	25	19	0	0	0	0	0	0	0	0	0	0	0	0	23728949	
80	1	D	1	N	2500	0	40	80	208	8	6	7	0	0	0	0	0	0	0	0	0	0	0	0	23728996	
81	1	D	1	N	2500	0	40	230	709	41	19	13	0	0	0	0	0	0	0	0	0	0	0	0	23729042	
82	1	D	1	N	2500	0	40	392	1019	69	31	22	0	0	0	0	0	0	0	0	0	0	0	0	23730010	
83	1	D	1	N	2500	0	40	31	43	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	23730103	
84	1	D	1	N	2500	0	40	221	897	51	23	19	0	0	0	0	0	0	0	0	0	0	0	0	23730181	
85	1	D	1	N	2500	0	40	204	759	39	19	14	0	0	0	0	0	0	0	0	0	0	0	0	23730634	
86	1	D	1	N	2500	0	40	26	47	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	23730680	
87	1	D	1	N	2500	0	40	264	916	59	25	18	0	0	0	0	0	0	0	0	0	0	0	0	23730758	
88	1	D	1	N	2500	0	40	168	816	41	21	15	0	0	0	0	0	0	0	0	0	0	0	0	23730883	
89	1	D	1	N	2500	0	40	168	1083	74	33	25	0	0	0	0	0	0	0	0	0	0	0	0	23731039	
90	1	D	1	N	2500	0	40	38	99	5	4	4	0	0	0	0	0	0	0	0	0	0	0	0	23731180	
91	1	D	1	N	2500	0	40	26	36	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	23731554	
92	1	D	1	N	2500	0	40	26	31	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	23731663	
93	1	D	1	N	2500	0	40	204	655	32	15	8	0	0	0	0	0	0	0	0	0	0	0	0	23731679	
94	1	D	1	N	2500	0	40	64	164	14	15	14	0	0	0	0	0	0	0	0	0	0	0	0	23731850	
95	1	D	1	N	2500	0	40	275	930	62	28	21	0	0	0	0	0	0	0	0	0	0	0	0	23731850	
96	1	D	1	N	2500	0	40	251	868	50	24	16	0	0	0	0	0	0	0	0	0	0	0	0	23732272	
97	1	D	1	N	2500	0	40	220	730	34	16	12	0	0	0	0	0	0	0	0	0	0	0	0	23732272	
98	1	D	1	N	2500	0	40	208	802	37	19	13	0	0	0	0	0	0	0	0	0	0	0	0	23732303	
99	1	D	1	N	2500	0	40	269	873	57	24	18	0	0	0	0	0	0	0	0	0	0	0	0	23732365	
100	1	D	1	N	2500	0	40	157	554	25	13	12	0	0	0	0	0	0	0	0	0	0	0	0	23732552	
101	1	D	1	N	2500	0	40	333	976	74	24	19	0	0	0	0	0	0	0	0	0	0	0	0	23732740	
102	1	D	1	N	2500	0	40	28	28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23732802	
103	1	D	1	N	2500	0	40	260	857	55	22	19	0	0	0	0	0	0	0	0	0	0	0	0	23733098	
104	1	D	1	N	2500	0	40	20	38	7	6	6	0	0	0	0	0	0	0	0	0	0	0	0	23733582	
105	1	D	1	N	2500	0	40	173	623	41	22	15	0	0	0	0	0	0	0	0	0	0	0	0	23733925	
106	1	D	1	N	2500	0	40	22	27	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	23734097	
107	1	D	1	N	2500	0	40	35	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23735002	
108	1	D	1	N	2500	0	40	46	58	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	23735501	
109	1	E	1	N	2500	0	40	244	780	51	22	16	0	0	0	0	0	0	0	0	0	0	0	0	23742739	
110	1	E	1	N	2500	0	40	63	120	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	23743426	
111	1	E	1	N	2500	0	40	31	39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23743441	
112	1	E	1	N	2500	0	40	23	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23743628	
113	1	E	1	N	2500	0	40	253	926	57	26	21	0	0	0	0	0	0	0	0	0	0	0	0	23743831	
114	1	E	1	N	2500	0	40	298	988	52	24	13	0	0	0	0	0	0	0	0	0	0	0	0	23743972	
115	1	E	1	N	2500	0	40	23	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23744798	
116	1	E	1	N	2500	0	40	30	56	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	23745048	
117	1	E	1	N	2500	0	40	76	99	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	23745126	
118	1	E	1	N	2500	0	40	33	54	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	23745407	
119	1	E	1	N	2500	0	40	347	1070	60	25	20	0	0	0	0	0	0	0	0	0	0	0	0	23745719	
120	1	E	1	N	2500	0	40	32	29	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	23745797	
121	1	E	1	N	2500	0	40	48	56	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	23745968	
122	1	E	1	N	2500	0	40	28	69	5	6	8	0	0	0	0	0	0	0	0	0	0	0	0	23745984	
123	1	E	1	N	2500	0	40	216	652	25	13	10	0	0	0	0	0	0	0	0	0	0	0	0	23746124	
124	1	E	1	N	2500	0	40	229	829	57	24	18	0	0	0	0	0	0	0	0	0	0	0	0	23746327	
125	1	E	1	N	2500	0	40	20	31	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	23746592	
126	1	E	1	N	2500	0	40	22	22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	23747248	
127	1	E	1	N	2500	0	40	27	67	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	23747372	
128	1	E	1	N	2500	0	40	223	944	52	26	17	0	0	0	0	0	0	0	0	0	0	0	0	23747482	
129	1	E	1	N	2500	0	40	29	28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23747840	
130	1	E	1	N	2500	0	40	161	863	51	23	18	0	0	0	0	0	0	0	0	0	0	0	0	23747872	
131	1	E	1	N	2500	0	40	61	81	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	23747918	
132	1	E	1	N	2500	0	40	363	993	78	23	15	0	0	0	0	0	0	0	0	0	0	0	0	23748464	
133	1	E	1	N	2500	0	40	49	78	6	3	1	0	0	0	0	0	0	0	0	0	0	0	0	23748496	
