Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	B	1	N	2500	0	40	256	808	44	17	15	0	0	0	0	0	0	0	0	0	0	0	0	5496913	
1	1	B	1	N	2500	0	40	211	593	22	13	10	0	0	0	0	0	0	0	0	0	0	0	0	5497006	
2	1	B	1	N	2500	0	40	193	693	34	16	13	0	0	0	0	0	0	0	0	0	0	0	0	5497225	
3	1	B	1	N	2500	0	40	212	752	34	19	15	0	0	0	0	0	0	0	0	0	0	0	0	5497303	
4	1	B	1	N	2500	0	40	48	64	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5497506	
5	1	B	1	N	2500	0	40	20	30	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	5497646	
6	1	B	1	N	2500	0	40	332	870	31	17	11	0	0	0	0	0	0	0	0	0	0	0	0	5498052	
7	1	B	1	N	2500	0	40	20	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5498145	
8	1	B	1	N	2500	0	40	304	1053	58	29	23	0	0	0	0	0	0	0	0	0	0	0	0	5498223	
9	1	B	1	N	2500	0	40	194	842	51	22	17	0	0	0	0	0	0	0	0	0	0	0	0	5498520	
10	1	B	1	N	2500	0	40	258	936	50	24	19	0	0	0	0	0	0	0	0	0	0	0	0	5498738	
11	1	B	1	N	2500	0	40	294	1162	66	30	25	0	0	0	0	0	0	0	0	0	0	0	0	5498956	
12	1	B	1	N	2500	0	40	21	35	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	5499066	
13	1	B	1	N	2500	0	40	279	1103	64	27	20	0	0	0	0	0	0	0	0	0	0	0	0	5499112	
14	1	B	1	N	2500	0	40	280	851	45	20	14	0	0	0	0	0	0	0	0	0	0	0	0	5499206	
15	1	B	1	N	2500	0	40	64	166	12	10	13	0	0	0	0	0	0	0	0	0	0	0	0	5499206	
16	1	B	1	N	2500	0	40	229	654	39	17	12	0	0	0	0	0	0	0	0	0	0	0	0	5499253	
17	1	B	1	N	2500	0	40	262	801	40	17	12	0	0	0	0	0	0	0	0	0	0	0	0	5499331	
18	1	B	1	N	2500	0	40	282	1005	54	25	23	0	0	0	0	0	0	0	0	0	0	0	0	5499471	
19	1	B	1	N	2500	0	40	260	815	44	19	16	0	0	0	0	0	0	0	0	0	0	0	0	5499596	
20	1	B	1	N	2500	0	40	258	989	52	24	20	0	0	0	0	0	0	0	0	0	0	0	0	5499674	
21	1	B	1	N	2500	0	40	215	598	23	13	12	0	0	0	0	0	0	0	0	0	0	0	0	5499877	
22	1	B	1	N	2500	0	40	24	38	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5499892	
23	1	B	1	N	2500	0	40	162	482	14	10	12	0	0	0	0	0	0	0	0	0	0	0	0	5500095	
24	1	B	1	N	2500	0	40	273	946	61	24	15	0	0	0	0	0	0	0	0	0	0	0	0	5500173	
25	1	B	1	N	2500	0	40	348	1354	81	33	27	0	0	0	0	0	0	0	0	0	0	0	0	5500204	
26	1	B	1	N	2500	0	40	288	1117	58	26	20	0	0	0	0	0	0	0	0	0	0	0	0	5500220	
