Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	280	1344	80	38	27	0	0	0	0	0	0	0	0	0	0	0	0	6915873	
1	1	A	1	N	2500	0	40	290	1150	74	34	22	0	0	0	0	0	0	0	0	0	0	0	0	6916263	
2	1	A	1	N	2500	0	40	222	503	19	9	7	0	0	0	0	0	0	0	0	0	0	0	0	6916466	
3	1	A	1	N	2500	0	40	303	1284	81	38	27	0	0	0	0	0	0	0	0	0	0	0	0	6916825	
4	1	A	1	N	2500	0	40	74	141	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	6916919	
5	1	A	1	N	2500	0	40	409	1350	70	34	26	0	0	0	0	0	0	0	0	0	0	0	0	6916919	
6	1	A	1	N	2500	0	40	218	1144	64	31	21	0	0	0	0	0	0	0	0	0	0	0	0	6917090	
7	1	A	1	N	2500	0	40	253	906	57	22	15	0	0	0	0	0	0	0	0	0	0	0	0	6917465	
8	1	A	1	N	2500	0	40	25	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6917496	
9	1	A	1	N	2500	0	40	38	34	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6917667	
10	1	A	1	N	2500	0	40	202	961	55	26	21	0	0	0	0	0	0	0	0	0	0	0	0	6917792	
11	1	A	1	N	2500	0	40	24	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6917839	
12	1	A	1	N	2500	0	40	214	1160	64	28	23	0	0	0	0	0	0	0	0	0	0	0	0	6917886	
13	1	A	1	N	2500	0	40	326	992	51	22	20	0	0	0	0	0	0	0	0	0	0	0	0	6918011	
14	1	A	1	N	2500	0	40	215	1039	56	28	24	0	0	0	0	0	0	0	0	0	0	0	0	6918338	
15	1	A	1	N	2500	0	40	245	1191	64	30	21	0	0	0	0	0	0	0	0	0	0	0	0	6918354	
16	1	A	1	N	2500	0	40	243	1029	66	29	19	0	0	0	0	0	0	0	0	0	0	0	0	6918525	
17	1	A	1	N	2500	0	40	266	1191	81	38	23	0	0	0	0	0	0	0	0	0	0	0	0	6918681	
18	1	A	1	N	2500	0	40	147	568	26	23	27	0	0	0	0	0	0	0	0	0	0	0	0	6919040	
19	1	A	1	N	2500	0	40	25	70	6	5	6	0	0	0	0	0	0	0	0	0	0	0	0	6919196	
20	1	A	1	N	2500	0	40	169	1013	62	28	20	0	0	0	0	0	0	0	0	0	0	0	0	6919321	
21	1	A	1	N	2500	0	40	207	972	56	25	19	0	0	0	0	0	0	0	0	0	0	0	0	6919321	
22	1	A	1	N	2500	0	40	264	1141	80	36	26	0	0	0	0	0	0	0	0	0	0	0	0	6919664	
23	1	A	1	N	2500	0	40	248	1051	54	25	18	0	0	0	0	0	0	0	0	0	0	0	0	6919789	
24	1	A	1	N	2500	0	40	38	64	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	6920023	
25	1	A	1	N	2500	0	40	25	30	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6920132	
