Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	261	1075	68	26	18	0	0	0	0	0	0	0	0	0	0	0	0	11319181	
1	1	A	1	N	2500	0	40	405	1259	81	33	24	0	0	0	0	0	0	0	0	0	0	0	0	11319586	
2	1	A	1	N	2500	0	40	327	918	36	18	14	0	0	0	0	0	0	0	0	0	0	0	0	11319883	
3	1	A	1	N	2500	0	40	33	42	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11320865	
4	1	A	1	N	2500	0	40	20	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11321115	
5	1	A	1	N	2500	0	40	297	763	34	16	14	0	0	0	0	0	0	0	0	0	0	0	0	11321333	
6	1	A	1	N	2500	0	40	360	1051	60	24	19	0	0	0	0	0	0	0	0	0	0	0	0	11321411	
7	1	A	1	N	2500	0	40	75	115	21	24	23	0	0	0	0	0	0	0	0	0	0	0	0	11321645	
8	1	A	1	N	2500	0	40	444	1644	97	39	30	0	0	0	0	0	0	0	0	0	0	0	0	11321677	
9	1	A	1	N	2500	0	40	30	34	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	11321942	
10	1	A	1	N	2500	0	40	22	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11322098	
11	1	A	1	N	2500	0	40	83	80	4	6	8	0	0	0	0	0	0	0	0	0	0	0	0	11322254	
12	1	A	1	N	2500	0	40	366	998	53	22	17	0	0	0	0	0	0	0	0	0	0	0	0	11322301	
13	1	A	1	N	2500	0	40	30	53	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11322347	
14	1	A	1	N	2500	0	40	339	1161	67	27	18	0	0	0	0	0	0	0	0	0	0	0	0	11322597	
15	1	A	1	N	2500	0	40	468	1492	76	30	23	0	0	0	0	0	0	0	0	0	0	0	0	11322893	
16	1	A	1	N	2500	0	40	311	743	28	15	12	0	0	0	0	0	0	0	0	0	0	0	0	11323283	
17	1	A	1	N	2500	0	40	392	1321	72	33	22	0	0	0	0	0	0	0	0	0	0	0	0	11323580	
18	1	A	1	N	2500	0	40	35	59	4	5	5	0	0	0	0	0	0	0	0	0	0	0	0	11323923	
19	1	A	1	N	2500	0	40	267	937	45	20	16	0	0	0	0	0	0	0	0	0	0	0	0	11323954	
20	1	A	1	N	2500	0	40	111	289	74	84	86	0	0	0	0	0	0	0	0	0	0	0	0	11324173	
21	1	A	1	N	2500	0	40	339	1078	56	25	19	0	0	0	0	0	0	0	0	0	0	0	0	11324407	
22	1	A	1	N	2500	0	40	402	1393	87	34	25	0	0	0	0	0	0	0	0	0	0	0	0	11324781	
23	1	A	1	N	2500	0	40	244	1010	66	28	18	0	0	0	0	0	0	0	0	0	0	0	0	11324984	
24	1	A	1	N	2500	0	40	381	1024	54	22	19	0	0	0	0	0	0	0	0	0	0	0	0	11325311	
25	1	A	1	N	2500	0	40	77	247	22	21	24	0	0	0	0	0	0	0	0	0	0	0	0	11325577	
26	1	A	1	N	2500	0	40	397	1220	67	27	24	0	0	0	0	0	0	0	0	0	0	0	0	11325608	
27	1	A	1	N	2500	0	40	203	918	50	24	18	0	0	0	0	0	0	0	0	0	0	0	0	11325795	
28	1	A	1	N	2500	0	40	288	905	53	21	14	0	0	0	0	0	0	0	0	0	0	0	0	11325842	
29	1	A	1	N	2500	0	40	344	1111	59	26	22	0	0	0	0	0	0	0	0	0	0	0	0	11326138	
30	1	B	1	N	2500	0	40	293	864	49	20	15	0	0	0	0	0	0	0	0	0	0	0	0	11334281	
31	1	B	1	N	2500	0	40	287	953	43	23	17	0	0	0	0	0	0	0	0	0	0	0	0	11335233	
32	1	B	1	N	2500	0	40	261	736	39	16	11	0	0	0	0	0	0	0	0	0	0	0	0	11335249	
33	1	B	1	N	2500	0	40	249	753	51	20	18	0	0	0	0	0	0	0	0	0	0	0	0	11336512	
34	1	B	1	N	2500	0	40	267	875	54	25	20	0	0	0	0	0	0	0	0	0	0	0	0	11336746	
35	1	B	1	N	2500	0	40	26	34	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	11337417	
36	1	B	1	N	2500	0	40	118	483	13	9	9	0	0	0	0	0	0	0	0	0	0	0	0	11337433	
37	1	B	1	N	2500	0	40	142	455	27	12	11	0	0	0	0	0	0	0	0	0	0	0	0	11337667	
38	1	B	1	N	2500	0	40	21	24	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11337807	
39	1	B	1	N	2500	0	40	150	503	157	193	244	0	0	0	0	0	0	0	0	0	0	0	0	11338119	
40	1	B	1	N	2500	0	40	217	547	24	13	11	0	0	0	0	0	0	0	0	0	0	0	0	11338135	
41	1	B	1	N	2500	0	40	259	867	45	22	18	0	0	0	0	0	0	0	0	0	0	0	0	11338181	
42	1	B	1	N	2500	0	40	282	781	32	18	15	0	0	0	0	0	0	0	0	0	0	0	0	11338259	
43	1	B	1	N	2500	0	40	327	1077	67	28	23	0	0	0	0	0	0	0	0	0	0	0	0	11338571	
44	1	B	1	N	2500	0	40	173	513	19	11	11	0	0	0	0	0	0	0	0	0	0	0	0	11338649	
45	1	B	1	N	2500	0	40	385	1026	36	19	17	0	0	0	0	0	0	0	0	0	0	0	0	11338665	
46	1	B	1	N	2500	0	40	21	33	4	6	4	0	0	0	0	0	0	0	0	0	0	0	0	11338821	
47	1	B	1	N	2500	0	40	172	535	25	13	11	0	0	0	0	0	0	0	0	0	0	0	0	11339055	
48	1	B	1	N	2500	0	40	313	860	36	19	18	0	0	0	0	0	0	0	0	0	0	0	0	11339102	
49	1	B	1	N	2500	0	40	290	745	39	17	13	0	0	0	0	0	0	0	0	0	0	0	0	11339429	
50	1	B	1	N	2500	0	40	125	457	19	11	9	0	0	0	0	0	0	0	0	0	0	0	0	11340350	
51	1	B	1	N	2500	0	40	23	37	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	11340584	
52	1	B	1	N	2500	0	40	20	18	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11340724	
53	1	B	1	N	2500	0	40	316	906	52	25	18	0	0	0	0	0	0	0	0	0	0	0	0	11341255	
54	1	C	1	N	2500	0	40	27	35	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11348602	
55	1	C	1	N	2500	0	40	250	536	21	10	9	0	0	0	0	0	0	0	0	0	0	0	0	11348727	
56	1	C	1	N	2500	0	40	37	98	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	11348821	
