Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	49	102	21	6	6	0	0	0	0	0	0	0	0	0	0	0	0	18233440	
1	1	A	1	N	2500	0	40	27	53	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	18234283	
2	1	A	1	N	2500	0	40	279	723	29	14	11	0	0	0	0	0	0	0	0	0	0	0	0	18234454	
3	1	A	1	N	2500	0	40	333	880	44	20	18	0	0	0	0	0	0	0	0	0	0	0	0	18235032	
4	1	A	1	N	2500	0	40	332	989	57	24	19	0	0	0	0	0	0	0	0	0	0	0	0	18235094	
5	1	A	1	N	2500	0	40	344	806	38	16	13	0	0	0	0	0	0	0	0	0	0	0	0	18235094	
6	1	A	1	N	2500	0	40	229	1080	61	28	24	0	0	0	0	0	0	0	0	0	0	0	0	18235375	
7	1	A	1	N	2500	0	40	23	19	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	18235484	
8	1	A	1	N	2500	0	40	318	798	35	16	13	0	0	0	0	0	0	0	0	0	0	0	0	18235827	
9	1	A	1	N	2500	0	40	23	39	8	9	10	0	0	0	0	0	0	0	0	0	0	0	0	18236046	
10	1	A	1	N	2500	0	40	78	285	32	32	37	0	0	0	0	0	0	0	0	0	0	0	0	18236233	
11	1	A	1	N	2500	0	40	417	1196	62	29	22	0	0	0	0	0	0	0	0	0	0	0	0	18236857	
12	1	A	1	N	2500	0	40	398	1196	60	29	20	0	0	0	0	0	0	0	0	0	0	0	0	18237138	
13	1	A	1	N	2500	0	40	313	976	74	26	20	0	0	0	0	0	0	0	0	0	0	0	0	18237325	
14	1	A	1	N	2500	0	40	32	61	5	3	8	0	0	0	0	0	0	0	0	0	0	0	0	18237356	
15	1	A	1	N	2500	0	40	38	98	13	18	46	0	0	0	0	0	0	0	0	0	0	0	0	18237356	
16	1	A	1	N	2500	0	40	25	43	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	18237762	
17	1	A	1	N	2500	0	40	341	879	38	19	13	0	0	0	0	0	0	0	0	0	0	0	0	18238214	
18	1	A	1	N	2500	0	40	23	20	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	18238947	
19	1	A	1	N	2500	0	40	46	103	22	25	30	0	0	0	0	0	0	0	0	0	0	0	0	18238994	
20	1	A	1	N	2500	0	40	209	1064	53	25	16	0	0	0	0	0	0	0	0	0	0	0	0	18239290	
21	1	A	1	N	2500	0	40	336	915	44	19	13	0	0	0	0	0	0	0	0	0	0	0	0	18239571	
22	1	A	1	N	2500	0	40	79	431	42	42	48	0	0	0	0	0	0	0	0	0	0	0	0	18239821	
23	1	A	1	N	2500	0	40	23	22	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	18240148	
24	1	B	1	N	2500	0	40	36	104	11	7	6	0	0	0	0	0	0	0	0	0	0	0	0	18248089	
25	1	B	1	N	2500	0	40	26	31	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	18248104	
26	1	B	1	N	2500	0	40	25	35	5	6	6	0	0	0	0	0	0	0	0	0	0	0	0	18248775	
27	1	B	1	N	2500	0	40	27	33	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	18248978	
28	1	B	1	N	2500	0	40	41	107	5	5	6	0	0	0	0	0	0	0	0	0	0	0	0	18249976	
29	1	B	1	N	2500	0	40	98	297	9	5	6	0	0	0	0	0	0	0	0	0	0	0	0	18250398	
30	1	B	1	N	2500	0	40	276	881	46	21	17	0	0	0	0	0	0	0	0	0	0	0	0	18250725	
31	1	B	1	N	2500	0	40	33	71	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	18251037	
32	1	B	1	N	2500	0	40	35	109	7	8	11	0	0	0	0	0	0	0	0	0	0	0	0	18251583	
33	1	B	1	N	2500	0	40	22	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18252114	
34	1	B	1	N	2500	0	40	36	83	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	18252129	
