Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	29	35	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	21324868	
1	1	A	1	N	2500	0	40	39	144	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21324946	
2	1	A	1	N	2500	0	40	396	1136	54	25	20	0	0	0	0	0	0	0	0	0	0	0	0	21325055	
3	1	A	1	N	2500	0	40	293	662	19	12	10	0	0	0	0	0	0	0	0	0	0	0	0	21325383	
4	1	A	1	N	2500	0	40	69	73	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21325398	
5	1	A	1	N	2500	0	40	20	21	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	21325804	
6	1	A	1	N	2500	0	40	272	641	23	12	9	0	0	0	0	0	0	0	0	0	0	0	0	21326272	
7	1	A	1	N	2500	0	40	410	1201	77	28	20	0	0	0	0	0	0	0	0	0	0	0	0	21326365	
8	1	A	1	N	2500	0	40	552	1526	128	32	25	0	0	0	0	0	0	0	0	0	0	0	0	21326412	
9	1	A	1	N	2500	0	40	295	883	43	16	14	0	0	0	0	0	0	0	0	0	0	0	0	21326631	
10	1	A	1	N	2500	0	40	397	871	60	17	14	0	0	0	0	0	0	0	0	0	0	0	0	21326631	
11	1	A	1	N	2500	0	40	57	124	5	3	4	0	0	0	0	0	0	0	0	0	0	0	0	21326818	
12	1	A	1	N	2500	0	40	318	802	34	14	15	0	0	0	0	0	0	0	0	0	0	0	0	21327021	
13	1	A	1	N	2500	0	40	295	902	52	18	14	0	0	0	0	0	0	0	0	0	0	0	0	21327067	
14	1	A	1	N	2500	0	40	55	108	11	4	3	0	0	0	0	0	0	0	0	0	0	0	0	21327348	
15	1	A	1	N	2500	0	40	48	55	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	21327348	
16	1	A	1	N	2500	0	40	21	21	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	21327613	
17	1	A	1	N	2500	0	40	285	790	37	16	13	0	0	0	0	0	0	0	0	0	0	0	0	21327645	
18	1	A	1	N	2500	0	40	519	898	48	21	18	0	0	0	0	0	0	0	0	0	0	0	0	21327676	
19	1	A	1	N	2500	0	40	310	917	44	18	15	0	0	0	0	0	0	0	0	0	0	0	0	21327863	
20	1	A	1	N	2500	0	40	426	1287	77	25	23	0	0	0	0	0	0	0	0	0	0	0	0	21328003	
21	1	A	1	N	2500	0	40	49	74	8	4	3	0	0	0	0	0	0	0	0	0	0	0	0	21328222	
22	1	A	1	N	2500	0	40	321	980	45	19	14	0	0	0	0	0	0	0	0	0	0	0	0	21328331	
23	1	A	1	N	2500	0	40	29	31	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	21328643	
24	1	A	1	N	2500	0	40	316	1042	52	21	19	0	0	0	0	0	0	0	0	0	0	0	0	21328643	
25	1	A	1	N	2500	0	40	394	899	43	19	18	0	0	0	0	0	0	0	0	0	0	0	0	21328799	
26	1	A	1	N	2500	0	40	274	743	32	15	11	0	0	0	0	0	0	0	0	0	0	0	0	21328830	
27	1	A	1	N	2500	0	40	66	84	8	4	2	0	0	0	0	0	0	0	0	0	0	0	0	21328877	
