Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	350	1384	89	31	22	0	0	0	0	0	0	0	0	0	0	0	0	3017253	
1	1	A	1	N	2500	0	40	485	1226	66	23	21	0	0	0	0	0	0	0	0	0	0	0	0	3017581	
2	1	A	1	N	2500	0	40	449	1328	81	26	19	0	0	0	0	0	0	0	0	0	0	0	0	3017784	
3	1	A	1	N	2500	0	40	313	1538	99	38	31	0	0	0	0	0	0	0	0	0	0	0	0	3017784	
4	1	A	1	N	2500	0	40	459	1323	81	27	18	0	0	0	0	0	0	0	0	0	0	0	0	3018158	
5	1	A	1	N	2500	0	40	427	1232	58	21	17	0	0	0	0	0	0	0	0	0	0	0	0	3018330	
6	1	A	1	N	2500	0	40	373	894	33	16	12	0	0	0	0	0	0	0	0	0	0	0	0	3018517	
7	1	A	1	N	2500	0	40	373	1406	72	31	27	0	0	0	0	0	0	0	0	0	0	0	0	3018766	
8	1	A	1	N	2500	0	40	445	1357	78	28	19	0	0	0	0	0	0	0	0	0	0	0	0	3018922	
9	1	A	1	N	2500	0	40	563	1433	111	36	29	0	0	0	0	0	0	0	0	0	0	0	0	3019156	
10	1	A	1	N	2500	0	40	450	1229	61	23	16	0	0	0	0	0	0	0	0	0	0	0	0	3019328	
11	1	A	1	N	2500	0	40	477	1346	70	28	21	0	0	0	0	0	0	0	0	0	0	0	0	3019422	
12	1	A	1	N	2500	0	40	463	1333	73	25	24	0	0	0	0	0	0	0	0	0	0	0	0	3019890	
13	1	A	1	N	2500	0	40	474	1358	61	28	24	0	0	0	0	0	0	0	0	0	0	0	0	3019890	
14	1	A	1	N	2500	0	40	302	1268	76	30	23	0	0	0	0	0	0	0	0	0	0	0	0	3020186	
15	1	A	1	N	2500	0	40	424	1066	48	19	16	0	0	0	0	0	0	0	0	0	0	0	0	3020280	
16	1	A	1	N	2500	0	40	458	1389	76	28	20	0	0	0	0	0	0	0	0	0	0	0	0	3020482	
17	1	A	1	N	2500	0	40	451	1328	72	26	19	0	0	0	0	0	0	0	0	0	0	0	0	3020576	
18	1	A	1	N	2500	0	40	57	167	15	14	15	0	0	0	0	0	0	0	0	0	0	0	0	3020623	
19	1	A	1	N	2500	0	40	493	1317	77	25	19	0	0	0	0	0	0	0	0	0	0	0	0	3021606	
20	1	A	1	N	2500	0	40	409	1234	65	27	20	0	0	0	0	0	0	0	0	0	0	0	0	3021606	
21	1	A	1	N	2500	0	40	253	1114	65	27	19	0	0	0	0	0	0	0	0	0	0	0	0	3021855	
22	1	A	1	N	2500	0	40	417	1276	71	26	21	0	0	0	0	0	0	0	0	0	0	0	0	3021996	
23	1	A	1	N	2500	0	40	34	48	6	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3022074	
24	1	A	1	N	2500	0	40	260	722	126	36	20	0	0	0	0	0	0	0	0	0	0	0	0	3022074	
25	1	A	1	N	2500	0	40	413	976	47	19	19	0	0	0	0	0	0	0	0	0	0	0	0	3022323	
26	1	A	1	N	2500	0	40	442	1327	74	27	23	0	0	0	0	0	0	0	0	0	0	0	0	3022479	
27	1	A	1	N	2500	0	40	257	932	48	21	17	0	0	0	0	0	0	0	0	0	0	0	0	3022542	
28	1	A	1	N	2500	0	40	290	619	22	9	9	0	0	0	0	0	0	0	0	0	0	0	0	3022573	
29	1	A	1	N	2500	0	40	34	47	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	3022932	
30	1	A	1	N	2500	0	40	357	1173	65	28	24	0	0	0	0	0	0	0	0	0	0	0	0	3023384	
31	1	A	1	N	2500	0	40	540	1947	148	57	44	0	0	0	0	0	0	0	0	0	0	0	0	3023400	
32	1	A	1	N	2500	0	40	490	1424	87	29	28	0	0	0	0	0	0	0	0	0	0	0	0	3023462	
33	1	A	1	N	2500	0	40	478	1344	62	28	22	0	0	0	0	0	0	0	0	0	0	0	0	3023540	
34	1	A	1	N	2500	0	40	425	1327	70	26	21	0	0	0	0	0	0	0	0	0	0	0	0	3023587	
35	1	A	1	N	2500	0	40	444	1310	77	26	19	0	0	0	0	0	0	0	0	0	0	0	0	3023930	
36	1	A	1	N	2500	0	40	395	835	35	14	11	0	0	0	0	0	0	0	0	0	0	0	0	3024211	
37	1	A	2	N	2500	0	40	461	1482	93	33	26	0	0	0	0	0	0	0	0	0	0	0	0	3031636	
38	1	A	2	N	2500	0	40	309	1258	65	29	24	0	0	0	0	0	0	0	0	0	0	0	0	3032151	
39	1	A	2	N	2500	0	40	429	1230	63	25	21	0	0	0	0	0	0	0	0	0	0	0	0	3032198	
40	1	A	2	N	2500	0	40	361	1396	81	34	27	0	0	0	0	0	0	0	0	0	0	0	0	3032494	
41	1	A	2	N	2500	0	40	320	1421	85	34	26	0	0	0	0	0	0	0	0	0	0	0	0	3032744	
42	1	A	2	N	2500	0	40	320	1418	84	35	26	0	0	0	0	0	0	0	0	0	0	0	0	3032994	
43	1	A	2	N	2500	0	40	422	1214	65	24	21	0	0	0	0	0	0	0	0	0	0	0	0	3033228	
44	1	A	2	N	2500	0	40	28	33	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3033477	
45	1	A	2	N	2500	0	40	478	1480	87	31	26	0	0	0	0	0	0	0	0	0	0	0	0	3033602	
46	1	A	2	N	2500	0	40	489	1407	79	31	25	0	0	0	0	0	0	0	0	0	0	0	0	3033618	
47	1	A	2	N	2500	0	40	350	792	31	13	12	0	0	0	0	0	0	0	0	0	0	0	0	3034179	
