Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	C	1	N	2500	0	40	83	153	17	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4957175	
1	1	C	1	N	2500	0	40	22	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4957175	
2	1	C	1	N	2500	0	40	404	1329	69	30	22	0	0	0	0	0	0	0	0	0	0	0	0	4957253	
3	1	C	1	N	2500	0	40	555	1729	117	42	31	0	0	0	0	0	0	0	0	0	0	0	0	4957284	
4	1	C	1	N	2500	0	40	36	45	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4958095	
5	1	C	1	N	2500	0	40	525	1529	85	35	28	0	0	0	0	0	0	0	0	0	0	0	0	4958610	
6	1	C	1	N	2500	0	40	424	1723	117	41	29	0	0	0	0	0	0	0	0	0	0	0	0	4959109	
7	1	C	1	N	2500	0	40	51	62	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	4959125	
8	1	C	1	N	2500	0	40	440	1316	67	25	18	0	0	0	0	0	0	0	0	0	0	0	0	4959156	
9	1	C	1	N	2500	0	40	460	1370	74	30	25	0	0	0	0	0	0	0	0	0	0	0	0	4959234	
10	1	C	1	N	2500	0	40	427	1203	65	23	21	0	0	0	0	0	0	0	0	0	0	0	0	4959562	
11	1	C	1	N	2500	0	40	35	53	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4959624	
12	1	C	1	N	2500	0	40	458	1243	104	36	28	0	0	0	0	0	0	0	0	0	0	0	0	4959749	
13	1	C	1	N	2500	0	40	315	922	43	20	15	0	0	0	0	0	0	0	0	0	0	0	0	4959858	
14	1	C	1	N	2500	0	40	458	1234	68	25	20	0	0	0	0	0	0	0	0	0	0	0	0	4959999	
15	1	C	1	N	2500	0	40	461	1503	93	34	24	0	0	0	0	0	0	0	0	0	0	0	0	4960529	
16	1	C	1	N	2500	0	40	480	1490	79	29	24	0	0	0	0	0	0	0	0	0	0	0	0	4960623	
17	1	C	1	N	2500	0	40	441	1402	81	29	24	0	0	0	0	0	0	0	0	0	0	0	0	4961028	
18	1	C	1	N	2500	0	40	447	1317	67	25	20	0	0	0	0	0	0	0	0	0	0	0	0	4961075	
19	1	C	1	N	2500	0	40	419	1259	55	22	18	0	0	0	0	0	0	0	0	0	0	0	0	4961106	
20	1	C	1	N	2500	0	40	820	2548	110	50	39	0	0	0	0	0	0	0	0	0	0	0	0	4961543	
21	1	C	1	N	2500	0	40	441	1029	50	19	14	0	0	0	0	0	0	0	0	0	0	0	0	4961683	
22	1	C	1	N	2500	0	40	646	1888	124	46	33	0	0	0	0	0	0	0	0	0	0	0	0	4961777	
23	1	C	1	N	2500	0	40	249	1251	76	30	20	0	0	0	0	0	0	0	0	0	0	0	0	4961824	
24	1	C	1	N	2500	0	40	456	1252	55	23	20	0	0	0	0	0	0	0	0	0	0	0	0	4961871	
