Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	563	1572	75	29	24	0	0	0	0	0	0	0	0	0	0	0	0	6803575	
1	1	A	1	N	2500	0	40	20	31	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	6804027	
2	1	A	1	N	2500	0	40	27	56	4	5	2	0	0	0	0	0	0	0	0	0	0	0	0	6805665	
3	1	A	1	N	2500	0	40	538	955	45	17	15	0	0	0	0	0	0	0	0	0	0	0	0	6805805	
4	1	A	1	N	2500	0	40	23	44	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	6805837	
5	1	A	1	N	2500	0	40	446	1380	81	29	22	0	0	0	0	0	0	0	0	0	0	0	0	6805946	
6	1	A	1	N	2500	0	40	407	1078	40	23	15	0	0	0	0	0	0	0	0	0	0	0	0	6806039	
7	1	A	1	N	2500	0	40	292	650	26	12	10	0	0	0	0	0	0	0	0	0	0	0	0	6806164	
8	1	A	1	N	2500	0	40	428	1162	66	23	20	0	0	0	0	0	0	0	0	0	0	0	0	6806227	
9	1	A	1	N	2500	0	40	422	1126	52	22	19	0	0	0	0	0	0	0	0	0	0	0	0	6806570	
10	1	A	1	N	2500	0	40	20	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6806851	
11	1	A	1	N	2500	0	40	472	414	9	8	8	0	0	0	0	0	0	0	0	0	0	0	0	6806851	
12	1	A	1	N	2500	0	40	48	40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6806851	
13	1	A	1	N	2500	0	40	42	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6806851	
14	1	A	1	N	2500	0	40	27	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6806851	
15	1	A	1	N	2500	0	40	21	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6806851	
16	1	A	1	N	2500	0	40	661	2172	151	43	33	0	0	0	0	0	0	0	0	0	0	0	0	6806851	
17	1	A	1	N	2500	0	40	107	287	7	3	4	0	0	0	0	0	0	0	0	0	0	0	0	6806866	
18	1	A	1	N	2500	0	40	356	1445	81	31	26	0	0	0	0	0	0	0	0	0	0	0	0	6807163	
19	1	A	1	N	2500	0	40	81	70	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6807209	
20	1	A	1	N	2500	0	40	465	1513	74	32	23	0	0	0	0	0	0	0	0	0	0	0	0	6807209	
21	1	A	1	N	2500	0	40	460	1454	95	30	21	0	0	0	0	0	0	0	0	0	0	0	0	6807350	
22	1	A	1	N	2500	0	40	292	1170	62	24	20	0	0	0	0	0	0	0	0	0	0	0	0	6807584	
23	1	A	1	N	2500	0	40	444	1242	61	24	21	0	0	0	0	0	0	0	0	0	0	0	0	6807755	
24	1	A	1	N	2500	0	40	62	93	11	3	2	0	0	0	0	0	0	0	0	0	0	0	0	6807849	
25	1	A	1	N	2500	0	40	425	1177	58	22	18	0	0	0	0	0	0	0	0	0	0	0	0	6808021	
26	1	A	1	N	2500	0	40	469	1380	71	27	24	0	0	0	0	0	0	0	0	0	0	0	0	6808520	
27	1	A	1	N	2500	0	40	33	88	8	8	10	0	0	0	0	0	0	0	0	0	0	0	0	6808769	
28	1	A	1	N	2500	0	40	477	1482	76	28	22	0	0	0	0	0	0	0	0	0	0	0	0	6809035	
29	1	A	1	N	2500	0	40	480	1411	79	28	23	0	0	0	0	0	0	0	0	0	0	0	0	6809643	
30	1	A	2	N	2500	0	40	591	1671	109	34	27	0	0	0	0	0	0	0	0	0	0	0	0	6817084	
31	1	A	2	N	2500	0	40	291	392	28	27	22	0	0	0	0	0	0	0	0	0	0	0	0	6817084	
32	1	A	2	N	2500	0	40	502	1518	99	38	29	0	0	0	0	0	0	0	0	0	0	0	0	6817162	
33	1	A	2	N	2500	0	40	452	1330	74	27	23	0	0	0	0	0	0	0	0	0	0	0	0	6817599	
34	1	A	2	N	2500	0	40	384	1386	86	33	20	0	0	0	0	0	0	0	0	0	0	0	0	6817817	
35	1	A	2	N	2500	0	40	447	1296	63	26	21	0	0	0	0	0	0	0	0	0	0	0	0	6818613	
36	1	A	2	N	2500	0	40	449	1508	75	33	27	0	0	0	0	0	0	0	0	0	0	0	0	6818753	
37	1	A	2	N	2500	0	40	255	967	50	24	16	0	0	0	0	0	0	0	0	0	0	0	0	6819440	
38	1	A	2	N	2500	0	40	254	1317	80	36	25	0	0	0	0	0	0	0	0	0	0	0	0	6819471	
39	1	A	2	N	2500	0	40	385	814	32	15	12	0	0	0	0	0	0	0	0	0	0	0	0	6819892	
40	1	A	2	N	2500	0	40	478	1521	86	32	22	0	0	0	0	0	0	0	0	0	0	0	0	6820251	
41	1	A	2	N	2500	0	40	404	999	48	18	18	0	0	0	0	0	0	0	0	0	0	0	0	6820423	
42	1	A	2	N	2500	0	40	433	1136	60	21	18	0	0	0	0	0	0	0	0	0	0	0	0	6820469	
43	1	A	2	N	2500	0	40	524	1503	103	34	27	0	0	0	0	0	0	0	0	0	0	0	0	6820641	
44	1	A	2	N	2500	0	40	449	1284	69	27	27	0	0	0	0	0	0	0	0	0	0	0	0	6821093	
45	1	A	2	N	2500	0	40	439	1381	79	29	23	0	0	0	0	0	0	0	0	0	0	0	0	6821639	
46	1	A	2	N	2500	0	40	449	1293	59	26	26	0	0	0	0	0	0	0	0	0	0	0	0	6822435	
47	1	A	2	N	2500	0	40	434	1233	72	23	18	0	0	0	0	0	0	0	0	0	0	0	0	6822560	
48	1	A	2	N	2500	0	40	538	1469	80	38	32	0	0	0	0	0	0	0	0	0	0	0	0	6822622	
49	1	A	2	N	2500	0	40	478	1289	70	25	23	0	0	0	0	0	0	0	0	0	0	0	0	6822669	
50	1	A	2	N	2500	0	40	337	1391	81	33	29	0	0	0	0	0	0	0	0	0	0	0	0	6822763	
51	1	A	2	N	2500	0	40	20	23	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6822825	
52	1	A	2	N	2500	0	40	463	1345	75	26	23	0	0	0	0	0	0	0	0	0	0	0	0	6822934	
53	1	A	2	N	2500	0	40	429	1128	53	20	18	0	0	0	0	0	0	0	0	0	0	0	0	6823012	
54	1	A	2	N	2500	0	40	457	1336	71	27	23	0	0	0	0	0	0	0	0	0	0	0	0	6823106	
55	1	A	2	N	2500	0	40	460	1216	64	24	19	0	0	0	0	0	0	0	0	0	0	0	0	6823106	
56	1	A	2	N	2500	0	40	21	26	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6823199	
57	1	A	2	N	2500	0	40	622	1656	118	48	35	0	0	0	0	0	0	0	0	0	0	0	0	6823231	
58	1	A	3	N	2500	0	40	510	1393	73	32	24	0	0	0	0	0	0	0	0	0	0	0	0	6832060	
59	1	A	3	N	2500	0	40	499	1467	93	31	21	0	0	0	0	0	0	0	0	0	0	0	0	6832497	
