Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	22	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2302998	
1	1	A	1	N	2500	0	40	27	26	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2304074	
2	1	A	1	N	2500	0	40	486	1407	84	30	21	0	0	0	0	0	0	0	0	0	0	0	0	2304106	
3	1	A	1	N	2500	0	40	252	834	37	16	14	0	0	0	0	0	0	0	0	0	0	0	0	2304308	
4	1	A	1	N	2500	0	40	69	89	10	5	4	0	0	0	0	0	0	0	0	0	0	0	0	2304324	
5	1	A	1	N	2500	0	40	446	1286	67	25	19	0	0	0	0	0	0	0	0	0	0	0	0	2304464	
6	1	A	1	N	2500	0	40	23	41	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2304636	
7	1	A	1	N	2500	0	40	29	51	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	2304636	
8	1	A	1	N	2500	0	40	538	1711	91	42	34	0	0	0	0	0	0	0	0	0	0	0	0	2304792	
9	1	A	1	N	2500	0	40	440	1537	88	34	24	0	0	0	0	0	0	0	0	0	0	0	0	2304948	
10	1	A	1	N	2500	0	40	528	1421	90	35	27	0	0	0	0	0	0	0	0	0	0	0	0	2304964	
11	1	A	1	N	2500	0	40	40	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2305213	
12	1	A	1	N	2500	0	40	435	1324	57	24	22	0	0	0	0	0	0	0	0	0	0	0	0	2305213	
13	1	A	1	N	2500	0	40	413	971	44	17	15	0	0	0	0	0	0	0	0	0	0	0	0	2305244	
14	1	A	1	N	2500	0	40	423	1431	85	31	24	0	0	0	0	0	0	0	0	0	0	0	0	2305572	
15	1	A	1	N	2500	0	40	396	1299	78	27	19	0	0	0	0	0	0	0	0	0	0	0	0	2305588	
16	1	A	1	N	2500	0	40	466	1767	101	43	31	0	0	0	0	0	0	0	0	0	0	0	0	2305619	
17	1	A	1	N	2500	0	40	394	1297	68	26	22	0	0	0	0	0	0	0	0	0	0	0	0	2305775	
18	1	A	1	N	2500	0	40	648	1489	113	28	27	0	0	0	0	0	0	0	0	0	0	0	0	2305822	
19	1	A	1	N	2500	0	40	768	2016	163	48	39	0	0	0	0	0	0	0	0	0	0	0	0	2305931	
20	1	A	1	N	2500	0	40	490	1444	76	30	26	0	0	0	0	0	0	0	0	0	0	0	0	2306196	
21	1	A	1	N	2500	0	40	392	1286	80	31	23	0	0	0	0	0	0	0	0	0	0	0	0	2306305	
22	1	A	1	N	2500	0	40	42	65	5	5	6	0	0	0	0	0	0	0	0	0	0	0	0	2306352	
23	1	A	1	N	2500	0	40	31	31	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2306555	
24	1	A	1	N	2500	0	40	605	1839	90	39	27	0	0	0	0	0	0	0	0	0	0	0	0	2306648	
25	1	A	1	N	2500	0	40	458	1111	39	18	17	0	0	0	0	0	0	0	0	0	0	0	0	2306648	
26	1	A	1	N	2500	0	40	61	181	23	20	27	0	0	0	0	0	0	0	0	0	0	0	0	2306680	
27	1	A	1	N	2500	0	40	632	1477	133	39	34	0	0	0	0	0	0	0	0	0	0	0	0	2306680	
28	1	A	1	N	2500	0	40	430	1480	80	28	21	0	0	0	0	0	0	0	0	0	0	0	0	2306695	
29	1	A	1	N	2500	0	40	393	1169	62	25	19	0	0	0	0	0	0	0	0	0	0	0	0	2306742	
30	1	A	1	N	2500	0	40	630	1804	87	36	31	0	0	0	0	0	0	0	0	0	0	0	0	2306867	
31	1	A	1	N	2500	0	40	33	58	3	4	6	0	0	0	0	0	0	0	0	0	0	0	0	2306945	
32	1	A	1	N	2500	0	40	449	1338	65	31	24	0	0	0	0	0	0	0	0	0	0	0	0	2307085	
33	1	A	1	N	2500	0	40	606	1599	120	38	31	0	0	0	0	0	0	0	0	0	0	0	0	2307101	
34	1	A	1	N	2500	0	40	415	1153	55	22	17	0	0	0	0	0	0	0	0	0	0	0	0	2307116	
35	1	A	1	N	2500	0	40	27	42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2307319	
36	1	A	1	N	2500	0	40	409	1231	57	24	20	0	0	0	0	0	0	0	0	0	0	0	0	2307366	
37	1	A	1	N	2500	0	40	453	1201	77	20	15	0	0	0	0	0	0	0	0	0	0	0	0	2307397	
38	1	A	1	N	2500	0	40	530	1646	99	39	32	0	0	0	0	0	0	0	0	0	0	0	0	2307413	
39	1	A	1	N	2500	0	40	83	139	14	11	10	0	0	0	0	0	0	0	0	0	0	0	0	2307460	
40	1	A	1	N	2500	0	40	32	32	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2307569	
41	1	A	1	N	2500	0	40	335	752	29	13	12	0	0	0	0	0	0	0	0	0	0	0	0	2307584	
42	1	A	1	N	2500	0	40	479	1692	117	48	30	0	0	0	0	0	0	0	0	0	0	0	0	2307616	
43	1	A	1	N	2500	0	40	345	1071	63	26	20	0	0	0	0	0	0	0	0	0	0	0	0	2307616	
44	1	A	1	N	2500	0	40	583	1856	93	39	26	0	0	0	0	0	0	0	0	0	0	0	0	2307834	
45	1	A	1	N	2500	0	40	46	38	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2308037	
46	1	A	1	N	2500	0	40	50	41	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2308037	
47	1	A	1	N	2500	0	40	417	1372	67	31	22	0	0	0	0	0	0	0	0	0	0	0	0	2308037	
48	1	A	1	N	2500	0	40	480	1775	97	46	31	0	0	0	0	0	0	0	0	0	0	0	0	2308115	
49	1	A	1	N	2500	0	40	90	194	14	10	15	0	0	0	0	0	0	0	0	0	0	0	0	2308224	
50	1	A	1	N	2500	0	40	21	28	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2308271	
51	1	A	1	N	2500	0	40	26	41	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2308614	
52	1	A	1	N	2500	0	40	397	1187	61	24	19	0	0	0	0	0	0	0	0	0	0	0	0	2308645	
53	1	A	1	N	2500	0	40	429	1305	70	23	21	0	0	0	0	0	0	0	0	0	0	0	0	2308739	
54	1	A	1	N	2500	0	40	436	1382	77	29	22	0	0	0	0	0	0	0	0	0	0	0	0	2308801	
55	1	A	1	N	2500	0	40	555	1826	102	38	30	0	0	0	0	0	0	0	0	0	0	0	0	2309410	
56	1	A	1	N	2500	0	40	39	43	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2309612	
57	1	A	1	N	2500	0	40	393	1213	66	24	18	0	0	0	0	0	0	0	0	0	0	0	0	2310236	
58	1	A	2	N	2500	0	40	360	1061	107	32	25	0	0	0	0	0	0	0	0	0	0	0	0	2318005	
59	1	A	2	N	2500	0	40	513	1337	61	23	19	0	0	0	0	0	0	0	0	0	0	0	0	2318036	
60	1	A	2	N	2500	0	40	437	1264	70	23	19	0	0	0	0	0	0	0	0	0	0	0	0	2318707	
61	1	A	2	N	2500	0	40	432	1066	49	19	16	0	0	0	0	0	0	0	0	0	0	0	0	2318894	
62	1	A	2	N	2500	0	40	405	1492	96	34	25	0	0	0	0	0	0	0	0	0	0	0	0	2319175	
63	1	A	2	N	2500	0	40	445	1376	76	22	20	0	0	0	0	0	0	0	0	0	0	0	0	2319628	
64	1	A	2	N	2500	0	40	434	1402	71	27	21	0	0	0	0	0	0	0	0	0	0	0	0	2319659	
65	1	A	2	N	2500	0	40	688	2081	124	41	34	0	0	0	0	0	0	0	0	0	0	0	0	2319971	
66	1	A	2	N	2500	0	40	830	1862	144	29	25	0	0	0	0	0	0	0	0	0	0	0	0	2320080	
