Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	98	664	76	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3571764	
1	1	A	1	N	2500	0	40	54	80	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3572091	
2	1	A	1	N	2500	0	40	22	29	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	3572279	
3	1	A	1	N	2500	0	40	55	295	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3572497	
4	1	A	1	N	2500	0	40	527	1797	112	45	36	0	0	0	0	0	0	0	0	0	0	0	0	3572653	
5	1	A	1	N	2500	0	40	388	1335	74	28	22	0	0	0	0	0	0	0	0	0	0	0	0	3572965	
6	1	A	1	N	2500	0	40	377	1212	62	25	17	0	0	0	0	0	0	0	0	0	0	0	0	3573074	
7	1	A	1	N	2500	0	40	22	25	7	5	7	0	0	0	0	0	0	0	0	0	0	0	0	3573152	
8	1	A	1	N	2500	0	40	30	28	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3573776	
9	1	A	1	N	2500	0	40	309	914	40	19	14	0	0	0	0	0	0	0	0	0	0	0	0	3574322	
10	1	A	1	N	2500	0	40	21	16	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3574400	
11	1	A	1	N	2500	0	40	293	683	28	12	9	0	0	0	0	0	0	0	0	0	0	0	0	3574884	
12	1	A	1	N	2500	0	40	23	42	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3574931	
13	1	A	1	N	2500	0	40	62	67	5	5	6	0	0	0	0	0	0	0	0	0	0	0	0	3574931	
14	1	A	1	N	2500	0	40	326	1053	54	24	18	0	0	0	0	0	0	0	0	0	0	0	0	3574931	
15	1	A	1	N	2500	0	40	495	1743	94	36	29	0	0	0	0	0	0	0	0	0	0	0	0	3575071	
16	1	A	1	N	2500	0	40	288	1042	73	26	19	0	0	0	0	0	0	0	0	0	0	0	0	3575087	
17	1	A	1	N	2500	0	40	356	1025	60	20	17	0	0	0	0	0	0	0	0	0	0	0	0	3575118	
18	1	A	1	N	2500	0	40	338	986	57	22	15	0	0	0	0	0	0	0	0	0	0	0	0	3575196	
19	1	A	1	N	2500	0	40	328	1053	48	17	14	0	0	0	0	0	0	0	0	0	0	0	0	3575523	
20	1	A	1	N	2500	0	40	131	236	22	10	6	0	0	0	0	0	0	0	0	0	0	0	0	3575586	
21	1	A	1	N	2500	0	40	544	1343	53	24	19	0	0	0	0	0	0	0	0	0	0	0	0	3575882	
22	1	A	1	N	2500	0	40	578	2057	99	39	29	0	0	0	0	0	0	0	0	0	0	0	0	3576116	
23	1	A	1	N	2500	0	40	286	856	42	17	14	0	0	0	0	0	0	0	0	0	0	0	0	3576319	
24	1	A	1	N	2500	0	40	320	982	47	19	16	0	0	0	0	0	0	0	0	0	0	0	0	3576350	
25	1	A	1	N	2500	0	40	381	1136	58	24	20	0	0	0	0	0	0	0	0	0	0	0	0	3576366	
26	1	A	1	N	2500	0	40	396	1037	35	19	17	0	0	0	0	0	0	0	0	0	0	0	0	3576491	
27	1	A	1	N	2500	0	40	382	1316	73	28	24	0	0	0	0	0	0	0	0	0	0	0	0	3576506	
28	1	A	1	N	2500	0	40	290	824	38	15	14	0	0	0	0	0	0	0	0	0	0	0	0	3576584	
29	1	A	1	N	2500	0	40	294	578	33	12	13	0	0	0	0	0	0	0	0	0	0	0	0	3576678	
30	1	A	1	N	2500	0	40	20	26	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	3576693	
31	1	A	1	N	2500	0	40	22	41	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3576693	
32	1	A	1	N	2500	0	40	319	1088	59	22	19	0	0	0	0	0	0	0	0	0	0	0	0	3576912	
33	1	A	1	N	2500	0	40	453	1579	89	34	29	0	0	0	0	0	0	0	0	0	0	0	0	3576974	
34	1	A	1	N	2500	0	40	379	1257	68	25	18	0	0	0	0	0	0	0	0	0	0	0	0	3577021	
35	1	A	1	N	2500	0	40	307	777	38	12	12	0	0	0	0	0	0	0	0	0	0	0	0	3577083	
36	1	A	1	N	2500	0	40	342	1151	62	22	20	0	0	0	0	0	0	0	0	0	0	0	0	3577130	
37	1	A	1	N	2500	0	40	352	1236	72	26	20	0	0	0	0	0	0	0	0	0	0	0	0	3577224	
38	1	A	1	N	2500	0	40	281	711	31	12	9	0	0	0	0	0	0	0	0	0	0	0	0	3577427	
39	1	A	1	N	2500	0	40	238	548	19	8	7	0	0	0	0	0	0	0	0	0	0	0	0	3577536	
40	1	A	1	N	2500	0	40	108	357	151	181	201	0	0	0	0	0	0	0	0	0	0	0	0	3577567	
41	1	A	1	N	2500	0	40	316	966	46	19	14	0	0	0	0	0	0	0	0	0	0	0	0	3577629	
42	1	A	1	N	2500	0	40	428	1254	52	24	25	0	0	0	0	0	0	0	0	0	0	0	0	3577785	
43	1	A	1	N	2500	0	40	355	1178	69	23	21	0	0	0	0	0	0	0	0	0	0	0	0	3578425	
44	1	A	1	N	2500	0	40	347	1197	68	24	17	0	0	0	0	0	0	0	0	0	0	0	0	3578675	
45	1	A	1	N	2500	0	40	351	991	50	17	13	0	0	0	0	0	0	0	0	0	0	0	0	3578706	
46	1	A	1	N	2500	0	40	373	1219	70	25	20	0	0	0	0	0	0	0	0	0	0	0	0	3578768	
47	1	A	1	N	2500	0	40	426	1401	69	28	21	0	0	0	0	0	0	0	0	0	0	0	0	3579205	
48	1	A	2	N	2500	0	40	26	58	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3586428	
49	1	A	2	N	2500	0	40	20	35	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3586428	
50	1	A	2	N	2500	0	40	27	63	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3586443	
51	1	A	2	N	2500	0	40	421	1169	77	27	22	0	0	0	0	0	0	0	0	0	0	0	0	3586584	
52	1	A	2	N	2500	0	40	62	71	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3587036	
53	1	A	2	N	2500	0	40	71	86	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3587052	
54	1	A	2	N	2500	0	40	159	1169	138	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3587114	
55	1	A	2	N	2500	0	40	100	85	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	3587114	
56	1	A	2	N	2500	0	40	63	384	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3587286	
57	1	A	2	N	2500	0	40	52	236	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3587301	
58	1	A	2	N	2500	0	40	128	147	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3587457	
59	1	A	2	N	2500	0	40	336	1023	55	20	16	0	0	0	0	0	0	0	0	0	0	0	0	3587535	
60	1	A	2	N	2500	0	40	291	750	38	13	11	0	0	0	0	0	0	0	0	0	0	0	0	3587691	
61	1	A	2	N	2500	0	40	250	594	20	9	9	0	0	0	0	0	0	0	0	0	0	0	0	3588440	
62	1	A	2	N	2500	0	40	362	1068	51	21	18	0	0	0	0	0	0	0	0	0	0	0	0	3588674	
63	1	A	2	N	2500	0	40	193	630	24	13	10	0	0	0	0	0	0	0	0	0	0	0	0	3588783	
64	1	A	2	N	2500	0	40	151	326	39	12	7	0	0	0	0	0	0	0	0	0	0	0	0	3588939	
65	1	A	2	N	2500	0	40	41	115	12	4	2	0	0	0	0	0	0	0	0	0	0	0	0	3588939	
66	1	A	2	N	2500	0	40	279	699	27	12	12	0	0	0	0	0	0	0	0	0	0	0	0	3588971	
67	1	A	2	N	2500	0	40	293	693	40	20	14	0	0	0	0	0	0	0	0	0	0	0	0	3589080	
68	1	A	2	N	2500	0	40	236	447	13	8	8	0	0	0	0	0	0	0	0	0	0	0	0	3589470	
69	1	A	2	N	2500	0	40	299	864	37	21	16	0	0	0	0	0	0	0	0	0	0	0	0	3589470	
70	1	A	2	N	2500	0	40	437	1347	74	29	23	0	0	0	0	0	0	0	0	0	0	0	0	3589517	
71	1	A	2	N	2500	0	40	42	54	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3589579	
72	1	A	2	N	2500	0	40	149	777	132	28	17	0	0	0	0	0	0	0	0	0	0	0	0	3589579	
73	1	A	2	N	2500	0	40	59	81	7	3	2	0	0	0	0	0	0	0	0	0	0	0	0	3589579	
74	1	A	2	N	2500	0	40	21	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3589579	
75	1	A	2	N	2500	0	40	44	42	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3589579	
76	1	A	2	N	2500	0	40	28	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3589579	
77	1	A	2	N	2500	0	40	348	1218	74	27	19	0	0	0	0	0	0	0	0	0	0	0	0	3589719	
78	1	A	2	N	2500	0	40	575	1930	94	36	28	0	0	0	0	0	0	0	0	0	0	0	0	3589766	
79	1	A	2	N	2500	0	40	24	56	5	6	4	0	0	0	0	0	0	0	0	0	0	0	0	3590016	
80	1	A	2	N	2500	0	40	96	119	12	5	4	0	0	0	0	0	0	0	0	0	0	0	0	3590063	
81	1	A	2	N	2500	0	40	299	771	42	16	13	0	0	0	0	0	0	0	0	0	0	0	0	3590203	
82	1	A	2	N	2500	0	40	314	824	28	16	13	0	0	0	0	0	0	0	0	0	0	0	0	3590390	
83	1	A	2	N	2500	0	40	347	1169	68	24	18	0	0	0	0	0	0	0	0	0	0	0	0	3590484	
84	1	A	2	N	2500	0	40	49	59	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3590577	
85	1	A	2	N	2500	0	40	23	34	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	3590655	
86	1	A	2	N	2500	0	40	23	41	5	6	6	0	0	0	0	0	0	0	0	0	0	0	0	3590718	
87	1	A	2	N	2500	0	40	347	1028	54	20	13	0	0	0	0	0	0	0	0	0	0	0	0	3590749	
88	1	A	2	N	2500	0	40	304	985	47	26	20	0	0	0	0	0	0	0	0	0	0	0	0	3590749	
89	1	A	2	N	2500	0	40	461	1199	65	30	24	0	0	0	0	0	0	0	0	0	0	0	0	3590749	
90	1	A	2	N	2500	0	40	335	1037	50	19	18	0	0	0	0	0	0	0	0	0	0	0	0	3590967	
91	1	A	2	N	2500	0	40	290	788	32	14	12	0	0	0	0	0	0	0	0	0	0	0	0	3591077	
92	1	A	2	N	2500	0	40	365	1050	45	22	15	0	0	0	0	0	0	0	0	0	0	0	0	3591201	
93	1	A	2	N	2500	0	40	373	909	41	18	17	0	0	0	0	0	0	0	0	0	0	0	0	3591201	
94	1	A	2	N	2500	0	40	291	743	28	12	11	0	0	0	0	0	0	0	0	0	0	0	0	3591264	
95	1	A	2	N	2500	0	40	304	1112	61	27	20	0	0	0	0	0	0	0	0	0	0	0	0	3591279	
96	1	A	2	N	2500	0	40	328	1068	60	20	13	0	0	0	0	0	0	0	0	0	0	0	0	3591311	
97	1	A	2	N	2500	0	40	336	1098	67	23	21	0	0	0	0	0	0	0	0	0	0	0	0	3591389	
98	1	A	2	N	2500	0	40	37	117	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3591498	
99	1	A	2	N	2500	0	40	371	1268	74	30	23	0	0	0	0	0	0	0	0	0	0	0	0	3591513	
100	1	A	2	N	2500	0	40	51	83	5	5	7	0	0	0	0	0	0	0	0	0	0	0	0	3591513	
101	1	A	2	N	2500	0	40	22	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3591513	
102	1	A	2	N	2500	0	40	447	1352	79	29	22	0	0	0	0	0	0	0	0	0	0	0	0	3591638	
103	1	A	2	N	2500	0	40	478	1543	99	36	28	0	0	0	0	0	0	0	0	0	0	0	0	3591841	
104	1	A	2	N	2500	0	40	337	1022	52	20	16	0	0	0	0	0	0	0	0	0	0	0	0	3591857	
105	1	A	2	N	2500	0	40	422	1336	75	27	21	0	0	0	0	0	0	0	0	0	0	0	0	3591872	
106	1	A	2	N	2500	0	40	569	1903	141	43	30	0	0	0	0	0	0	0	0	0	0	0	0	3591888	
107	1	A	2	N	2500	0	40	405	1305	91	33	24	0	0	0	0	0	0	0	0	0	0	0	0	3592059	
108	1	A	2	N	2500	0	40	370	1067	68	23	18	0	0	0	0	0	0	0	0	0	0	0	0	3592169	
109	1	A	2	N	2500	0	40	584	1956	93	36	31	0	0	0	0	0	0	0	0	0	0	0	0	3592184	
110	1	A	2	N	2500	0	40	76	281	26	26	30	0	0	0	0	0	0	0	0	0	0	0	0	3592215	
111	1	A	2	N	2500	0	40	355	1054	53	21	18	0	0	0	0	0	0	0	0	0	0	0	0	3592231	
112	1	A	2	N	2500	0	40	340	1138	72	23	17	0	0	0	0	0	0	0	0	0	0	0	0	3592247	
113	1	A	2	N	2500	0	40	353	1218	76	28	22	0	0	0	0	0	0	0	0	0	0	0	0	3592278	
114	1	A	2	N	2500	0	40	26	44	5	6	4	0	0	0	0	0	0	0	0	0	0	0	0	3592309	
115	1	A	2	N	2500	0	40	23	47	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3592418	
116	1	A	2	N	2500	0	40	387	1183	77	26	21	0	0	0	0	0	0	0	0	0	0	0	0	3592621	
117	1	A	2	N	2500	0	40	477	1412	74	29	22	0	0	0	0	0	0	0	0	0	0	0	0	3592637	
