Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	316	897	40	19	14	0	0	0	0	0	0	0	0	0	0	0	0	3813043	
1	1	A	1	N	2500	0	40	347	1110	66	24	18	0	0	0	0	0	0	0	0	0	0	0	0	3813574	
2	1	A	1	N	2500	0	40	357	848	40	17	17	0	0	0	0	0	0	0	0	0	0	0	0	3815243	
3	1	A	1	N	2500	0	40	20	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3815321	
4	1	A	1	N	2500	0	40	332	962	47	22	16	0	0	0	0	0	0	0	0	0	0	0	0	3815368	
5	1	A	1	N	2500	0	40	259	711	31	14	13	0	0	0	0	0	0	0	0	0	0	0	0	3815633	
6	1	A	1	N	2500	0	40	347	901	50	18	17	0	0	0	0	0	0	0	0	0	0	0	0	3815898	
7	1	A	1	N	2500	0	40	392	1246	70	26	20	0	0	0	0	0	0	0	0	0	0	0	0	3816117	
8	1	A	1	N	2500	0	40	372	1177	73	33	30	0	0	0	0	0	0	0	0	0	0	0	0	3816257	
9	1	A	1	N	2500	0	40	322	844	37	18	16	0	0	0	0	0	0	0	0	0	0	0	0	3816319	
10	1	A	1	N	2500	0	40	302	795	33	17	15	0	0	0	0	0	0	0	0	0	0	0	0	3816460	
11	1	A	1	N	2500	0	40	529	1631	84	33	24	0	0	0	0	0	0	0	0	0	0	0	0	3816663	
12	1	A	1	N	2500	0	40	275	619	23	11	9	0	0	0	0	0	0	0	0	0	0	0	0	3816897	
13	1	A	1	N	2500	0	40	380	1350	81	30	25	0	0	0	0	0	0	0	0	0	0	0	0	3817224	
14	1	A	1	N	2500	0	40	449	1246	54	24	24	0	0	0	0	0	0	0	0	0	0	0	0	3817240	
15	1	A	1	N	2500	0	40	343	1210	63	29	22	0	0	0	0	0	0	0	0	0	0	0	0	3817411	
16	1	A	1	N	2500	0	40	399	1287	77	28	23	0	0	0	0	0	0	0	0	0	0	0	0	3817427	
17	1	A	1	N	2500	0	40	326	746	37	16	14	0	0	0	0	0	0	0	0	0	0	0	0	3817458	
18	1	A	1	N	2500	0	40	394	1216	61	28	19	0	0	0	0	0	0	0	0	0	0	0	0	3817708	
19	1	A	1	N	2500	0	40	54	249	20	24	26	0	0	0	0	0	0	0	0	0	0	0	0	3817926	
20	1	A	1	N	2500	0	40	429	1044	86	25	21	0	0	0	0	0	0	0	0	0	0	0	0	3818129	
21	1	A	1	N	2500	0	40	425	1492	74	30	21	0	0	0	0	0	0	0	0	0	0	0	0	3818347	
22	1	A	1	N	2500	0	40	350	739	29	15	14	0	0	0	0	0	0	0	0	0	0	0	0	3818457	
23	1	A	1	N	2500	0	40	28	28	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3818659	
24	1	A	1	N	2500	0	40	30	36	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3819393	
