Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	318	1361	81	29	24	0	0	0	0	0	0	0	0	0	0	0	0	5084477	
1	1	A	1	N	2500	0	40	390	884	31	14	14	0	0	0	0	0	0	0	0	0	0	0	0	5084680	
2	1	A	1	N	2500	0	40	357	1493	102	37	26	0	0	0	0	0	0	0	0	0	0	0	0	5085709	
3	1	A	1	N	2500	0	40	386	1279	72	28	21	0	0	0	0	0	0	0	0	0	0	0	0	5086552	
4	1	A	1	N	2500	0	40	345	1498	103	35	22	0	0	0	0	0	0	0	0	0	0	0	0	5086598	
5	1	A	1	N	2500	0	40	346	1201	66	27	19	0	0	0	0	0	0	0	0	0	0	0	0	5087363	
6	1	A	1	N	2500	0	40	26	24	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5087441	
7	1	A	1	N	2500	0	40	464	1262	75	26	19	0	0	0	0	0	0	0	0	0	0	0	0	5087706	
8	1	A	1	N	2500	0	40	276	1166	56	27	21	0	0	0	0	0	0	0	0	0	0	0	0	5087956	
9	1	A	1	N	2500	0	40	797	1829	99	34	31	0	0	0	0	0	0	0	0	0	0	0	0	5088002	
10	1	A	1	N	2500	0	40	492	1567	83	36	25	0	0	0	0	0	0	0	0	0	0	0	0	5088049	
11	1	A	1	N	2500	0	40	498	1418	73	28	22	0	0	0	0	0	0	0	0	0	0	0	0	5088408	
12	1	A	1	N	2500	0	40	351	1276	84	30	23	0	0	0	0	0	0	0	0	0	0	0	0	5088751	
13	1	A	1	N	2500	0	40	664	1994	90	31	25	0	0	0	0	0	0	0	0	0	0	0	0	5088876	
14	1	A	1	N	2500	0	40	92	248	91	110	126	0	0	0	0	0	0	0	0	0	0	0	0	5089266	
15	1	A	1	N	2500	0	40	110	298	96	118	137	0	0	0	0	0	0	0	0	0	0	0	0	5089438	
16	1	A	1	N	2500	0	40	625	1150	89	21	17	0	0	0	0	0	0	0	0	0	0	0	0	5089672	
17	1	A	1	N	2500	0	40	592	1844	93	37	29	0	0	0	0	0	0	0	0	0	0	0	0	5089874	
18	1	A	1	N	2500	0	40	478	1062	37	15	15	0	0	0	0	0	0	0	0	0	0	0	0	5090218	
19	1	A	1	N	2500	0	40	24	35	5	6	5	0	0	0	0	0	0	0	0	0	0	0	0	5090374	
20	1	A	1	N	2500	0	40	406	913	35	16	13	0	0	0	0	0	0	0	0	0	0	0	0	5090530	
21	1	A	1	N	2500	0	40	567	1455	43	22	19	0	0	0	0	0	0	0	0	0	0	0	0	5090670	
22	1	A	1	N	2500	0	40	597	1228	43	18	18	0	0	0	0	0	0	0	0	0	0	0	0	5090795	
23	1	A	1	N	2500	0	40	458	1278	67	24	17	0	0	0	0	0	0	0	0	0	0	0	0	5090873	
24	1	A	1	N	2500	0	40	256	1137	74	26	20	0	0	0	0	0	0	0	0	0	0	0	0	5091091	
25	1	A	1	N	2500	0	40	359	795	29	12	11	0	0	0	0	0	0	0	0	0	0	0	0	5091185	
26	1	A	1	N	2500	0	40	27	33	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	5091715	
27	1	A	1	N	2500	0	40	32	37	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5091778	
28	1	A	2	N	2500	0	40	250	1255	84	31	23	0	0	0	0	0	0	0	0	0	0	0	0	5099843	
29	1	A	2	N	2500	0	40	365	830	27	12	10	0	0	0	0	0	0	0	0	0	0	0	0	5099921	
30	1	A	2	N	2500	0	40	184	304	12	8	9	0	0	0	0	0	0	0	0	0	0	0	0	5100030	
31	1	A	2	N	2500	0	40	24	40	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	5100077	
32	1	A	2	N	2500	0	40	309	1197	59	25	21	0	0	0	0	0	0	0	0	0	0	0	0	5100576	
33	1	A	2	N	2500	0	40	436	1175	61	23	14	0	0	0	0	0	0	0	0	0	0	0	0	5100607	
34	1	A	2	N	2500	0	40	392	1011	45	19	15	0	0	0	0	0	0	0	0	0	0	0	0	5100872	
35	1	A	2	N	2500	0	40	357	1107	66	24	19	0	0	0	0	0	0	0	0	0	0	0	0	5100919	
36	1	A	2	N	2500	0	40	436	1266	68	26	14	0	0	0	0	0	0	0	0	0	0	0	0	5101138	
37	1	A	2	N	2500	0	40	420	1188	68	23	20	0	0	0	0	0	0	0	0	0	0	0	0	5101169	
38	1	A	2	N	2500	0	40	182	622	290	371	443	0	0	0	0	0	0	0	0	0	0	0	0	5101434	
39	1	A	2	N	2500	0	40	421	1430	81	36	30	0	0	0	0	0	0	0	0	0	0	0	0	5101606	
40	1	A	2	N	2500	0	40	382	1068	43	21	19	0	0	0	0	0	0	0	0	0	0	0	0	5102089	
41	1	A	2	N	2500	0	40	705	2082	94	37	24	0	0	0	0	0	0	0	0	0	0	0	0	5102136	
42	1	A	2	N	2500	0	40	291	1173	66	26	16	0	0	0	0	0	0	0	0	0	0	0	0	5102323	
43	1	A	2	N	2500	0	40	261	1366	82	32	26	0	0	0	0	0	0	0	0	0	0	0	0	5102354	
44	1	A	2	N	2500	0	40	301	1064	51	22	17	0	0	0	0	0	0	0	0	0	0	0	0	5102495	
45	1	A	2	N	2500	0	40	267	542	20	8	9	0	0	0	0	0	0	0	0	0	0	0	0	5102620	
46	1	A	2	N	2500	0	40	462	1252	59	26	23	0	0	0	0	0	0	0	0	0	0	0	0	5102729	
47	1	A	2	N	2500	0	40	468	1422	71	35	21	0	0	0	0	0	0	0	0	0	0	0	0	5102994	
48	1	A	2	N	2500	0	40	248	1039	516	685	878	0	0	0	0	0	0	0	0	0	0	0	0	5103056	
49	1	A	2	N	2500	0	40	44	75	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5103228	
50	1	A	2	N	2500	0	40	542	1406	91	31	22	0	0	0	0	0	0	0	0	0	0	0	0	5103259	
51	1	A	2	N	2500	0	40	237	1030	53	21	14	0	0	0	0	0	0	0	0	0	0	0	0	5103275	
52	1	A	2	N	2500	0	40	328	1035	74	28	23	0	0	0	0	0	0	0	0	0	0	0	0	5103634	
53	1	A	2	N	2500	0	40	246	1155	67	28	20	0	0	0	0	0	0	0	0	0	0	0	0	5103774	
54	1	A	2	N	2500	0	40	474	1444	73	31	25	0	0	0	0	0	0	0	0	0	0	0	0	5103899	
55	1	A	2	N	2500	0	40	29	33	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5103914	
56	1	A	2	N	2500	0	40	364	1207	58	24	20	0	0	0	0	0	0	0	0	0	0	0	0	5103992	
57	1	A	2	N	2500	0	40	689	1488	125	30	25	0	0	0	0	0	0	0	0	0	0	0	0	5104024	
58	1	A	2	N	2500	0	40	393	828	32	14	13	0	0	0	0	0	0	0	0	0	0	0	0	5104024	
