Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	295	968	45	18	14	0	0	0	0	0	0	0	0	0	0	0	0	16378694	
1	1	A	1	N	2500	0	40	721	1867	100	38	27	0	0	0	0	0	0	0	0	0	0	0	0	16378865	
2	1	A	1	N	2500	0	40	403	1060	45	19	15	0	0	0	0	0	0	0	0	0	0	0	0	16379099	
3	1	A	1	N	2500	0	40	35	35	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16379177	
4	1	A	1	N	2500	0	40	457	997	45	16	14	0	0	0	0	0	0	0	0	0	0	0	0	16379552	
5	1	A	1	N	2500	0	40	37	54	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	16380098	
6	1	A	1	N	2500	0	40	499	1598	85	31	24	0	0	0	0	0	0	0	0	0	0	0	0	16380113	
7	1	A	1	N	2500	0	40	264	534	22	9	10	0	0	0	0	0	0	0	0	0	0	0	0	16380550	
8	1	A	1	N	2500	0	40	436	1315	75	25	23	0	0	0	0	0	0	0	0	0	0	0	0	16381003	
9	1	A	1	N	2500	0	40	350	666	23	12	10	0	0	0	0	0	0	0	0	0	0	0	0	16381174	
10	1	A	1	N	2500	0	40	280	1129	70	26	20	0	0	0	0	0	0	0	0	0	0	0	0	16381221	
11	1	A	1	N	2500	0	40	367	1128	71	28	22	0	0	0	0	0	0	0	0	0	0	0	0	16381580	
12	1	A	1	N	2500	0	40	442	1259	78	24	23	0	0	0	0	0	0	0	0	0	0	0	0	16381658	
13	1	A	1	N	2500	0	40	710	1927	79	30	26	0	0	0	0	0	0	0	0	0	0	0	0	16381861	
14	1	A	1	N	2500	0	40	426	847	63	25	21	0	0	0	0	0	0	0	0	0	0	0	0	16382017	
15	1	A	1	N	2500	0	40	499	1304	75	26	20	0	0	0	0	0	0	0	0	0	0	0	0	16382157	
16	1	A	1	N	2500	0	40	418	870	39	15	15	0	0	0	0	0	0	0	0	0	0	0	0	16382500	
17	1	A	1	N	2500	0	40	388	920	35	16	15	0	0	0	0	0	0	0	0	0	0	0	0	16382641	
18	1	A	1	N	2500	0	40	380	766	32	14	10	0	0	0	0	0	0	0	0	0	0	0	0	16382641	
19	1	A	1	N	2500	0	40	391	1063	55	20	15	0	0	0	0	0	0	0	0	0	0	0	0	16382750	
20	1	A	1	N	2500	0	40	275	1082	61	24	20	0	0	0	0	0	0	0	0	0	0	0	0	16383452	
21	1	A	1	N	2500	0	40	403	919	40	17	12	0	0	0	0	0	0	0	0	0	0	0	0	16383483	
22	1	A	1	N	2500	0	40	430	1257	80	26	18	0	0	0	0	0	0	0	0	0	0	0	0	16383967	
23	1	A	1	N	2500	0	40	422	949	44	18	15	0	0	0	0	0	0	0	0	0	0	0	0	16383982	
24	1	A	1	N	2500	0	40	375	818	39	21	16	0	0	0	0	0	0	0	0	0	0	0	0	16384107	
25	1	A	1	N	2500	0	40	26	34	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16384201	
26	1	A	1	N	2500	0	40	522	1491	83	34	25	0	0	0	0	0	0	0	0	0	0	0	0	16384232	
27	1	A	1	N	2500	0	40	75	253	27	23	26	0	0	0	0	0	0	0	0	0	0	0	0	16384325	
28	1	A	1	N	2500	0	40	432	1215	66	24	21	0	0	0	0	0	0	0	0	0	0	0	0	16384559	
29	1	A	1	N	2500	0	40	271	1216	84	32	28	0	0	0	0	0	0	0	0	0	0	0	0	16384637	
30	1	A	1	N	2500	0	40	322	1070	54	23	16	0	0	0	0	0	0	0	0	0	0	0	0	16384934	
31	1	A	1	N	2500	0	40	253	986	69	25	19	0	0	0	0	0	0	0	0	0	0	0	0	16384949	
