Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	20	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17730499	
1	1	A	1	N	2500	0	40	326	902	49	21	17	0	0	0	0	0	0	0	0	0	0	0	0	17730935	
2	1	A	1	N	2500	0	40	25	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17731481	
3	1	A	1	N	2500	0	40	36	54	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	17731840	
4	1	A	1	N	2500	0	40	21	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17732339	
5	1	A	1	N	2500	0	40	30	71	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	17732386	
6	1	A	1	N	2500	0	40	392	1055	53	25	20	0	0	0	0	0	0	0	0	0	0	0	0	17732745	
7	1	A	1	N	2500	0	40	305	873	46	19	15	0	0	0	0	0	0	0	0	0	0	0	0	17732854	
8	1	A	1	N	2500	0	40	207	624	27	14	9	0	0	0	0	0	0	0	0	0	0	0	0	17732963	
9	1	A	1	N	2500	0	40	212	682	32	16	13	0	0	0	0	0	0	0	0	0	0	0	0	17733182	
10	1	A	1	N	2500	0	40	264	597	22	10	11	0	0	0	0	0	0	0	0	0	0	0	0	17733182	
11	1	A	1	N	2500	0	40	200	364	18	12	11	0	0	0	0	0	0	0	0	0	0	0	0	17733260	
12	1	A	1	N	2500	0	40	475	1468	71	27	23	0	0	0	0	0	0	0	0	0	0	0	0	17733541	
13	1	A	1	N	2500	0	40	288	789	36	18	14	0	0	0	0	0	0	0	0	0	0	0	0	17733603	
14	1	A	1	N	2500	0	40	277	746	36	15	14	0	0	0	0	0	0	0	0	0	0	0	0	17733681	
15	1	A	1	N	2500	0	40	282	614	20	9	9	0	0	0	0	0	0	0	0	0	0	0	0	17733743	
16	1	A	1	N	2500	0	40	105	387	15	11	9	0	0	0	0	0	0	0	0	0	0	0	0	17734009	
