Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	95	181	17	4	3	0	0	0	0	0	0	0	0	0	0	0	0	2990199	
1	1	A	1	N	2500	0	40	268	770	47	18	12	0	0	0	0	0	0	0	0	0	0	0	0	2990246	
2	1	A	1	N	2500	0	40	21	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2990355	
3	1	A	1	N	2500	0	40	35	47	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2990574	
4	1	A	1	N	2500	0	40	77	192	32	7	8	0	0	0	0	0	0	0	0	0	0	0	0	2990605	
5	1	A	1	N	2500	0	40	180	497	23	11	9	0	0	0	0	0	0	0	0	0	0	0	0	2990823	
6	1	A	1	N	2500	0	40	414	1222	72	30	22	0	0	0	0	0	0	0	0	0	0	0	0	2991011	
7	1	A	1	N	2500	0	40	113	195	19	4	3	0	0	0	0	0	0	0	0	0	0	0	0	2991369	
8	1	A	1	N	2500	0	40	20	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2992135	
9	1	A	1	N	2500	0	40	220	727	38	31	29	0	0	0	0	0	0	0	0	0	0	0	0	2992135	
10	1	A	1	N	2500	0	40	259	854	55	24	18	0	0	0	0	0	0	0	0	0	0	0	0	2992213	
11	1	A	1	N	2500	0	40	288	942	63	26	18	0	0	0	0	0	0	0	0	0	0	0	0	2992228	
12	1	A	1	N	2500	0	40	22	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2992509	
13	1	A	1	N	2500	0	40	106	324	44	7	7	0	0	0	0	0	0	0	0	0	0	0	0	2992509	
14	1	A	1	N	2500	0	40	58	77	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	2992556	
15	1	A	1	N	2500	0	40	27	25	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2992556	
16	1	A	1	N	2500	0	40	30	38	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2992603	
17	1	A	1	N	2500	0	40	75	110	7	3	2	0	0	0	0	0	0	0	0	0	0	0	0	2993071	
18	1	A	1	N	2500	0	40	100	216	19	6	5	0	0	0	0	0	0	0	0	0	0	0	0	2993991	
19	1	A	1	N	2500	0	40	47	65	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2994319	
20	1	A	1	N	2500	0	40	274	903	57	21	17	0	0	0	0	0	0	0	0	0	0	0	0	2994678	
21	1	A	1	N	2500	0	40	250	798	50	22	16	0	0	0	0	0	0	0	0	0	0	0	0	2995209	
22	1	A	1	N	2500	0	40	224	519	23	12	11	0	0	0	0	0	0	0	0	0	0	0	0	2995318	
23	1	A	1	N	2500	0	40	264	850	50	20	14	0	0	0	0	0	0	0	0	0	0	0	0	2995505	
24	1	A	1	N	2500	0	40	202	546	34	20	16	0	0	0	0	0	0	0	0	0	0	0	0	2995599	
25	1	A	1	N	2500	0	40	234	899	55	24	15	0	0	0	0	0	0	0	0	0	0	0	0	2995755	
26	1	A	1	N	2500	0	40	20	28	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2995911	
27	1	A	1	N	2500	0	40	114	567	72	41	22	0	0	0	0	0	0	0	0	0	0	0	0	2996067	
28	1	A	1	N	2500	0	40	55	95	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2996114	
29	1	A	1	N	2500	0	40	20	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2996332	
30	1	A	1	N	2500	0	40	26	24	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2996332	
31	1	A	1	N	2500	0	40	35	38	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2996753	
32	1	A	1	N	2500	0	40	65	101	7	3	2	0	0	0	0	0	0	0	0	0	0	0	0	2996769	
33	1	A	1	N	2500	0	40	32	44	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2996769	
34	1	A	1	N	2500	0	40	21	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2996769	
35	1	A	1	N	2500	0	40	200	661	34	17	11	0	0	0	0	0	0	0	0	0	0	0	0	2996972	
36	1	A	1	N	2500	0	40	25	30	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2997081	
37	1	A	2	N	2500	0	40	306	880	54	22	16	0	0	0	0	0	0	0	0	0	0	0	0	3004836	
38	1	A	2	N	2500	0	40	24	47	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3005399	
39	1	A	2	N	2500	0	40	109	314	62	3	4	0	0	0	0	0	0	0	0	0	0	0	0	3005711	
40	1	A	2	N	2500	0	40	144	614	100	6	6	0	0	0	0	0	0	0	0	0	0	0	0	3005711	
41	1	A	2	N	2500	0	40	68	133	13	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3005711	
42	1	A	2	N	2500	0	40	50	99	18	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3005711	
43	1	A	2	N	2500	0	40	46	76	9	7	8	0	0	0	0	0	0	0	0	0	0	0	0	3005914	
44	1	A	2	N	2500	0	40	243	797	49	20	13	0	0	0	0	0	0	0	0	0	0	0	0	3006038	
45	1	A	2	N	2500	0	40	23	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3006101	
46	1	A	2	N	2500	0	40	20	22	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3006194	
47	1	A	2	N	2500	0	40	216	690	42	21	15	0	0	0	0	0	0	0	0	0	0	0	0	3006194	
48	1	A	2	N	2500	0	40	43	45	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3006210	
49	1	A	2	N	2500	0	40	48	57	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3006647	
50	1	A	2	N	2500	0	40	365	1124	66	31	25	0	0	0	0	0	0	0	0	0	0	0	0	3006709	
51	1	A	2	N	2500	0	40	245	847	65	23	20	0	0	0	0	0	0	0	0	0	0	0	0	3006740	
52	1	A	2	N	2500	0	40	73	91	8	4	2	0	0	0	0	0	0	0	0	0	0	0	0	3006850	
53	1	A	2	N	2500	0	40	24	21	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3006960	
54	1	A	2	N	2500	0	40	187	608	36	16	13	0	0	0	0	0	0	0	0	0	0	0	0	3007147	
55	1	A	2	N	2500	0	40	69	85	10	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3007178	
56	1	A	2	N	2500	0	40	33	41	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3007178	
57	1	A	2	N	2500	0	40	153	517	19	11	10	0	0	0	0	0	0	0	0	0	0	0	0	3007599	
58	1	A	2	N	2500	0	40	28	35	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3008270	
59	1	A	2	N	2500	0	40	229	746	57	21	15	0	0	0	0	0	0	0	0	0	0	0	0	3008333	
60	1	A	2	N	2500	0	40	259	656	45	14	13	0	0	0	0	0	0	0	0	0	0	0	0	3008379	
61	1	A	2	N	2500	0	40	47	149	10	8	10	0	0	0	0	0	0	0	0	0	0	0	0	3009019	
62	1	A	2	N	2500	0	40	210	698	46	20	14	0	0	0	0	0	0	0	0	0	0	0	0	3009159	
63	1	A	2	N	2500	0	40	35	35	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3009253	
64	1	A	2	N	2500	0	40	29	61	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	3009362	
65	1	A	2	N	2500	0	40	292	808	63	20	12	0	0	0	0	0	0	0	0	0	0	0	0	3009487	
66	1	A	2	N	2500	0	40	152	629	45	19	16	0	0	0	0	0	0	0	0	0	0	0	0	3009674	
67	1	A	2	N	2500	0	40	339	1146	57	34	28	0	0	0	0	0	0	0	0	0	0	0	0	3010112	
68	1	A	2	N	2500	0	40	297	847	48	20	17	0	0	0	0	0	0	0	0	0	0	0	0	3010128	
69	1	A	2	N	2500	0	40	153	683	46	20	16	0	0	0	0	0	0	0	0	0	0	0	0	3010408	
70	1	A	2	N	2500	0	40	233	639	36	17	10	0	0	0	0	0	0	0	0	0	0	0	0	3010533	
71	1	A	2	N	2500	0	40	309	1012	58	25	19	0	0	0	0	0	0	0	0	0	0	0	0	3010611	
72	1	A	2	N	2500	0	40	348	855	47	22	20	0	0	0	0	0	0	0	0	0	0	0	0	3010923	
73	1	A	2	N	2500	0	40	51	178	16	16	18	0	0	0	0	0	0	0	0	0	0	0	0	3011095	
74	1	A	2	N	2500	0	40	282	907	55	22	16	0	0	0	0	0	0	0	0	0	0	0	0	3011157	
75	1	A	2	N	2500	0	40	302	781	50	23	19	0	0	0	0	0	0	0	0	0	0	0	0	3011313	
76	1	A	2	N	2500	0	40	398	1450	86	34	29	0	0	0	0	0	0	0	0	0	0	0	0	3011625	
77	1	A	2	N	2500	0	40	250	763	50	21	15	0	0	0	0	0	0	0	0	0	0	0	0	3012000	
78	1	A	2	N	2500	0	40	46	59	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3012031	
79	1	A	3	N	2500	0	40	36	69	6	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3019864	
80	1	A	3	N	2500	0	40	76	81	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3020207	
81	1	A	3	N	2500	0	40	31	49	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3020207	
82	1	A	3	N	2500	0	40	20	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3020301	
83	1	A	3	N	2500	0	40	32	38	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3020473	
84	1	A	3	N	2500	0	40	50	121	16	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3020473	
85	1	A	3	N	2500	0	40	24	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3020473	
86	1	A	3	N	2500	0	40	29	32	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3020473	
87	1	A	3	N	2500	0	40	154	624	35	18	16	0	0	0	0	0	0	0	0	0	0	0	0	3020987	
88	1	A	3	N	2500	0	40	35	37	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3021081	
89	1	A	3	N	2500	0	40	38	62	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3021268	
90	1	A	3	N	2500	0	40	27	22	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3021331	
91	1	A	3	N	2500	0	40	80	121	9	5	4	0	0	0	0	0	0	0	0	0	0	0	0	3021362	
92	1	A	3	N	2500	0	40	33	35	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3021362	
93	1	A	3	N	2500	0	40	71	177	12	11	14	0	0	0	0	0	0	0	0	0	0	0	0	3021674	
94	1	A	3	N	2500	0	40	21	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3021721	
95	1	A	3	N	2500	0	40	245	784	51	20	16	0	0	0	0	0	0	0	0	0	0	0	0	3021923	
96	1	A	3	N	2500	0	40	190	742	44	20	16	0	0	0	0	0	0	0	0	0	0	0	0	3022049	
97	1	A	3	N	2500	0	40	268	633	28	16	13	0	0	0	0	0	0	0	0	0	0	0	0	3022080	
98	1	A	3	N	2500	0	40	32	32	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3022283	
99	1	A	3	N	2500	0	40	50	52	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3022314	
100	1	A	3	N	2500	0	40	22	34	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3022314	
101	1	A	3	N	2500	0	40	27	27	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3022392	
102	1	A	3	N	2500	0	40	21	34	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3022533	
103	1	A	3	N	2500	0	40	36	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3022595	
104	1	A	3	N	2500	0	40	48	56	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3022595	
105	1	A	3	N	2500	0	40	20	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3022595	
106	1	A	3	N	2500	0	40	27	25	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3022595	
107	1	A	3	N	2500	0	40	22	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3022595	
108	1	A	3	N	2500	0	40	142	724	34	18	15	0	0	0	0	0	0	0	0	0	0	0	0	3022611	
109	1	A	3	N	2500	0	40	264	702	34	15	14	0	0	0	0	0	0	0	0	0	0	0	0	3022798	
110	1	A	3	N	2500	0	40	27	40	7	9	9	0	0	0	0	0	0	0	0	0	0	0	0	3022798	
111	1	A	3	N	2500	0	40	115	198	25	34	51	0	0	0	0	0	0	0	0	0	0	0	0	3022876	
112	1	A	3	N	2500	0	40	25	34	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3023188	
113	1	A	3	N	2500	0	40	21	23	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3023531	
114	1	A	3	N	2500	0	40	33	32	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3023562	
115	1	A	3	N	2500	0	40	285	692	28	17	16	0	0	0	0	0	0	0	0	0	0	0	0	3023640	
116	1	A	3	N	2500	0	40	83	115	8	4	2	0	0	0	0	0	0	0	0	0	0	0	0	3023672	
117	1	A	3	N	2500	0	40	56	83	7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3023874	
118	1	A	3	N	2500	0	40	54	124	13	4	3	0	0	0	0	0	0	0	0	0	0	0	0	3023874	
119	1	A	3	N	2500	0	40	53	88	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3023874	
120	1	A	3	N	2500	0	40	318	1001	66	29	21	0	0	0	0	0	0	0	0	0	0	0	0	3023921	
121	1	A	3	N	2500	0	40	44	164	15	13	12	0	0	0	0	0	0	0	0	0	0	0	0	3024093	
122	1	A	3	N	2500	0	40	254	871	51	22	18	0	0	0	0	0	0	0	0	0	0	0	0	3024218	
123	1	A	3	N	2500	0	40	168	645	31	17	14	0	0	0	0	0	0	0	0	0	0	0	0	3024264	
124	1	A	3	N	2500	0	40	34	34	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3024405	
125	1	A	3	N	2500	0	40	199	440	16	7	7	0	0	0	0	0	0	0	0	0	0	0	0	3024436	
126	1	A	3	N	2500	0	40	203	561	29	14	12	0	0	0	0	0	0	0	0	0	0	0	0	3024576	
127	1	A	3	N	2500	0	40	73	117	7	4	2	0	0	0	0	0	0	0	0	0	0	0	0	3024623	
128	1	A	3	N	2500	0	40	26	47	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3024779	
129	1	A	3	N	2500	0	40	366	964	54	26	18	0	0	0	0	0	0	0	0	0	0	0	0	3025013	
130	1	A	3	N	2500	0	40	490	1435	79	38	26	0	0	0	0	0	0	0	0	0	0	0	0	3025138	
131	1	A	3	N	2500	0	40	236	731	42	18	13	0	0	0	0	0	0	0	0	0	0	0	0	3025216	
132	1	A	3	N	2500	0	40	199	707	43	19	14	0	0	0	0	0	0	0	0	0	0	0	0	3025434	
133	1	A	3	N	2500	0	40	293	549	22	12	8	0	0	0	0	0	0	0	0	0	0	0	0	3025700	
134	1	A	3	N	2500	0	40	20	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3025871	
135	1	A	3	N	2500	0	40	252	690	47	19	13	0	0	0	0	0	0	0	0	0	0	0	0	3025934	
