Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	259	1095	68	27	0	0	0	0	0	0	0	0	0	0	0	0	0	7633810	
1	1	A	1	N	2500	0	40	363	1022	63	23	17	0	0	0	0	0	0	0	0	0	0	0	0	7634168	
2	1	A	1	N	2500	0	40	242	1127	88	28	24	0	0	0	0	0	0	0	0	0	0	0	0	7634262	
3	1	A	1	N	2500	0	40	172	619	44	19	18	0	0	0	0	0	0	0	0	0	0	0	0	7634621	
4	1	A	1	N	2500	0	40	277	1021	78	29	23	0	0	0	0	0	0	0	0	0	0	0	0	7634870	
5	1	A	1	N	2500	0	40	206	977	68	25	17	0	0	0	0	0	0	0	0	0	0	0	0	7635760	
6	1	A	1	N	2500	0	40	202	568	22	11	9	0	0	0	0	0	0	0	0	0	0	0	0	7635900	
7	1	A	1	N	2500	0	40	38	46	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7636182	
8	1	A	1	N	2500	0	40	22	34	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7636634	
9	1	A	1	N	2500	0	40	451	1239	66	28	21	0	0	0	0	0	0	0	0	0	0	0	0	7636665	
10	1	A	1	N	2500	0	40	22	23	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7636775	
11	1	A	1	N	2500	0	40	372	1093	62	23	15	0	0	0	0	0	0	0	0	0	0	0	0	7636853	
12	1	A	1	N	2500	0	40	21	25	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7636884	
13	1	A	1	N	2500	0	40	24	33	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7637180	
14	1	A	1	N	2500	0	40	184	704	31	15	13	0	0	0	0	0	0	0	0	0	0	0	0	7637196	
15	1	A	1	N	2500	0	40	344	1210	82	30	21	0	0	0	0	0	0	0	0	0	0	0	0	7637196	
